batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.361252,12.443251
0,mae,0,0.075,8.04986,11.995834
0,mae,0,0.1,8.311144,11.109823
0,mae,0,0.15,10.389458,10.431324
0,mse,0,0.05,5.65868,10.423142
0,mse,0,0.075,6.366373,9.863349
0,mse,0,0.1,6.634964,8.386723
0,mse,0,0.15,10.630519,7.415826
0,mae,1,0.05,7.089361,12.731212
0,mae,1,0.075,8.34034,12.375288
0,mae,1,0.1,8.453989,12.217155
0,mae,1,0.15,9.501492,10.990135
0,mse,1,0.05,5.490822,11.006091
0,mse,1,0.075,6.501975,10.822455
0,mse,1,0.1,6.736506,10.666018
0,mse,1,0.15,8.998351,8.219131
0,mae,2,0.05,6.674812,13.115883
0,mae,2,0.075,7.033551,12.374226
0,mae,2,0.1,7.778258,12.228794
0,mae,2,0.15,8.93206,10.909966
0,mse,2,0.05,5.300984,11.743073
0,mse,2,0.075,5.417301,10.558165
0,mse,2,0.1,6.061916,10.465319
0,mse,2,0.15,7.996978,7.961362
0,mae,3,0.05,6.06348,12.85884
0,mae,3,0.075,7.02748,12.272494
0,mae,3,0.1,8.050981,11.977678
0,mae,3,0.15,8.021113,11.130375
0,mse,3,0.05,4.422302,11.17568
0,mse,3,0.075,5.378711,10.422594
0,mse,3,0.1,6.19611,10.066119
0,mse,3,0.15,6.082977,8.373625
0,mae,4,0.05,6.984048,12.881552
0,mae,4,0.075,7.125165,12.453469
0,mae,4,0.1,7.76792,11.941964
0,mae,4,0.15,8.840206,11.062216
0,mse,4,0.05,5.458682,11.288912
0,mse,4,0.075,5.44776,10.842203
0,mse,4,0.1,5.912883,10.099508
0,mse,4,0.15,6.924938,8.390522
0,mae,5,0.05,7.056191,12.935131
0,mae,5,0.075,8.148201,12.459301
0,mae,5,0.1,9.448961,12.566948
0,mae,5,0.15,10.08552,10.948343
0,mse,5,0.05,5.096765,11.487968
0,mse,5,0.075,6.595105,10.869028
0,mse,5,0.1,7.801413,10.878675
0,mse,5,0.15,9.518776,8.168663
0,mae,6,0.05,7.477559,13.140282
0,mae,6,0.075,8.640614,12.792694
0,mae,6,0.1,9.024197,12.608692
0,mae,6,0.15,11.245164,11.325438
0,mse,6,0.05,5.519855,11.755018
0,mse,6,0.075,6.990711,10.908178
0,mse,6,0.1,7.269362,10.805144
0,mse,6,0.15,11.378356,8.842807
0,mae,7,0.05,7.521024,13.388296
0,mae,7,0.075,8.767646,12.805782
0,mae,7,0.1,9.489679,12.702457
0,mae,7,0.15,10.479048,11.559141
0,mse,7,0.05,5.559643,12.050228
0,mse,7,0.075,7.152208,11.395248
0,mse,7,0.1,7.71413,11.027464
0,mse,7,0.15,9.21661,9.544599
0,mae,8,0.05,6.547254,13.083984
0,mae,8,0.075,8.257463,12.792891
0,mae,8,0.1,8.753987,12.443349
0,mae,8,0.15,10.274405,12.033393
0,mse,8,0.05,4.79776,11.247084
0,mse,8,0.075,6.454142,11.19084
0,mse,8,0.1,7.168685,10.632313
0,mse,8,0.15,9.126459,9.957082
0,mae,9,0.05,6.263082,12.712699
0,mae,9,0.075,8.068621,12.515126
0,mae,9,0.1,9.443532,12.243074
0,mae,9,0.15,9.962074,11.60926
0,mse,9,0.05,4.86061,11.031747
0,mse,9,0.075,6.613298,11.006701
0,mse,9,0.1,8.046985,10.372724
0,mse,9,0.15,9.013351,9.220509
0,mae,10,0.05,6.220974,13.086806
0,mae,10,0.075,8.582506,12.804159
0,mae,10,0.1,8.954371,12.803952
0,mae,10,0.15,10.025678,12.18619
0,mse,10,0.05,4.203057,11.698124
0,mse,10,0.075,7.045457,11.146228
0,mse,10,0.1,7.434334,11.190565
0,mse,10,0.15,8.748346,9.963996
0,mae,11,0.05,6.702332,12.845284
0,mae,11,0.075,7.92748,12.734205
0,mae,11,0.1,8.654055,12.669346
0,mae,11,0.15,10.466567,12.401545
0,mse,11,0.05,5.18065,11.289808
0,mse,11,0.075,6.224835,11.378016
