batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.62617,14.533075
0,mae,0,0.075,4.450607,14.464438
0,mae,0,0.1,5.40742,14.121166
0,mae,0,0.15,6.611468,13.902632
0,mse,0,0.05,1.227774,13.250557
0,mse,0,0.075,1.644757,12.928929
0,mse,0,0.1,2.365843,12.273677
0,mse,0,0.15,3.739022,12.161215
0,mae,1,0.05,2.958855,15.197911
0,mae,1,0.075,4.047962,15.03514
0,mae,1,0.1,4.842362,15.163472
0,mae,1,0.15,5.817243,16.276094
0,mse,1,0.05,0.897188,14.235929
0,mse,1,0.075,1.431315,13.705798
0,mse,1,0.1,1.966773,14.124032
0,mse,1,0.15,2.578788,15.922056
0,mae,2,0.05,3.204685,14.820004
0,mae,2,0.075,4.315929,15.261219
0,mae,2,0.1,4.526068,15.061965
0,mae,2,0.15,5.827075,15.986492
0,mse,2,0.05,1.011842,13.886977
0,mse,2,0.075,1.701409,14.564865
0,mse,2,0.1,1.772792,13.86692
0,mse,2,0.15,2.707329,14.854802
0,mae,3,0.05,2.640768,16.127182
0,mae,3,0.075,3.470186,16.746338
0,mae,3,0.1,4.046403,16.608545
0,mae,3,0.15,4.84381,17.154938
0,mse,3,0.05,0.697396,16.036207
0,mse,3,0.075,1.182974,17.318714
0,mse,3,0.1,1.564823,16.991844
0,mse,3,0.15,2.019232,17.488619
0,mae,4,0.05,2.896634,15.423952
0,mae,4,0.075,3.946768,16.030031
0,mae,4,0.1,4.292729,15.965221
0,mae,4,0.15,6.361205,16.360043
0,mse,4,0.05,0.856794,14.556761
0,mse,4,0.075,1.504638,15.316431
0,mse,4,0.1,1.663174,15.243105
0,mse,4,0.15,4.145777,15.63081
0,mae,5,0.05,3.148759,15.684868
0,mae,5,0.075,3.714879,15.983171
0,mae,5,0.1,4.198165,16.270172
0,mae,5,0.15,5.190304,16.479397
0,mse,5,0.05,1.068874,14.666131
0,mse,5,0.075,1.490451,15.206707
0,mse,5,0.1,1.75542,15.613802
0,mse,5,0.15,2.444762,15.853136
0,mae,6,0.05,3.553719,15.935506
0,mae,6,0.075,4.507109,16.317684
0,mae,6,0.1,4.904324,16.444908
0,mae,6,0.15,5.001601,17.536915
0,mse,6,0.05,1.546546,15.241829
0,mse,6,0.075,1.989635,15.876628
0,mse,6,0.1,2.241357,16.21442
0,mse,6,0.15,2.302295,18.112423
0,mae,7,0.05,3.573936,14.981222
0,mae,7,0.075,4.286441,15.817729
0,mae,7,0.1,4.934907,16.971209
0,mae,7,0.15,5.27231,17.473673
0,mse,7,0.05,1.293515,13.699667
0,mse,7,0.075,1.740049,14.841881
0,mse,7,0.1,2.116964,16.764727
0,mse,7,0.15,2.376968,17.839745
0,mae,8,0.05,3.051605,15.555437
0,mae,8,0.075,4.329458,15.89896
0,mae,8,0.1,4.55265,16.401903
0,mae,8,0.15,5.353729,16.963181
0,mse,8,0.05,0.95222,14.573631
0,mse,8,0.075,1.714338,14.680264
0,mse,8,0.1,1.938828,15.428946
0,mse,8,0.15,2.305829,16.157299
0,mae,9,0.05,2.598114,15.447855
0,mae,9,0.075,3.654078,15.826251
0,mae,9,0.1,4.113855,16.329964
0,mae,9,0.15,4.628579,16.903131
0,mse,9,0.05,0.74011,14.686723
0,mse,9,0.075,1.434567,14.944803
0,mse,9,0.1,1.780648,15.453681
0,mse,9,0.15,2.086587,16.430099
0,mae,10,0.05,3.076817,14.393312
0,mae,10,0.075,3.645027,14.24893
0,mae,10,0.1,3.981973,14.508453
0,mae,10,0.15,4.681629,15.479672
0,mse,10,0.05,1.122976,12.930358
0,mse,10,0.075,1.410948,12.748806
0,mse,10,0.1,1.496847,13.03004
0,mse,10,0.15,1.966355,14.447055
0,mae,11,0.05,3.363545,14.536593
0,mae,11,0.075,4.102979,14.816093
0,mae,11,0.1,4.311868,15.180923
0,mae,11,0.15,4.980264,15.407026
0,mse,11,0.05,0.989938,13.002255
0,mse,11,0.075,1.401344,13.080542
0,mse,11,0.1,1.598592,13.734735
0,mse,11,0.15,2.128012,14.015471
0,mae,12,0.05,3.008307,14.445524
0,mae,12,0.075,4.151459,15.149522
0,mae,12,0.1,4.357043,15.496367
0,mae,12,0.15,5.79166,15.908869
0,mse,12,0.05,0.921078,12.670077
0,mse,12,0.075,1.798696,13.766079
