batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.920569,16.402573
0,mae,0,0.075,6.760203,16.148666
0,mae,0,0.1,7.01298,15.883539
0,mae,0,0.15,7.462312,15.358735
0,mse,0,0.05,4.5383,16.11846
0,mse,0,0.075,5.433631,15.689573
0,mse,0,0.1,5.47535,15.126562
0,mse,0,0.15,5.900169,14.395668
0,mae,1,0.05,6.384979,16.370865
0,mae,1,0.075,7.071532,16.462797
0,mae,1,0.1,7.391223,16.091152
0,mae,1,0.15,8.003082,15.768984
0,mse,1,0.05,5.229504,16.077127
0,mse,1,0.075,5.763497,16.318222
0,mse,1,0.1,6.072015,15.649893
0,mse,1,0.15,6.275316,15.088861
0,mae,2,0.05,6.280005,16.502808
0,mae,2,0.075,6.547555,16.824322
0,mae,2,0.1,7.677935,16.65332
0,mae,2,0.15,8.326242,16.820129
0,mse,2,0.05,4.895347,16.177944
0,mse,2,0.075,5.126094,16.730768
0,mse,2,0.1,6.292357,16.399872
0,mse,2,0.15,6.653549,17.003601
0,mae,3,0.05,6.127134,16.669735
0,mae,3,0.075,6.919611,16.656239
0,mae,3,0.1,7.407889,16.893021
0,mae,3,0.15,7.853358,16.725653
0,mse,3,0.05,4.790302,16.593296
0,mse,3,0.075,5.241647,16.457478
0,mse,3,0.1,5.852573,17.04105
0,mse,3,0.15,6.19118,16.578512
0,mae,4,0.05,6.260983,16.34408
0,mae,4,0.075,6.973583,16.371008
0,mae,4,0.1,7.431928,16.633322
0,mae,4,0.15,7.864644,16.635624
0,mse,4,0.05,4.885392,15.965364
0,mse,4,0.075,5.539886,16.051725
0,mse,4,0.1,6.141179,16.412992
0,mse,4,0.15,6.335073,16.337505
0,mae,5,0.05,6.329812,16.588085
0,mae,5,0.075,6.479173,16.264462
0,mae,5,0.1,6.619437,16.333687
0,mae,5,0.15,7.70811,16.352291
0,mse,5,0.05,5.053733,16.486681
0,mse,5,0.075,4.985431,15.843981
0,mse,5,0.1,5.083932,16.163132
0,mse,5,0.15,6.137489,15.846182
0,mae,6,0.05,5.933914,16.219017
0,mae,6,0.075,6.454157,16.193087
0,mae,6,0.1,6.830288,16.408409
0,mae,6,0.15,7.649551,16.15189
0,mse,6,0.05,4.64155,16.002365
0,mse,6,0.075,4.902761,15.820615
0,mse,6,0.1,5.112854,16.018017
0,mse,6,0.15,5.912742,15.636343
0,mae,7,0.05,5.843157,16.272669
0,mae,7,0.075,6.6734,16.440647
0,mae,7,0.1,7.326683,16.30835
0,mae,7,0.15,8.292119,16.644665
0,mse,7,0.05,4.434804,15.890403
0,mse,7,0.075,5.025002,15.925728
0,mse,7,0.1,5.781687,15.920994
0,mse,7,0.15,6.482003,16.478374
0,mae,8,0.05,6.057758,16.557642
0,mae,8,0.075,6.526989,16.889759
0,mae,8,0.1,7.33618,17.119656
0,mae,8,0.15,8.643944,17.071667
0,mse,8,0.05,4.508196,16.350155
0,mse,8,0.075,5.055521,16.717907
0,mse,8,0.1,5.650782,16.9585
0,mse,8,0.15,6.787387,16.907738
0,mae,9,0.05,6.037747,16.750549
0,mae,9,0.075,6.809099,16.836714
0,mae,9,0.1,7.179603,16.648195
0,mae,9,0.15,8.714725,17.020597
0,mse,9,0.05,4.300634,16.83321
0,mse,9,0.075,5.131026,16.802837
0,mse,9,0.1,5.530203,16.377623
0,mse,9,0.15,7.376217,16.890163
0,mae,10,0.05,5.914425,16.677944
0,mae,10,0.075,6.453557,16.158321
0,mae,10,0.1,6.968807,16.007607
0,mae,10,0.15,8.65316,16.284641
0,mse,10,0.05,4.268694,16.762552
0,mse,10,0.075,4.271083,16.082207
0,mse,10,0.1,5.16919,15.786585
0,mse,10,0.15,6.910491,16.109745
0,mae,11,0.05,5.741339,16.423462
0,mae,11,0.075,6.227181,16.035385
0,mae,11,0.1,6.258528,15.794168
0,mae,11,0.15,7.56921,15.882354
0,mse,11,0.05,4.288215,16.557928
0,mse,11,0.075,4.175174,16.028915
0,mse,11,0.1,3.87885,15.468861
0,mse,11,0.15,5.588895,15.675592
0,mae,12,0.05,5.870092,16.505026
0,mae,12,0.075,6.73896,16.195925
0,mae,12,0.1,7.26207,15.547024
0,mae,12,0.15,8.525021,15.88268
0,mse,12,0.05,4.46999,16.197975
0,mse,12,0.075,4.811174,15.795862
0,mse,12,0.1,4.998809,14.839048
0,mse,12,0.15,6.771631,15.458617
0,mae,13,0.05,5.860128,16.624016
0,mae,13,0.075,6.035714,16.546225
0,mae,13,0.1,6.702515,16.685747
0,mae,13,0.15,7.245621,16.407097
0,mse,13,0.05,4.300269,16.486769
0,mse,13,0.075,3.857243,16.41423
0,mse,13,0.1,4.877923,16.593201
0,mse,13,0.15,5.159009,16.756199
0,mae,14,0.05,5.348994,16.396656
0,mae,14,0.075,6.004415,16.637447
0,mae,14,0.1,6.215638,16.631851
0,mae,14,0.15,7.319248,16.996986
0,mse,14,0.05,4.082644,16.242146
0,mse,14,0.075,4.057882,16.6789
0,mse,14,0.1,3.952734,16.704853
0,mse,14,0.15,6.051734,17.522631
0,mae,15,0.05,5.494967,16.396095
0,mae,15,0.075,5.943784,16.6131
0,mae,15,0.1,6.417231,16.243532
0,mae,15,0.15,7.520988,16.211458
0,mse,15,0.05,3.97563,16.417305
0,mse,15,0.075,3.810932,16.704576
0,mse,15,0.1,4.158879,16.073082
0,mse,15,0.15,6.276618,16.158089
0,mae,16,0.05,4.645156,16.155285
0,mae,16,0.075,6.048352,16.403591
0,mae,16,0.1,6.478703,17.19146
0,mae,16,0.15,7.709074,16.572662
0,mse,16,0.05,3.122515,15.942244
0,mse,16,0.075,4.131976,16.35078
0,mse,16,0.1,4.245618,17.546829
0,mse,16,0.15,6.010052,16.642805
0,mae,17,0.05,4.968781,16.122299
0,mae,17,0.075,6.564935,16.728695
0,mae,17,0.1,6.390045,16.872683
0,mae,17,0.15,7.035167,16.16773
0,mse,17,0.05,3.680368,15.958447
0,mse,17,0.075,4.958047,16.597761
0,mse,17,0.1,4.027473,17.080544
0,mse,17,0.15,4.71057,15.874599
0,mae,18,0.05,4.762787,16.315384
0,mae,18,0.075,6.678456,16.840666
0,mae,18,0.1,6.767226,17.058264
0,mae,18,0.15,7.641206,16.717674
0,mse,18,0.05,3.474543,16.259163
0,mse,18,0.075,5.332808,16.88249
0,mse,18,0.1,5.204528,17.308102
0,mse,18,0.15,5.972439,17.312378
0,mae,19,0.05,5.225691,16.460793
0,mae,19,0.075,5.962049,16.732826
0,mae,19,0.1,6.757022,16.187183
0,mae,19,0.15,7.674551,16.208281
0,mse,19,0.05,3.716388,16.540583
0,mse,19,0.075,3.89197,16.706484
0,mse,19,0.1,5.210601,15.95927
0,mse,19,0.15,6.360854,16.379524
0,mae,20,0.05,4.57595,16.798904
0,mae,20,0.075,5.932631,16.407612
0,mae,20,0.1,6.443268,16.481892
0,mae,20,0.15,8.200845,16.835274
0,mse,20,0.05,3.373731,16.744232
0,mse,20,0.075,4.46876,16.217083
0,mse,20,0.1,5.10372,16.719433
0,mse,20,0.15,7.438078,17.705326
0,mae,21,0.05,4.151038,16.616295
0,mae,21,0.075,5.966559,16.658253
0,mae,21,0.1,6.724761,16.734818
0,mae,21,0.15,7.488791,17.004169
0,mse,21,0.05,2.902867,16.654764
0,mse,21,0.075,4.172616,16.784313
0,mse,21,0.1,5.344372,17.025791
0,mse,21,0.15,6.376015,17.933855
0,mae,22,0.05,5.603071,16.700853
0,mae,22,0.075,6.63741,16.154446
0,mae,22,0.1,6.888566,15.953334
0,mae,22,0.15,8.249673,16.210747
0,mse,22,0.05,4.539919,16.607847
0,mse,22,0.075,5.186874,15.935291
0,mse,22,0.1,5.584635,15.94536
0,mse,22,0.15,7.140324,16.30035
0,mae,23,0.05,5.624356,16.207277
0,mae,23,0.075,6.58092,15.767775
0,mae,23,0.1,7.129471,15.537586
0,mae,23,0.15,8.409798,15.901481
0,mse,23,0.05,4.501599,16.014673
0,mse,23,0.075,5.115767,15.298334
0,mse,23,0.1,5.65614,14.937828
0,mse,23,0.15,6.954223,15.754009
1,mae,0,0.05,7.818114,21.170883
1,mae,0,0.075,9.837725,20.548473
1,mae,0,0.1,11.030296,20.267792
1,mae,0,0.15,12.152912,19.213787
1,mse,0,0.05,6.537978,27.801727
1,mse,0,0.075,8.34985,26.402714
1,mse,0,0.1,10.236576,26.466908
1,mse,0,0.15,11.332884,24.022949
1,mae,1,0.05,8.029945,21.492605
1,mae,1,0.075,10.173126,20.203085
1,mae,1,0.1,10.974411,20.060074
1,mae,1,0.15,11.856428,19.505615
1,mse,1,0.05,6.931231,28.760315
1,mse,1,0.075,9.20632,26.468082
1,mse,1,0.1,9.79724,26.124321
1,mse,1,0.15,10.943644,25.101583
1,mae,2,0.05,7.846817,21.726677
1,mae,2,0.075,10.787439,20.570892
1,mae,2,0.1,11.543648,20.56303
1,mae,2,0.15,12.558773,19.267481
1,mse,2,0.05,6.804841,29.254328
1,mse,2,0.075,9.850107,26.657654
1,mse,2,0.1,11.010767,26.533056
1,mse,2,0.15,12.583183,24.000175
1,mae,3,0.05,8.545465,21.438078
1,mae,3,0.075,10.029762,20.525784
1,mae,3,0.1,11.419712,20.23716
1,mae,3,0.15,12.412785,19.636459
1,mse,3,0.05,7.512818,29.170101
1,mse,3,0.075,9.096972,27.31967
1,mse,3,0.1,10.764551,26.20652
1,mse,3,0.15,12.141731,24.798214
1,mae,4,0.05,8.129453,21.349478
1,mae,4,0.075,10.289753,20.824192
1,mae,4,0.1,11.009178,20.33889
1,mae,4,0.15,12.243734,19.326406
1,mse,4,0.05,7.203895,28.848938
1,mse,4,0.075,9.426389,27.332354
1,mse,4,0.1,10.381292,26.002714
1,mse,4,0.15,12.205746,24.049862
1,mae,5,0.05,7.802464,21.589417
1,mae,5,0.075,9.61073,20.800697
1,mae,5,0.1,9.829666,20.704136
1,mae,5,0.15,11.332012,19.739281
1,mse,5,0.05,7.138067,29.026997
1,mse,5,0.075,8.640596,27.69849
1,mse,5,0.1,8.70155,27.529926
1,mse,5,0.15,10.93784,25.437504
1,mae,6,0.05,7.45271,21.590483
1,mae,6,0.075,9.226957,20.824076
1,mae,6,0.1,10.249607,20.480282
1,mae,6,0.15,11.559981,19.036488
1,mse,6,0.05,6.174821,28.966045
1,mse,6,0.075,7.537373,27.708218
1,mse,6,0.1,9.255342,26.692755
1,mse,6,0.15,11.269397,23.655119
1,mae,7,0.05,7.225271,21.504114
1,mae,7,0.075,9.491386,20.58181
1,mae,7,0.1,10.834105,20.368095
1,mae,7,0.15,12.626373,19.595985
1,mse,7,0.05,5.763775,28.689632
1,mse,7,0.075,8.028527,26.918667
1,mse,7,0.1,10.264954,26.30938
1,mse,7,0.15,13.783377,24.732719
1,mae,8,0.05,6.997908,21.381332
1,mae,8,0.075,9.66759,20.387733
1,mae,8,0.1,10.671245,19.937981
1,mae,8,0.15,11.996382,19.36797
1,mse,8,0.05,5.534519,28.519878
1,mse,8,0.075,8.544653,26.98308
1,mse,8,0.1,9.792653,25.783251
1,mse,8,0.15,12.146069,24.135447
1,mae,9,0.05,7.385268,21.44529
1,mae,9,0.075,9.668416,20.410673
1,mae,9,0.1,11.219656,19.93454
1,mae,9,0.15,13.62458,19.627426
1,mse,9,0.05,5.897983,28.476486
1,mse,9,0.075,8.860847,26.314013
1,mse,9,0.1,10.376309,25.026514
1,mse,9,0.15,15.008873,24.572117
1,mae,10,0.05,7.352005,21.173384
1,mae,10,0.075,10.040339,20.265965
1,mae,10,0.1,11.809965,20.101185
1,mae,10,0.15,13.083489,19.747301
1,mse,10,0.05,5.479456,28.449505
1,mse,10,0.075,8.713332,26.548492
1,mse,10,0.1,11.07634,26.006851
1,mse,10,0.15,13.602365,24.985481
1,mae,11,0.05,7.748089,21.51075
1,mae,11,0.075,9.441806,20.726948
1,mae,11,0.1,10.537754,20.113062
1,mae,11,0.15,12.47283,19.421242
1,mse,11,0.05,5.829301,29.023661
1,mse,11,0.075,7.500178,26.795483
1,mse,11,0.1,8.871918,25.456501
1,mse,11,0.15,12.227507,24.601109
1,mae,12,0.05,8.43873,21.098583
1,mae,12,0.075,10.877165,19.949688
1,mae,12,0.1,12.895556,19.648924
1,mae,12,0.15,15.605358,18.433603
1,mse,12,0.05,6.713078,28.314339
1,mse,12,0.075,10.36737,24.887632
1,mse,12,0.1,13.29756,24.237917
1,mse,12,0.15,17.996227,21.474667
1,mae,13,0.05,8.4977,20.582926
1,mae,13,0.075,10.791935,19.759388
1,mae,13,0.1,12.188107,19.158548
1,mae,13,0.15,14.732082,17.932699
