batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.606673,15.812594
0,mae,0,0.075,6.864686,16.40274
0,mae,0,0.1,7.423407,16.571148
0,mae,0,0.15,8.096316,17.51746
0,mse,0,0.05,2.713087,14.813319
0,mse,0,0.075,3.536791,16.012405
0,mse,0,0.1,3.957074,16.291986
0,mse,0,0.15,4.727345,18.128685
0,mae,1,0.05,5.923994,16.44635
0,mae,1,0.075,7.028493,17.182201
0,mae,1,0.1,7.690062,17.74254
0,mae,1,0.15,8.892153,18.765745
0,mse,1,0.05,2.928252,16.051043
0,mse,1,0.075,3.754299,17.377567
0,mse,1,0.1,4.350715,18.359112
0,mse,1,0.15,5.493158,20.274664
0,mae,2,0.05,6.126724,16.468193
0,mae,2,0.075,7.046394,17.771252
0,mae,2,0.1,7.486264,19.046593
0,mae,2,0.15,8.256218,20.037458
0,mse,2,0.05,3.043114,16.503357
0,mse,2,0.075,3.830455,18.643744
0,mse,2,0.1,4.269466,20.733074
0,mse,2,0.15,5.061802,22.954189
0,mae,3,0.05,5.902951,17.069283
0,mae,3,0.075,6.813677,18.095951
0,mae,3,0.1,7.204556,18.784174
0,mae,3,0.15,7.894986,19.944443
0,mse,3,0.05,2.856884,17.216305
0,mse,3,0.075,3.557586,19.221016
0,mse,3,0.1,3.934697,20.480782
0,mse,3,0.15,4.747385,23.036705
0,mae,4,0.05,5.619492,16.981274
0,mae,4,0.075,6.370573,18.46125
0,mae,4,0.1,6.736331,19.15597
0,mae,4,0.15,7.33241,20.912434
0,mse,4,0.05,2.753608,16.914707
0,mse,4,0.075,3.36278,19.899826
0,mse,4,0.1,3.671934,21.379498
0,mse,4,0.15,4.19555,24.479889
0,mae,5,0.05,5.212491,16.769499
0,mae,5,0.075,6.166159,17.886206
0,mae,5,0.1,6.572581,18.732517
0,mae,5,0.15,7.437273,20.511374
0,mse,5,0.05,2.51121,16.381935
0,mse,5,0.075,3.181109,18.900856
0,mse,5,0.1,3.408042,20.438328
0,mse,5,0.15,4.273419,23.399025
0,mae,6,0.05,5.456093,16.826311
0,mae,6,0.075,6.535771,18.255718
0,mae,6,0.1,6.94,18.950464
0,mae,6,0.15,7.344197,20.729214
0,mse,6,0.05,2.637752,16.689774
0,mse,6,0.075,3.402844,19.241886
0,mse,6,0.1,3.743473,20.266081
0,mse,6,0.15,4.14129,23.730661
0,mae,7,0.05,5.785729,17.09548
0,mae,7,0.075,6.976326,18.473495
0,mae,7,0.1,7.407284,19.372267
0,mae,7,0.15,8.025925,20.845512
0,mse,7,0.05,2.800355,17.258427
0,mse,7,0.075,3.671287,19.533346
0,mse,7,0.1,4.088892,21.280462
0,mse,7,0.15,4.800042,23.815952
0,mae,8,0.05,5.993613,17.35743
0,mae,8,0.075,7.052963,18.511114
0,mae,8,0.1,7.753297,19.104095
0,mae,8,0.15,8.442223,21.202587
0,mse,8,0.05,2.916301,17.874546
0,mse,8,0.075,3.748197,19.764862
0,mse,8,0.1,4.346883,20.646103
0,mse,8,0.15,5.175432,24.925814
0,mae,9,0.05,5.854878,16.978931
0,mae,9,0.075,7.055285,18.324516
0,mae,9,0.1,7.510493,19.20887
0,mae,9,0.15,8.463584,21.117512
0,mse,9,0.05,2.723805,17.404016
0,mse,9,0.075,3.709767,19.476448
0,mse,9,0.1,4.100886,20.859282
0,mse,9,0.15,5.213966,25.114819
0,mae,10,0.05,6.204994,16.800423
0,mae,10,0.075,7.167023,17.735144
0,mae,10,0.1,7.765412,18.976562
0,mae,10,0.15,8.643633,20.237122
0,mse,10,0.05,2.803521,17.100973
0,mse,10,0.075,3.582442,18.541315
0,mse,10,0.1,4.180423,20.767673
0,mse,10,0.15,5.204738,23.684879
0,mae,11,0.05,5.826031,16.400383
0,mae,11,0.075,7.035269,17.051907
0,mae,11,0.1,7.278625,18.231001
0,mae,11,0.15,8.211023,19.220573
0,mse,11,0.05,2.721384,16.426662
0,mse,11,0.075,3.725913,17.42342
0,mse,11,0.1,4.105155,19.329975
0,mse,11,0.15,5.012266,21.210716
0,mae,12,0.05,6.176983,16.383144
0,mae,12,0.075,7.489872,17.711926
0,mae,12,0.1,7.729323,18.51206
0,mae,12,0.15,8.481899,20.12693
0,mse,12,0.05,3.18047,15.898283
0,mse,12,0.075,4.476344,18.225929
0,mse,12,0.1,4.971476,19.78454
0,mse,12,0.15,5.505913,22.58754
0,mae,13,0.05,5.510749,16.899586
0,mae,13,0.075,6.985481,17.873985
0,mae,13,0.1,7.651017,18.718082
0,mae,13,0.15,8.482913,19.852364
0,mse,13,0.05,2.573313,16.827454
