batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,14.889172,9.988522
0,mae,0,0.075,16.16806,9.108553
0,mae,0,0.1,16.670057,8.433188
0,mae,0,0.15,16.092978,8.036619
0,mse,0,0.05,19.487213,7.743359
0,mse,0,0.075,21.101925,6.935061
0,mse,0,0.1,21.119671,6.397707
0,mse,0,0.15,18.170637,5.986154
0,mae,1,0.05,14.362689,10.106471
0,mae,1,0.075,15.349766,9.402473
0,mae,1,0.1,16.007689,8.942177
0,mae,1,0.15,17.188801,7.612267
0,mse,1,0.05,18.7155,8.154367
0,mse,1,0.075,18.870502,7.210648
0,mse,1,0.1,19.303257,6.40093
0,mse,1,0.15,20.176872,5.189608
0,mae,2,0.05,14.430508,9.975994
0,mae,2,0.075,15.22852,9.328966
0,mae,2,0.1,15.228896,9.182524
0,mae,2,0.15,15.851244,7.918759
0,mse,2,0.05,18.407959,7.682278
0,mse,2,0.075,19.156612,6.850325
0,mse,2,0.1,18.224695,6.880507
0,mse,2,0.15,17.525246,5.403984
0,mae,3,0.05,14.861996,9.942537
0,mae,3,0.075,15.311262,9.478567
0,mae,3,0.1,15.295071,8.952553
0,mae,3,0.15,16.443636,8.617018
0,mse,3,0.05,19.695431,7.815742
0,mse,3,0.075,19.659039,7.091421
0,mse,3,0.1,19.002777,6.280881
0,mse,3,0.15,19.646801,6.32505
0,mae,4,0.05,15.182838,10.297024
0,mae,4,0.075,15.775299,9.549931
0,mae,4,0.1,15.769068,8.739872
0,mae,4,0.15,15.412667,7.802821
0,mse,4,0.05,20.64485,8.238875
0,mse,4,0.075,20.934769,7.420213
0,mse,4,0.1,20.338715,6.265952
0,mse,4,0.15,18.601801,5.309307
0,mae,5,0.05,14.201311,10.474197
0,mae,5,0.075,15.117129,9.355003
0,mae,5,0.1,15.617538,8.944848
0,mae,5,0.15,15.885292,7.568277
0,mse,5,0.05,18.867357,8.476043
0,mse,5,0.075,19.007788,7.327498
0,mse,5,0.1,19.653788,6.448662
0,mse,5,0.15,19.310478,4.806376
0,mae,6,0.05,14.65064,10.423204
0,mae,6,0.075,15.949065,9.363132
0,mae,6,0.1,15.66641,8.50861
0,mae,6,0.15,15.958908,7.4774
0,mse,6,0.05,18.908226,8.25931
0,mse,6,0.075,20.113064,7.08463
0,mse,6,0.1,19.184776,6.260599
0,mse,6,0.15,18.583191,5.005267
0,mae,7,0.05,15.408128,10.526911
0,mae,7,0.075,15.695664,9.213148
0,mae,7,0.1,15.454765,8.371992
0,mae,7,0.15,16.286751,7.532241
0,mse,7,0.05,19.74184,8.33033
0,mse,7,0.075,19.074554,6.814442
0,mse,7,0.1,18.362663,5.747402
0,mse,7,0.15,18.825243,5.099448
0,mae,8,0.05,14.530105,10.34894
0,mae,8,0.075,15.929871,9.236557
0,mae,8,0.1,16.537537,8.496677
0,mae,8,0.15,16.011021,7.668159
0,mse,8,0.05,18.119658,8.231554
0,mse,8,0.075,19.25242,6.957077
0,mse,8,0.1,21.084898,6.059382
0,mse,8,0.15,18.853638,5.25892
0,mae,9,0.05,14.716769,10.093937
0,mae,9,0.075,15.999312,9.484447
0,mae,9,0.1,15.803993,8.506989
0,mae,9,0.15,16.31756,7.866864
0,mse,9,0.05,19.251284,7.961382
0,mse,9,0.075,20.830172,7.257996
0,mse,9,0.1,19.200451,6.31722
0,mse,9,0.15,19.309654,5.930236
0,mae,10,0.05,15.182057,10.116032
0,mae,10,0.075,15.863016,8.749081
0,mae,10,0.1,15.983274,8.46767
0,mae,10,0.15,16.662355,7.556818
0,mse,10,0.05,20.466583,7.899462
0,mse,10,0.075,20.855888,6.41463
0,mse,10,0.1,20.277298,6.220193
0,mse,10,0.15,19.810144,5.110233
0,mae,11,0.05,15.31896,10.00362
0,mae,11,0.075,15.598934,9.207813
0,mae,11,0.1,15.94127,8.895893
0,mae,11,0.15,16.442778,7.854899
0,mse,11,0.05,20.73951,7.902546
0,mse,11,0.075,20.545395,6.829293
0,mse,11,0.1,20.026611,6.543115
0,mse,11,0.15,19.014458,5.063088
0,mae,12,0.05,15.978436,9.92733
0,mae,12,0.075,16.037308,8.96846
0,mae,12,0.1,16.241451,8.513247
0,mae,12,0.15,17.553164,7.116551
0,mse,12,0.05,21.035042,7.605995
0,mse,12,0.075,19.429379,6.364039
0,mse,12,0.1,19.252386,6.123312
0,mse,12,0.15,21.365696,4.166709
0,mae,13,0.05,14.546075,9.442199
0,mae,13,0.075,15.152429,8.633098
0,mae,13,0.1,16.379948,8.019441
0,mae,13,0.15,16.601963,7.236471
0,mse,13,0.05,19.123297,7.168181
0,mse,13,0.075,18.300646,5.913245
0,mse,13,0.1,20.00218,5.103197
0,mse,13,0.15,19.518234,4.122507
0,mae,14,0.05,13.951993,9.894053
0,mae,14,0.075,15.000233,8.954374
0,mae,14,0.1,14.985828,8.633585
0,mae,14,0.15,16.424858,7.456476
0,mse,14,0.05,17.172707,7.488618
0,mse,14,0.075,18.554754,6.128406
0,mse,14,0.1,18.427368,5.658274
0,mse,14,0.15,20.221828,4.102383
0,mae,15,0.05,14.617662,10.213747
0,mae,15,0.075,16.049145,9.672132
0,mae,15,0.1,17.074091,8.973583
0,mae,15,0.15,16.678337,7.242429
0,mse,15,0.05,19.492912,7.648317
0,mse,15,0.075,20.977528,7.009194
0,mse,15,0.1,23.173353,6.217309
0,mse,15,0.15,21.432394,3.876358
0,mae,16,0.05,15.027938,10.183492
0,mae,16,0.075,16.841562,9.187847
0,mae,16,0.1,17.447527,8.705728
0,mae,16,0.15,17.089897,7.520799
0,mse,16,0.05,19.285282,7.819981
0,mse,16,0.075,22.8978,6.550274
0,mse,16,0.1,23.320232,5.964526
0,mse,16,0.15,21.935238,4.175993
0,mae,17,0.05,15.783645,9.976326
0,mae,17,0.075,16.790207,8.94841
0,mae,17,0.1,17.021391,8.400723
0,mae,17,0.15,16.65616,7.402409
0,mse,17,0.05,20.031818,7.536377
0,mse,17,0.075,21.716248,6.230184
0,mse,17,0.1,21.795788,5.560239
0,mse,17,0.15,20.384722,4.352247
0,mae,18,0.05,14.663758,10.165583
0,mae,18,0.075,16.359737,8.866739
0,mae,18,0.1,16.015312,8.221955
0,mae,18,0.15,15.801715,7.236602
0,mse,18,0.05,17.640173,7.687361
0,mse,18,0.075,20.679153,6.167511
0,mse,18,0.1,19.649807,5.166377
0,mse,18,0.15,18.646133,4.264617
0,mae,19,0.05,14.233217,9.870581
0,mae,19,0.075,15.926129,8.524453
0,mae,19,0.1,16.069408,8.109529
0,mae,19,0.15,16.496811,7.178657
0,mse,19,0.05,17.47764,7.240391
0,mse,19,0.075,19.591362,5.525572
0,mse,19,0.1,19.939253,4.992799
0,mse,19,0.15,19.434191,3.695878
0,mae,20,0.05,14.38418,10.005304
0,mae,20,0.075,16.047276,8.869721
0,mae,20,0.1,16.390957,8.485372
0,mae,20,0.15,16.664377,7.608146
0,mse,20,0.05,17.535843,7.366288
0,mse,20,0.075,20.01502,5.835752
0,mse,20,0.1,20.44416,5.432927
0,mse,20,0.15,21.026642,4.302892
0,mae,21,0.05,14.833377,10.306846
0,mae,21,0.075,15.789465,8.751997
0,mae,21,0.1,16.634911,8.166844
0,mae,21,0.15,16.674555,7.341032
0,mse,21,0.05,18.611206,7.643152
0,mse,21,0.075,19.801973,5.564155
0,mse,21,0.1,21.104954,4.839595
0,mse,21,0.15,21.002068,4.119413
0,mae,22,0.05,15.786191,9.869165
0,mae,22,0.075,16.930721,8.430807
0,mae,22,0.1,17.25507,7.782981
0,mae,22,0.15,17.06366,6.761008
0,mse,22,0.05,20.454113,7.223675
0,mse,22,0.075,22.024426,5.304597
0,mse,22,0.1,21.807518,4.487795
0,mse,22,0.15,21.314217,3.221711
0,mae,23,0.05,15.134275,10.018156
0,mae,23,0.075,16.456982,8.500488
0,mae,23,0.1,17.043394,7.940109
0,mae,23,0.15,17.526577,7.135717
0,mse,23,0.05,18.768389,7.454884
0,mse,23,0.075,20.42577,5.136462
0,mse,23,0.1,20.844477,4.597264
0,mse,23,0.15,21.611462,3.814893
1,mae,0,0.05,13.219313,21.75071
1,mae,0,0.075,14.74708,19.944117
1,mae,0,0.1,15.060968,19.752802
1,mae,0,0.15,16.658876,17.967093
1,mse,0,0.05,13.717657,31.345484
1,mse,0,0.075,16.295918,26.778519
1,mse,0,0.1,17.153099,27.348766
1,mse,0,0.15,19.648949,23.303059
1,mae,1,0.05,13.694796,21.742474
1,mae,1,0.075,14.647345,20.479946
1,mae,1,0.1,15.372869,19.76985
1,mae,1,0.15,16.796494,17.442949
1,mse,1,0.05,14.87219,31.113131
1,mse,1,0.075,17.161163,28.295322
1,mse,1,0.1,18.264284,26.506912
1,mse,1,0.15,19.673267,21.754181
1,mae,2,0.05,13.015089,22.408041
1,mae,2,0.075,13.766881,21.427624
