batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.517104,13.868193
0,mae,0,0.075,2.531888,13.925803
0,mae,0,0.1,3.243917,13.519672
0,mae,0,0.15,4.35217,13.213646
0,mse,0,0.05,0.25149,12.279707
0,mse,0,0.075,0.601917,12.242692
0,mse,0,0.1,0.922703,11.752594
0,mse,0,0.15,1.461295,11.127243
0,mae,1,0.05,2.095201,14.171709
0,mae,1,0.075,2.698653,14.065911
0,mae,1,0.1,3.076347,13.923731
0,mae,1,0.15,4.384765,13.801516
0,mse,1,0.05,0.427534,12.982624
0,mse,1,0.075,0.638159,12.724697
0,mse,1,0.1,0.821256,12.61931
0,mse,1,0.15,1.585036,12.170471
0,mae,2,0.05,1.4403,14.251678
0,mae,2,0.075,2.163332,14.459587
0,mae,2,0.1,2.737953,14.510008
0,mae,2,0.15,4.229694,14.425285
0,mse,2,0.05,0.228334,13.147537
0,mse,2,0.075,0.447586,13.335776
0,mse,2,0.1,0.748815,13.136063
0,mse,2,0.15,1.716349,12.950251
0,mae,3,0.05,2.007482,14.11363
0,mae,3,0.075,2.966058,14.081686
0,mae,3,0.1,3.359231,13.845408
0,mae,3,0.15,4.050379,13.911789
0,mse,3,0.05,0.554053,12.758952
0,mse,3,0.075,0.952072,12.728667
0,mse,3,0.1,1.181693,12.137465
0,mse,3,0.15,1.516312,12.22948
0,mae,4,0.05,1.823055,14.080421
0,mae,4,0.075,2.950261,13.647148
0,mae,4,0.1,3.257974,13.427475
0,mae,4,0.15,4.735297,12.944939
0,mse,4,0.05,0.381259,12.412436
0,mse,4,0.075,0.950643,11.754592
0,mse,4,0.1,1.108913,11.230463
0,mse,4,0.15,2.200942,10.566078
0,mae,5,0.05,1.86245,13.487766
0,mae,5,0.075,2.857628,13.027339
0,mae,5,0.1,3.209296,12.936949
0,mae,5,0.15,7.689826,12.225276
0,mse,5,0.05,0.364129,11.8064
0,mse,5,0.075,0.767574,11.038352
0,mse,5,0.1,0.904294,10.811337
0,mse,5,0.15,7.040924,9.548389
0,mae,6,0.05,2.007894,13.784571
0,mae,6,0.075,2.703445,13.930777
0,mae,6,0.1,3.323833,14.075868
0,mae,6,0.15,4.264774,13.98449
0,mse,6,0.05,0.40439,12.171316
0,mse,6,0.075,0.646649,12.607885
0,mse,6,0.1,0.935945,12.881798
0,mse,6,0.15,1.441721,12.664483
0,mae,7,0.05,2.247689,13.87716
0,mae,7,0.075,2.817279,13.428906
0,mae,7,0.1,3.415521,13.109663
0,mae,7,0.15,5.065257,13.427835
0,mse,7,0.05,0.542623,12.237748
0,mse,7,0.075,0.710239,11.497597
0,mse,7,0.1,0.995314,11.43469
0,mse,7,0.15,2.146601,11.638927
0,mae,8,0.05,1.545508,14.017035
0,mae,8,0.075,2.335893,13.642627
0,mae,8,0.1,3.109533,13.306835
0,mae,8,0.15,4.323292,12.988364
0,mse,8,0.05,0.281347,12.340059
0,mse,8,0.075,0.503789,11.944201
0,mse,8,0.1,0.826427,11.754784
0,mse,8,0.15,1.470282,11.231677
0,mae,9,0.05,2.354381,13.706017
0,mae,9,0.075,3.090978,13.410095
0,mae,9,0.1,3.034491,13.690595
0,mae,9,0.15,4.920062,13.162545
0,mse,9,0.05,0.580083,11.963036
0,mse,9,0.075,0.9393,11.62606
0,mse,9,0.1,0.798907,12.058507
0,mse,9,0.15,1.94204,11.336504
0,mae,10,0.05,1.750026,14.048883
0,mae,10,0.075,2.69338,13.616278
0,mae,10,0.1,3.172456,13.545322
0,mae,10,0.15,5.105873,13.369265
0,mse,10,0.05,0.301319,12.295998
0,mse,10,0.075,0.67592,11.879063
0,mse,10,0.1,0.880844,11.791377
0,mse,10,0.15,2.135877,11.423882
0,mae,11,0.05,1.743855,13.95154
0,mae,11,0.075,2.797513,13.747145
0,mae,11,0.1,3.198986,13.66312
0,mae,11,0.15,4.224164,13.500731
0,mse,11,0.05,0.302389,12.668203
0,mse,11,0.075,0.755286,12.446842
0,mse,11,0.1,0.985871,12.233229
0,mse,11,0.15,1.671856,11.820653
0,mae,12,0.05,1.698623,13.762865
0,mae,12,0.075,2.854253,13.600389
0,mae,12,0.1,3.346102,13.671731
0,mae,12,0.15,5.111534,13.537907
0,mse,12,0.05,0.290967,12.459713
0,mse,12,0.075,0.748612,12.082315
0,mse,12,0.1,1.131932,12.292294
0,mse,12,0.15,2.506568,12.027288
0,mae,13,0.05,1.694871,13.632254
0,mae,13,0.075,3.098869,13.57556
0,mae,13,0.1,3.432295,13.568156
0,mae,13,0.15,7.332438,12.211697
0,mse,13,0.05,0.284582,12.149669
0,mse,13,0.075,0.967172,12.066328
0,mse,13,0.1,1.169048,12.053273
0,mse,13,0.15,7.371376,10.025151
0,mae,14,0.05,1.43645,14.147879
0,mae,14,0.075,2.434911,14.090626
0,mae,14,0.1,3.059114,14.044753
0,mae,14,0.15,4.222879,14.072092
0,mse,14,0.05,0.168749,12.508632
0,mse,14,0.075,0.463176,12.52782
0,mse,14,0.1,0.782991,12.324493
0,mse,14,0.15,1.49748,12.434736
0,mae,15,0.05,1.932377,13.77555
0,mae,15,0.075,3.0854,13.479836
0,mae,15,0.1,3.493515,13.20801
0,mae,15,0.15,5.283843,13.034331
0,mse,15,0.05,0.335419,12.185144
0,mse,15,0.075,0.937256,11.869596
0,mse,15,0.1,0.940516,11.714832
0,mse,15,0.15,1.986839,11.369663
0,mae,16,0.05,1.198947,14.06777
0,mae,16,0.075,2.107613,13.862885
0,mae,16,0.1,3.104698,13.608675
0,mae,16,0.15,3.983264,13.323463
0,mse,16,0.05,0.127057,12.472252
0,mse,16,0.075,0.390101,11.926229
0,mse,16,0.1,0.801922,11.610653
0,mse,16,0.15,1.153797,11.594329
0,mae,17,0.05,2.343755,14.105881
