batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.368287,11.494164
0,mae,0,0.075,10.606776,10.610675
0,mae,0,0.1,10.554928,10.297718
0,mae,0,0.15,11.032246,9.315315
0,mse,0,0.05,6.703538,9.268179
0,mse,0,0.075,8.151853,8.070753
0,mse,0,0.1,7.673993,7.549876
0,mse,0,0.15,8.392412,6.363572
0,mae,1,0.05,9.991402,12.099648
0,mae,1,0.075,11.011791,11.565757
0,mae,1,0.1,11.710541,11.219525
0,mae,1,0.15,11.614035,9.934973
0,mse,1,0.05,7.422733,9.915588
0,mse,1,0.075,8.607483,9.366594
0,mse,1,0.1,9.527475,8.684691
0,mse,1,0.15,9.260088,7.098074
0,mae,2,0.05,9.777775,11.750613
0,mae,2,0.075,10.330083,11.043925
0,mae,2,0.1,11.28127,10.607914
0,mae,2,0.15,12.051184,9.58801
0,mse,2,0.05,7.267284,9.334563
0,mse,2,0.075,7.496854,8.574232
0,mse,2,0.1,8.649223,8.02239
0,mse,2,0.15,9.773597,6.851532
0,mae,3,0.05,9.401699,11.665435
0,mae,3,0.075,9.963812,11.048533
0,mae,3,0.1,10.862427,10.404406
0,mae,3,0.15,11.81711,9.367491
0,mse,3,0.05,6.581226,9.130413
0,mse,3,0.075,7.079554,8.524307
0,mse,3,0.1,7.893444,7.852021
0,mse,3,0.15,8.90152,6.761435
0,mae,4,0.05,9.639721,11.811179
0,mae,4,0.075,9.740644,10.970368
0,mae,4,0.1,10.118413,10.548355
0,mae,4,0.15,11.591003,9.18516
0,mse,4,0.05,7.0507,9.33279
0,mse,4,0.075,7.090049,8.286532
0,mse,4,0.1,7.047226,7.828759
0,mse,4,0.15,9.282569,6.423938
0,mae,5,0.05,9.59173,11.750961
0,mae,5,0.075,10.546603,10.522854
0,mae,5,0.1,10.882633,9.760983
0,mae,5,0.15,10.968884,9.009023
0,mse,5,0.05,7.240518,9.052485
0,mse,5,0.075,8.203075,7.486447
0,mse,5,0.1,8.553787,6.579613
0,mse,5,0.15,8.753826,5.739942
0,mae,6,0.05,9.052454,11.646897
0,mae,6,0.075,10.582226,10.412872
0,mae,6,0.1,10.754726,9.684211
0,mae,6,0.15,10.642656,9.064561
0,mse,6,0.05,6.214416,9.134989
0,mse,6,0.075,7.970697,7.082192
0,mse,6,0.1,8.264549,6.112626
0,mse,6,0.15,8.053753,5.284185
0,mae,7,0.05,8.860786,11.970609
0,mae,7,0.075,9.215288,11.490883
0,mae,7,0.1,8.982291,10.516282
0,mae,7,0.15,9.029417,8.843935
0,mse,7,0.05,5.93854,9.472611
0,mse,7,0.075,6.342553,8.709452
0,mse,7,0.1,6.046487,7.48092
0,mse,7,0.15,5.951444,5.437549
0,mae,8,0.05,9.378325,11.011829
0,mae,8,0.075,9.369116,10.309267
0,mae,8,0.1,9.948149,10.28793
0,mae,8,0.15,9.673354,9.066197
0,mse,8,0.05,7.176256,8.254059
0,mse,8,0.075,6.642857,7.644521
0,mse,8,0.1,7.539815,7.632958
0,mse,8,0.15,7.012652,5.975735
0,mae,9,0.05,9.810877,11.088433
0,mae,9,0.075,9.625031,10.30337
0,mae,9,0.1,9.707418,9.60644
0,mae,9,0.15,10.390092,8.045038
0,mse,9,0.05,7.889058,8.823051
0,mse,9,0.075,6.932206,7.730143
0,mse,9,0.1,7.003265,6.922446
0,mse,9,0.15,8.238718,4.907895
0,mae,10,0.05,9.58147,10.976084
0,mae,10,0.075,9.135321,10.561423
0,mae,10,0.1,9.923163,9.918164
0,mae,10,0.15,10.097908,8.468143
0,mse,10,0.05,6.962324,8.328484
0,mse,10,0.075,5.658871,7.847022
0,mse,10,0.1,6.794483,7.147096
0,mse,10,0.15,7.244277,5.421213
0,mae,11,0.05,8.049726,11.356957
0,mae,11,0.075,9.696791,10.145473
0,mae,11,0.1,9.763724,9.643478
0,mae,11,0.15,9.459635,9.175087
0,mse,11,0.05,5.143008,8.887086
0,mse,11,0.075,6.566386,7.256115
0,mse,11,0.1,6.736405,6.575384
0,mse,11,0.15,6.334255,6.203251
0,mae,12,0.05,9.572616,10.698627
0,mae,12,0.075,8.950926,10.051731
0,mae,12,0.1,8.968678,9.509977
0,mae,12,0.15,9.806782,8.394615
0,mse,12,0.05,6.633221,8.271614
0,mse,12,0.075,5.42263,7.333605
0,mse,12,0.1,5.488347,6.493642
0,mse,12,0.15,6.678417,5.086911
0,mae,13,0.05,9.204219,10.510763
0,mae,13,0.075,9.599238,9.451357
0,mae,13,0.1,9.842308,9.21955
0,mae,13,0.15,10.33466,8.656947
0,mse,13,0.05,6.434237,7.900691
0,mse,13,0.075,6.518598,6.389153
0,mse,13,0.1,7.090585,5.932584
0,mse,13,0.15,7.258369,5.105732
0,mae,14,0.05,8.591778,10.64432
0,mae,14,0.075,8.283211,10.175087
0,mae,14,0.1,8.562416,9.951891
0,mae,14,0.15,9.127611,8.617358
0,mse,14,0.05,5.887892,7.752364
0,mse,14,0.075,4.876924,7.430502
0,mse,14,0.1,5.14533,7.345002
0,mse,14,0.15,6.174105,5.504876
0,mae,15,0.05,8.125071,11.706081
0,mae,15,0.075,8.693916,11.015442
0,mae,15,0.1,9.453491,10.766728
0,mae,15,0.15,10.155206,8.870204
0,mse,15,0.05,5.523382,9.457285
0,mse,15,0.075,5.969193,8.495334
0,mse,15,0.1,6.53968,8.10776
0,mse,15,0.15,7.757962,5.474524
0,mae,16,0.05,8.638824,12.180596
0,mae,16,0.075,9.168213,11.297451
0,mae,16,0.1,9.077654,10.565825
0,mae,16,0.15,10.580368,9.423012
0,mse,16,0.05,6.040049,10.010183
0,mse,16,0.075,6.111577,8.729959
0,mse,16,0.1,6.026321,7.756217
0,mse,16,0.15,8.104442,6.14865
0,mae,17,0.05,8.767801,11.68029
0,mae,17,0.075,9.742304,10.953195
0,mae,17,0.1,9.921648,10.185711
0,mae,17,0.15,10.165456,9.209329
0,mse,17,0.05,6.019961,9.218844
0,mse,17,0.075,6.613358,8.07914
0,mse,17,0.1,6.824837,7.124058
0,mse,17,0.15,7.467084,5.602668
0,mae,18,0.05,9.580889,12.429272
0,mae,18,0.075,10.443193,10.678915
0,mae,18,0.1,10.498491,9.898844
0,mae,18,0.15,11.744289,8.975197
0,mse,18,0.05,7.361219,10.678399
0,mse,18,0.075,8.358822,8.048029
0,mse,18,0.1,9.040428,6.643332
0,mse,18,0.15,10.547947,5.367011
0,mae,19,0.05,9.164471,12.662336
0,mae,19,0.075,10.096049,11.359934
0,mae,19,0.1,10.499499,10.618726
0,mae,19,0.15,11.208774,8.490981
0,mse,19,0.05,6.434339,10.725206
0,mse,19,0.075,7.36606,9.159182
0,mse,19,0.1,8.312768,7.912583
0,mse,19,0.15,9.09763,4.906425
0,mae,20,0.05,8.604977,12.780096
0,mae,20,0.075,9.48945,11.185511
0,mae,20,0.1,9.624454,10.589394
0,mae,20,0.15,11.901363,8.678919
0,mse,20,0.05,5.859997,10.81075
0,mse,20,0.075,6.963001,8.514641
0,mse,20,0.1,7.09076,7.677531
0,mse,20,0.15,9.934526,5.135871
0,mae,21,0.05,7.652349,12.234756
0,mae,21,0.075,9.83791,10.644518
0,mae,21,0.1,10.559307,9.446399
0,mae,21,0.15,11.61948,8.384211
0,mse,21,0.05,4.760121,9.998146
0,mse,21,0.075,7.171434,7.307209
0,mse,21,0.1,7.961773,5.862119
0,mse,21,0.15,9.910673,4.67831
