batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.914205,12.279465
0,mae,0,0.075,10.835536,11.970891
0,mae,0,0.1,12.010183,12.022036
0,mae,0,0.15,11.922253,12.033735
0,mse,0,0.05,9.416928,10.17012
0,mse,0,0.075,9.768594,9.848028
0,mse,0,0.1,11.237904,10.036507
0,mse,0,0.15,10.567277,9.735683
0,mae,1,0.05,9.520218,12.724749
0,mae,1,0.075,9.6286,12.545937
0,mae,1,0.1,10.878851,12.430737
0,mae,1,0.15,10.705886,12.128782
0,mse,1,0.05,9.446115,10.903904
0,mse,1,0.075,8.492796,10.860119
0,mse,1,0.1,10.276615,10.634348
0,mse,1,0.15,9.540051,9.827759
0,mae,2,0.05,10.084145,12.393905
0,mae,2,0.075,10.200542,12.118354
0,mae,2,0.1,10.622406,12.025657
0,mae,2,0.15,11.263593,11.367816
0,mse,2,0.05,9.093694,10.448084
0,mse,2,0.075,8.537804,10.181805
0,mse,2,0.1,9.005236,10.030123
0,mse,2,0.15,9.068093,8.486238
0,mae,3,0.05,10.141912,12.157879
0,mae,3,0.075,10.370705,11.887646
0,mae,3,0.1,10.514392,12.031025
0,mae,3,0.15,11.179749,11.972294
0,mse,3,0.05,9.206034,9.93457
0,mse,3,0.075,8.680476,9.814829
0,mse,3,0.1,8.757298,9.901695
0,mse,3,0.15,9.371401,9.870437
0,mae,4,0.05,8.446136,13.506165
0,mae,4,0.075,10.404987,12.462118
0,mae,4,0.1,11.523283,12.436434
0,mae,4,0.15,11.655024,11.997864
0,mse,4,0.05,7.309531,12.244843
0,mse,4,0.075,9.125432,10.692873
0,mse,4,0.1,10.73917,10.505335
0,mse,4,0.15,10.425152,9.504871
0,mae,5,0.05,9.276979,12.800194
0,mae,5,0.075,10.026621,13.114491
0,mae,5,0.1,10.513379,12.802755
0,mae,5,0.15,11.541195,12.396299
0,mse,5,0.05,8.105853,10.927456
0,mse,5,0.075,8.483769,11.335805
0,mse,5,0.1,9.427829,10.762135
0,mse,5,0.15,9.832129,10.070469
0,mae,6,0.05,8.179636,12.723355
0,mae,6,0.075,10.330551,12.217978
0,mae,6,0.1,10.741,12.12657
0,mae,6,0.15,11.172091,12.2402
0,mse,6,0.05,6.713995,10.853958
0,mse,6,0.075,9.303371,10.273075
0,mse,6,0.1,9.128536,9.960747
0,mse,6,0.15,9.388201,10.459068
0,mae,7,0.05,7.917866,13.20211
0,mae,7,0.075,9.246223,12.617598
0,mae,7,0.1,9.711046,12.55888
0,mae,7,0.15,10.550237,12.635216
0,mse,7,0.05,6.529831,11.631823
0,mse,7,0.075,7.920696,10.753148
0,mse,7,0.1,7.601026,10.641045
0,mse,7,0.15,8.381876,10.455518
0,mae,8,0.05,8.360865,12.257241
0,mae,8,0.075,9.595625,12.357172
0,mae,8,0.1,9.898916,12.446441
0,mae,8,0.15,10.881727,12.421543
0,mse,8,0.05,6.803213,10.611393
0,mse,8,0.075,7.826917,10.809871
0,mse,8,0.1,7.778016,10.975161
0,mse,8,0.15,8.868383,10.874649
0,mae,9,0.05,8.189358,13.229383
0,mae,9,0.075,9.867304,12.741907
0,mae,9,0.1,10.094193,12.263637
0,mae,9,0.15,11.202686,11.980564
0,mse,9,0.05,6.40294,11.894818
0,mse,9,0.075,8.574974,11.314959
0,mse,9,0.1,8.250445,10.574289
0,mse,9,0.15,9.570389,10.234396
0,mae,10,0.05,9.292562,12.722637
0,mae,10,0.075,10.883283,12.212976
0,mae,10,0.1,11.110916,12.1044
0,mae,10,0.15,11.471561,11.855626
0,mse,10,0.05,8.734872,11.029786
0,mse,10,0.075,10.079596,10.665237
0,mse,10,0.1,10.056151,10.654366
0,mse,10,0.15,9.829102,10.103048
0,mae,11,0.05,8.683739,13.410436
0,mae,11,0.075,9.972906,13.060776
0,mae,11,0.1,11.147513,12.277097
0,mae,11,0.15,11.853782,12.003761
0,mse,11,0.05,7.959578,12.569904
0,mse,11,0.075,8.720308,11.921242
0,mse,11,0.1,9.868141,10.829379
0,mse,11,0.15,10.104437,10.483788
0,mae,12,0.05,7.917439,13.009468
0,mae,12,0.075,9.54285,13.102127
0,mae,12,0.1,9.915583,12.772872
0,mae,12,0.15,10.775517,12.558279
0,mse,12,0.05,6.182461,11.622126
0,mse,12,0.075,7.779653,11.926217
0,mse,12,0.1,8.141387,11.249601
0,mse,12,0.15,9.027861,10.966911
0,mae,13,0.05,7.674164,13.005072
0,mae,13,0.075,9.152132,13.198605
0,mae,13,0.1,9.544813,13.042948
0,mae,13,0.15,10.712174,12.117622
0,mse,13,0.05,5.329098,11.901146
0,mse,13,0.075,6.992559,12.242099
0,mse,13,0.1,7.405662,12.031496
0,mse,13,0.15,9.324875,10.531883
0,mae,14,0.05,8.983368,12.824804
0,mae,14,0.075,9.479812,13.103168
0,mae,14,0.1,10.34627,12.556961
0,mae,14,0.15,11.254061,12.022795
0,mse,14,0.05,7.97537,11.651319
0,mse,14,0.075,8.42815,12.018709
0,mse,14,0.1,9.126936,10.977817
0,mse,14,0.15,10.12314,10.363576
0,mae,15,0.05,8.221931,13.200503
0,mae,15,0.075,8.707008,13.488323
0,mae,15,0.1,9.265724,13.371907
0,mae,15,0.15,11.372045,12.504389
0,mse,15,0.05,6.950579,11.77424
0,mse,15,0.075,7.200508,12.35388
0,mse,15,0.1,7.951168,12.103049
0,mse,15,0.15,9.97044,10.918986
0,mae,16,0.05,7.673997,13.049982
0,mae,16,0.075,8.352582,13.125265
0,mae,16,0.1,9.683634,13.34655
0,mae,16,0.15,10.736471,12.491257
0,mse,16,0.05,6.425645,11.405584
0,mse,16,0.075,7.07688,11.792558
0,mse,16,0.1,9.016273,11.943535
0,mse,16,0.15,9.16599,10.754983
0,mae,17,0.05,9.661196,12.946688
0,mae,17,0.075,10.507249,12.996798
0,mae,17,0.1,10.268429,13.007091
0,mae,17,0.15,11.350868,13.124732
0,mse,17,0.05,9.648969,11.357153
0,mse,17,0.075,10.181172,11.539646
0,mse,17,0.1,9.508402,11.48091
0,mse,17,0.15,10.29629,11.835785
0,mae,18,0.05,8.357382,13.348165
0,mae,18,0.075,9.133986,13.628714
0,mae,18,0.1,9.533007,12.981481
0,mae,18,0.15,12.050432,13.014184
0,mse,18,0.05,8.158115,11.78088
0,mse,18,0.075,8.475254,12.291389
0,mse,18,0.1,8.891516,11.234034
0,mse,18,0.15,11.730101,11.729218
0,mae,19,0.05,8.527503,13.318106
0,mae,19,0.075,9.294584,13.4695
0,mae,19,0.1,9.472633,13.361926
0,mae,19,0.15,10.018995,13.105461
0,mse,19,0.05,8.483417,11.714626
0,mse,19,0.075,8.756861,12.081379
0,mse,19,0.1,8.793018,11.983096
0,mse,19,0.15,8.539382,12.063974
0,mae,20,0.05,8.162286,13.965134
0,mae,20,0.075,9.190767,13.670544
0,mae,20,0.1,9.345231,13.424409
0,mae,20,0.15,10.740662,13.818302
0,mse,20,0.05,8.035673,13.070717
0,mse,20,0.075,8.499886,12.66363
0,mse,20,0.1,8.317931,12.170928
0,mse,20,0.15,9.82525,13.166116
0,mae,21,0.05,7.776307,13.486821
0,mae,21,0.075,9.112384,12.720535
0,mae,21,0.1,10.327842,12.680151
0,mae,21,0.15,11.885286,12.88146
0,mse,21,0.05,7.371428,12.13526
0,mse,21,0.075,8.556028,10.959401
0,mse,21,0.1,9.79783,10.690363
0,mse,21,0.15,11.000761,11.172308
0,mae,22,0.05,8.105807,13.55178
0,mae,22,0.075,9.936875,13.3382
0,mae,22,0.1,10.081059,13.199608
0,mae,22,0.15,12.007504,12.580316
0,mse,22,0.05,7.564253,12.372499
0,mse,22,0.075,9.186229,12.055249
0,mse,22,0.1,9.175513,11.600964
0,mse,22,0.15,10.990385,10.937248
0,mae,23,0.05,9.146048,13.016743
0,mae,23,0.075,9.977108,12.868841
0,mae,23,0.1,10.31347,12.748183
0,mae,23,0.15,11.091068,12.697721
0,mse,23,0.05,9.053955,11.389931
0,mse,23,0.075,8.692476,10.939232
0,mse,23,0.1,9.108185,10.752811
0,mse,23,0.15,10.357583,10.748526
1,mae,0,0.05,9.00174,23.01129
1,mae,0,0.075,9.304259,22.512142
1,mae,0,0.1,10.053004,22.101521
1,mae,0,0.15,11.11771,21.131611
1,mse,0,0.05,7.18606,34.860397
1,mse,0,0.075,7.492693,33.53632
1,mse,0,0.1,8.179252,32.7481
1,mse,0,0.15,9.729079,29.973629
1,mae,1,0.05,8.909137,22.735735
1,mae,1,0.075,9.947913,22.568588
1,mae,1,0.1,10.476242,22.490664
1,mae,1,0.15,11.756289,21.491327
1,mse,1,0.05,7.123888,34.340416
1,mse,1,0.075,8.426609,33.48571
1,mse,1,0.1,9.026773,33.210831
1,mse,1,0.15,10.71476,31.166767
1,mae,2,0.05,9.346281,23.413754
1,mae,2,0.075,9.631979,23.092251
1,mae,2,0.1,10.422075,22.418934
1,mae,2,0.15,11.319553,21.743216
1,mse,2,0.05,8.049859,36.569603
1,mse,2,0.075,8.285367,35.618736
1,mse,2,0.1,9.093479,33.854668
1,mse,2,0.15,10.106471,32.092628
1,mae,3,0.05,9.10199,22.614853
1,mae,3,0.075,9.990917,22.67499
1,mae,3,0.1,10.489437,22.038507
1,mae,3,0.15,12.029613,21.554068
1,mse,3,0.05,7.733306,34.414375
1,mse,3,0.075,8.715893,34.385941
1,mse,3,0.1,9.179438,32.819469
1,mse,3,0.15,10.863537,31.165997
1,mae,4,0.05,9.316307,22.547775
1,mae,4,0.075,10.049607,22.254505
1,mae,4,0.1,10.874393,22.08489
1,mae,4,0.15,12.210987,21.393793
1,mse,4,0.05,8.013279,34.555191
1,mse,4,0.075,8.729654,33.713062
1,mse,4,0.1,9.297713,33.098465
1,mse,4,0.15,10.891882,31.186142
1,mae,5,0.05,9.342133,22.582747
1,mae,5,0.075,10.770084,22.141907
1,mae,5,0.1,10.930525,22.086639
1,mae,5,0.15,11.800844,21.264454
1,mse,5,0.05,7.875492,34.470001
1,mse,5,0.075,9.361532,33.413918
1,mse,5,0.1,9.811456,32.913132
1,mse,5,0.15,10.67804,30.934757
1,mae,6,0.05,8.823791,22.859066
1,mae,6,0.075,9.430533,22.601641
1,mae,6,0.1,10.359612,21.937887
1,mae,6,0.15,12.510874,21.440323
1,mse,6,0.05,6.706291,35.058456
1,mse,6,0.075,7.492159,34.152897
1,mse,6,0.1,8.716649,31.976177
1,mse,6,0.15,11.737808,31.108421
1,mae,7,0.05,9.259829,22.530651
1,mae,7,0.075,9.981752,22.062412
1,mae,7,0.1,10.286305,21.874674
1,mae,7,0.15,11.798586,21.561993
1,mse,7,0.05,7.668538,33.381493
1,mse,7,0.075,8.620011,32.036583
1,mse,7,0.1,8.949026,31.794067
1,mse,7,0.15,11.073103,31.463575
1,mae,8,0.05,8.611334,22.970726
1,mae,8,0.075,9.84802,22.630436
1,mae,8,0.1,10.430965,22.617428
1,mae,8,0.15,10.721359,22.687189
1,mse,8,0.05,7.608735,34.415871
1,mse,8,0.075,8.468338,33.833107
1,mse,8,0.1,9.084766,33.673878
1,mse,8,0.15,9.300482,33.533157
1,mae,9,0.05,9.126215,23.338554
1,mae,9,0.075,10.377585,23.108473
1,mae,9,0.1,10.223963,22.839773
1,mae,9,0.15,11.7384,22.654842
1,mse,9,0.05,7.91251,36.168064
1,mse,9,0.075,8.702591,35.545837
1,mse,9,0.1,8.560989,34.882362
