batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,11.296016,11.479544
0,mae,0,0.075,11.927177,10.319305
0,mae,0,0.1,12.295631,10.217402
0,mae,0,0.15,12.340587,8.925726
0,mse,0,0.05,10.863333,9.377783
0,mse,0,0.075,12.211176,7.957061
0,mse,0,0.1,12.907831,7.750455
0,mse,0,0.15,11.394758,5.958023
0,mae,1,0.05,11.742119,11.640497
0,mae,1,0.075,12.32356,11.022968
0,mae,1,0.1,12.292057,10.522606
0,mae,1,0.15,13.496011,9.49366
0,mse,1,0.05,11.720908,9.789242
0,mse,1,0.075,11.953822,8.591078
0,mse,1,0.1,11.68868,8.081573
0,mse,1,0.15,12.891914,6.975657
0,mae,2,0.05,11.020786,11.333422
0,mae,2,0.075,11.379985,11.14904
0,mae,2,0.1,12.15486,10.525668
0,mae,2,0.15,13.593201,8.924888
0,mse,2,0.05,10.763472,9.373835
0,mse,2,0.075,10.505266,9.086446
0,mse,2,0.1,11.260504,8.271987
0,mse,2,0.15,12.796896,6.147489
0,mae,3,0.05,11.448126,11.657526
0,mae,3,0.075,11.891915,10.802378
0,mae,3,0.1,12.183549,10.419556
0,mae,3,0.15,13.265228,9.467148
0,mse,3,0.05,11.130434,9.585132
0,mse,3,0.075,11.627736,8.860695
0,mse,3,0.1,11.806709,8.273011
0,mse,3,0.15,12.541506,6.939171
0,mae,4,0.05,11.640965,11.463462
0,mae,4,0.075,12.576118,10.665838
0,mae,4,0.1,13.007359,10.512272
0,mae,4,0.15,14.576894,9.512693
0,mse,4,0.05,12.485496,9.415262
0,mse,4,0.075,13.226291,8.465408
0,mse,4,0.1,13.525286,8.338396
0,mse,4,0.15,15.485695,7.036757
0,mae,5,0.05,11.917554,11.447446
0,mae,5,0.075,11.72109,10.221309
0,mae,5,0.1,12.50692,9.903543
0,mae,5,0.15,14.093536,9.495113
0,mse,5,0.05,12.557669,9.141651
0,mse,5,0.075,11.899505,7.572565
0,mse,5,0.1,13.620201,7.3888
0,mse,5,0.15,14.854965,6.526536
0,mae,6,0.05,11.021201,11.425146
0,mae,6,0.075,12.212249,10.516636
0,mae,6,0.1,12.587535,10.243887
0,mae,6,0.15,13.934128,9.014613
0,mse,6,0.05,11.379752,8.949883
0,mse,6,0.075,12.584202,7.687977
0,mse,6,0.1,13.288357,7.338875
0,mse,6,0.15,14.125277,5.665372
0,mae,7,0.05,11.141071,11.356836
0,mae,7,0.075,12.191013,10.548426
0,mae,7,0.1,12.645406,10.167946
0,mae,7,0.15,12.35939,9.352542
0,mse,7,0.05,11.694249,8.725536
0,mse,7,0.075,12.898001,8.02095
0,mse,7,0.1,12.692286,7.551315
0,mse,7,0.15,11.163572,6.391849
0,mae,8,0.05,10.441866,11.105696
0,mae,8,0.075,11.459518,10.913906
0,mae,8,0.1,12.604931,10.320607
0,mae,8,0.15,13.317727,9.300331
0,mse,8,0.05,10.009768,8.422743
0,mse,8,0.075,10.889591,8.190851
0,mse,8,0.1,12.341575,7.336004
0,mse,8,0.15,13.433373,6.208588
0,mae,9,0.05,11.039972,11.175968
0,mae,9,0.075,12.110244,10.687973
0,mae,9,0.1,13.186978,9.82263
0,mae,9,0.15,13.568217,8.763318
0,mse,9,0.05,11.848287,8.271906
0,mse,9,0.075,13.537048,7.819514
0,mse,9,0.1,14.538935,6.746879
0,mse,9,0.15,13.292601,5.468788
0,mae,10,0.05,11.157054,11.158487
0,mae,10,0.075,12.471712,10.515028
0,mae,10,0.1,12.863289,9.972547
0,mae,10,0.15,14.168478,8.506865
0,mse,10,0.05,11.73337,8.330332
0,mse,10,0.075,14.348351,7.687346
0,mse,10,0.1,14.249985,7.179838
0,mse,10,0.15,14.989491,5.248048
0,mae,11,0.05,11.290997,10.987178
0,mae,11,0.075,12.03895,9.834279
0,mae,11,0.1,12.397714,10.116922
0,mae,11,0.15,13.644734,8.476657
0,mse,11,0.05,11.979093,8.042603
0,mse,11,0.075,11.421331,6.884593
0,mse,11,0.1,11.888383,7.041863
0,mse,11,0.15,13.691199,5.505451
0,mae,12,0.05,11.17866,10.213804
0,mae,12,0.075,13.373569,9.592558
