batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.703157,13.797693
0,mae,0,0.075,4.829627,13.846394
0,mae,0,0.1,5.490866,13.629121
0,mae,0,0.15,6.510655,13.228054
0,mse,0,0.05,1.234848,12.028727
0,mse,0,0.075,2.018012,12.133972
0,mse,0,0.1,2.621765,11.842438
0,mse,0,0.15,3.450601,11.300695
0,mae,1,0.05,3.24956,14.171582
0,mae,1,0.075,4.356526,13.849683
0,mae,1,0.1,5.113844,13.833881
0,mae,1,0.15,6.331857,14.016865
0,mse,1,0.05,1.204265,12.996547
0,mse,1,0.075,2.116682,12.429856
0,mse,1,0.1,2.718063,12.381697
0,mse,1,0.15,3.763303,12.728434
0,mae,2,0.05,3.346345,14.161751
0,mae,2,0.075,4.611058,14.224621
0,mae,2,0.1,5.384472,14.208231
0,mae,2,0.15,6.763505,13.970743
0,mse,2,0.05,1.415104,12.884517
0,mse,2,0.075,2.522196,13.058384
0,mse,2,0.1,3.309353,12.985555
0,mse,2,0.15,4.992909,12.679239
0,mae,3,0.05,3.062025,14.668135
0,mae,3,0.075,4.714134,15.004589
0,mae,3,0.1,5.380903,14.662081
0,mae,3,0.15,7.139429,15.084721
0,mse,3,0.05,1.198233,13.742216
0,mse,3,0.075,2.683612,14.368494
0,mse,3,0.1,3.23673,13.725388
0,mse,3,0.15,5.059292,14.640526
0,mae,4,0.05,3.615875,14.223228
0,mae,4,0.075,5.214677,14.632757
0,mae,4,0.1,5.756812,14.649059
0,mae,4,0.15,6.879525,14.873462
0,mse,4,0.05,1.593056,12.728325
0,mse,4,0.075,3.058559,13.320193
0,mse,4,0.1,3.581641,13.367128
0,mse,4,0.15,4.997432,13.953066
0,mae,5,0.05,4.155754,13.961176
0,mae,5,0.075,5.123186,13.955009
0,mae,5,0.1,5.772643,14.030512
0,mae,5,0.15,6.954901,14.132359
0,mse,5,0.05,1.854224,11.966913
0,mse,5,0.075,2.938409,11.940937
0,mse,5,0.1,3.53935,12.050652
0,mse,5,0.15,4.838201,12.31155
0,mae,6,0.05,3.327162,14.437534
0,mae,6,0.075,4.819115,14.733348
0,mae,6,0.1,5.696228,14.769111
0,mae,6,0.15,7.263517,14.996758
0,mse,6,0.05,1.484895,13.188815
0,mse,6,0.075,2.771083,13.437678
0,mse,6,0.1,3.595753,13.511539
0,mse,6,0.15,4.995664,14.053117
0,mae,7,0.05,3.591032,13.940058
0,mae,7,0.075,5.460153,13.85005
0,mae,7,0.1,6.155435,13.949413
0,mae,7,0.15,7.500723,13.959733
0,mse,7,0.05,1.378598,11.896643
0,mse,7,0.075,2.888102,11.636801
0,mse,7,0.1,3.664488,11.789453
0,mse,7,0.15,5.111516,11.983824
0,mae,8,0.05,3.551912,14.13394
0,mae,8,0.075,5.012331,14.325212
0,mae,8,0.1,5.91547,13.969856
0,mae,8,0.15,7.453319,14.113297
0,mse,8,0.05,1.530724,12.18135
0,mse,8,0.075,2.795277,12.451019
0,mse,8,0.1,3.575764,11.86613
0,mse,8,0.15,4.930998,12.275027
0,mae,9,0.05,3.113655,13.991082
0,mae,9,0.075,4.106506,14.058765
0,mae,9,0.1,4.895944,14.404146
0,mae,9,0.15,6.872139,14.326183
0,mse,9,0.05,1.232979,12.127625
0,mse,9,0.075,1.986998,12.047593
0,mse,9,0.1,2.565292,12.779709
0,mse,9,0.15,4.536878,12.731778
0,mae,10,0.05,2.873717,13.4966
0,mae,10,0.075,4.206056,13.441578
0,mae,10,0.1,4.962725,13.341187
0,mae,10,0.15,6.090925,13.12738
0,mse,10,0.05,1.0644,11.567978
0,mse,10,0.075,2.033221,11.344557
0,mse,10,0.1,2.570477,11.335901
0,mse,10,0.15,3.521055,11.074455
0,mae,11,0.05,3.635872,14.031879
0,mae,11,0.075,5.018931,13.898883
0,mae,11,0.1,5.622603,13.72135
0,mae,11,0.15,6.580896,13.631965
0,mse,11,0.05,1.468753,12.40131
0,mse,11,0.075,2.488638,12.114058
0,mse,11,0.1,3.131998,11.886553
0,mse,11,0.15,3.753386,11.922844
0,mae,12,0.05,3.239897,13.823826
0,mae,12,0.075,5.039873,13.556049
0,mae,12,0.1,5.790647,13.630524
0,mae,12,0.15,7.087368,13.802454
0,mse,12,0.05,1.28246,12.237509
0,mse,12,0.075,2.711752,11.496042
0,mse,12,0.1,3.434069,11.686146
0,mse,12,0.15,4.319544,11.814379
0,mae,13,0.05,3.705012,13.574278
0,mae,13,0.075,4.773676,13.37973
0,mae,13,0.1,5.431317,13.352227
0,mae,13,0.15,6.908434,13.433813
0,mse,13,0.05,1.602422,11.632395
0,mse,13,0.075,2.462997,11.461226
0,mse,13,0.1,2.835984,11.530249
0,mse,13,0.15,4.002552,11.624592
0,mae,14,0.05,3.625951,13.393445
0,mae,14,0.075,4.711753,13.20771
0,mae,14,0.1,5.436586,12.96932
0,mae,14,0.15,6.931573,12.998808
0,mse,14,0.05,1.369858,11.289516
0,mse,14,0.075,2.197257,10.907799
0,mse,14,0.1,3.009582,10.572686
0,mse,14,0.15,4.19082,10.787623
0,mae,15,0.05,3.433128,13.917604
0,mae,15,0.075,4.558505,13.675022
0,mae,15,0.1,5.059783,13.557703
0,mae,15,0.15,6.891121,13.507878
0,mse,15,0.05,1.135503,12.245399
0,mse,15,0.075,1.885547,11.844221
0,mse,15,0.1,2.266707,11.717281
0,mse,15,0.15,3.965336,11.575182
0,mae,16,0.05,3.544831,13.206927
0,mae,16,0.075,4.410659,13.239122
0,mae,16,0.1,5.373468,13.070122
0,mae,16,0.15,7.098713,13.08173
0,mse,16,0.05,1.324811,11.059134
0,mse,16,0.075,1.879304,10.961261
0,mse,16,0.1,2.443942,10.629617
0,mse,16,0.15,3.961683,10.621619
0,mae,17,0.05,3.419568,13.659982
0,mae,17,0.075,4.457369,13.761556
0,mae,17,0.1,5.060292,13.718726
0,mae,17,0.15,6.522154,13.415556
0,mse,17,0.05,1.042397,12.040955
0,mse,17,0.075,1.668722,11.941754
0,mse,17,0.1,2.2009,11.807648
0,mse,17,0.15,3.243042,11.484095
0,mae,18,0.05,2.611473,13.651073
0,mae,18,0.075,3.717716,13.554762
0,mae,18,0.1,4.866056,13.029607
0,mae,18,0.15,6.409554,13.008087
0,mse,18,0.05,0.746076,11.932158
0,mse,18,0.075,1.373093,11.770198
0,mse,18,0.1,2.355406,10.833523
0,mse,18,0.15,3.439595,10.800104
0,mae,19,0.05,2.840067,13.721336
0,mae,19,0.075,4.181691,13.844869
0,mae,19,0.1,4.856869,13.733982
0,mae,19,0.15,6.22333,13.590442
0,mse,19,0.05,0.698526,12.136728
0,mse,19,0.075,1.545631,12.342701
0,mse,19,0.1,1.996223,12.050507
0,mse,19,0.15,3.07456,12.000974
