batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.09927,15.39595
0,mae,0,0.075,8.292623,15.277241
0,mae,0,0.1,9.473429,15.216249
0,mae,0,0.15,10.868729,15.106831
0,mse,0,0.05,4.008419,15.289208
0,mse,0,0.075,6.386041,15.189262
0,mse,0,0.1,7.937539,15.229905
0,mse,0,0.15,10.054658,15.482561
0,mae,1,0.05,7.105442,16.045734
0,mae,1,0.075,9.076679,16.384916
0,mae,1,0.1,9.959211,16.59543
0,mae,1,0.15,11.57883,16.983353
0,mse,1,0.05,5.170531,16.499214
0,mse,1,0.075,7.70435,17.421108
0,mse,1,0.1,9.189621,17.861254
0,mse,1,0.15,11.974477,19.12587
0,mae,2,0.05,7.336237,16.061056
0,mae,2,0.075,9.168424,16.697479
0,mae,2,0.1,10.201356,16.999588
0,mae,2,0.15,12.488368,17.697666
0,mse,2,0.05,5.532185,16.470491
0,mse,2,0.075,7.98945,17.668858
0,mse,2,0.1,9.628422,18.432659
0,mse,2,0.15,13.433331,20.535294
0,mae,3,0.05,7.443943,16.131454
0,mae,3,0.075,9.766674,16.6546
0,mae,3,0.1,11.197849,17.287436
0,mae,3,0.15,13.253244,18.234215
0,mse,3,0.05,5.557947,16.425438
0,mse,3,0.075,8.4966,17.93684
0,mse,3,0.1,10.83091,19.310768
0,mse,3,0.15,14.736258,21.645727
0,mae,4,0.05,7.863917,16.322632
0,mae,4,0.075,10.155222,16.895733
0,mae,4,0.1,11.034933,17.179438
0,mae,4,0.15,13.226093,17.954067
0,mse,4,0.05,5.808414,16.920956
0,mse,4,0.075,8.983332,18.207401
0,mse,4,0.1,10.575602,18.875355
0,mse,4,0.15,14.441966,21.157951
0,mae,5,0.05,7.718425,16.196869
0,mae,5,0.075,10.044012,16.975317
0,mae,5,0.1,11.077783,17.119507
0,mae,5,0.15,13.056841,17.903061
0,mse,5,0.05,5.6624,16.584728
0,mse,5,0.075,8.524596,18.421843
0,mse,5,0.1,10.312272,18.968967
0,mse,5,0.15,13.839972,20.858612
0,mae,6,0.05,8.002807,16.509304
0,mae,6,0.075,9.922367,17.147228
0,mae,6,0.1,11.27603,17.823887
0,mae,6,0.15,13.612679,18.525257
0,mse,6,0.05,5.949534,17.25296
