batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.032426,14.974024
0,mae,0,0.075,2.841402,14.579868
0,mae,0,0.1,3.375196,14.202799
0,mae,0,0.15,4.832991,13.856138
0,mse,0,0.05,0.489914,13.950287
0,mse,0,0.075,0.915868,13.448805
0,mse,0,0.1,1.083005,12.826916
0,mse,0,0.15,1.92739,12.285406
0,mae,1,0.05,1.918961,14.893411
0,mae,1,0.075,2.941257,14.231584
0,mae,1,0.1,3.935245,13.916491
0,mae,1,0.15,5.016047,13.073859
0,mse,1,0.05,0.496852,13.937109
0,mse,1,0.075,0.82555,12.881506
0,mse,1,0.1,1.344438,12.489765
0,mse,1,0.15,2.028534,11.359327
0,mae,2,0.05,1.81717,14.526789
0,mae,2,0.075,3.373709,13.893922
0,mae,2,0.1,3.984752,13.382309
0,mae,2,0.15,5.346334,12.43808
0,mse,2,0.05,0.316191,13.198912
0,mse,2,0.075,0.888816,12.062405
0,mse,2,0.1,1.163801,11.447388
0,mse,2,0.15,2.117241,10.235885
0,mae,3,0.05,1.693306,14.67555
0,mae,3,0.075,3.016885,13.885822
0,mae,3,0.1,3.629045,13.633737
0,mae,3,0.15,4.641754,12.760641
0,mse,3,0.05,0.360513,13.403964
0,mse,3,0.075,0.749455,12.233492
0,mse,3,0.1,1.095363,11.844279
0,mse,3,0.15,1.754635,10.664898
0,mae,4,0.05,1.535418,15.114159
0,mae,4,0.075,2.828599,14.478651
0,mae,4,0.1,3.579329,14.07032
0,mae,4,0.15,5.066904,13.415689
0,mse,4,0.05,0.323411,14.092514
0,mse,4,0.075,0.766479,13.167815
0,mse,4,0.1,1.12086,12.678464
0,mse,4,0.15,1.896309,11.668381
0,mae,5,0.05,1.478655,15.027908
0,mae,5,0.075,2.359242,14.606849
0,mae,5,0.1,3.885901,14.078579
0,mae,5,0.15,5.420378,13.080175
0,mse,5,0.05,0.279938,14.072917
0,mse,5,0.075,0.534614,13.295834
0,mse,5,0.1,1.326752,12.578201
0,mse,5,0.15,2.106032,10.883576
0,mae,6,0.05,1.711596,15.232941
0,mae,6,0.075,2.711261,14.676214
0,mae,6,0.1,3.376574,14.430773
0,mae,6,0.15,5.848286,13.937831
0,mse,6,0.05,0.384059,14.610717
0,mse,6,0.075,0.742438,13.560318
0,mse,6,0.1,1.058897,13.317495
0,mse,6,0.15,2.548902,12.439739
0,mae,7,0.05,1.780026,14.817308
0,mae,7,0.075,2.766991,14.717863
0,mae,7,0.1,3.599313,14.246795
0,mae,7,0.15,5.037507,13.45141
0,mse,7,0.05,0.353645,13.685133
0,mse,7,0.075,0.722663,13.506025
0,mse,7,0.1,1.133726,12.846464
0,mse,7,0.15,2.000945,11.682533
0,mae,8,0.05,1.625888,14.667162
0,mae,8,0.075,2.714523,14.269651
0,mae,8,0.1,3.388021,13.859873
0,mae,8,0.15,4.861619,13.314457
0,mse,8,0.05,0.34491,13.349295
0,mse,8,0.075,0.808301,12.703483
0,mse,8,0.1,1.067175,11.943502
0,mse,8,0.15,1.960763,11.113688
0,mae,9,0.05,2.071418,14.454273
0,mae,9,0.075,2.891315,13.992896
0,mae,9,0.1,3.530073,13.790895
0,mae,9,0.15,5.016287,12.791979
0,mse,9,0.05,0.569841,12.903278
0,mse,9,0.075,0.859468,12.198874
0,mse,9,0.1,1.290039,11.676626
0,mse,9,0.15,2.265419,10.414941
0,mae,10,0.05,1.757218,14.563728
0,mae,10,0.075,3.058923,14.038813
0,mae,10,0.1,3.442859,13.782403
0,mae,10,0.15,4.798018,12.65786
0,mse,10,0.05,0.353654,13.114697
0,mse,10,0.075,0.81875,12.277955
0,mse,10,0.1,1.053125,11.815721
0,mse,10,0.15,1.755199,10.267585
0,mae,11,0.05,1.51971,14.655528
0,mae,11,0.075,2.990957,13.986426
0,mae,11,0.1,3.656653,13.702156
0,mae,11,0.15,4.7525,13.260071
0,mse,11,0.05,0.325886,13.40204
0,mse,11,0.075,0.755507,12.397504
0,mse,11,0.1,1.089127,11.956386
0,mse,11,0.15,1.82841,11.300899
0,mae,12,0.05,1.672783,14.648989
0,mae,12,0.075,2.817108,13.910511
0,mae,12,0.1,3.576885,13.475382
0,mae,12,0.15,4.862777,12.83655
0,mse,12,0.05,0.419811,13.333987
0,mse,12,0.075,0.757243,12.325948
0,mse,12,0.1,1.070853,11.631632
0,mse,12,0.15,1.81433,10.583916
0,mae,13,0.05,1.706858,14.821796
0,mae,13,0.075,2.474349,14.3743
0,mae,13,0.1,4.413459,13.85899
0,mae,13,0.15,5.689831,12.758103
0,mse,13,0.05,0.362908,13.693947
0,mse,13,0.075,0.635577,13.018449
0,mse,13,0.1,1.877157,12.275939
0,mse,13,0.15,2.47799,10.440165
0,mae,14,0.05,1.748785,14.310167
0,mae,14,0.075,2.695376,13.586988
0,mae,14,0.1,3.274973,13.308917
0,mae,14,0.15,5.966213,12.624292
0,mse,14,0.05,0.371745,12.929054
0,mse,14,0.075,0.738774,11.929899
0,mse,14,0.1,0.987127,11.64888
0,mse,14,0.15,2.64851,10.792509
0,mae,15,0.05,1.917149,14.473929
0,mae,15,0.075,2.694143,13.911003
0,mae,15,0.1,3.310371,13.53896
0,mae,15,0.15,4.708562,12.83193
0,mse,15,0.05,0.382269,13.020487
0,mse,15,0.075,0.655817,12.267735
0,mse,15,0.1,0.958459,11.659369
0,mse,15,0.15,1.776339,10.905596
0,mae,16,0.05,1.995612,14.704742
0,mae,16,0.075,2.985149,14.122682
0,mae,16,0.1,3.526937,13.771395
0,mae,16,0.15,5.149992,13.361454
0,mse,16,0.05,0.54712,13.277149
0,mse,16,0.075,1.00335,12.432992
0,mse,16,0.1,1.233848,12.041698
0,mse,16,0.15,2.202371,11.533134
0,mae,17,0.05,1.831203,14.69237
0,mae,17,0.075,2.767603,14.022963
0,mae,17,0.1,3.873008,13.675665
0,mae,17,0.15,4.95342,13.156927
0,mse,17,0.05,0.519855,13.61536
0,mse,17,0.075,0.798824,12.447298
0,mse,17,0.1,1.422729,12.208845
0,mse,17,0.15,2.273033,11.458463
0,mae,18,0.05,1.662276,14.562332
0,mae,18,0.075,2.961687,14.185627
0,mae,18,0.1,3.415308,13.896264
0,mae,18,0.15,4.745539,13.058533
0,mse,18,0.05,0.30742,13.369896
0,mse,18,0.075,0.785166,12.753272
0,mse,18,0.1,1.051383,12.537371
0,mse,18,0.15,1.799057,11.517565
0,mae,19,0.05,1.448585,14.791444
0,mae,19,0.075,2.612443,14.171676
0,mae,19,0.1,3.463162,14.000753
0,mae,19,0.15,4.76481,13.713233
0,mse,19,0.05,0.331944,13.626495
0,mse,19,0.075,0.6751,12.672787
0,mse,19,0.1,0.993678,12.431547
0,mse,19,0.15,1.831412,12.425618
0,mae,20,0.05,1.441847,14.842855
0,mae,20,0.075,2.463205,14.267269
0,mae,20,0.1,2.955257,13.999174
0,mae,20,0.15,4.489129,13.353479
0,mse,20,0.05,0.320334,13.460196
0,mse,20,0.075,0.604581,12.501102
0,mse,20,0.1,0.82465,12.094222
0,mse,20,0.15,1.614369,11.27275
0,mae,21,0.05,1.591473,14.634222
0,mae,21,0.075,2.546809,14.078385
0,mae,21,0.1,5.048643,13.809399
0,mae,21,0.15,6.327173,12.735022
0,mse,21,0.05,0.314129,13.113421
0,mse,21,0.075,0.621795,12.158436
0,mse,21,0.1,2.669084,11.751442
0,mse,21,0.15,3.392455,10.248991
0,mae,22,0.05,2.073231,14.535375
0,mae,22,0.075,2.862062,14.050369
0,mae,22,0.1,3.283359,13.770547
0,mae,22,0.15,6.692513,13.098763
0,mse,22,0.05,0.614993,12.957972
0,mse,22,0.075,0.939006,12.034821
0,mse,22,0.1,1.141132,11.748806
0,mse,22,0.15,3.738532,10.638355
0,mae,23,0.05,1.59716,14.499512
0,mae,23,0.075,2.522041,14.050577
0,mae,23,0.1,3.315785,13.702297
0,mae,23,0.15,4.594312,13.153492
0,mse,23,0.05,0.334502,12.979767
0,mse,23,0.075,0.626456,12.344612
0,mse,23,0.1,1.018873,11.905457
0,mse,23,0.15,1.783043,11.1077
1,mae,0,0.05,2.079313,16.935547
1,mae,0,0.075,2.999057,16.783537
1,mae,0,0.1,3.801443,16.741177
1,mae,0,0.15,5.279712,16.029449
1,mse,0,0.05,0.426724,19.786961
1,mse,0,0.075,0.811192,19.526571
1,mse,0,0.1,1.320906,19.508799
1,mse,0,0.15,2.338498,18.137081
1,mae,1,0.05,2.069437,17.076088
1,mae,1,0.075,3.273332,16.374992
1,mae,1,0.1,4.177311,16.354506
1,mae,1,0.15,4.99417,15.973269
1,mse,1,0.05,0.410318,19.786457
1,mse,1,0.075,0.940461,18.623323
1,mse,1,0.1,1.51942,18.422611
1,mse,1,0.15,2.170833,17.619127
1,mae,2,0.05,2.284338,17.250694
1,mae,2,0.075,3.335355,17.383261
1,mae,2,0.1,4.024861,17.232996
1,mae,2,0.15,5.518362,16.598927
1,mse,2,0.05,0.496392,20.439404
1,mse,2,0.075,1.034174,20.916075
1,mse,2,0.1,1.497665,20.587086
1,mse,2,0.15,2.783306,19.05234
1,mae,3,0.05,2.37305,17.896561
