batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.584805,13.580248
0,mae,0,0.075,6.080618,12.592224
0,mae,0,0.1,6.843197,12.289896
0,mae,0,0.15,8.396957,12.413668
0,mse,0,0.05,1.549892,11.609615
0,mse,0,0.075,3.203274,10.411618
0,mse,0,0.1,4.028204,10.091558
0,mse,0,0.15,5.624672,10.266602
0,mae,1,0.05,4.7887,13.358776
0,mae,1,0.075,6.309916,12.862783
0,mae,1,0.1,7.424581,12.638332
0,mae,1,0.15,8.746703,12.652472
0,mse,1,0.05,2.374682,11.714767
0,mse,1,0.075,3.68455,11.0063
0,mse,1,0.1,4.44631,10.662767
0,mse,1,0.15,6.08979,11.095005
0,mae,2,0.05,1.907552,14.043283
0,mae,2,0.075,5.909208,13.059575
0,mae,2,0.1,7.093589,12.935234
0,mae,2,0.15,8.610393,12.632317
0,mse,2,0.05,0.360803,12.511266
0,mse,2,0.075,2.857422,11.22133
0,mse,2,0.1,4.073184,11.055056
0,mse,2,0.15,5.628551,10.985804
0,mae,3,0.05,2.118983,13.817677
0,mae,3,0.075,4.397869,13.515065
0,mae,3,0.1,6.196183,13.421818
0,mae,3,0.15,7.730099,12.326594
0,mse,3,0.05,0.360482,12.095465
0,mse,3,0.075,1.898494,11.477909
0,mse,3,0.1,3.042028,11.498989
0,mse,3,0.15,4.587489,9.971032
0,mae,4,0.05,2.012988,14.03867
0,mae,4,0.075,4.088399,13.19298
0,mae,4,0.1,5.859745,12.874279
0,mae,4,0.15,9.011206,12.23556
0,mse,4,0.05,0.328259,12.42359
0,mse,4,0.075,1.733295,10.948944
0,mse,4,0.1,2.916494,10.505643
0,mse,4,0.15,5.616549,9.525906
0,mae,5,0.05,2.399485,14.179239
0,mae,5,0.075,4.25808,13.501889
0,mae,5,0.1,4.555633,13.256346
0,mae,5,0.15,7.125834,12.648853
0,mse,5,0.05,0.595663,12.466564
0,mse,5,0.075,1.887166,11.229596
0,mse,5,0.1,1.996109,10.936382
0,mse,5,0.15,3.900248,10.260039
0,mae,6,0.05,2.104246,14.122958
0,mae,6,0.075,5.467977,13.301727
0,mae,6,0.1,6.130902,12.798007
0,mae,6,0.15,8.658257,11.82719
0,mse,6,0.05,0.468713,12.364857
0,mse,6,0.075,2.715043,11.125422
0,mse,6,0.1,3.250378,10.401485
0,mse,6,0.15,5.942544,9.140327
0,mae,7,0.05,4.527447,14.249262
