batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.075675,15.591307
0,mae,0,0.075,7.570717,15.201452
0,mae,0,0.1,8.210649,15.09071
0,mae,0,0.15,8.757402,14.438908
0,mse,0,0.05,6.549127,15.264505
0,mse,0,0.075,6.890972,14.36041
0,mse,0,0.1,7.469683,14.246294
0,mse,0,0.15,7.871137,13.385397
0,mae,1,0.05,7.644803,15.632647
0,mae,1,0.075,8.114453,15.462809
0,mae,1,0.1,8.344557,15.14431
0,mae,1,0.15,9.084559,14.933651
0,mse,1,0.05,7.060377,15.467561
0,mse,1,0.075,7.747528,14.911631
0,mse,1,0.1,7.916985,14.310402
0,mse,1,0.15,8.452293,14.135024
0,mae,2,0.05,7.772001,15.669382
0,mae,2,0.075,8.417807,15.322807
0,mae,2,0.1,8.78039,15.396381
0,mae,2,0.15,9.795479,15.15501
0,mse,2,0.05,7.589714,15.445639
0,mse,2,0.075,8.327444,14.887991
0,mse,2,0.1,8.791412,14.891958
0,mse,2,0.15,9.880458,14.614952
0,mae,3,0.05,7.922493,15.395445
0,mae,3,0.075,8.538498,15.369036
0,mae,3,0.1,9.022054,15.278925
0,mae,3,0.15,9.943545,15.38707
0,mse,3,0.05,7.317256,14.945701
0,mse,3,0.075,8.57792,14.966949
0,mse,3,0.1,9.146755,14.806993
0,mse,3,0.15,10.114593,14.983158
0,mae,4,0.05,8.20178,15.293082
0,mae,4,0.075,8.951795,15.211718
0,mae,4,0.1,9.113299,15.076218
0,mae,4,0.15,9.809692,15.034311
0,mse,4,0.05,7.595888,14.860653
0,mse,4,0.075,8.729235,14.697787
0,mse,4,0.1,9.012487,14.548731
0,mse,4,0.15,10.088372,14.533913
0,mae,5,0.05,8.065476,15.286617
0,mae,5,0.075,8.704865,15.101004
0,mae,5,0.1,8.742116,15.039071
0,mae,5,0.15,9.534396,14.624165
0,mse,5,0.05,7.534655,14.730029
0,mse,5,0.075,8.456173,14.328203
0,mse,5,0.1,8.609184,14.300053
0,mse,5,0.15,9.477734,13.752481
0,mae,6,0.05,8.002587,15.32774
0,mae,6,0.075,8.553482,15.188366
0,mae,6,0.1,8.985038,15.045485
0,mae,6,0.15,9.969349,14.953722
0,mse,6,0.05,7.38361,14.853832
0,mse,6,0.075,7.956698,14.635014
0,mse,6,0.1,8.494738,14.385261
0,mse,6,0.15,9.591223,14.278585
0,mae,7,0.05,7.828905,15.765211
0,mae,7,0.075,8.628348,15.457819
0,mae,7,0.1,9.269658,15.411163
0,mae,7,0.15,10.159059,15.096672
0,mse,7,0.05,7.139422,15.659738
0,mse,7,0.075,7.992512,15.092147
0,mse,7,0.1,8.654632,14.819489
0,mse,7,0.15,9.509143,14.491408
0,mae,8,0.05,7.712354,15.477072
0,mae,8,0.075,8.91863,15.346001
0,mae,8,0.1,9.326651,15.18107
0,mae,8,0.15,10.102835,14.940466
0,mse,8,0.05,7.140092,15.141428
0,mse,8,0.075,8.251507,14.655464
0,mse,8,0.1,8.780485,14.427444
0,mse,8,0.15,9.550482,14.089167
0,mae,9,0.05,7.847245,15.591576
0,mae,9,0.075,8.648435,15.138664
0,mae,9,0.1,9.264278,15.306417
0,mae,9,0.15,10.238276,15.004832
0,mse,9,0.05,7.179253,15.200947
0,mse,9,0.075,8.192942,14.333456
0,mse,9,0.1,8.553887,14.648691
0,mse,9,0.15,9.638752,13.989354
0,mae,10,0.05,7.926917,15.423903
0,mae,10,0.075,8.901523,15.341749
0,mae,10,0.1,9.370039,15.111342
0,mae,10,0.15,10.309143,14.996649
0,mse,10,0.05,7.238046,14.909082
0,mse,10,0.075,8.065185,14.850901
0,mse,10,0.1,8.626229,14.444635
0,mse,10,0.15,9.656845,14.268552
0,mae,11,0.05,7.587469,15.450065
0,mae,11,0.075,8.562366,15.108588
0,mae,11,0.1,9.121304,14.927145
0,mae,11,0.15,9.851855,14.867412
0,mse,11,0.05,6.889532,15.078444
0,mse,11,0.075,7.803943,14.497902
0,mse,11,0.1,8.195749,14.178446
0,mse,11,0.15,9.000867,14.022661
0,mae,12,0.05,7.66372,15.450699
0,mae,12,0.075,8.500785,15.359671
0,mae,12,0.1,9.028023,15.192481
0,mae,12,0.15,9.551801,14.782139
0,mse,12,0.05,6.989766,15.062769
0,mse,12,0.075,7.613667,15.013972
0,mse,12,0.1,7.971312,14.802486
0,mse,12,0.15,8.425411,14.047506
0,mae,13,0.05,7.250782,15.523371
0,mae,13,0.075,7.889757,15.083663
0,mae,13,0.1,8.210678,14.815543
0,mae,13,0.15,9.444403,14.463737
0,mse,13,0.05,6.090817,15.002774
0,mse,13,0.075,6.529626,14.358969
0,mse,13,0.1,6.834496,14.115135
0,mse,13,0.15,7.925571,13.510269
0,mae,14,0.05,6.797292,15.698889
0,mae,14,0.075,7.629077,15.410562
0,mae,14,0.1,8.06357,14.997932
0,mae,14,0.15,9.136374,14.617138
0,mse,14,0.05,5.603705,15.122825
0,mse,14,0.075,6.210633,14.799464
0,mse,14,0.1,6.611442,14.094451
0,mse,14,0.15,7.574018,13.829514
0,mae,15,0.05,6.243619,16.185938
0,mae,15,0.075,7.412618,15.43883
0,mae,15,0.1,8.340235,14.985856
0,mae,15,0.15,9.083448,14.583065
0,mse,15,0.05,4.992888,16.554541
0,mse,15,0.075,6.015808,14.878834
0,mse,15,0.1,6.711722,14.264769
0,mse,15,0.15,7.293698,13.736901
0,mae,16,0.05,6.357324,16.210188
0,mae,16,0.075,7.14645,15.677817
0,mae,16,0.1,8.591465,14.894447
0,mae,16,0.15,9.953337,14.683932
0,mse,16,0.05,4.956158,16.800661
0,mse,16,0.075,5.404341,15.422425
0,mse,16,0.1,7.097384,13.855085
0,mse,16,0.15,8.67609,13.8009
0,mae,17,0.05,6.329058,16.040886
0,mae,17,0.075,6.929131,15.421614
0,mae,17,0.1,7.570772,15.211463
0,mae,17,0.15,9.383617,14.433067
0,mse,17,0.05,4.911696,16.215374
0,mse,17,0.075,5.221818,14.995132
0,mse,17,0.1,5.439074,14.599588
0,mse,17,0.15,7.470486,13.339672
0,mae,18,0.05,5.74131,15.60646
0,mae,18,0.075,7.256045,15.66241
0,mae,18,0.1,7.596021,15.330442
0,mae,18,0.15,9.521832,14.378554
0,mse,18,0.05,4.35184,15.51288
0,mse,18,0.075,5.440802,15.668327
0,mse,18,0.1,5.991334,14.920879
0,mse,18,0.15,8.05375,13.395672
0,mae,19,0.05,5.471766,16.188164
0,mae,19,0.075,7.163109,15.827501
0,mae,19,0.1,7.805633,15.516971
0,mae,19,0.15,8.837883,15.36264
0,mse,19,0.05,4.014814,16.825649
0,mse,19,0.075,5.686489,16.206039
0,mse,19,0.1,6.559494,15.573766
0,mse,19,0.15,7.256736,15.230642
0,mae,20,0.05,6.31434,15.933825
0,mae,20,0.075,7.477642,15.90469
0,mae,20,0.1,7.770028,15.67058
0,mae,20,0.15,9.435818,14.721931
0,mse,20,0.05,5.552253,16.214899
0,mse,20,0.075,6.337089,16.224403
0,mse,20,0.1,6.504456,15.886151
0,mse,20,0.15,7.994953,14.08167
0,mae,21,0.05,5.880669,16.288645
0,mae,21,0.075,7.344368,15.361423
0,mae,21,0.1,7.784915,15.136536
0,mae,21,0.15,8.978716,14.864796
0,mse,21,0.05,4.702794,16.619848
0,mse,21,0.075,5.883739,14.670435
0,mse,21,0.1,6.166509,14.44895
0,mse,21,0.15,7.120682,14.183158
0,mae,22,0.05,6.408543,15.730818
0,mae,22,0.075,7.125653,15.178031
0,mae,22,0.1,7.432843,15.062532
0,mae,22,0.15,8.100202,14.457912
0,mse,22,0.05,5.240066,15.351118
0,mse,22,0.075,5.258611,14.690672
0,mse,22,0.1,5.255488,14.361822
0,mse,22,0.15,5.719,13.541195
0,mae,23,0.05,6.921076,15.101315
0,mae,23,0.075,7.211419,14.842484
0,mae,23,0.1,7.632888,14.677235
0,mae,23,0.15,8.131788,14.422356
0,mse,23,0.05,5.574705,14.235295
0,mse,23,0.075,5.489565,14.049109
0,mse,23,0.1,5.652952,13.800636
0,mse,23,0.15,6.155003,13.24598
1,mae,0,0.05,6.641933,14.745928
1,mae,0,0.075,7.516993,14.366773
1,mae,0,0.1,7.948925,14.249541
1,mae,0,0.15,9.057699,13.578239
1,mse,0,0.05,5.915297,13.481123
1,mse,0,0.075,6.449844,12.590189
1,mse,0,0.1,6.592593,12.530102
1,mse,0,0.15,7.265396,11.62755
1,mae,1,0.05,6.301201,14.949858
1,mae,1,0.075,7.58675,14.710337
1,mae,1,0.1,8.168135,14.469584
1,mae,1,0.15,9.05446,14.012157
1,mse,1,0.05,5.78416,13.849205
1,mse,1,0.075,6.788147,13.263648
1,mse,1,0.1,7.085747,12.765778
1,mse,1,0.15,7.802876,12.122236
1,mae,2,0.05,6.905683,14.911613
1,mae,2,0.075,7.483256,14.744106
1,mae,2,0.1,8.109651,14.57004
1,mae,2,0.15,8.75148,14.230493
1,mse,2,0.05,6.23402,13.667099
1,mse,2,0.075,6.617238,13.257669
1,mse,2,0.1,7.159516,12.959562
1,mse,2,0.15,7.714475,12.480977
1,mae,3,0.05,6.860573,14.763123
1,mae,3,0.075,7.250695,14.609625
1,mae,3,0.1,7.774815,14.448083
1,mae,3,0.15,9.060244,14.158318
1,mse,3,0.05,6.075762,13.534553
1,mse,3,0.075,6.218171,13.1001
1,mse,3,0.1,6.659608,12.843051
1,mse,3,0.15,7.738828,12.462635
1,mae,4,0.05,6.662963,14.734084
1,mae,4,0.075,7.250139,14.644021
1,mae,4,0.1,7.799994,14.29567
1,mae,4,0.15,8.816766,14.149105
1,mse,4,0.05,6.112111,13.505739
1,mse,4,0.075,6.188961,13.196352
1,mse,4,0.1,6.7188,12.692964
1,mse,4,0.15,7.378278,12.489946
1,mae,5,0.05,7.000479,14.926867
1,mae,5,0.075,7.391615,14.594421
1,mae,5,0.1,7.833764,14.352652
1,mae,5,0.15,8.662201,13.775713
1,mse,5,0.05,6.253253,13.864209
1,mse,5,0.075,6.615094,13.196373
1,mse,5,0.1,6.732434,12.864749
1,mse,5,0.15,7.236346,11.985804
1,mae,6,0.05,6.913172,14.962233
1,mae,6,0.075,7.608376,14.493963
1,mae,6,0.1,7.9306,14.044819
1,mae,6,0.15,8.860174,13.502964
1,mse,6,0.05,6.213006,13.895809
1,mse,6,0.075,6.648342,13.142548
1,mse,6,0.1,6.666484,12.446285
1,mse,6,0.15,7.354254,11.637182
1,mae,7,0.05,7.106514,14.60984
1,mae,7,0.075,7.920745,14.247498
1,mae,7,0.1,8.484046,14.076337
1,mae,7,0.15,9.009599,13.771791
1,mse,7,0.05,6.407316,13.335804
1,mse,7,0.075,6.894983,12.845323
1,mse,7,0.1,7.358539,12.565227
1,mse,7,0.15,7.56237,12.067487
1,mae,8,0.05,7.136268,14.669617
1,mae,8,0.075,7.577235,14.445719
1,mae,8,0.1,8.1744,14.310883
1,mae,8,0.15,9.23682,13.71092
1,mse,8,0.05,6.344945,13.510319
1,mse,8,0.075,6.527742,13.225478
1,mse,8,0.1,7.010868,13.081654
1,mse,8,0.15,8.025657,12.074918
1,mae,9,0.05,6.143061,14.623191
1,mae,9,0.075,7.375992,14.291838
1,mae,9,0.1,7.849538,14.13899
1,mae,9,0.15,8.758892,13.795094
1,mse,9,0.05,4.767155,13.585021
1,mse,9,0.075,6.434735,13.008751
1,mse,9,0.1,6.863835,12.77771
1,mse,9,0.15,7.276528,12.182159
1,mae,10,0.05,6.18631,14.977116
1,mae,10,0.075,7.608994,14.213716
1,mae,10,0.1,7.973935,13.993005
1,mae,10,0.15,9.036006,13.800201
1,mse,10,0.05,4.748463,14.489381
1,mse,10,0.075,6.560892,13.04878
1,mse,10,0.1,6.787228,12.725905
1,mse,10,0.15,7.558864,12.318518
1,mae,11,0.05,6.191483,14.997324
1,mae,11,0.075,7.522346,14.260729
1,mae,11,0.1,7.782788,14.257863
1,mae,11,0.15,8.462398,13.859784
1,mse,11,0.05,4.580515,14.487482
1,mse,11,0.075,6.455507,13.184038
1,mse,11,0.1,6.589829,13.148821
1,mse,11,0.15,7.02904,12.417086
1,mae,12,0.05,5.903708,14.834318
1,mae,12,0.075,7.708438,14.190662
1,mae,12,0.1,7.887035,14.230811
1,mae,12,0.15,8.717175,14.221651
1,mse,12,0.05,4.484553,14.021468
1,mse,12,0.075,6.782,12.967463
1,mse,12,0.1,6.796644,12.957769
1,mse,12,0.15,7.276304,12.921563
1,mae,13,0.05,5.142573,14.414978
1,mae,13,0.075,7.036602,14.192013
1,mae,13,0.1,7.35368,13.9952
1,mae,13,0.15,8.65669,13.824746
1,mse,13,0.05,3.487017,13.151016
1,mse,13,0.075,5.586763,12.810246
1,mse,13,0.1,5.765811,12.655439
1,mse,13,0.15,7.016531,12.285507
1,mae,14,0.05,6.292289,14.339521
1,mae,14,0.075,7.164573,13.960764
1,mae,14,0.1,7.554859,13.697052
1,mae,14,0.15,8.018423,13.585803
1,mse,14,0.05,4.930182,12.874867
