batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.588729,11.811009
0,mae,0,0.075,11.390652,11.470511
0,mae,0,0.1,11.647524,11.145543
0,mae,0,0.15,12.359062,10.110275
0,mse,0,0.05,8.691856,9.093668
0,mse,0,0.075,9.575284,8.910059
0,mse,0,0.1,9.767851,8.550276
0,mse,0,0.15,10.961836,7.000585
0,mae,1,0.05,10.172107,11.901987
0,mae,1,0.075,10.754751,11.265549
0,mae,1,0.1,11.297716,10.912017
0,mae,1,0.15,11.937746,9.800833
0,mse,1,0.05,8.511869,9.453172
0,mse,1,0.075,9.306535,8.670512
0,mse,1,0.1,10.025892,8.369534
0,mse,1,0.15,11.057659,6.752464
0,mae,2,0.05,10.078584,11.876403
0,mae,2,0.075,11.019467,10.805367
0,mae,2,0.1,11.205281,10.39946
0,mae,2,0.15,11.763079,9.281539
0,mse,2,0.05,8.929808,9.513722
0,mse,2,0.075,9.989536,8.039886
0,mse,2,0.1,9.821886,7.573738
0,mse,2,0.15,10.797647,6.187096
0,mae,3,0.05,9.779846,11.673813
0,mae,3,0.075,11.023184,10.608335
0,mae,3,0.1,10.957592,10.088823
0,mae,3,0.15,11.916033,9.303246
0,mse,3,0.05,8.762356,9.215836
0,mse,3,0.075,10.029822,7.783011
0,mse,3,0.1,9.859795,7.127158
0,mse,3,0.15,10.972651,6.092577
0,mae,4,0.05,10.471235,11.479702
0,mae,4,0.075,10.870089,10.714991
0,mae,4,0.1,11.070518,10.190171
0,mae,4,0.15,11.991556,9.263512
0,mse,4,0.05,9.632136,8.867516
0,mse,4,0.075,9.566788,7.734793
0,mse,4,0.1,10.08876,7.122993
0,mse,4,0.15,10.956869,6.061045
0,mae,5,0.05,10.490938,11.265141
0,mae,5,0.075,10.944399,10.390905
0,mae,5,0.1,11.503789,10.099478
0,mae,5,0.15,12.563099,9.378567
0,mse,5,0.05,9.682293,8.38109
0,mse,5,0.075,9.905577,7.381022
0,mse,5,0.1,10.642689,7.022394
0,mse,5,0.15,12.204831,5.987014
0,mae,6,0.05,10.392672,11.251188
0,mae,6,0.075,11.270955,10.412487
0,mae,6,0.1,11.614962,10.070091
0,mae,6,0.15,12.469262,9.62072
0,mse,6,0.05,9.204971,8.414465
0,mse,6,0.075,10.517992,7.327082
0,mse,6,0.1,10.84234,6.89737
0,mse,6,0.15,11.880669,6.360074
0,mae,7,0.05,9.978966,11.168671
0,mae,7,0.075,11.145247,10.658476
0,mae,7,0.1,11.238123,10.315827
0,mae,7,0.15,12.549349,9.320673
0,mse,7,0.05,8.750982,8.221536
0,mse,7,0.075,10.190391,7.484438
0,mse,7,0.1,10.248224,7.197032
0,mse,7,0.15,11.804985,6.127856
0,mae,8,0.05,10.097113,11.508569
0,mae,8,0.075,10.864767,10.552256
0,mae,8,0.1,11.424316,10.42181
0,mae,8,0.15,12.755867,9.244963
0,mse,8,0.05,8.710585,8.55413
0,mse,8,0.075,9.459719,7.409354
0,mse,8,0.1,9.89254,7.263687
0,mse,8,0.15,12.253527,5.846241
0,mae,9,0.05,10.11079,11.202204
0,mae,9,0.075,11.306089,10.470279
0,mae,9,0.1,11.62635,9.6737
0,mae,9,0.15,12.344414,8.714187
0,mse,9,0.05,8.317053,8.1691
0,mse,9,0.075,10.045218,7.201636
0,mse,9,0.1,10.497687,6.2424
0,mse,9,0.15,11.517585,5.249944
0,mae,10,0.05,10.081301,11.307978
0,mae,10,0.075,10.728226,10.511097
0,mae,10,0.1,11.499043,9.914729
0,mae,10,0.15,12.77895,8.284481
0,mse,10,0.05,8.216885,8.279618
0,mse,10,0.075,9.125351,7.248196
0,mse,10,0.1,9.8736,6.605396
0,mse,10,0.15,11.832072,4.669469
0,mae,11,0.05,9.35932,11.198431
0,mae,11,0.075,10.764036,10.358854
0,mae,11,0.1,11.564346,9.647009
0,mae,11,0.15,12.432066,8.020699
0,mse,11,0.05,7.535144,8.191969
0,mse,11,0.075,9.050042,7.01802
0,mse,11,0.1,10.056732,6.220863
0,mse,11,0.15,11.464573,4.458847
0,mae,12,0.05,10.072809,11.668983
0,mae,12,0.075,11.104193,10.454741
0,mae,12,0.1,11.707052,9.931429
0,mae,12,0.15,12.423169,8.380095
0,mse,12,0.05,8.213158,8.683191
0,mse,12,0.075,9.45883,6.970323
0,mse,12,0.1,9.820765,6.381576
0,mse,12,0.15,11.014154,4.621217
0,mae,13,0.05,9.623436,11.390009
0,mae,13,0.075,10.099754,10.416382
0,mae,13,0.1,10.724041,10.136928
0,mae,13,0.15,12.074434,8.874952
0,mse,13,0.05,7.940039,8.42285
0,mse,13,0.075,8.048285,7.098737
0,mse,13,0.1,9.02363,6.594636
0,mse,13,0.15,10.488021,5.204001
0,mae,14,0.05,9.714231,11.895523
0,mae,14,0.075,10.275131,11.171657
0,mae,14,0.1,11.270418,10.808062
0,mae,14,0.15,11.751578,9.198488
0,mse,14,0.05,7.937973,9.274778
0,mse,14,0.075,8.204449,8.019421
0,mse,14,0.1,9.201032,7.596776
0,mse,14,0.15,10.148895,5.644017
0,mae,15,0.05,9.61084,12.223696
0,mae,15,0.075,10.327939,11.033958
0,mae,15,0.1,10.845116,10.599068
0,mae,15,0.15,11.622782,9.565657
0,mse,15,0.05,7.451631,9.677942
0,mse,15,0.075,8.223127,7.908874
0,mse,15,0.1,8.636588,7.378549
0,mse,15,0.15,9.54406,6.158423
0,mae,16,0.05,9.185123,11.865782
0,mae,16,0.075,10.385865,10.96705
0,mae,16,0.1,10.816818,10.394064
0,mae,16,0.15,11.933789,9.563967
0,mse,16,0.05,7.226077,9.517492
0,mse,16,0.075,8.172457,7.928884
0,mse,16,0.1,8.618185,7.092172
0,mse,16,0.15,10.198381,6.163451
0,mae,17,0.05,9.506535,11.606925
0,mae,17,0.075,10.556161,10.754192
0,mae,17,0.1,10.686929,10.546979
0,mae,17,0.15,11.535397,9.161219
0,mse,17,0.05,7.644711,9.164766
0,mse,17,0.075,8.796551,7.998406
0,mse,17,0.1,8.661378,7.753826
0,mse,17,0.15,9.519749,5.751502
0,mae,18,0.05,9.167128,11.393105
0,mae,18,0.075,10.290815,11.031364
0,mae,18,0.1,10.283087,10.452821
0,mae,18,0.15,11.057568,9.530304
0,mse,18,0.05,7.627169,8.733615
0,mse,18,0.075,8.134764,8.374055
0,mse,18,0.1,8.379513,7.563848
0,mse,18,0.15,9.201268,6.495471
0,mae,19,0.05,8.63327,12.207525
0,mae,19,0.075,10.445677,10.909191
0,mae,19,0.1,10.95721,10.442938
0,mae,19,0.15,11.545409,9.384238
0,mse,19,0.05,7.160237,9.993639
0,mse,19,0.075,8.566722,8.354231
0,mse,19,0.1,8.922318,7.829536
0,mse,19,0.15,10.1048,6.360863
0,mae,20,0.05,10.115297,12.477087
0,mae,20,0.075,10.71396,11.507505
0,mae,20,0.1,11.227533,10.786428
0,mae,20,0.15,12.117531,9.30931
0,mse,20,0.05,8.890206,10.369747
0,mse,20,0.075,9.03965,9.066685
0,mse,20,0.1,9.571207,8.192251
0,mse,20,0.15,10.869223,6.276566
0,mae,21,0.05,10.180023,12.824292
0,mae,21,0.075,10.967063,11.687052
0,mae,21,0.1,11.277874,11.315068
0,mae,21,0.15,11.863856,10.089178
0,mse,21,0.05,8.986331,11.164747
0,mse,21,0.075,9.621122,9.471369
0,mse,21,0.1,9.826651,8.779169
0,mse,21,0.15,10.496958,7.03236
0,mae,22,0.05,10.934422,12.278811
0,mae,22,0.075,11.146251,11.518842
0,mae,22,0.1,11.052992,10.955107
0,mae,22,0.15,11.623621,9.752869
0,mse,22,0.05,9.739635,10.12443
0,mse,22,0.075,10.265627,8.831955
0,mse,22,0.1,9.752121,7.970311
0,mse,22,0.15,10.579009,6.539487
0,mae,23,0.05,11.04326,12.702129
0,mae,23,0.075,11.544093,11.199444
0,mae,23,0.1,11.442316,10.814949
0,mae,23,0.15,12.163572,9.681074
0,mse,23,0.05,9.710608,10.620781
0,mse,23,0.075,10.458132,8.419693
0,mse,23,0.1,10.186846,7.778968
0,mse,23,0.15,11.10425,6.461507
1,mae,0,0.05,12.479045,12.394513
1,mae,0,0.075,13.229548,11.950738
1,mae,0,0.1,13.541166,11.50539
1,mae,0,0.15,13.404755,10.018098
1,mse,0,0.05,12.033695,9.705545
1,mse,0,0.075,13.082504,9.093342
1,mse,0,0.1,13.41091,8.636444
1,mse,0,0.15,13.125269,6.68318
1,mae,1,0.05,12.458888,12.494117
1,mae,1,0.075,12.77733,11.725948
1,mae,1,0.1,13.057941,11.249495
1,mae,1,0.15,13.651997,10.238633
1,mse,1,0.05,12.453406,9.84815
1,mse,1,0.075,12.607131,8.790201
1,mse,1,0.1,13.1429,8.134195
1,mse,1,0.15,14.380213,7.140296
1,mae,2,0.05,12.223297,12.813435
1,mae,2,0.075,13.343983,11.837831
