batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.323742,11.511904
0,mae,0,0.075,10.580423,11.236765
0,mae,0,0.1,11.123264,11.034272
0,mae,0,0.15,11.143396,9.921171
0,mse,0,0.05,6.888587,9.11816
0,mse,0,0.075,8.465944,8.80586
0,mse,0,0.1,9.143005,8.547343
0,mse,0,0.15,9.017497,6.777624
0,mae,1,0.05,9.031939,11.542629
0,mae,1,0.075,9.718899,11.056503
0,mae,1,0.1,10.434595,10.724056
0,mae,1,0.15,11.116911,9.714642
0,mse,1,0.05,6.803289,8.860884
0,mse,1,0.075,8.049328,8.364205
0,mse,1,0.1,8.675551,8.055414
0,mse,1,0.15,9.179182,6.618205
0,mae,2,0.05,8.860765,11.114463
0,mae,2,0.075,9.684804,10.536554
0,mae,2,0.1,9.878038,10.106377
0,mae,2,0.15,11.083314,9.436199
0,mse,2,0.05,6.578421,8.38682
0,mse,2,0.075,7.739784,7.634766
0,mse,2,0.1,7.987069,7.047636
0,mse,2,0.15,9.467487,6.258046
0,mae,3,0.05,8.977575,10.660435
0,mae,3,0.075,9.989281,10.223394
0,mae,3,0.1,10.545887,9.998995
0,mae,3,0.15,10.809355,9.185102
0,mse,3,0.05,6.914707,7.81905
0,mse,3,0.075,8.210701,7.209886
0,mse,3,0.1,8.98504,6.88501
0,mse,3,0.15,8.820071,5.771438
0,mae,4,0.05,9.099384,10.877546
0,mae,4,0.075,9.756054,10.294149
0,mae,4,0.1,9.990827,9.925426
0,mae,4,0.15,10.639053,9.045556
0,mse,4,0.05,7.18334,7.775448
0,mse,4,0.075,7.692056,7.105615
0,mse,4,0.1,8.053995,6.741748
0,mse,4,0.15,8.924814,5.675165
0,mae,5,0.05,8.969238,10.880672
0,mae,5,0.075,9.743545,10.572084
0,mae,5,0.1,9.926777,10.291464
0,mae,5,0.15,10.565918,9.608572
0,mse,5,0.05,6.647781,7.840954
0,mse,5,0.075,7.715278,7.507939
0,mse,5,0.1,7.694956,7.194935
0,mse,5,0.15,8.817652,6.200042
0,mae,6,0.05,8.94641,10.905105
0,mae,6,0.075,9.892193,10.477379
0,mae,6,0.1,9.97074,10.190267
0,mae,6,0.15,10.884075,9.639484
0,mse,6,0.05,6.897917,7.940646
0,mse,6,0.075,7.65216,7.442166
0,mse,6,0.1,8.040514,7.126573
0,mse,6,0.15,9.104558,6.409586
0,mae,7,0.05,8.709754,10.855334
0,mae,7,0.075,8.953793,10.592122
0,mae,7,0.1,9.698491,10.381242
0,mae,7,0.15,10.237823,9.480513
0,mse,7,0.05,6.297453,7.791678
0,mse,7,0.075,6.74233,7.568613
0,mse,7,0.1,7.904268,7.231756
0,mse,7,0.15,8.297467,6.140305
0,mae,8,0.05,8.400393,11.121708
0,mae,8,0.075,8.650463,10.458721
0,mae,8,0.1,9.498972,10.183273
0,mae,8,0.15,10.277246,9.166767
0,mse,8,0.05,5.965547,8.052013
0,mse,8,0.075,6.072695,7.213798
0,mse,8,0.1,7.076427,6.91849
0,mse,8,0.15,8.056568,5.742807
0,mae,9,0.05,8.259836,10.162252
0,mae,9,0.075,8.905634,10.033728
0,mae,9,0.1,9.452076,9.481339
0,mae,9,0.15,10.554864,8.800331
0,mse,9,0.05,5.852177,6.803194
0,mse,9,0.075,6.261641,6.671466
0,mse,9,0.1,6.864883,6.075792
0,mse,9,0.15,8.274332,5.221093
0,mae,10,0.05,8.257338,10.44388
0,mae,10,0.075,9.21804,9.599583
0,mae,10,0.1,9.570641,9.22117
0,mae,10,0.15,10.737932,8.454027
0,mse,10,0.05,5.727087,7.09873
0,mse,10,0.075,6.662141,6.225891
0,mse,10,0.1,6.967997,5.550622
0,mse,10,0.15,8.428621,4.749267
0,mae,11,0.05,8.495491,10.329203
0,mae,11,0.075,9.136826,9.645551
0,mae,11,0.1,9.280039,9.348637
0,mae,11,0.15,10.72254,8.375555
0,mse,11,0.05,5.781857,6.944787
0,mse,11,0.075,6.692296,6.212867
0,mse,11,0.1,6.880024,5.827883
0,mse,11,0.15,8.690784,4.772203
0,mae,12,0.05,8.579046,10.627033
0,mae,12,0.075,8.848752,9.749142
0,mae,12,0.1,9.535295,9.227287
0,mae,12,0.15,10.452894,8.178133
0,mse,12,0.05,5.909135,7.195168
0,mse,12,0.075,6.467466,6.287717
0,mse,12,0.1,7.156886,5.628602
0,mse,12,0.15,7.87211,4.429852
0,mae,13,0.05,8.541409,10.664564
0,mae,13,0.075,9.118141,9.96257
0,mae,13,0.1,9.500321,9.566642
0,mae,13,0.15,10.277656,8.748313
0,mse,13,0.05,5.947179,7.222058
0,mse,13,0.075,6.476097,6.483674
0,mse,13,0.1,6.922269,6.026592
0,mse,13,0.15,7.540556,5.226947
0,mae,14,0.05,8.835669,10.986032
0,mae,14,0.075,9.444149,10.665003
0,mae,14,0.1,9.847364,10.021295
0,mae,14,0.15,10.68358,9.390257
0,mse,14,0.05,6.10853,7.769954
0,mse,14,0.075,6.584659,7.36984
0,mse,14,0.1,6.943006,6.750296
0,mse,14,0.15,8.436747,6.093841
0,mae,15,0.05,8.817286,10.827881
0,mae,15,0.075,9.440476,10.23983
0,mae,15,0.1,9.475513,9.916395
0,mae,15,0.15,10.371602,9.277269
0,mse,15,0.05,6.209067,7.681889
0,mse,15,0.075,6.557048,6.896026
0,mse,15,0.1,6.581993,6.64938
0,mse,15,0.15,7.85763,6.08401
0,mae,16,0.05,9.07398,10.991092
0,mae,16,0.075,9.457316,10.188054
0,mae,16,0.1,9.917162,10.149609
0,mae,16,0.15,10.095732,9.246403
0,mse,16,0.05,6.232532,7.975051
0,mse,16,0.075,6.509786,7.084803
0,mse,16,0.1,6.930058,7.13588
0,mse,16,0.15,7.175732,5.999807
0,mae,17,0.05,8.90113,11.029585
0,mae,17,0.075,9.517653,10.397329
0,mae,17,0.1,9.399494,10.192641
0,mae,17,0.15,10.527604,9.102658
0,mse,17,0.05,6.173616,8.263041
0,mse,17,0.075,6.842936,7.420009
0,mse,17,0.1,6.756304,6.982501
0,mse,17,0.15,7.95015,5.826177
0,mae,18,0.05,7.708449,11.286222
0,mae,18,0.075,9.577755,10.761549
0,mae,18,0.1,9.495761,10.146132
0,mae,18,0.15,10.634153,9.057302
0,mse,18,0.05,5.071219,8.54189
0,mse,18,0.075,6.770147,7.936851
0,mse,18,0.1,6.663081,7.121452
0,mse,18,0.15,8.011885,5.955571
0,mae,19,0.05,8.114892,11.974535
0,mae,19,0.075,8.816811,11.051992
0,mae,19,0.1,9.859377,10.443606
0,mae,19,0.15,11.07676,9.130064
0,mse,19,0.05,5.677747,9.727301
0,mse,19,0.075,6.338574,8.498423
0,mse,19,0.1,7.041303,7.795214
0,mse,19,0.15,8.388237,6.133418
0,mae,20,0.05,8.040277,11.820139
0,mae,20,0.075,10.210617,10.893041
0,mae,20,0.1,10.668877,10.447272
0,mae,20,0.15,10.735719,9.115029
0,mse,20,0.05,5.61435,9.542295
0,mse,20,0.075,7.56994,8.468468
0,mse,20,0.1,8.431444,8.014804
0,mse,20,0.15,8.04837,6.058774
0,mae,21,0.05,9.53039,11.541857
0,mae,21,0.075,10.616646,10.991588
0,mae,21,0.1,10.89609,10.388586
0,mae,21,0.15,11.145229,9.49821
0,mse,21,0.05,6.819418,9.196883
0,mse,21,0.075,8.322581,8.783193
0,mse,21,0.1,8.512645,7.7597
0,mse,21,0.15,8.941778,6.392912
0,mae,22,0.05,9.94622,11.546021
0,mae,22,0.075,10.15512,10.753255
0,mae,22,0.1,10.222561,10.274628
0,mae,22,0.15,10.875454,9.213131
0,mse,22,0.05,7.852185,9.11841
0,mse,22,0.075,8.194311,7.960193
0,mse,22,0.1,8.145276,7.391729
0,mse,22,0.15,9.035606,6.017528
0,mae,23,0.05,9.464325,11.90074
0,mae,23,0.075,10.33399,11.183876
0,mae,23,0.1,10.684414,10.817761
0,mae,23,0.15,10.894832,9.429352
0,mse,23,0.05,7.668741,9.478771
0,mse,23,0.075,8.694422,8.574589
0,mse,23,0.1,9.109594,8.12154
0,mse,23,0.15,9.045681,6.030529
1,mae,0,0.05,13.2644,12.562904
1,mae,0,0.075,13.912154,11.796754
1,mae,0,0.1,14.511755,11.209204
1,mae,0,0.15,14.933475,9.823236
1,mse,0,0.05,12.698675,10.468288
1,mse,0,0.075,13.585754,9.254417
1,mse,0,0.1,14.679281,8.666532
1,mse,0,0.15,15.622108,6.78469
1,mae,1,0.05,13.248724,12.849984
1,mae,1,0.075,14.198944,11.872548
1,mae,1,0.1,14.715448,11.340788
1,mae,1,0.15,14.949851,10.045568
1,mse,1,0.05,12.948132,10.934102
1,mse,1,0.075,14.255756,9.793912
1,mse,1,0.1,14.89911,9.08506
1,mse,1,0.15,15.412696,7.402027
1,mae,2,0.05,13.141379,12.907767
1,mae,2,0.075,14.157582,11.758776
1,mae,2,0.1,14.538383,11.106609
1,mae,2,0.15,15.468052,9.770756
1,mse,2,0.05,12.722467,10.922352
1,mse,2,0.075,14.155483,9.432295
1,mse,2,0.1,14.521135,8.641498
1,mse,2,0.15,16.009953,6.848368
1,mae,3,0.05,13.250103,12.769345
1,mae,3,0.075,13.852291,11.840157
1,mae,3,0.1,14.47561,11.257414
1,mae,3,0.15,15.196189,10.439731
1,mse,3,0.05,12.633231,10.889877
1,mse,3,0.075,13.763456,9.516038
1,mse,3,0.1,14.574257,8.630803
1,mse,3,0.15,15.424892,7.570031
