batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.729947,12.39178
0,mae,0,0.075,7.976334,11.593719
0,mae,0,0.1,8.445768,11.302889
0,mae,0,0.15,9.505772,10.386562
0,mse,0,0.05,4.095323,10.398336
0,mse,0,0.075,5.192789,9.586079
0,mse,0,0.1,5.483844,9.190279
0,mse,0,0.15,6.949312,7.606473
0,mae,1,0.05,6.632268,13.244749
0,mae,1,0.075,7.710439,11.681671
0,mae,1,0.1,8.085311,11.557524
0,mae,1,0.15,8.612642,10.535131
0,mse,1,0.05,4.07957,11.865644
0,mse,1,0.075,5.005692,9.667383
0,mse,1,0.1,5.178922,9.566094
0,mse,1,0.15,5.62425,7.865913
0,mae,2,0.05,6.737821,12.735153
0,mae,2,0.075,7.835956,11.411015
0,mae,2,0.1,8.513096,11.148625
0,mae,2,0.15,8.659756,10.350596
0,mse,2,0.05,4.242851,10.93856
0,mse,2,0.075,5.065407,9.03345
0,mse,2,0.1,5.616054,8.723162
0,mse,2,0.15,5.949313,7.707118
0,mae,3,0.05,6.387831,12.45853
0,mae,3,0.075,7.8989,11.173577
0,mae,3,0.1,8.455827,10.687792
0,mae,3,0.15,9.266066,9.850735
0,mse,3,0.05,4.038331,10.391882
0,mse,3,0.075,4.993986,8.741104
0,mse,3,0.1,5.637831,8.050088
0,mse,3,0.15,6.73208,6.864303
0,mae,4,0.05,6.432692,12.003681
0,mae,4,0.075,7.554067,10.991806
0,mae,4,0.1,8.255131,11.110568
0,mae,4,0.15,8.961872,9.818468
0,mse,4,0.05,4.369694,9.510973
0,mse,4,0.075,5.032942,8.391455
0,mse,4,0.1,5.769268,8.533549
0,mse,4,0.15,6.464131,6.774343
0,mae,5,0.05,6.52656,11.822084
0,mae,5,0.075,7.914858,11.18462
0,mae,5,0.1,8.551129,10.953265
0,mae,5,0.15,9.04155,10.019007
0,mse,5,0.05,4.347495,9.320121
0,mse,5,0.075,5.383842,8.535834
0,mse,5,0.1,5.968155,8.339279
0,mse,5,0.15,6.879041,7.071666
0,mae,6,0.05,6.075898,11.964926
0,mae,6,0.075,7.609674,11.012985
0,mae,6,0.1,8.470559,10.861918
0,mae,6,0.15,9.081623,9.853842
0,mse,6,0.05,3.739253,9.286478
0,mse,6,0.075,5.016909,8.013195
0,mse,6,0.1,6.134668,7.877914
0,mse,6,0.15,6.692714,6.804033
0,mae,7,0.05,6.159687,12.078825
0,mae,7,0.075,7.133661,11.441561
0,mae,7,0.1,7.92812,11.12788
0,mae,7,0.15,8.951775,10.02268
0,mse,7,0.05,3.605174,9.468861
0,mse,7,0.075,4.453239,8.685356
0,mse,7,0.1,5.153006,8.213427
0,mse,7,0.15,6.677004,6.848676
0,mae,8,0.05,5.815853,11.939013
0,mae,8,0.075,7.080155,11.024696
0,mae,8,0.1,7.493615,10.809174
0,mae,8,0.15,9.026262,10.119486
0,mse,8,0.05,3.40467,9.39945
0,mse,8,0.075,4.518337,7.985212
0,mse,8,0.1,4.897796,7.935954
0,mse,8,0.15,6.48822,7.041559
0,mae,9,0.05,6.180598,11.910099
0,mae,9,0.075,6.95973,11.353435
0,mae,9,0.1,7.343586,10.902311
0,mae,9,0.15,9.107234,9.854642
0,mse,9,0.05,3.818066,9.221003
0,mse,9,0.075,4.637162,8.446799
0,mse,9,0.1,4.940809,7.780124
0,mse,9,0.15,6.583498,6.464678
0,mae,10,0.05,5.736323,12.269168
0,mae,10,0.075,7.231986,11.550242
0,mae,10,0.1,7.850788,10.780524
0,mae,10,0.15,8.779507,9.909288
0,mse,10,0.05,3.379745,9.977349
0,mse,10,0.075,4.806628,8.696058
0,mse,10,0.1,5.30345,7.508589
0,mse,10,0.15,6.356232,6.505966
0,mae,11,0.05,5.118077,12.811578
0,mae,11,0.075,6.724924,11.388243
0,mae,11,0.1,7.314598,11.141466
0,mae,11,0.15,8.313754,9.796076
0,mse,11,0.05,2.57605,11.216262
0,mse,11,0.075,4.332517,8.607676
0,mse,11,0.1,4.848134,8.203455
0,mse,11,0.15,5.854195,6.477175
0,mae,12,0.05,5.418886,13.106911
0,mae,12,0.075,6.035902,12.450374
0,mae,12,0.1,6.526435,11.995807
0,mae,12,0.15,8.337411,10.28671
0,mse,12,0.05,2.615846,11.559065
0,mse,12,0.075,3.198783,10.289197
0,mse,12,0.1,3.530365,9.672307
0,mse,12,0.15,5.464778,7.207935
0,mae,13,0.05,5.210739,13.018478
0,mae,13,0.075,5.86858,12.447111
0,mae,13,0.1,6.254643,12.091882
0,mae,13,0.15,7.727732,10.398916
0,mse,13,0.05,2.542496,11.460459
0,mse,13,0.075,2.984401,10.496449
0,mse,13,0.1,3.153308,10.065012
0,mse,13,0.15,4.733177,7.483459
0,mae,14,0.05,4.68311,13.553093
0,mae,14,0.075,5.63768,13.412004
0,mae,14,0.1,5.854745,12.42095
0,mae,14,0.15,7.493683,11.557693
0,mse,14,0.05,2.167678,12.279486
0,mse,14,0.075,2.69958,12.070476
0,mse,14,0.1,2.967215,10.449076
0,mse,14,0.15,4.624897,9.063341
0,mae,15,0.05,4.915131,13.962126
0,mae,15,0.075,5.834568,12.855526
0,mae,15,0.1,6.024135,12.678282
0,mae,15,0.15,6.626506,12.127108
0,mse,15,0.05,2.329067,13.206852
0,mse,15,0.075,2.823124,11.699656
0,mse,15,0.1,3.008185,11.35166
0,mse,15,0.15,3.496987,10.216332
0,mae,16,0.05,4.797785,13.733163
0,mae,16,0.075,5.147873,13.432754
0,mae,16,0.1,5.817954,12.942292
0,mae,16,0.15,6.276684,11.93281
0,mse,16,0.05,2.259489,12.707647
0,mse,16,0.075,2.371539,12.368048
0,mse,16,0.1,2.791079,11.893711
0,mse,16,0.15,3.146367,10.131453
0,mae,17,0.05,4.407984,14.210618
0,mae,17,0.075,5.367434,13.160249
0,mae,17,0.1,5.731968,12.681013
0,mae,17,0.15,6.739654,11.852637
0,mse,17,0.05,1.797548,13.353124
0,mse,17,0.075,2.550113,11.966913
0,mse,17,0.1,2.77369,11.342743
0,mse,17,0.15,3.441859,9.860991
0,mae,18,0.05,4.105235,14.183105
0,mae,18,0.075,5.240228,13.068176
0,mae,18,0.1,5.883625,12.872416
0,mae,18,0.15,6.833542,11.881405
0,mse,18,0.05,1.689175,13.560656
0,mse,18,0.075,2.195834,11.713385
0,mse,18,0.1,2.788083,11.675348
0,mse,18,0.15,3.41482,10.076242
0,mae,19,0.05,4.091699,14.304699
0,mae,19,0.075,5.475059,13.452125
0,mae,19,0.1,5.720046,12.889295
0,mae,19,0.15,6.881953,11.783257
0,mse,19,0.05,1.487322,13.50871
0,mse,19,0.075,2.531512,12.12121
0,mse,19,0.1,2.675194,11.576508
0,mse,19,0.15,3.534853,10.16243
0,mae,20,0.05,4.075051,13.814749
0,mae,20,0.075,5.580688,13.259749
0,mae,20,0.1,6.282015,12.833529
0,mae,20,0.15,6.96704,11.657722
0,mse,20,0.05,1.447045,12.667286
0,mse,20,0.075,2.803436,12.043771
0,mse,20,0.1,3.284501,11.515382
0,mse,20,0.15,3.849472,9.750517
0,mae,21,0.05,4.471092,14.163671
0,mae,21,0.075,5.42391,13.337511
0,mae,21,0.1,6.116087,12.884434
0,mae,21,0.15,6.857893,11.728003
0,mse,21,0.05,1.758891,13.487158
0,mse,21,0.075,2.63158,12.548986
0,mse,21,0.1,3.025582,11.730964
0,mse,21,0.15,3.89015,9.661699
0,mae,22,0.05,5.461826,14.131256
0,mae,22,0.075,6.103761,12.342793
0,mae,22,0.1,7.167712,11.579883
0,mae,22,0.15,8.208075,10.731649
0,mse,22,0.05,2.628955,13.17539
0,mse,22,0.075,3.006698,10.094245
0,mse,22,0.1,4.532451,8.955048
0,mse,22,0.15,5.405632,7.877074
0,mae,23,0.05,6.977428,12.87589
0,mae,23,0.075,7.739281,12.190166
0,mae,23,0.1,8.268091,11.767097
0,mae,23,0.15,9.227309,10.440505
0,mse,23,0.05,3.868216,11.132614
0,mse,23,0.075,4.82344,9.90827
0,mse,23,0.1,5.542993,9.28901
0,mse,23,0.15,6.619249,7.433252
1,mae,0,0.05,11.558482,14.261075
1,mae,0,0.075,11.589115,13.054068
1,mae,0,0.1,11.712359,12.681091
1,mae,0,0.15,12.301726,11.507217
1,mse,0,0.05,10.778226,12.835661
1,mse,0,0.075,10.788774,10.890324
1,mse,0,0.1,10.977127,10.32737
1,mse,0,0.15,11.860275,8.592261
1,mae,1,0.05,11.71534,14.208438
1,mae,1,0.075,11.609565,12.976644
1,mae,1,0.1,12.189281,12.372856
1,mae,1,0.15,12.733151,11.478188
1,mse,1,0.05,10.93479,12.622437
1,mse,1,0.075,10.76765,10.761181
1,mse,1,0.1,11.429733,10.03105
1,mse,1,0.15,12.348089,8.786622
1,mae,2,0.05,11.552734,13.947035
1,mae,2,0.075,12.094565,12.992167
1,mae,2,0.1,12.040075,12.479073
1,mae,2,0.15,12.73996,11.506103
1,mse,2,0.05,10.639088,12.30146
1,mse,2,0.075,11.232679,10.881514
1,mse,2,0.1,11.259639,9.997649
1,mse,2,0.15,12.557677,8.588236
1,mae,3,0.05,11.338902,13.919297
1,mae,3,0.075,11.679556,12.994069
1,mae,3,0.1,11.951367,12.509455
1,mae,3,0.15,12.679646,11.66436
1,mse,3,0.05,10.112766,12.115046
1,mse,3,0.075,11.000957,10.691166
1,mse,3,0.1,11.210617,10.068012
1,mse,3,0.15,12.039488,8.739486
1,mae,4,0.05,11.620701,13.974327
1,mae,4,0.075,11.939329,13.350621
1,mae,4,0.1,11.7027,13.121818
1,mae,4,0.15,12.490102,11.856567
1,mse,4,0.05,10.606423,12.190985
1,mse,4,0.075,11.309443,11.19431
1,mse,4,0.1,11.229235,10.699158
1,mse,4,0.15,12.078482,8.721231
1,mae,5,0.05,11.288404,14.393398
1,mae,5,0.075,11.299225,13.349191
1,mae,5,0.1,11.709531,13.136171
1,mae,5,0.15,12.358852,11.765537
1,mse,5,0.05,10.219542,12.964909
1,mse,5,0.075,10.800669,11.165548
1,mse,5,0.1,11.439686,10.82464
1,mse,5,0.15,12.202713,8.679903
1,mae,6,0.05,10.765392,14.130287
1,mae,6,0.075,10.910675,13.527852
1,mae,6,0.1,11.113212,13.229235
1,mae,6,0.15,12.261519,12.020146
1,mse,6,0.05,9.379965,12.608479
1,mse,6,0.075,9.59157,11.466805
1,mse,6,0.1,9.835608,10.983936
1,mse,6,0.15,12.022345,9.092163
1,mae,7,0.05,11.033258,13.971684
1,mae,7,0.075,10.940764,13.23597
1,mae,7,0.1,11.035039,13.050795
1,mae,7,0.15,12.104874,11.785833
1,mse,7,0.05,9.566023,12.315411
1,mse,7,0.075,9.467621,10.951139
1,mse,7,0.1,9.592765,10.703199
1,mse,7,0.15,11.232624,8.792194
1,mae,8,0.05,10.784959,14.112551
1,mae,8,0.075,10.572306,13.4081
1,mae,8,0.1,10.817589,12.935163
1,mae,8,0.15,12.047953,11.773324
1,mse,8,0.05,9.040809,12.592338
1,mse,8,0.075,8.954822,11.335188
1,mse,8,0.1,9.153664,10.575708
