batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.207562,11.325048
0,mae,0,0.075,9.297134,10.544263
0,mae,0,0.1,9.712114,10.046297
0,mae,0,0.15,10.193027,8.833241
0,mse,0,0.05,5.055742,8.552753
0,mse,0,0.075,6.269129,7.838853
0,mse,0,0.1,6.904788,7.276131
0,mse,0,0.15,7.42837,5.432362
0,mae,1,0.05,8.327779,11.428131
0,mae,1,0.075,8.438008,10.693042
0,mae,1,0.1,8.998885,10.417608
0,mae,1,0.15,10.088427,9.401957
0,mse,1,0.05,5.20135,8.706292
0,mse,1,0.075,5.6998,7.773975
0,mse,1,0.1,6.476288,7.493062
0,mse,1,0.15,7.56337,6.474489
0,mae,2,0.05,8.103605,11.308029
0,mae,2,0.075,8.807763,10.577734
0,mae,2,0.1,9.156802,10.321254
0,mae,2,0.15,9.861902,8.908275
0,mse,2,0.05,5.329308,8.466372
0,mse,2,0.075,6.163115,7.554136
0,mse,2,0.1,6.76069,7.386042
0,mse,2,0.15,7.582056,5.664579
0,mae,3,0.05,8.200782,11.2843
0,mae,3,0.075,8.73819,10.206345
0,mae,3,0.1,8.922312,9.763075
0,mae,3,0.15,9.809952,8.786735
0,mse,3,0.05,5.421545,8.187896
0,mse,3,0.075,5.976762,6.928556
0,mse,3,0.1,6.240454,6.400312
0,mse,3,0.15,7.440343,5.310862
0,mae,4,0.05,8.618968,10.970905
0,mae,4,0.075,9.296859,10.232469
0,mae,4,0.1,9.342909,9.933076
0,mae,4,0.15,9.984251,8.779694
0,mse,4,0.05,5.793733,7.69216
0,mse,4,0.075,6.499593,6.937485
0,mse,4,0.1,6.611974,6.4682
0,mse,4,0.15,7.461722,5.110729
0,mae,5,0.05,8.647463,10.620539
0,mae,5,0.075,9.370227,10.347431
0,mae,5,0.1,9.808403,9.976009
0,mae,5,0.15,10.277582,9.013214
0,mse,5,0.05,5.877025,7.231251
0,mse,5,0.075,6.452173,6.860576
0,mse,5,0.1,6.999294,6.598677
0,mse,5,0.15,7.803533,5.448578
0,mae,6,0.05,8.548439,10.730576
0,mae,6,0.075,9.616495,10.242781
0,mae,6,0.1,9.779913,10.097002
0,mae,6,0.15,10.662672,9.008928
0,mse,6,0.05,5.440213,7.294553
0,mse,6,0.075,6.953897,6.899828
0,mse,6,0.1,7.139956,6.791915
0,mse,6,0.15,8.149156,5.57621
0,mae,7,0.05,8.065104,11.064138
0,mae,7,0.075,8.964495,10.351471
0,mae,7,0.1,9.732593,10.094535
0,mae,7,0.15,10.528426,8.965474
0,mse,7,0.05,4.871122,7.735084
0,mse,7,0.075,6.103546,7.155339
0,mse,7,0.1,7.066993,6.756336
0,mse,7,0.15,7.774619,5.536756
0,mae,8,0.05,8.565111,11.340707
0,mae,8,0.075,8.792773,10.29022
0,mae,8,0.1,9.494677,9.8724
0,mae,8,0.15,10.228001,8.826111
0,mse,8,0.05,5.141018,8.025846
0,mse,8,0.075,6.001954,7.041217
0,mse,8,0.1,6.65653,6.604626
0,mse,8,0.15,7.719814,5.303916
0,mae,9,0.05,8.179851,11.099129
0,mae,9,0.075,8.86849,10.410228
0,mae,9,0.1,9.401903,9.802712
0,mae,9,0.15,10.088335,8.726749
0,mse,9,0.05,4.910669,7.924967
0,mse,9,0.075,5.561408,7.076594
0,mse,9,0.1,6.381781,6.329789
0,mse,9,0.15,7.544837,4.928515
