batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.68497,10.555105
0,mae,0,0.075,9.930424,10.346542
0,mae,0,0.1,10.43624,9.361694
0,mae,0,0.15,11.200453,8.734785
0,mse,0,0.05,6.740303,7.111331
0,mse,0,0.075,8.125486,6.74994
0,mse,0,0.1,8.56835,5.474552
0,mse,0,0.15,9.398851,4.869599
0,mae,1,0.05,9.137468,10.760058
0,mae,1,0.075,10.110426,10.057545
0,mae,1,0.1,10.375637,9.190586
0,mae,1,0.15,10.968229,8.482422
0,mse,1,0.05,7.253224,7.614042
0,mse,1,0.075,8.644549,6.246796
0,mse,1,0.1,9.1532,5.295182
0,mse,1,0.15,9.049678,4.760548
0,mae,2,0.05,9.186614,10.407764
0,mae,2,0.075,9.448055,9.847774
0,mae,2,0.1,9.870406,9.049128
0,mae,2,0.15,10.317249,8.809792
0,mse,2,0.05,7.611073,7.024734
0,mse,2,0.075,7.031779,6.313307
0,mse,2,0.1,7.348433,5.30105
0,mse,2,0.15,8.333004,5.293707
0,mae,3,0.05,9.400892,10.625725
0,mae,3,0.075,9.42823,9.758306
0,mae,3,0.1,10.015247,9.060778
0,mae,3,0.15,10.208845,8.448277
0,mse,3,0.05,7.715126,7.227923
0,mse,3,0.075,7.1671,6.416429
0,mse,3,0.1,7.506663,5.472373
0,mse,3,0.15,7.622316,5.076597
0,mae,4,0.05,9.546757,10.997842
0,mae,4,0.075,9.031011,10.243124
0,mae,4,0.1,9.566177,9.707594
0,mae,4,0.15,10.833838,8.603565
0,mse,4,0.05,8.211124,7.973834
0,mse,4,0.075,6.833302,6.671427
0,mse,4,0.1,7.22218,6.085525
0,mse,4,0.15,8.282275,5.24614
0,mae,5,0.05,9.557933,10.622394
0,mae,5,0.075,8.999041,10.266024
0,mae,5,0.1,9.132622,9.858222
0,mae,5,0.15,9.553913,9.334054
0,mse,5,0.05,7.980329,7.430835
0,mse,5,0.075,6.811243,6.992794
0,mse,5,0.1,6.874903,6.501398
0,mse,5,0.15,7.13366,6.047794
0,mae,6,0.05,8.447699,10.892147
0,mae,6,0.075,9.829527,9.580813
0,mae,6,0.1,10.056355,9.171811
0,mae,6,0.15,10.398049,8.3605
0,mse,6,0.05,6.08673,7.690965
0,mse,6,0.075,8.231602,6.147388
0,mse,6,0.1,8.137774,5.684051
0,mse,6,0.15,8.733095,5.250561
0,mae,7,0.05,7.678785,10.249912
0,mae,7,0.075,8.570688,9.640648
0,mae,7,0.1,9.146379,9.609401
0,mae,7,0.15,9.767256,8.1981
0,mse,7,0.05,5.265591,6.962177
0,mse,7,0.075,6.118244,6.005062
0,mse,7,0.1,6.674484,5.928295
0,mse,7,0.15,7.062114,4.875551
0,mae,8,0.05,7.577996,10.731081
0,mae,8,0.075,8.194204,9.608187
0,mae,8,0.1,8.633645,8.815233
0,mae,8,0.15,10.049896,8.197966
0,mse,8,0.05,5.107234,7.473671
0,mse,8,0.075,5.684298,6.288292
0,mse,8,0.1,5.986845,5.243626
0,mse,8,0.15,7.214389,4.823602
0,mae,9,0.05,7.537911,10.915091
0,mae,9,0.075,8.480157,9.715216
0,mae,9,0.1,8.864016,8.81424
0,mae,9,0.15,9.753352,8.799864
0,mse,9,0.05,4.856699,8.009163
0,mse,9,0.075,5.867153,6.360201
0,mse,9,0.1,6.326926,5.298562
0,mse,9,0.15,7.168138,5.102916
0,mae,10,0.05,7.267609,10.473898
0,mae,10,0.075,8.367278,9.428069
0,mae,10,0.1,8.957105,9.061007
0,mae,10,0.15,10.173629,8.952315
0,mse,10,0.05,4.621641,7.199265
0,mse,10,0.075,5.660485,6.224811
0,mse,10,0.1,6.177196,5.8553
0,mse,10,0.15,7.781627,5.34943
0,mae,11,0.05,8.006859,10.77697
0,mae,11,0.075,8.66992,9.247389
0,mae,11,0.1,9.859381,8.76074
0,mae,11,0.15,10.418335,8.061825
0,mse,11,0.05,5.479827,7.570745
0,mse,11,0.075,5.876521,5.80381
0,mse,11,0.1,7.598885,5.104852
0,mse,11,0.15,8.059013,4.308201
0,mae,12,0.05,7.841013,10.738151
0,mae,12,0.075,8.436228,10.387072
0,mae,12,0.1,8.747878,9.825468
0,mae,12,0.15,9.832863,9.20354
0,mse,12,0.05,5.703033,7.317839
0,mse,12,0.075,5.875563,6.98858
0,mse,12,0.1,6.066584,6.428988
0,mse,12,0.15,7.463966,5.606648
0,mae,13,0.05,7.338225,10.60003
0,mae,13,0.075,8.043854,9.920549
0,mae,13,0.1,8.509472,9.591719
0,mae,13,0.15,9.123243,9.509375
0,mse,13,0.05,4.752699,7.421855
0,mse,13,0.075,5.621063,6.565184
0,mse,13,0.1,6.022697,6.06926
0,mse,13,0.15,6.732578,5.847554
0,mae,14,0.05,8.181068,10.315247
0,mae,14,0.075,8.907084,9.45865
0,mae,14,0.1,9.88952,9.003177
0,mae,14,0.15,10.175062,7.966588
0,mse,14,0.05,5.596911,6.769516
0,mse,14,0.075,6.497331,5.718463
0,mse,14,0.1,7.898903,5.233342
0,mse,14,0.15,7.99397,4.331991
0,mae,15,0.05,8.284056,10.171194
0,mae,15,0.075,9.897783,9.096053
0,mae,15,0.1,9.872179,8.71247
0,mae,15,0.15,10.923393,8.249222
0,mse,15,0.05,5.802151,6.516511
0,mse,15,0.075,8.238233,5.269833
0,mse,15,0.1,8.308774,4.929246
0,mse,15,0.15,9.419352,4.479712
0,mae,16,0.05,7.65163,10.406941
0,mae,16,0.075,8.968736,9.155855
0,mae,16,0.1,9.099378,8.807718
0,mae,16,0.15,10.362045,8.276732
0,mse,16,0.05,6.253947,6.850112
0,mse,16,0.075,7.620913,5.262369
0,mse,16,0.1,7.831532,4.874521
0,mse,16,0.15,8.643717,4.322996
0,mae,17,0.05,8.531702,10.573528
0,mae,17,0.075,8.354979,9.521864
0,mae,17,0.1,8.972702,9.281782
0,mae,17,0.15,10.173486,8.402933
0,mse,17,0.05,6.747032,7.419824
0,mse,17,0.075,6.266153,6.085012
0,mse,17,0.1,6.842053,5.851615
0,mse,17,0.15,8.095926,4.667801
0,mae,18,0.05,7.126916,11.202192
0,mae,18,0.075,8.233467,10.41413
0,mae,18,0.1,8.45208,9.884453
0,mae,18,0.15,9.845243,8.264492
0,mse,18,0.05,4.848241,8.301734
0,mse,18,0.075,5.806013,7.145625
0,mse,18,0.1,6.005545,6.523444
0,mse,18,0.15,7.817491,4.752668
0,mae,19,0.05,7.758625,10.395658
0,mae,19,0.075,8.48558,10.050344
0,mae,19,0.1,8.870728,9.129254
0,mae,19,0.15,9.822071,8.512368
0,mse,19,0.05,5.927331,6.941074
0,mse,19,0.075,6.344724,6.355311
0,mse,19,0.1,6.602678,5.411798
0,mse,19,0.15,7.57261,4.878832
0,mae,20,0.05,7.093465,10.928537
0,mae,20,0.075,8.428533,10.121043
0,mae,20,0.1,8.609093,9.489467
0,mae,20,0.15,9.975398,8.689859
