batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,11.539161,9.649034
0,mae,0,0.075,12.382362,8.950521
0,mae,0,0.1,12.994158,8.954557
0,mae,0,0.15,13.308819,8.546133
0,mse,0,0.05,10.011689,6.478395
0,mse,0,0.075,10.628695,5.249502
0,mse,0,0.1,10.955034,5.0686
0,mse,0,0.15,11.150154,5.234774
0,mae,1,0.05,11.305651,9.859214
0,mae,1,0.075,11.608938,8.977957
0,mae,1,0.1,12.086923,7.8954
0,mae,1,0.15,13.088073,7.739527
0,mse,1,0.05,8.734536,6.438988
0,mse,1,0.075,9.098299,5.350026
0,mse,1,0.1,9.431746,4.240273
0,mse,1,0.15,10.881435,4.469351
0,mae,2,0.05,11.563464,9.355977
0,mae,2,0.075,12.130537,8.458309
0,mae,2,0.1,11.817383,7.752304
0,mae,2,0.15,12.57741,7.942994
0,mse,2,0.05,9.037508,5.965296
0,mse,2,0.075,9.551125,4.846965
0,mse,2,0.1,9.067913,4.034074
0,mse,2,0.15,10.345358,4.290443
0,mae,3,0.05,11.754274,9.200902
0,mae,3,0.075,12.127317,8.643451
0,mae,3,0.1,11.916667,8.094851
0,mae,3,0.15,12.213939,6.837511
0,mse,3,0.05,9.82082,5.879898
0,mse,3,0.075,9.453739,4.903289
0,mse,3,0.1,9.167336,4.399124
0,mse,3,0.15,9.646418,3.390175
0,mae,4,0.05,10.912327,8.97711
0,mae,4,0.075,11.800018,7.978945
0,mae,4,0.1,11.830898,7.512788
0,mae,4,0.15,12.113815,6.734678
0,mse,4,0.05,8.52231,5.540156
0,mse,4,0.075,9.241836,4.266607
0,mse,4,0.1,9.095962,3.881199
0,mse,4,0.15,9.229834,3.268428
0,mae,5,0.05,10.701886,8.903088
0,mae,5,0.075,11.612122,8.338127
0,mae,5,0.1,12.343159,7.869123
0,mae,5,0.15,12.725697,7.130657
0,mse,5,0.05,8.222262,5.246409
0,mse,5,0.075,8.994818,4.536986
0,mse,5,0.1,9.723356,4.182961
0,mse,5,0.15,9.943269,3.640802
0,mae,6,0.05,11.177091,8.543327
0,mae,6,0.075,12.34602,7.772319
0,mae,6,0.1,12.782079,7.218131
0,mae,6,0.15,13.064352,6.911808
0,mse,6,0.05,9.335473,4.759428
0,mse,6,0.075,9.681195,4.002854
0,mse,6,0.1,10.17926,3.48433
0,mse,6,0.15,10.470812,3.424784
0,mae,7,0.05,11.228895,9.328302
0,mae,7,0.075,11.786463,8.425644
0,mae,7,0.1,12.37867,7.822266
0,mae,7,0.15,13.653079,6.854066
0,mse,7,0.05,9.201059,5.827926
0,mse,7,0.075,9.224373,5.060357
0,mse,7,0.1,9.905868,4.220348
0,mse,7,0.15,11.335952,3.483833
0,mae,8,0.05,11.510037,8.630735
0,mae,8,0.075,11.866811,7.726476
0,mae,8,0.1,11.94389,7.549164
0,mae,8,0.15,13.274569,6.860018
0,mse,8,0.05,9.755219,4.990799
0,mse,8,0.075,9.646126,4.018165
0,mse,8,0.1,9.710187,3.972994
0,mse,8,0.15,10.648503,3.492528
0,mae,9,0.05,11.631157,8.788198
0,mae,9,0.075,12.39628,7.880723
0,mae,9,0.1,12.523592,7.137474
0,mae,9,0.15,13.041243,6.934228
0,mse,9,0.05,9.889126,5.215497
0,mse,9,0.075,10.035731,3.997796
0,mse,9,0.1,10.048743,3.287418
0,mse,9,0.15,10.544464,3.512259
0,mae,10,0.05,11.658222,8.491716
0,mae,10,0.075,12.848251,7.837864
0,mae,10,0.1,13.184625,7.313531
0,mae,10,0.15,13.987106,6.280766
0,mse,10,0.05,9.953787,4.636765
0,mse,10,0.075,10.884605,4.263343
0,mse,10,0.1,10.995964,3.563983
0,mse,10,0.15,11.801266,2.995342
0,mae,11,0.05,11.942847,8.409155
0,mae,11,0.075,12.902069,7.597202
0,mae,11,0.1,13.786999,7.052003
0,mae,11,0.15,13.797329,6.438363
0,mse,11,0.05,10.084803,4.494317
0,mse,11,0.075,10.662168,3.679864
0,mse,11,0.1,11.802236,3.202357
0,mse,11,0.15,11.840336,2.815717
0,mae,12,0.05,11.259806,9.67964
0,mae,12,0.075,11.91877,8.440372
0,mae,12,0.1,12.70161,7.527122
0,mae,12,0.15,12.853473,6.248311
0,mse,12,0.05,9.571567,6.06206
0,mse,12,0.075,9.873313,4.582637
0,mse,12,0.1,10.80668,3.879328
0,mse,12,0.15,10.727436,2.682879
0,mae,13,0.05,11.78079,9.328009
0,mae,13,0.075,12.319443,8.305586
0,mae,13,0.1,12.939203,7.930708
0,mae,13,0.15,13.453444,7.330196
0,mse,13,0.05,10.841839,5.995682
0,mse,13,0.075,10.815649,4.790133
0,mse,13,0.1,11.345259,4.523011
0,mse,13,0.15,11.917998,3.94185
0,mae,14,0.05,11.24568,9.468191
0,mae,14,0.075,11.786896,8.363171
0,mae,14,0.1,12.165547,7.78919
0,mae,14,0.15,12.576338,7.226972
0,mse,14,0.05,10.336989,5.980129
0,mse,14,0.075,10.489908,4.934295
0,mse,14,0.1,10.599811,4.400656
0,mse,14,0.15,10.942589,3.798707
0,mae,15,0.05,10.751575,9.840073
0,mae,15,0.075,11.835358,8.760879
0,mae,15,0.1,12.254403,8.293855
0,mae,15,0.15,12.687613,7.007352
0,mse,15,0.05,9.360271,6.587872
0,mse,15,0.075,10.465611,5.208689
0,mse,15,0.1,11.006906,4.681031
0,mse,15,0.15,11.221923,3.735816
0,mae,16,0.05,10.902958,9.571238
0,mae,16,0.075,11.665818,8.94758
0,mae,16,0.1,11.880987,8.342824
0,mae,16,0.15,11.699692,8.042802
0,mse,16,0.05,9.56415,6.193526
0,mse,16,0.075,10.165538,5.20787
0,mse,16,0.1,10.308771,4.623458
0,mse,16,0.15,10.249286,4.544873
0,mae,17,0.05,10.560486,9.80861
0,mae,17,0.075,11.455616,9.06636
0,mae,17,0.1,11.309273,8.802197
0,mae,17,0.15,12.095479,8.356362
0,mse,17,0.05,8.169759,6.59476
0,mse,17,0.075,9.346278,5.6816
0,mse,17,0.1,9.278547,5.338853
0,mse,17,0.15,10.563551,5.046755
0,mae,18,0.05,10.048677,9.801785
0,mae,18,0.075,10.843733,9.584608
0,mae,18,0.1,11.729044,8.841364
0,mae,18,0.15,11.306836,8.056822
0,mse,18,0.05,7.52689,6.676172
0,mse,18,0.075,8.279209,6.326601
0,mse,18,0.1,9.483928,5.579186
0,mse,18,0.15,9.448576,4.580283
0,mae,19,0.05,10.29285,10.271851
0,mae,19,0.075,10.809336,8.535484
0,mae,19,0.1,11.702902,7.802246
0,mae,19,0.15,11.524461,7.378112
0,mse,19,0.05,8.329277,7.223741
0,mse,19,0.075,8.508271,4.944483
0,mse,19,0.1,9.41335,4.427234
0,mse,19,0.15,9.726919,3.902411
0,mae,20,0.05,10.366007,9.740953
0,mae,20,0.075,11.223728,8.87152
0,mae,20,0.1,10.985414,8.64816
0,mae,20,0.15,10.883093,8.001728
0,mse,20,0.05,8.402711,6.451947
0,mse,20,0.075,9.134719,5.411672
0,mse,20,0.1,8.984787,5.193251
0,mse,20,0.15,8.629107,4.37419
0,mae,21,0.05,11.337122,9.730556
0,mae,21,0.075,11.963198,8.902595
0,mae,21,0.1,11.42355,8.445071
0,mae,21,0.15,11.331244,7.534433
0,mse,21,0.05,9.487564,6.213611
0,mse,21,0.075,10.112949,5.443329
0,mse,21,0.1,9.156927,5.046164
0,mse,21,0.15,9.288768,4.007864
0,mae,22,0.05,11.223172,10.2139
0,mae,22,0.075,11.358686,9.538603
0,mae,22,0.1,11.577391,8.279655
0,mae,22,0.15,11.618945,7.458011
0,mse,22,0.05,10.037544,6.776001
0,mse,22,0.075,9.935117,6.010487
0,mse,22,0.1,9.833807,4.930964
0,mse,22,0.15,9.781233,4.127059
0,mae,23,0.05,11.51693,9.484296
0,mae,23,0.075,11.133965,9.242914
0,mae,23,0.1,11.145247,9.087231
0,mae,23,0.15,11.058695,8.665339
0,mse,23,0.05,9.396684,5.972836
0,mse,23,0.075,8.752263,5.621825
0,mse,23,0.1,8.767212,5.552153
0,mse,23,0.15,8.633369,5.342642
1,mae,0,0.05,12.661345,13.282799
1,mae,0,0.075,13.877588,12.31272
1,mae,0,0.1,14.32176,11.607164
1,mae,0,0.15,14.993414,10.328354
1,mse,0,0.05,11.074238,11.8876
1,mse,0,0.075,12.559083,11.304367
1,mse,0,0.1,13.125498,10.714251
1,mse,0,0.15,14.021594,9.467819
1,mae,1,0.05,13.291388,13.442457
1,mae,1,0.075,14.206354,12.171727
1,mae,1,0.1,14.705311,11.397303
1,mae,1,0.15,14.830968,9.40309
1,mse,1,0.05,11.95476,12.59585
1,mse,1,0.075,13.049288,11.119925
1,mse,1,0.1,13.621956,9.745747
1,mse,1,0.15,13.807517,6.863893
1,mae,2,0.05,12.354755,13.377281
1,mae,2,0.075,13.208571,11.771363
1,mae,2,0.1,13.634657,11.044481
1,mae,2,0.15,14.606757,9.175403
1,mse,2,0.05,10.986878,12.162902
1,mse,2,0.075,11.601341,10.080428
1,mse,2,0.1,12.046784,9.573014
1,mse,2,0.15,13.673367,7.005739
1,mae,3,0.05,12.277439,13.354708
1,mae,3,0.075,12.642591,12.33969
1,mae,3,0.1,13.140442,10.335541
1,mae,3,0.15,14.461841,8.327585
1,mse,3,0.05,10.432943,12.088231
1,mse,3,0.075,10.850616,11.162214
1,mse,3,0.1,11.441853,8.393547
1,mse,3,0.15,13.319056,5.54724
1,mae,4,0.05,11.714206,13.389559
1,mae,4,0.075,12.45278,11.690561
1,mae,4,0.1,12.792057,11.078352
1,mae,4,0.15,13.325189,9.106447
1,mse,4,0.05,9.703714,11.823453
1,mse,4,0.075,10.604853,10.050677
1,mse,4,0.1,10.973539,9.614662
1,mse,4,0.15,11.874174,7.225612
1,mae,5,0.05,11.437449,13.441952
1,mae,5,0.075,12.709191,11.468444
1,mae,5,0.1,13.119936,9.838504
1,mae,5,0.15,14.072645,8.258321
1,mse,5,0.05,9.639005,12.502712
1,mse,5,0.075,11.087774,9.411814
1,mse,5,0.1,11.469671,7.199886
1,mse,5,0.15,12.712849,5.345835
1,mae,6,0.05,11.706446,12.731092
1,mae,6,0.075,12.515012,10.454805
1,mae,6,0.1,13.135969,9.46212
1,mae,6,0.15,14.258136,7.866319
1,mse,6,0.05,9.902084,10.592428
1,mse,6,0.075,10.917699,7.318531
1,mse,6,0.1,11.653852,6.196977
1,mse,6,0.15,13.130682,4.617272
1,mae,7,0.05,12.029929,13.344978
1,mae,7,0.075,12.56258,10.324249
1,mae,7,0.1,13.437103,9.615556
1,mae,7,0.15,14.53538,7.878801
1,mse,7,0.05,10.283737,12.150124
1,mse,7,0.075,10.973965,7.157855
1,mse,7,0.1,12.040354,6.543378
1,mse,7,0.15,13.655291,4.751416
1,mae,8,0.05,11.582883,13.081751
1,mae,8,0.075,11.974301,11.337391
1,mae,8,0.1,12.768861,9.749014
1,mae,8,0.15,14.430173,8.555215
1,mse,8,0.05,9.801229,11.633362
1,mse,8,0.075,10.06706,9.080763
1,mse,8,0.1,11.136799,6.967576
1,mse,8,0.15,13.420279,5.861463
1,mae,9,0.05,10.626968,13.607214
1,mae,9,0.075,11.834131,11.328526
1,mae,9,0.1,12.980076,10.24216
1,mae,9,0.15,14.690163,8.304249
1,mse,9,0.05,8.490725,12.451975
1,mse,9,0.075,10.033699,8.699068
1,mse,9,0.1,11.835192,7.344221
1,mse,9,0.15,14.478351,5.096763
1,mae,10,0.05,11.243193,13.954937
1,mae,10,0.075,11.584599,10.898388
1,mae,10,0.1,12.465853,10.218164
1,mae,10,0.15,14.629519,7.42485
1,mse,10,0.05,9.20368,13.412758
1,mse,10,0.075,9.80184,8.314515
1,mse,10,0.1,11.275936,7.557073
1,mse,10,0.15,14.232747,4.081778
1,mae,11,0.05,11.497761,14.114366
1,mae,11,0.075,12.187899,10.491416
1,mae,11,0.1,12.966669,9.293247
1,mae,11,0.15,14.893888,7.102346
1,mse,11,0.05,9.69642,13.315573
1,mse,11,0.075,10.585728,7.182351
1,mse,11,0.1,11.637501,5.572104
1,mse,11,0.15,14.802497,3.328565
1,mae,12,0.05,11.261728,14.604778
1,mae,12,0.075,12.882271,11.127585
1,mae,12,0.1,13.790348,9.906973
1,mae,12,0.15,15.002649,7.820164
1,mse,12,0.05,9.090095,14.054986
1,mse,12,0.075,11.682816,8.533738
1,mse,12,0.1,12.963768,6.888416
1,mse,12,0.15,14.923145,4.630387
1,mae,13,0.05,10.642647,14.518643
1,mae,13,0.075,11.583524,11.326797
1,mae,13,0.1,12.454017,10.42465
1,mae,13,0.15,14.332954,7.996336
1,mse,13,0.05,8.405821,13.946228
1,mse,13,0.075,9.672455,9.123657
1,mse,13,0.1,10.893287,7.690872
1,mse,13,0.15,13.70722,4.825322
1,mae,14,0.05,10.979015,14.243926
1,mae,14,0.075,11.519969,11.005118
1,mae,14,0.1,12.474886,9.600251
1,mae,14,0.15,14.574442,7.762195
1,mse,14,0.05,8.595379,13.45237
1,mse,14,0.075,9.333603,8.920994
1,mse,14,0.1,10.835711,6.79651
1,mse,14,0.15,14.098835,4.547992
1,mae,15,0.05,11.325468,13.303343
1,mae,15,0.075,12.888466,10.858235
1,mae,15,0.1,14.040436,10.235222
1,mae,15,0.15,15.170548,7.924342
1,mse,15,0.05,9.38513,11.840435
1,mse,15,0.075,11.174406,8.249611
1,mse,15,0.1,12.971712,7.438835
1,mse,15,0.15,15.158629,4.756315
1,mae,16,0.05,12.306341,12.836714
1,mae,16,0.075,14.124054,10.609816
1,mae,16,0.1,14.139137,9.304577
1,mae,16,0.15,15.774391,6.63935
1,mse,16,0.05,10.440357,11.548714
1,mse,16,0.075,13.18285,7.90459
1,mse,16,0.1,13.274391,6.149725
1,mse,16,0.15,15.921144,3.446829
1,mae,17,0.05,11.509055,13.000919
1,mae,17,0.075,12.44488,10.695509
1,mae,17,0.1,13.44992,9.3612
1,mae,17,0.15,15.256281,7.116317
1,mse,17,0.05,9.378492,11.668633
1,mse,17,0.075,10.269248,8.068666
1,mse,17,0.1,11.879234,6.387081
1,mse,17,0.15,15.104176,3.730184
1,mae,18,0.05,11.541472,12.793457
1,mae,18,0.075,12.97825,10.388597
1,mae,18,0.1,13.78294,9.791231
1,mae,18,0.15,15.497541,7.328269
1,mse,18,0.05,9.280159,11.222378
1,mse,18,0.075,11.242987,7.387683
1,mse,18,0.1,12.656861,6.708262
1,mse,18,0.15,15.466646,4.427441
1,mae,19,0.05,11.530692,12.507936
1,mae,19,0.075,13.272466,10.662889
1,mae,19,0.1,14.795076,9.883422
1,mae,19,0.15,15.935188,7.747102
1,mse,19,0.05,9.223346,10.488194
1,mse,19,0.075,11.905175,7.717351
