batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.410134,9.193814
0,mae,0,0.075,11.033243,7.998232
0,mae,0,0.1,11.994717,7.864978
0,mae,0,0.15,12.073605,7.470968
0,mse,0,0.05,6.936749,5.920788
0,mse,0,0.075,7.906745,4.193606
0,mse,0,0.1,9.226275,3.998267
0,mse,0,0.15,9.107723,3.75489
0,mae,1,0.05,10.101421,8.821394
0,mae,1,0.075,10.895282,8.481805
0,mae,1,0.1,11.472147,8.115393
0,mae,1,0.15,11.599547,7.556712
0,mse,1,0.05,7.496232,5.407689
0,mse,1,0.075,8.037165,4.566557
0,mse,1,0.1,8.338047,4.151596
0,mse,1,0.15,8.66336,3.863172
0,mae,2,0.05,9.986486,8.648699
0,mae,2,0.075,11.005205,8.509612
0,mae,2,0.1,10.482492,7.923639
0,mae,2,0.15,11.541367,7.58352
0,mse,2,0.05,7.108165,5.019428
0,mse,2,0.075,8.082561,4.815496
0,mse,2,0.1,7.493053,4.329469
0,mse,2,0.15,8.622226,4.080874
0,mae,3,0.05,10.195533,9.138484
0,mae,3,0.075,10.464908,7.89529
0,mae,3,0.1,10.512449,7.321538
0,mae,3,0.15,10.764035,7.022153
0,mse,3,0.05,7.660841,5.702222
0,mse,3,0.075,7.377311,4.387013
0,mse,3,0.1,7.372021,3.76618
0,mse,3,0.15,7.649333,3.677092
0,mae,4,0.05,10.164674,8.12409
0,mae,4,0.075,10.478352,7.955139
0,mae,4,0.1,10.201405,7.549566
0,mae,4,0.15,10.377072,6.764233
0,mse,4,0.05,7.867528,4.426657
0,mse,4,0.075,7.498919,4.152469
0,mse,4,0.1,6.943091,3.807857
0,mse,4,0.15,7.333399,3.249773
0,mae,5,0.05,10.348563,8.141141
0,mae,5,0.075,10.361437,7.710066
0,mae,5,0.1,10.214891,7.421828
0,mae,5,0.15,10.616138,6.538999
0,mse,5,0.05,8.235407,4.296463
0,mse,5,0.075,7.374768,3.848576
0,mse,5,0.1,7.140035,3.72244
0,mse,5,0.15,7.773711,3.094844
0,mae,6,0.05,10.328617,7.97877
0,mae,6,0.075,10.347391,7.756427
0,mae,6,0.1,10.776187,7.33
0,mae,6,0.15,11.150988,7.123009
0,mse,6,0.05,8.353449,4.510608
0,mse,6,0.075,7.378571,4.014639
0,mse,6,0.1,7.950961,3.796261
0,mse,6,0.15,8.585562,3.61551
0,mae,7,0.05,10.80429,8.41219
0,mae,7,0.075,10.814991,7.872044
0,mae,7,0.1,10.817396,7.562469
0,mae,7,0.15,10.901295,7.106743
0,mse,7,0.05,8.402357,4.75527
0,mse,7,0.075,8.043806,4.259355
0,mse,7,0.1,7.703027,3.862174
0,mse,7,0.15,8.081179,3.504444
0,mae,8,0.05,11.363117,8.185425
0,mae,8,0.075,11.686636,8.179424
0,mae,8,0.1,11.180891,8.184778
0,mae,8,0.15,11.086865,7.642469
0,mse,8,0.05,8.929779,4.422506
0,mse,8,0.075,9.087524,4.477265
0,mse,8,0.1,8.770457,4.463667
0,mse,8,0.15,8.17426,4.244018
0,mae,9,0.05,10.250225,8.412045
0,mae,9,0.075,11.03986,8.075237
0,mae,9,0.1,10.860803,7.826421
0,mae,9,0.15,10.737906,6.785559
0,mse,9,0.05,7.858749,4.737947
0,mse,9,0.075,8.43863,4.496455
0,mse,9,0.1,8.284576,4.219318
0,mse,9,0.15,8.015386,3.193279
0,mae,10,0.05,10.690833,8.239185
0,mae,10,0.075,10.831312,7.681047
0,mae,10,0.1,10.578375,7.455795
0,mae,10,0.15,10.960669,6.742799
0,mse,10,0.05,8.149641,4.419538
0,mse,10,0.075,8.147743,3.812608
0,mse,10,0.1,7.255038,3.614576
0,mse,10,0.15,8.039669,3.229899
0,mae,11,0.05,10.212995,8.282383
0,mae,11,0.075,10.841496,7.494551
0,mae,11,0.1,10.59691,7.372992
0,mae,11,0.15,11.192516,6.371832
0,mse,11,0.05,7.865162,4.480226
0,mse,11,0.075,8.32908,3.60924
0,mse,11,0.1,8.167719,3.514371
0,mse,11,0.15,8.780575,2.713234
0,mae,12,0.05,9.86734,8.523275
0,mae,12,0.075,10.863573,7.496774
0,mae,12,0.1,10.73559,7.556423
0,mae,12,0.15,11.052845,6.78081
0,mse,12,0.05,7.665073,4.728493
0,mse,12,0.075,8.434446,3.784172
0,mse,12,0.1,8.271759,3.78521
0,mse,12,0.15,8.752941,3.131453
0,mae,13,0.05,10.198782,8.425213
0,mae,13,0.075,10.500224,7.815001
0,mae,13,0.1,10.339089,7.072872
0,mae,13,0.15,11.264687,5.674916
0,mse,13,0.05,8.268335,4.946264
0,mse,13,0.075,8.350639,4.265944
0,mse,13,0.1,7.86507,3.355229
0,mse,13,0.15,9.014257,2.209252
0,mae,14,0.05,9.758426,8.44621
0,mae,14,0.075,10.506552,7.667652
0,mae,14,0.1,10.757435,7.312226
0,mae,14,0.15,10.931585,6.129884
0,mse,14,0.05,8.066509,4.949784
0,mse,14,0.075,8.701567,4.030623
0,mse,14,0.1,8.263844,3.649
0,mse,14,0.15,8.343489,2.467435
0,mae,15,0.05,9.846632,8.174508
0,mae,15,0.075,10.23997,7.780753
0,mae,15,0.1,10.681665,7.880038
0,mae,15,0.15,11.07518,6.243153
0,mse,15,0.05,8.226398,4.686934
0,mse,15,0.075,8.318539,4.226936
0,mse,15,0.1,8.626556,4.086642
0,mse,15,0.15,8.522942,2.787055
0,mae,16,0.05,9.89775,8.379438
0,mae,16,0.075,9.951673,7.686124
0,mae,16,0.1,10.156124,7.511088
0,mae,16,0.15,10.37001,6.19536
0,mse,16,0.05,8.160264,4.978307
0,mse,16,0.075,7.837737,4.649189
0,mse,16,0.1,7.88819,4.26736
0,mse,16,0.15,7.60563,2.859827
0,mae,17,0.05,9.820163,8.095863
0,mae,17,0.075,10.053087,7.324521
0,mae,17,0.1,10.146082,7.187443
0,mae,17,0.15,10.23983,6.843413
0,mse,17,0.05,7.911263,4.458105
0,mse,17,0.075,7.646735,3.972857
0,mse,17,0.1,7.31869,3.827111
0,mse,17,0.15,7.21474,3.229645
0,mae,18,0.05,10.104725,9.007159
0,mae,18,0.075,10.760695,7.977568
0,mae,18,0.1,10.444304,7.737309
0,mae,18,0.15,10.693892,7.046747
0,mse,18,0.05,8.370639,6.010069
0,mse,18,0.075,8.535725,4.93293
0,mse,18,0.1,7.901461,4.290285
0,mse,18,0.15,7.872405,3.532107
0,mae,19,0.05,10.033605,8.927673
0,mae,19,0.075,10.524532,8.591037
0,mae,19,0.1,10.501679,8.288078
0,mae,19,0.15,10.880356,6.952343
0,mse,19,0.05,8.239761,5.953657
0,mse,19,0.075,8.062084,5.133517
0,mse,19,0.1,8.072008,4.742872
0,mse,19,0.15,8.458298,3.49001
0,mae,20,0.05,9.973341,9.213257
0,mae,20,0.075,10.484735,8.39871
0,mae,20,0.1,10.992736,7.556592
0,mae,20,0.15,10.621103,6.577919
0,mse,20,0.05,7.948944,6.476626
0,mse,20,0.075,8.665944,5.386877
0,mse,20,0.1,8.783308,4.369763
0,mse,20,0.15,7.754014,3.036409
0,mae,21,0.05,10.085644,9.218222
0,mae,21,0.075,10.392973,8.864862
0,mae,21,0.1,10.317009,8.02522
0,mae,21,0.15,10.428267,6.921427
0,mse,21,0.05,8.177017,6.297612
0,mse,21,0.075,8.315915,5.694788
0,mse,21,0.1,8.300504,4.974826
0,mse,21,0.15,8.270723,3.511059
0,mae,22,0.05,9.863564,9.27572
0,mae,22,0.075,10.126806,8.373856
0,mae,22,0.1,10.265005,8.195923
0,mae,22,0.15,10.453642,6.877816
0,mse,22,0.05,8.307728,6.591693
0,mse,22,0.075,8.295854,5.66043
0,mse,22,0.1,8.397179,5.010872
0,mse,22,0.15,8.287721,3.595659
0,mae,23,0.05,9.45985,9.061085
0,mae,23,0.075,9.491142,8.710654
0,mae,23,0.1,9.865168,8.429764
0,mae,23,0.15,10.062376,7.486337
0,mse,23,0.05,7.644071,5.927751
0,mse,23,0.075,7.626051,5.740936
0,mse,23,0.1,7.733551,5.356604
0,mse,23,0.15,7.895933,4.301949
1,mae,0,0.05,14.16289,13.738428
1,mae,0,0.075,14.581509,11.848732
1,mae,0,0.1,14.567364,11.221502
1,mae,0,0.15,15.213551,9.63746
1,mse,0,0.05,12.883817,12.439647
1,mse,0,0.075,13.317329,9.128036
1,mse,0,0.1,13.032487,8.215267
1,mse,0,0.15,13.887567,6.025886
