batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.369516,12.219574
0,mae,0,0.075,6.964928,11.733101
0,mae,0,0.1,7.707213,11.605953
0,mae,0,0.15,8.222523,10.626943
0,mse,0,0.05,2.473243,9.90093
0,mse,0,0.075,3.826259,9.156544
0,mse,0,0.1,4.655149,9.07128
0,mse,0,0.15,5.133042,7.805872
0,mae,1,0.05,5.901054,12.467999
0,mae,1,0.075,6.416186,12.04969
0,mae,1,0.1,6.612751,11.762163
0,mae,1,0.15,7.882751,11.209659
0,mse,1,0.05,3.428379,9.88867
0,mse,1,0.075,3.419232,9.501266
0,mse,1,0.1,3.471422,9.253461
0,mse,1,0.15,4.365255,8.460719
0,mae,2,0.05,4.360792,12.59972
0,mae,2,0.075,4.586365,12.047126
0,mae,2,0.1,5.172183,11.811764
0,mae,2,0.15,6.552182,10.790872
0,mse,2,0.05,2.0208,9.944758
0,mse,2,0.075,1.771051,9.235241
0,mse,2,0.1,2.095464,8.96696
0,mse,2,0.15,3.129919,7.996307
0,mae,3,0.05,2.950521,13.189747
0,mae,3,0.075,3.744665,13.474546
0,mae,3,0.1,4.751405,12.73214
0,mae,3,0.15,6.573752,11.845469
0,mse,3,0.05,0.667135,10.773357
0,mse,3,0.075,1.072334,11.310917
0,mse,3,0.1,1.601128,10.234462
0,mse,3,0.15,2.961303,9.332975
0,mae,4,0.05,4.009902,12.05805
0,mae,4,0.075,5.902667,11.682026
0,mae,4,0.1,6.298113,11.857229
0,mae,4,0.15,8.188407,11.31353
0,mse,4,0.05,1.738245,9.438874
0,mse,4,0.075,3.088514,8.767764
0,mse,4,0.1,3.336285,8.89436
0,mse,4,0.15,4.603453,8.113852
0,mae,5,0.05,4.277502,12.426689
0,mae,5,0.075,4.897304,12.203543
0,mae,5,0.1,8.337234,10.941538
0,mae,5,0.15,8.546083,11.243944
0,mse,5,0.05,1.670652,9.913902
0,mse,5,0.075,1.94694,9.692305
0,mse,5,0.1,5.581622,8.186373
0,mse,5,0.15,5.502153,8.490611
0,mae,6,0.05,2.073584,12.885132
0,mae,6,0.075,5.139728,11.957933
0,mae,6,0.1,5.663511,12.041856
0,mae,6,0.15,6.993587,11.625185
0,mse,6,0.05,0.407807,10.46862
0,mse,6,0.075,2.773875,9.233513
0,mse,6,0.1,3.195372,9.376576
0,mse,6,0.15,3.815174,8.716599
0,mae,7,0.05,3.178845,11.735213
0,mae,7,0.075,5.763214,11.677961
0,mae,7,0.1,5.846594,11.651534
0,mae,7,0.15,6.578122,11.733936
0,mse,7,0.05,1.205207,9.143251
0,mse,7,0.075,3.283573,9.215957
0,mse,7,0.1,3.249236,9.15694
0,mse,7,0.15,3.413875,9.3552
0,mae,8,0.05,5.613079,11.533086
0,mae,8,0.075,7.493419,11.498108
0,mae,8,0.1,7.950558,11.487392
0,mae,8,0.15,8.687801,11.000616
0,mse,8,0.05,3.168923,9.11517
0,mse,8,0.075,4.55157,8.97138
0,mse,8,0.1,4.881326,9.014977
0,mse,8,0.15,5.54948,8.333554
0,mae,9,0.05,6.291018,11.942329
0,mae,9,0.075,6.833866,11.683503
0,mae,9,0.1,7.274467,11.200149
0,mae,9,0.15,8.325237,10.981022
0,mse,9,0.05,4.176867,9.607082
0,mse,9,0.075,4.132525,9.233829
0,mse,9,0.1,4.253549,8.930772
0,mse,9,0.15,5.326328,8.784651
0,mae,10,0.05,3.869677,12.711106
0,mae,10,0.075,4.096856,12.605608
0,mae,10,0.1,4.682796,12.446896
0,mae,10,0.15,5.785627,10.807186
0,mse,10,0.05,1.694315,10.143679
0,mse,10,0.075,1.567756,10.036749
0,mse,10,0.1,1.939298,9.936348
0,mse,10,0.15,2.757744,8.069342
0,mae,11,0.05,3.195125,12.280819
0,mae,11,0.075,3.910875,11.901726
0,mae,11,0.1,4.736084,11.261709
0,mae,11,0.15,8.007082,10.721773
0,mse,11,0.05,0.836829,9.667646
0,mse,11,0.075,1.153338,9.37691
0,mse,11,0.1,1.712985,8.633358
0,mse,11,0.15,4.558558,7.928608
0,mae,12,0.05,5.528118,12.138973
0,mae,12,0.075,6.818478,11.932615
0,mae,12,0.1,7.179012,11.771805
0,mae,12,0.15,8.531289,11.381756
0,mse,12,0.05,3.330419,9.574541
0,mse,12,0.075,4.19378,9.501856
0,mse,12,0.1,4.520774,9.216045
0,mse,12,0.15,5.784428,8.79303
0,mae,13,0.05,4.95391,12.498619
0,mae,13,0.075,6.05263,12.474346
0,mae,13,0.1,7.76562,11.988102
0,mae,13,0.15,8.695625,11.740248
0,mse,13,0.05,2.696718,10.141374
0,mse,13,0.075,3.409542,10.051806
0,mse,13,0.1,4.699627,9.217638
0,mse,13,0.15,5.470878,9.009869
0,mae,14,0.05,2.005552,13.389834
0,mae,14,0.075,5.213041,12.184209
0,mae,14,0.1,5.460151,12.111496
