batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.774858,11.113623
0,mae,0,0.075,7.969706,10.608654
0,mae,0,0.1,8.324627,10.436119
0,mae,0,0.15,8.818371,10.103362
0,mse,0,0.05,4.839751,8.184965
0,mse,0,0.075,4.662552,7.691715
0,mse,0,0.1,4.87543,7.637404
0,mse,0,0.15,5.364277,7.915493
0,mae,1,0.05,6.837235,11.862506
0,mae,1,0.075,7.584029,11.902094
0,mae,1,0.1,7.67623,12.057158
0,mae,1,0.15,8.317696,12.404781
0,mse,1,0.05,4.001916,9.324149
0,mse,1,0.075,4.516129,9.446424
0,mse,1,0.1,4.572423,9.882072
0,mse,1,0.15,5.272173,10.49056
0,mae,2,0.05,3.697316,12.206279
0,mae,2,0.075,5.291149,11.891999
0,mae,2,0.1,8.045952,11.480505
0,mae,2,0.15,8.833796,11.886269
0,mse,2,0.05,1.077325,9.597652
0,mse,2,0.075,2.012122,9.421227
0,mse,2,0.1,5.485399,9.202689
0,mse,2,0.15,6.278398,10.29765
0,mae,3,0.05,4.129213,12.439795
0,mae,3,0.075,5.725441,11.258564
0,mae,3,0.1,8.605326,11.053518
0,mae,3,0.15,9.032759,11.545118
0,mse,3,0.05,1.31496,10.109891
0,mse,3,0.075,2.569867,8.566789
0,mse,3,0.1,5.305373,8.648939
0,mse,3,0.15,5.513656,9.889804
0,mae,4,0.05,7.055064,11.066792
0,mae,4,0.075,7.599271,10.660176
0,mae,4,0.1,8.787489,10.785017
0,mae,4,0.15,9.483902,10.139202
0,mse,4,0.05,4.221017,8.227322
0,mse,4,0.075,4.519986,7.583915
0,mse,4,0.1,5.461078,7.983479
0,mse,4,0.15,6.267165,7.678106
0,mae,5,0.05,4.934405,12.317665
0,mae,5,0.075,5.377804,11.709314
0,mae,5,0.1,6.238372,11.737978
0,mae,5,0.15,7.363801,11.639201
0,mse,5,0.05,2.185541,9.517618
0,mse,5,0.075,2.201658,8.880858
0,mse,5,0.1,2.866252,8.907347
0,mse,5,0.15,3.768282,9.070292
0,mae,6,0.05,6.742452,11.670237
0,mae,6,0.075,9.280775,10.679207
0,mae,6,0.1,9.877237,10.240385
0,mae,6,0.15,10.878699,9.759848
0,mse,6,0.05,5.276074,8.688034
0,mse,6,0.075,6.992845,7.294581
0,mse,6,0.1,7.407245,6.950702
0,mse,6,0.15,8.702755,6.801576
0,mae,7,0.05,8.398381,10.201905
0,mae,7,0.075,11.762754,9.789371
0,mae,7,0.1,11.526812,9.347984
0,mae,7,0.15,11.52565,8.819885
0,mse,7,0.05,6.186518,7.084676
0,mse,7,0.075,9.308799,6.282828
0,mse,7,0.1,8.868881,5.672681
0,mse,7,0.15,8.751461,5.222967
0,mae,8,0.05,9.28763,10.616814
0,mae,8,0.075,9.353824,10.351646
0,mae,8,0.1,9.555573,10.027257
