batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,11.041853,9.866858
0,mae,0,0.075,11.834177,8.715673
0,mae,0,0.1,12.340002,8.31723
0,mae,0,0.15,13.43828,7.875659
0,mse,0,0.05,8.296605,6.974529
0,mse,0,0.075,8.706486,5.339032
0,mse,0,0.1,9.324522,4.853345
0,mse,0,0.15,10.791862,4.391698
0,mae,1,0.05,11.198173,9.902098
0,mae,1,0.075,11.853815,8.572476
0,mae,1,0.1,12.310234,8.126545
0,mae,1,0.15,12.241434,7.646388
0,mse,1,0.05,8.262589,6.790767
0,mse,1,0.075,9.088084,5.055981
0,mse,1,0.1,9.393131,4.608471
0,mse,1,0.15,9.209734,4.194089
0,mae,2,0.05,12.070929,9.656577
0,mae,2,0.075,12.215071,8.864153
0,mae,2,0.1,12.349939,8.435688
0,mae,2,0.15,12.625947,7.524652
0,mse,2,0.05,9.357979,6.633516
0,mse,2,0.075,9.476091,5.391384
0,mse,2,0.1,9.407593,5.14686
0,mse,2,0.15,9.922773,4.359177
0,mae,3,0.05,11.646072,9.654162
0,mae,3,0.075,11.905819,8.645082
0,mae,3,0.1,11.776659,7.696035
0,mae,3,0.15,12.113971,7.237142
0,mse,3,0.05,9.084919,6.651585
0,mse,3,0.075,8.710106,5.28263
0,mse,3,0.1,8.469457,4.271983
0,mse,3,0.15,9.141035,3.810002
0,mae,4,0.05,11.716749,8.920849
0,mae,4,0.075,11.604424,8.214695
0,mae,4,0.1,11.603559,7.707989
0,mae,4,0.15,11.798395,7.894939
0,mse,4,0.05,9.008331,5.605972
0,mse,4,0.075,8.608453,4.535067
0,mse,4,0.1,8.36783,4.16574
0,mse,4,0.15,8.686189,4.717615
0,mae,5,0.05,11.280262,9.610219
0,mae,5,0.075,12.002464,8.837759
0,mae,5,0.1,11.947501,8.808898
0,mae,5,0.15,12.005852,8.588674
0,mse,5,0.05,8.55977,6.460725
0,mse,5,0.075,9.128846,5.781788
0,mse,5,0.1,8.746683,5.666058
0,mse,5,0.15,9.173492,5.983941
0,mae,6,0.05,11.887819,8.968971
0,mae,6,0.075,12.042308,7.694072
0,mae,6,0.1,11.527345,7.216581
0,mae,6,0.15,11.735539,7.346779
0,mse,6,0.05,9.357298,5.575542
0,mse,6,0.075,8.8491,3.985343
0,mse,6,0.1,8.271355,3.785508
0,mse,6,0.15,8.655724,4.279361
0,mae,7,0.05,12.504114,9.093403
0,mae,7,0.075,12.20879,7.992069
0,mae,7,0.1,12.132738,7.885207
0,mae,7,0.15,12.31681,7.484723
0,mse,7,0.05,10.517923,5.685643
0,mse,7,0.075,9.277866,4.531134
0,mse,7,0.1,9.285736,4.779676
0,mse,7,0.15,9.70933,4.632243
0,mae,8,0.05,12.443356,9.321244
0,mae,8,0.075,12.209206,8.4613
0,mae,8,0.1,12.137609,8.162598
0,mae,8,0.15,12.009307,7.43768
0,mse,8,0.05,10.316269,5.865354
0,mse,8,0.075,9.674351,4.981498
0,mse,8,0.1,9.185154,4.783916
0,mse,8,0.15,9.349778,4.119123
0,mae,9,0.05,11.817944,9.486876
0,mae,9,0.075,11.39294,7.718822
0,mae,9,0.1,11.805582,7.677912
0,mae,9,0.15,11.852377,6.820034
0,mse,9,0.05,9.473706,6.094276
0,mse,9,0.075,8.457153,3.937306
0,mse,9,0.1,8.774271,4.173421
0,mse,9,0.15,8.893911,3.336452
