batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.580456,13.333452
0,mae,0,0.075,7.111288,13.048134
0,mae,0,0.1,7.51741,12.665468
0,mae,0,0.15,8.200633,12.400355
0,mse,0,0.05,3.789836,11.223228
0,mse,0,0.075,3.967721,10.958929
0,mse,0,0.1,4.354518,10.651805
0,mse,0,0.15,5.163651,10.421588
0,mae,1,0.05,7.784616,12.592623
0,mae,1,0.075,8.64356,12.962255
0,mae,1,0.1,8.941021,12.692007
0,mae,1,0.15,9.879747,12.124198
0,mse,1,0.05,4.976971,10.574535
0,mse,1,0.075,5.984942,11.321415
0,mse,1,0.1,6.192256,10.908244
0,mse,1,0.15,7.356741,10.392506
0,mae,2,0.05,7.635322,13.130704
0,mae,2,0.075,8.279016,13.180113
0,mae,2,0.1,8.649601,12.839262
0,mae,2,0.15,9.79096,13.057886
0,mse,2,0.05,4.864584,11.243363
0,mse,2,0.075,5.356982,11.321718
0,mse,2,0.1,5.852518,11.023094
0,mse,2,0.15,6.894323,11.3527
0,mae,3,0.05,7.026543,13.10084
0,mae,3,0.075,8.429728,13.248084
0,mae,3,0.1,8.978701,12.996115
0,mae,3,0.15,9.942238,12.716445
0,mse,3,0.05,4.01693,10.88958
0,mse,3,0.075,5.562366,11.08792
0,mse,3,0.1,6.082509,10.766645
0,mse,3,0.15,7.166924,10.626319
0,mae,4,0.05,7.209016,12.975753
0,mae,4,0.075,8.172934,13.328098
0,mae,4,0.1,8.721978,13.354715
0,mae,4,0.15,9.682013,12.89207
0,mse,4,0.05,4.404469,10.73764
0,mse,4,0.075,5.118738,11.280512
0,mse,4,0.1,5.723301,11.402172
0,mse,4,0.15,6.897514,11.016536
0,mae,5,0.05,7.212438,12.831285
0,mae,5,0.075,8.509293,13.129332
0,mae,5,0.1,9.384388,13.131177
0,mae,5,0.15,10.257495,12.728161
0,mse,5,0.05,4.153897,10.668891
0,mse,5,0.075,5.312463,11.129352
0,mse,5,0.1,6.38921,11.153681
0,mse,5,0.15,7.491752,10.83132
0,mae,6,0.05,7.392169,12.836111
0,mae,6,0.075,9.016234,12.597828
0,mae,6,0.1,9.528231,12.548247
0,mae,6,0.15,10.554026,12.818867
0,mse,6,0.05,4.328092,10.50771
0,mse,6,0.075,5.902985,10.353852
0,mse,6,0.1,6.430271,10.274701
0,mse,6,0.15,7.821262,10.99777
0,mae,7,0.05,7.726207,13.122349
0,mae,7,0.075,8.971333,12.526596
0,mae,7,0.1,9.546221,12.634909
0,mae,7,0.15,10.562933,12.965914
0,mse,7,0.05,4.589991,10.982006
0,mse,7,0.075,5.839323,10.28643
0,mse,7,0.1,6.496724,10.541549
0,mse,7,0.15,7.925735,11.130449
0,mae,8,0.05,7.667732,12.889885
0,mae,8,0.075,8.793352,12.413832
0,mae,8,0.1,9.37734,12.57519
0,mae,8,0.15,10.855214,12.993951
0,mse,8,0.05,4.475801,10.684286
0,mse,8,0.075,5.60415,9.923187
0,mse,8,0.1,6.248755,10.283127
