batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.458904,11.60429
0,mae,0,0.075,6.777905,11.259554
0,mae,0,0.1,6.989597,11.172397
0,mae,0,0.15,8.352544,11.106441
0,mse,0,0.05,2.946203,8.914328
0,mse,0,0.075,3.731431,8.563953
0,mse,0,0.1,3.870802,8.771843
0,mse,0,0.15,4.865602,8.77495
0,mae,1,0.05,5.390338,11.916989
0,mae,1,0.075,7.179569,11.62707
0,mae,1,0.1,8.214063,11.300305
0,mae,1,0.15,9.445752,11.07885
0,mse,1,0.05,2.403694,9.152133
0,mse,1,0.075,4.266158,8.762893
0,mse,1,0.1,5.473304,8.129766
0,mse,1,0.15,6.668023,8.127163
0,mae,2,0.05,5.681444,11.793509
0,mae,2,0.075,6.986423,11.431753
0,mae,2,0.1,7.688555,11.493692
0,mae,2,0.15,9.149446,11.708084
0,mse,2,0.05,2.481941,9.343729
0,mse,2,0.075,3.606037,8.947292
0,mse,2,0.1,4.293761,8.959556
0,mse,2,0.15,5.809932,9.333512
0,mae,3,0.05,5.893688,12.208257
0,mae,3,0.075,7.0665,11.568226
0,mae,3,0.1,7.786667,11.456869
0,mae,3,0.15,9.222752,11.605624
0,mse,3,0.05,2.643701,10.256809
0,mse,3,0.075,3.658604,9.161126
0,mse,3,0.1,4.323715,8.924922
0,mse,3,0.15,5.745566,9.214748
0,mae,4,0.05,5.649844,11.846979
0,mae,4,0.075,7.270673,11.448414
0,mae,4,0.1,7.569037,11.35529
0,mae,4,0.15,8.800406,11.406597
0,mse,4,0.05,2.499473,9.269501
0,mse,4,0.075,4.04578,8.540115
0,mse,4,0.1,4.203606,8.488792
0,mse,4,0.15,5.364189,8.62594
0,mae,5,0.05,5.84573,12.105402
0,mae,5,0.075,7.093139,11.903546
0,mae,5,0.1,7.918452,11.658741
0,mae,5,0.15,9.12204,12.082855
0,mse,5,0.05,2.455526,9.705832
0,mse,5,0.075,3.621248,9.36396
0,mse,5,0.1,4.413918,9.117612
0,mse,5,0.15,5.899346,9.68107
0,mae,6,0.05,6.375047,11.845005
0,mae,6,0.075,8.006483,11.639717
0,mae,6,0.1,9.072442,11.235376
0,mae,6,0.15,9.747597,11.254091
0,mse,6,0.05,3.578015,9.22732
0,mse,6,0.075,4.947789,8.90037
0,mse,6,0.1,5.810185,8.426182
0,mse,6,0.15,6.723393,8.563551
0,mae,7,0.05,5.929106,12.202143
0,mae,7,0.075,7.225174,12.033249
0,mae,7,0.1,8.346796,11.503994
0,mae,7,0.15,9.765177,11.863254
0,mse,7,0.05,2.635267,9.774109
0,mse,7,0.075,3.748235,9.53268
0,mse,7,0.1,4.784263,8.774395
0,mse,7,0.15,6.30401,9.142391
0,mae,8,0.05,5.490149,12.200813
0,mae,8,0.075,8.131986,11.18792
0,mae,8,0.1,8.920649,11.036219
0,mae,8,0.15,10.688097,11.256733
0,mse,8,0.05,2.360759,9.489664
0,mse,8,0.075,5.109257,8.021374
0,mse,8,0.1,5.884645,7.970905
0,mse,8,0.15,8.110304,8.660993
0,mae,9,0.05,5.901724,12.314013
0,mae,9,0.075,7.238062,11.877638
0,mae,9,0.1,8.231537,12.211566
0,mae,9,0.15,10.22378,12.919188
0,mse,9,0.05,2.579059,10.253759
0,mse,9,0.075,3.754499,9.391325
0,mse,9,0.1,4.644974,9.903553
0,mse,9,0.15,7.109271,10.942619
0,mae,10,0.05,5.886054,12.163713
0,mae,10,0.075,7.426148,12.198975
0,mae,10,0.1,8.350155,12.452888
0,mae,10,0.15,10.102185,12.984097
0,mse,10,0.05,2.689874,9.705843
0,mse,10,0.075,4.192554,9.740576
0,mse,10,0.1,5.067101,10.071458
0,mse,10,0.15,7.028547,10.810457
0,mae,11,0.05,5.590037,12.512849
0,mae,11,0.075,7.357706,12.364074
0,mae,11,0.1,8.10276,11.751981
0,mae,11,0.15,10.556417,12.634063
0,mse,11,0.05,2.49159,10.021832
0,mse,11,0.075,3.922705,9.966171
0,mse,11,0.1,4.770829,8.867756
0,mse,11,0.15,7.875146,9.983028
0,mae,12,0.05,5.351121,12.455396
0,mae,12,0.075,7.441145,12.323222
0,mae,12,0.1,8.839252,11.659836
0,mae,12,0.15,11.468868,12.539299
0,mse,12,0.05,2.357123,10.405033
0,mse,12,0.075,3.996195,10.240541
0,mse,12,0.1,5.66346,9.267444
0,mse,12,0.15,8.812502,10.291818
0,mae,13,0.05,4.807831,11.937231
0,mae,13,0.075,7.10394,12.410192
0,mae,13,0.1,8.125752,12.640418
0,mae,13,0.15,10.786949,12.879435
0,mse,13,0.05,2.060822,9.404329
0,mse,13,0.075,3.860189,9.964802
0,mse,13,0.1,5.036006,10.462366
0,mse,13,0.15,8.526384,11.129169
0,mae,14,0.05,4.807553,12.603689
0,mae,14,0.075,7.569723,12.749271
0,mae,14,0.1,8.69245,12.794734
0,mae,14,0.15,10.73769,13.558933
0,mse,14,0.05,2.016651,9.987623
0,mse,14,0.075,4.441132,10.359263
0,mse,14,0.1,5.450024,10.571171
0,mse,14,0.15,8.322844,11.968588
0,mae,15,0.05,5.17028,12.782016
0,mae,15,0.075,7.676306,12.677119
0,mae,15,0.1,9.184135,12.916267
0,mae,15,0.15,12.070177,13.823657
0,mse,15,0.05,2.278959,10.175148
0,mse,15,0.075,4.972154,10.297665
0,mse,15,0.1,6.764166,10.648726
0,mse,15,0.15,10.455284,12.384045
0,mae,16,0.05,5.446013,12.957356
0,mae,16,0.075,7.122949,13.771657
0,mae,16,0.1,8.748247,13.994455
0,mae,16,0.15,11.338841,14.570704
0,mse,16,0.05,2.521051,10.521037
0,mse,16,0.075,4.122493,11.744715
0,mse,16,0.1,5.691823,12.153838
0,mse,16,0.15,9.129991,13.366449
0,mae,17,0.05,5.907563,12.269142
0,mae,17,0.075,7.442944,12.584676
0,mae,17,0.1,8.463493,12.452658
0,mae,17,0.15,10.874494,13.241697
0,mse,17,0.05,2.831171,9.730052
0,mse,17,0.075,4.313423,10.11911
0,mse,17,0.1,5.616409,9.919386
0,mse,17,0.15,9.053267,11.269079
0,mae,18,0.05,6.255081,12.923361
0,mae,18,0.075,8.224375,13.231468
0,mae,18,0.1,8.831743,13.595691
0,mae,18,0.15,11.223116,13.38653
0,mse,18,0.05,3.386593,10.618038
0,mse,18,0.075,5.076217,11.17333
0,mse,18,0.1,6.002027,11.855125
0,mse,18,0.15,9.524047,11.67259
0,mae,19,0.05,4.764092,12.81487
0,mae,19,0.075,7.241659,13.030546
0,mae,19,0.1,8.41051,13.057362
0,mae,19,0.15,10.783971,13.776384
0,mse,19,0.05,1.940451,10.845661
0,mse,19,0.075,4.242973,11.194261
0,mse,19,0.1,5.588073,11.252903
0,mse,19,0.15,9.003938,12.307026
0,mae,20,0.05,5.568182,12.298185
0,mae,20,0.075,7.543073,12.657868
0,mae,20,0.1,8.768684,13.034675
0,mae,20,0.15,10.646086,13.926929
0,mse,20,0.05,2.599768,10.390709
0,mse,20,0.075,4.315437,10.826559
0,mse,20,0.1,5.79757,11.44739
0,mse,20,0.15,8.461864,12.907363
0,mae,21,0.05,6.838922,12.120743
0,mae,21,0.075,8.034579,12.308525
0,mae,21,0.1,8.862425,12.628188
0,mae,21,0.15,10.965906,13.662621
0,mse,21,0.05,3.552706,9.931562
0,mse,21,0.075,4.908175,10.102245
0,mse,21,0.1,5.91254,10.48091
0,mse,21,0.15,9.056009,12.468964
0,mae,22,0.05,5.550264,12.769247
0,mae,22,0.075,7.391285,12.634874
0,mae,22,0.1,8.083843,13.083609
0,mae,22,0.15,10.142717,14.157694
0,mse,22,0.05,2.559464,10.745977
0,mse,22,0.075,4.445519,10.792736
0,mse,22,0.1,5.211871,11.247146
0,mse,22,0.15,7.700646,12.762338
0,mae,23,0.05,5.325773,12.519134
0,mae,23,0.075,7.228908,12.613515
0,mae,23,0.1,8.426209,13.206357
0,mae,23,0.15,9.961517,13.377733
0,mse,23,0.05,2.50212,10.409579
0,mse,23,0.075,4.034011,10.3829
0,mse,23,0.1,5.489321,11.16571
0,mse,23,0.15,7.394958,11.694237
1,mae,0,0.05,10.540667,16.203648
1,mae,0,0.075,11.45848,15.299566
1,mae,0,0.1,11.89318,15.018374
1,mae,0,0.15,12.300024,14.549461
1,mse,0,0.05,8.1987,15.911393
1,mse,0,0.075,9.262515,14.357625
1,mse,0,0.1,9.89829,13.952271
1,mse,0,0.15,10.575891,13.135903
1,mae,1,0.05,11.659596,15.377866
1,mae,1,0.075,12.058817,14.2948
1,mae,1,0.1,12.475183,13.680037
1,mae,1,0.15,13.862514,12.562688
1,mse,1,0.05,9.686344,14.128372
1,mse,1,0.075,10.64822,12.47793
1,mse,1,0.1,10.934569,11.676744
1,mse,1,0.15,13.343695,9.890259
1,mae,2,0.05,10.269666,15.975408
1,mae,2,0.075,11.516739,15.204714
1,mae,2,0.1,12.436933,14.700009
1,mae,2,0.15,14.101118,13.938032
1,mse,2,0.05,7.668536,15.169655
1,mse,2,0.075,9.22421,13.867803
1,mse,2,0.1,10.511852,12.71386
1,mse,2,0.15,13.504221,11.486547
1,mae,3,0.05,10.96122,15.437907
1,mae,3,0.075,12.836054,14.650942
1,mae,3,0.1,13.267275,14.092534
1,mae,3,0.15,15.317589,13.085231
1,mse,3,0.05,8.795681,14.517569
1,mse,3,0.075,11.872237,13.063808
1,mse,3,0.1,12.84641,12.17582
1,mse,3,0.15,16.881281,10.612804
1,mae,4,0.05,9.737112,16.520466
1,mae,4,0.075,11.719913,15.753134
1,mae,4,0.1,12.727082,15.021393
1,mae,4,0.15,14.745977,13.733287
1,mse,4,0.05,7.381004,16.393885
1,mse,4,0.075,10.187591,14.971585
1,mse,4,0.1,12.031314,13.469046
1,mse,4,0.15,15.670966,11.197339
1,mae,5,0.05,10.758802,15.457486
1,mae,5,0.075,12.617167,14.480927
1,mae,5,0.1,13.794594,14.136671
1,mae,5,0.15,15.375635,13.125435
1,mse,5,0.05,8.574556,14.42243
1,mse,5,0.075,10.970575,12.570559
1,mse,5,0.1,12.809782,12.0435
1,mse,5,0.15,15.856381,10.269108
1,mae,6,0.05,10.759615,16.20187
1,mae,6,0.075,12.704618,14.41013
1,mae,6,0.1,13.670275,13.752379
1,mae,6,0.15,15.926353,12.696495
1,mse,6,0.05,8.382937,15.89959
1,mse,6,0.075,11.247707,12.480485
1,mse,6,0.1,12.919346,11.222717
1,mse,6,0.15,17.366863,9.69456
1,mae,7,0.05,10.125778,17.148167
1,mae,7,0.075,10.966718,15.947396
1,mae,7,0.1,12.980747,15.004317
1,mae,7,0.15,15.500097,13.209029
1,mse,7,0.05,7.876106,17.578159
1,mse,7,0.075,8.931871,15.646772
1,mse,7,0.1,11.823052,13.8263
1,mse,7,0.15,16.530376,10.59618
1,mae,8,0.05,10.130938,15.70647
1,mae,8,0.075,12.620522,14.437103
1,mae,8,0.1,13.629827,14.051594
1,mae,8,0.15,16.449505,12.982222
1,mse,8,0.05,8.177612,14.907532
1,mse,8,0.075,11.207041,12.596086
1,mse,8,0.1,12.501157,11.731768
1,mse,8,0.15,17.112337,9.771633
1,mae,9,0.05,11.048494,15.334376
1,mae,9,0.075,13.168327,13.987952
1,mae,9,0.1,14.634848,13.293322
1,mae,9,0.15,17.166452,11.980469
1,mse,9,0.05,8.696952,14.47077
1,mse,9,0.075,12.073454,11.692614
1,mse,9,0.1,14.50378,10.496049
1,mse,9,0.15,18.999144,8.626724
1,mae,10,0.05,12.592691,14.776493
1,mae,10,0.075,14.446447,13.349904
1,mae,10,0.1,15.596601,12.775476
1,mae,10,0.15,18.259901,11.565303
1,mse,10,0.05,10.566473,13.236758
1,mse,10,0.075,13.245914,10.658257
1,mse,10,0.1,15.561508,9.836761
1,mse,10,0.15,20.326733,8.065845
1,mae,11,0.05,11.263699,15.215113
1,mae,11,0.075,14.695337,13.51939
1,mae,11,0.1,16.382671,12.925858
1,mae,11,0.15,18.897644,12.220556
1,mse,11,0.05,9.148465,14.313805
1,mse,11,0.075,14.321115,11.179968
1,mse,11,0.1,17.051228,10.340705
1,mse,11,0.15,21.828688,9.52323
1,mae,12,0.05,11.620085,15.212214
1,mae,12,0.075,14.259329,13.43951
1,mae,12,0.1,16.402073,12.930702
1,mae,12,0.15,19.004841,12.032248
1,mse,12,0.05,9.588676,13.507217
1,mse,12,0.075,13.304111,10.736176
1,mse,12,0.1,17.68321,10.124903
1,mse,12,0.15,23.092667,8.995831
1,mae,13,0.05,11.857363,14.360771
1,mae,13,0.075,15.097585,13.139507
1,mae,13,0.1,16.419586,12.601077
1,mae,13,0.15,18.820339,11.74472
1,mse,13,0.05,9.749871,12.44014
1,mse,13,0.075,15.191095,10.475451
1,mse,13,0.1,17.398989,9.681009
1,mse,13,0.15,22.483631,8.351138
1,mae,14,0.05,12.577456,14.858706
1,mae,14,0.075,15.258579,12.944616
1,mae,14,0.1,16.70962,12.668816
1,mae,14,0.15,19.037724,11.57997
1,mse,14,0.05,10.821722,13.389573
1,mse,14,0.075,15.085565,10.450678
1,mse,14,0.1,17.805164,10.219044
1,mse,14,0.15,22.26675,8.894569
1,mae,15,0.05,12.77916,14.834562
1,mae,15,0.075,14.884876,13.150162
1,mae,15,0.1,16.142904,12.635992
1,mae,15,0.15,18.487701,11.932974
1,mse,15,0.05,11.707794,12.822712
1,mse,15,0.075,15.114704,10.193069
1,mse,15,0.1,16.877085,9.784622
1,mse,15,0.15,21.300571,9.106967
1,mae,16,0.05,10.278027,15.469398
1,mae,16,0.075,13.712936,14.029725
1,mae,16,0.1,15.197439,13.792488
1,mae,16,0.15,18.776482,12.734496
1,mse,16,0.05,7.807013,14.437076
1,mse,16,0.075,12.629414,11.82302
1,mse,16,0.1,15.05747,11.423303
1,mse,16,0.15,22.125134,9.931778
1,mae,17,0.05,11.803539,14.131386
1,mae,17,0.075,14.824752,13.065298
1,mae,17,0.1,16.461361,12.635933
1,mae,17,0.15,18.779713,12.383408
1,mse,17,0.05,10.63679,12.175156
1,mse,17,0.075,14.974636,10.467286
1,mse,17,0.1,17.599783,10.021702
1,mse,17,0.15,21.808361,9.531536
1,mae,18,0.05,12.172141,14.201599
1,mae,18,0.075,15.335034,13.041088
1,mae,18,0.1,16.321339,12.89715
1,mae,18,0.15,18.841042,12.477085
1,mse,18,0.05,10.349857,12.337828
1,mse,18,0.075,15.46081,10.457377
1,mse,18,0.1,17.441473,10.309488
1,mse,18,0.15,21.70599,9.80154
1,mae,19,0.05,11.751513,14.257467
1,mae,19,0.075,14.461089,12.735985
1,mae,19,0.1,16.178356,12.544088
1,mae,19,0.15,18.258909,12.472845
