batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.280361,11.544462
0,mae,0,0.075,8.078014,12.080992
0,mae,0,0.1,8.750551,12.437911
0,mae,0,0.15,9.421327,13.040199
0,mse,0,0.05,3.692017,8.830938
0,mse,0,0.075,4.377496,9.470214
0,mse,0,0.1,5.076856,9.844948
0,mse,0,0.15,5.903269,10.772874
0,mae,1,0.05,7.675802,11.860142
0,mae,1,0.075,8.932653,12.359716
0,mae,1,0.1,9.757016,13.023943
0,mae,1,0.15,11.333669,13.809031
0,mse,1,0.05,4.053274,9.321301
0,mse,1,0.075,5.297462,10.022424
0,mse,1,0.1,6.193114,10.86709
0,mse,1,0.15,8.095695,12.18922
0,mae,2,0.05,8.007921,11.746906
0,mae,2,0.075,9.580839,12.887411
0,mae,2,0.1,10.164793,13.579977
0,mae,2,0.15,11.721659,14.832458
0,mse,2,0.05,4.36876,9.167587
0,mse,2,0.075,5.843389,10.680052
0,mse,2,0.1,6.515752,11.604445
0,mse,2,0.15,8.660078,13.64436
0,mae,3,0.05,8.141989,11.865314
0,mae,3,0.075,9.976939,13.126789
0,mae,3,0.1,11.072844,13.809158
0,mae,3,0.15,12.420097,15.507594
0,mse,3,0.05,4.431235,9.505098
0,mse,3,0.075,6.338315,11.447189
0,mse,3,0.1,7.646554,12.376795
0,mse,3,0.15,9.651266,15.01664
0,mae,4,0.05,8.141237,11.953745
0,mae,4,0.075,9.927114,13.256811
0,mae,4,0.1,10.82617,13.872358
0,mae,4,0.15,12.761358,15.378887
0,mse,4,0.05,4.400587,9.515136
0,mse,4,0.075,6.378595,11.505737
0,mse,4,0.1,7.630267,12.520721
0,mse,4,0.15,10.254663,14.93532
0,mae,5,0.05,8.726799,11.962158
0,mae,5,0.075,10.657275,13.119951
0,mae,5,0.1,11.417503,13.739032
0,mae,5,0.15,13.212517,15.414766
0,mse,5,0.05,5.037635,9.202354
0,mse,5,0.075,7.248801,11.367569
0,mse,5,0.1,8.361858,12.317685
0,mse,5,0.15,11.075719,15.164875
0,mae,6,0.05,8.023616,12.202299
0,mae,6,0.075,10.242602,13.17183
0,mae,6,0.1,11.524763,13.848366
0,mae,6,0.15,13.818487,15.733955
0,mse,6,0.05,4.380564,9.881106
0,mse,6,0.075,6.836448,11.46246
0,mse,6,0.1,8.3042,12.253819
0,mse,6,0.15,11.626528,15.246625
0,mae,7,0.05,8.240254,12.349101
0,mae,7,0.075,10.437693,13.537457
0,mae,7,0.1,11.581815,14.498425
0,mae,7,0.15,14.155821,16.76535
0,mse,7,0.05,4.525503,9.773579
0,mse,7,0.075,6.838826,11.759016
0,mse,7,0.1,8.229156,13.118979
0,mse,7,0.15,12.158915,16.624546
0,mae,8,0.05,7.840058,12.307184
0,mae,8,0.075,10.624796,13.91206
0,mae,8,0.1,11.685376,14.915562
0,mae,8,0.15,14.414811,17.086153
0,mse,8,0.05,4.188813,9.905702
0,mse,8,0.075,7.068393,12.159907
0,mse,8,0.1,8.377051,13.728819
0,mse,8,0.15,12.361844,17.231583
0,mae,9,0.05,7.896754,13.030105
0,mae,9,0.075,10.574226,14.319342
0,mae,9,0.1,11.938294,15.123842
0,mae,9,0.15,14.759231,17.479912
0,mse,9,0.05,4.440871,10.960085
0,mse,9,0.075,7.028011,12.616594
0,mse,9,0.1,8.718787,13.798215
0,mse,9,0.15,12.992811,17.610382
0,mae,10,0.05,7.741624,12.901531
0,mae,10,0.075,10.946219,14.502048
0,mae,10,0.1,12.034631,15.499678
0,mae,10,0.15,15.107934,17.923372
0,mse,10,0.05,4.136619,10.712315
0,mse,10,0.075,7.352797,13.033658
0,mse,10,0.1,8.828895,14.166148
0,mse,10,0.15,13.549761,18.119827
0,mae,11,0.05,8.459621,12.97713
0,mae,11,0.075,11.068916,15.149025
0,mae,11,0.1,12.657295,16.332348
0,mae,11,0.15,15.606567,18.805458
0,mse,11,0.05,4.922155,10.760377
0,mse,11,0.075,7.597007,13.522999
0,mse,11,0.1,9.663602,15.24153
0,mse,11,0.15,14.258138,19.530222
0,mae,12,0.05,7.418998,13.664487
0,mae,12,0.075,10.485598,15.231375
0,mae,12,0.1,11.996817,16.709482
0,mae,12,0.15,15.774585,19.665894
0,mse,12,0.05,4.048423,11.646505
0,mse,12,0.075,7.038284,13.737541
0,mse,12,0.1,8.87418,15.946707
0,mse,12,0.15,14.551134,21.08227
0,mae,13,0.05,7.684429,12.756719
0,mae,13,0.075,10.666004,14.93401
0,mae,13,0.1,12.438427,16.897993
0,mae,13,0.15,15.931679,20.042885
0,mse,13,0.05,4.24575,10.374394
0,mse,13,0.075,7.168253,13.449936
0,mse,13,0.1,9.477136,16.410437
0,mse,13,0.15,14.904572,21.916126
0,mae,14,0.05,8.136451,13.329639
0,mae,14,0.075,11.450893,15.525493
0,mae,14,0.1,13.077409,17.216829
0,mae,14,0.15,16.321568,19.667873
0,mse,14,0.05,4.47565,11.013155
0,mse,14,0.075,8.214548,14.222878
0,mse,14,0.1,10.174969,16.784491
0,mse,14,0.15,15.439611,20.917959
0,mae,15,0.05,8.819778,13.871999
0,mae,15,0.075,11.787816,16.075542
0,mae,15,0.1,13.421538,17.146879
0,mae,15,0.15,17.205883,20.286192
0,mse,15,0.05,5.291079,11.972406
0,mse,15,0.075,8.504754,15.297043
0,mse,15,0.1,10.927387,16.890333
0,mse,15,0.15,17.098394,22.174351
0,mae,16,0.05,8.89158,13.864558
0,mae,16,0.075,11.685994,16.138815
0,mae,16,0.1,13.648823,17.187031
0,mae,16,0.15,17.048946,20.230112
0,mse,16,0.05,5.673951,12.043758
0,mse,16,0.075,8.741719,15.322561
0,mse,16,0.1,11.664961,16.875051
0,mse,16,0.15,17.26585,21.871286
0,mae,17,0.05,8.770771,13.320787
0,mae,17,0.075,11.542685,15.487795
0,mae,17,0.1,13.170074,16.919838
0,mae,17,0.15,16.555605,19.853645
0,mse,17,0.05,5.236484,11.179892
0,mse,17,0.075,8.724899,14.158475
0,mse,17,0.1,10.980696,16.168829
0,mse,17,0.15,16.785694,21.390476
0,mae,18,0.05,8.468132,13.646064
0,mae,18,0.075,11.805948,15.795429
0,mae,18,0.1,13.170874,17.168097
0,mae,18,0.15,15.977181,20.025585
0,mse,18,0.05,5.034746,11.907402
0,mse,18,0.075,9.311954,14.708843
0,mse,18,0.1,11.525669,16.943983
0,mse,18,0.15,16.3403,21.909168
0,mae,19,0.05,8.155685,12.99108
0,mae,19,0.075,11.419775,15.286049
0,mae,19,0.1,13.005608,16.531898
0,mae,19,0.15,15.735197,18.996883
0,mse,19,0.05,5.011827,10.649045
0,mse,19,0.075,9.13863,13.968635
0,mse,19,0.1,11.543436,16.024029
0,mse,19,0.15,16.094524,20.413235
0,mae,20,0.05,8.121762,12.987253
0,mae,20,0.075,11.284124,15.500889
0,mae,20,0.1,12.839087,16.199028
0,mae,20,0.15,15.471368,18.275553
0,mse,20,0.05,5.124141,10.606308
0,mse,20,0.075,8.988802,14.398074
0,mse,20,0.1,11.23045,15.579476
0,mse,20,0.15,16.004757,19.338348
0,mae,21,0.05,8.010236,13.0124
0,mae,21,0.075,11.025805,14.785554
0,mae,21,0.1,12.422427,15.76737
0,mae,21,0.15,15.014087,17.687714
0,mse,21,0.05,4.984909,10.462719
0,mse,21,0.075,8.632067,13.200459
0,mse,21,0.1,10.715309,14.851599
0,mse,21,0.15,15.224561,18.232449
0,mae,22,0.05,8.219755,12.511847
0,mae,22,0.075,10.638288,14.210552
0,mae,22,0.1,11.875317,15.126788
0,mae,22,0.15,13.911495,16.963936
0,mse,22,0.05,4.916006,9.834069
0,mse,22,0.075,8.121097,12.292856
0,mse,22,0.1,9.687197,13.550306
0,mse,22,0.15,13.065125,16.633982
0,mae,23,0.05,8.213207,12.416397
0,mae,23,0.075,10.371565,14.145586
0,mae,23,0.1,11.623848,14.651283
0,mae,23,0.15,13.740424,16.920834
0,mse,23,0.05,4.784544,9.717775
0,mse,23,0.075,7.46953,12.005283
0,mse,23,0.1,9.275467,12.838022
