batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.691968,10.168764
0,mae,0,0.075,10.881813,10.465029
0,mae,0,0.1,11.031593,10.443146
0,mae,0,0.15,10.978203,10.201761
0,mse,0,0.05,9.609905,7.02667
0,mse,0,0.075,9.699236,7.316298
0,mse,0,0.1,9.815758,7.283263
0,mse,0,0.15,9.791454,6.978684
0,mae,1,0.05,8.629228,10.19372
0,mae,1,0.075,9.982797,10.108205
0,mae,1,0.1,10.044878,10.043262
0,mae,1,0.15,10.827888,9.84077
0,mse,1,0.05,7.310236,7.195604
0,mse,1,0.075,8.638633,7.098654
0,mse,1,0.1,8.655922,7.010223
0,mse,1,0.15,9.414899,6.608688
0,mae,2,0.05,9.955832,10.174254
0,mae,2,0.075,9.974735,10.075186
0,mae,2,0.1,10.032282,9.977501
0,mae,2,0.15,10.89737,9.625092
0,mse,2,0.05,8.594783,7.1682
0,mse,2,0.075,8.624311,7.052891
0,mse,2,0.1,8.681885,6.905115
0,mse,2,0.15,9.540567,6.376631
0,mae,3,0.05,10.881907,10.159079
0,mae,3,0.075,10.868877,9.883591
0,mae,3,0.1,10.960705,9.828419
0,mae,3,0.15,11.220961,9.593249
0,mse,3,0.05,9.662424,6.974362
0,mse,3,0.075,9.636227,6.673625
0,mse,3,0.1,9.714477,6.617168
0,mse,3,0.15,9.74572,6.288787
0,mae,4,0.05,9.597533,10.323118
0,mae,4,0.075,9.665953,10.148411
0,mae,4,0.1,10.083506,10.063158
0,mae,4,0.15,10.333849,10.163155
0,mse,4,0.05,8.924246,7.350355
0,mse,4,0.075,8.934366,7.120022
0,mse,4,0.1,9.094677,6.912563
0,mse,4,0.15,9.195124,6.977813
0,mae,5,0.05,9.883831,10.192957
0,mae,5,0.075,9.86517,10.051052
0,mae,5,0.1,10.003754,10.315007
0,mae,5,0.15,10.542799,10.157125
0,mse,5,0.05,9.098288,7.173277
0,mse,5,0.075,9.05365,6.974781
0,mse,5,0.1,9.185887,7.112762
0,mse,5,0.15,9.416464,6.802683
0,mae,6,0.05,9.418225,10.485983
0,mae,6,0.075,10.074792,10.772038
0,mae,6,0.1,10.123369,10.975971
0,mae,6,0.15,10.782036,10.712186
0,mse,6,0.05,8.488594,7.384718
0,mse,6,0.075,8.911648,7.680553
0,mse,6,0.1,8.909075,7.956816
0,mse,6,0.15,9.779785,7.731787
0,mae,7,0.05,10.095171,10.459864
0,mae,7,0.075,10.262993,10.803833
0,mae,7,0.1,11.095428,10.7265
0,mae,7,0.15,11.143902,10.670869
0,mse,7,0.05,8.937115,7.286386
0,mse,7,0.075,9.092161,7.604194
0,mse,7,0.1,10.077616,7.695551
0,mse,7,0.15,10.328809,7.639917
0,mae,8,0.05,9.890162,10.51301
0,mae,8,0.075,10.201941,10.602403
0,mae,8,0.1,10.26018,10.539945
0,mae,8,0.15,11.355379,10.38765
0,mse,8,0.05,8.734653,7.305824
0,mse,8,0.075,8.970097,7.290895
0,mse,8,0.1,9.048253,7.399333
0,mse,8,0.15,10.244019,7.274246
0,mae,9,0.05,8.970455,10.983811
0,mae,9,0.075,9.236173,11.396435
0,mae,9,0.1,9.397957,11.356996
0,mae,9,0.15,9.727007,11.498381
0,mse,9,0.05,7.363393,8.632136
