batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,11.20731,10.044838
0,mae,0,0.075,11.249176,9.200186
0,mae,0,0.1,12.026771,8.863251
0,mae,0,0.15,12.538621,8.301504
0,mse,0,0.05,8.936924,6.529996
0,mse,0,0.075,8.76516,5.646141
0,mse,0,0.1,9.976657,5.390682
0,mse,0,0.15,10.870978,4.96201
0,mae,1,0.05,10.577959,9.278178
0,mae,1,0.075,11.441893,8.365828
0,mae,1,0.1,11.620055,8.213995
0,mae,1,0.15,12.029236,7.814593
0,mse,1,0.05,8.642685,5.837424
0,mse,1,0.075,9.343265,4.913022
0,mse,1,0.1,9.573111,4.936992
0,mse,1,0.15,10.301239,4.837538
0,mae,2,0.05,11.050344,9.019323
0,mae,2,0.075,10.805689,7.906703
0,mae,2,0.1,11.415461,8.038404
0,mae,2,0.15,11.822132,7.383887
0,mse,2,0.05,9.246938,5.610707
0,mse,2,0.075,8.798771,4.419168
0,mse,2,0.1,9.383902,4.616486
0,mse,2,0.15,9.998951,4.305924
0,mae,3,0.05,10.458717,8.909602
0,mae,3,0.075,10.54105,8.522988
0,mae,3,0.1,10.890462,8.414804
0,mae,3,0.15,11.116625,8.044453
0,mse,3,0.05,7.968483,5.312292
0,mse,3,0.075,7.928874,4.947037
0,mse,3,0.1,8.066873,4.949332
0,mse,3,0.15,9.041861,4.716114
0,mae,4,0.05,10.128534,9.160921
0,mae,4,0.075,9.920731,8.41511
0,mae,4,0.1,10.553383,8.432778
0,mae,4,0.15,10.716072,8.395501
0,mse,4,0.05,7.706566,5.78634
0,mse,4,0.075,7.258215,4.852499
0,mse,4,0.1,8.055927,4.910137
0,mse,4,0.15,8.609417,5.192711
0,mae,5,0.05,9.88213,9.454568
0,mae,5,0.075,10.22123,8.726112
0,mae,5,0.1,10.993111,8.691727
0,mae,5,0.15,11.220083,8.516061
0,mse,5,0.05,7.340734,6.029368
0,mse,5,0.075,8.013961,5.534882
0,mse,5,0.1,8.995819,5.502221
0,mse,5,0.15,8.825236,5.604094
0,mae,6,0.05,10.808064,9.154098
0,mae,6,0.075,10.75485,8.879477
0,mae,6,0.1,10.630831,8.95121
0,mae,6,0.15,11.096233,8.526546
0,mse,6,0.05,8.521511,5.970437
0,mse,6,0.075,8.288168,5.527233
0,mse,6,0.1,8.320122,5.640547
0,mse,6,0.15,8.899506,5.347197
0,mae,7,0.05,10.99137,9.413637
0,mae,7,0.075,11.186393,8.46364
0,mae,7,0.1,11.055842,8.303371
0,mae,7,0.15,11.501919,7.750553
0,mse,7,0.05,8.698376,6.090131
0,mse,7,0.075,8.761786,5.329928
0,mse,7,0.1,8.586075,5.267901
0,mse,7,0.15,9.29152,5.017307
0,mae,8,0.05,11.402433,9.242844
0,mae,8,0.075,11.240581,9.295752
0,mae,8,0.1,11.289619,9.011648
0,mae,8,0.15,11.111254,7.724551
0,mse,8,0.05,8.899187,5.884769
0,mse,8,0.075,8.755527,6.014575
0,mse,8,0.1,8.949247,5.88608
0,mse,8,0.15,9.280296,4.875699
0,mae,9,0.05,10.771282,9.219717
0,mae,9,0.075,11.180468,8.629192
0,mae,9,0.1,11.141936,8.436062
0,mae,9,0.15,11.454532,7.39988
0,mse,9,0.05,8.098541,6.207239
0,mse,9,0.075,8.601126,5.162414
0,mse,9,0.1,8.565718,4.920651
0,mse,9,0.15,9.545282,4.23053
0,mae,10,0.05,11.5699,9.126218
0,mae,10,0.075,11.567034,8.77254
0,mae,10,0.1,11.1262,8.008174
0,mae,10,0.15,11.134983,7.243758
0,mse,10,0.05,9.310293,5.513517
0,mse,10,0.075,9.542149,5.081014
0,mse,10,0.1,9.164686,4.452561
0,mse,10,0.15,9.303822,3.998003
0,mae,11,0.05,11.359965,9.033052
0,mae,11,0.075,10.970734,7.829442
0,mae,11,0.1,10.612904,7.361362
0,mae,11,0.15,10.904768,6.804086
0,mse,11,0.05,9.540425,5.583151
0,mse,11,0.075,8.749557,4.38627
0,mse,11,0.1,8.179706,3.822559
0,mse,11,0.15,8.627279,3.392588
0,mae,12,0.05,11.006022,9.399651
0,mae,12,0.075,10.682069,8.181267
0,mae,12,0.1,10.639468,7.750919
0,mae,12,0.15,10.963869,6.604502
0,mse,12,0.05,8.774561,5.999226
0,mse,12,0.075,8.128134,4.814367
0,mse,12,0.1,8.326542,4.352266
0,mse,12,0.15,9.014074,3.279953
0,mae,13,0.05,11.480682,9.614529
0,mae,13,0.075,10.294556,7.83729
0,mae,13,0.1,10.412727,7.810086
0,mae,13,0.15,10.784578,6.566537
0,mse,13,0.05,9.490697,6.243966
0,mse,13,0.075,8.202013,4.236826
0,mse,13,0.1,8.241492,4.184702
0,mse,13,0.15,8.768719,2.985631
0,mae,14,0.05,11.639187,9.717463
0,mae,14,0.075,10.790564,8.205523
0,mae,14,0.1,10.705496,7.689966
0,mae,14,0.15,10.771513,6.370159
0,mse,14,0.05,10.01929,6.207538
0,mse,14,0.075,8.791485,4.533711
0,mse,14,0.1,8.659898,4.02284
0,mse,14,0.15,8.78274,2.94467
0,mae,15,0.05,10.619935,9.225922
0,mae,15,0.075,10.827538,8.422268
0,mae,15,0.1,10.966535,7.521658
0,mae,15,0.15,11.173473,6.657745
0,mse,15,0.05,8.64355,5.723428
0,mse,15,0.075,8.920925,4.885728
0,mse,15,0.1,9.065327,3.875202
0,mse,15,0.15,9.542286,3.113253
0,mae,16,0.05,10.839291,9.108566
0,mae,16,0.075,11.382538,8.515388
0,mae,16,0.1,12.052902,7.706308
0,mae,16,0.15,11.688618,6.631282
0,mse,16,0.05,9.104283,5.6483
0,mse,16,0.075,10.013893,5.015511
0,mse,16,0.1,10.958717,4.154028
0,mse,16,0.15,10.931004,2.966716
0,mae,17,0.05,9.893829,8.720243
0,mae,17,0.075,10.186689,8.022102
0,mae,17,0.1,10.358482,7.327888
0,mae,17,0.15,10.718526,5.80437
0,mse,17,0.05,7.435587,5.051688
0,mse,17,0.075,7.79485,4.220841
0,mse,17,0.1,7.986172,3.652624
0,mse,17,0.15,8.656469,2.345612
0,mae,18,0.05,10.610009,9.329548
0,mae,18,0.075,10.432932,8.821686
0,mae,18,0.1,10.643878,7.950685
0,mae,18,0.15,10.904155,6.84437
0,mse,18,0.05,8.484072,6.099109
0,mse,18,0.075,8.061978,5.207008
0,mse,18,0.1,8.615843,4.288841
0,mse,18,0.15,8.924691,3.293651
0,mae,19,0.05,11.121501,9.277506
0,mae,19,0.075,11.442169,8.151083
0,mae,19,0.1,11.505413,8.051392
0,mae,19,0.15,11.252941,6.912688
0,mse,19,0.05,9.429827,5.749556
0,mse,19,0.075,9.491669,4.559728
0,mse,19,0.1,9.871342,4.389443
0,mse,19,0.15,9.433954,3.264132
0,mae,20,0.05,10.789274,9.634266
0,mae,20,0.075,10.982779,8.056191
0,mae,20,0.1,11.337723,7.706296
0,mae,20,0.15,11.332991,7.172268
0,mse,20,0.05,9.005377,6.127258
0,mse,20,0.075,8.683899,4.362906
0,mse,20,0.1,9.39901,3.880227
0,mse,20,0.15,9.178035,3.408159
0,mae,21,0.05,10.501165,8.919034
0,mae,21,0.075,11.041555,8.164165
0,mae,21,0.1,11.032563,7.773223
0,mae,21,0.15,10.946812,7.120141
0,mse,21,0.05,8.721863,5.290731
0,mse,21,0.075,9.427181,4.562127
0,mse,21,0.1,9.248852,4.293058
0,mse,21,0.15,9.058303,3.62595
0,mae,22,0.05,9.703693,9.170362
0,mae,22,0.075,10.807558,7.925973
0,mae,22,0.1,10.732585,7.775489
0,mae,22,0.15,11.273335,6.830647
0,mse,22,0.05,7.98912,5.630873
0,mse,22,0.075,8.951607,4.176646
0,mse,22,0.1,8.959734,4.107205
0,mse,22,0.15,9.406857,3.259333
0,mae,23,0.05,11.18609,8.832115
0,mae,23,0.075,11.08098,8.249005
0,mae,23,0.1,11.015947,8.219639
0,mae,23,0.15,10.697803,7.495088
0,mse,23,0.05,9.463146,5.053165
0,mse,23,0.075,9.355068,4.571165
0,mse,23,0.1,9.432148,4.553965
0,mse,23,0.15,8.530483,3.844138
1,mae,0,0.05,13.118165,14.396828
1,mae,0,0.075,14.449257,12.393658
1,mae,0,0.1,15.307699,11.32158
1,mae,0,0.15,15.848774,10.205076
1,mse,0,0.05,12.378498,13.646515
1,mse,0,0.075,13.689766,10.251288
1,mse,0,0.1,14.601204,8.80181
1,mse,0,0.15,15.193102,7.818823
1,mae,1,0.05,13.323819,14.276505
1,mae,1,0.075,14.525295,12.216434
1,mae,1,0.1,14.980022,11.216461
1,mae,1,0.15,15.193498,9.454636
1,mse,1,0.05,12.100847,13.598747
1,mse,1,0.075,13.844933,10.137024
1,mse,1,0.1,14.29086,8.87955
1,mse,1,0.15,14.334712,6.529921
1,mae,2,0.05,13.222628,14.465902
1,mae,2,0.075,14.353428,12.408171
1,mae,2,0.1,14.866158,11.319247
1,mae,2,0.15,15.503354,9.036135
1,mse,2,0.05,12.233721,13.646917
1,mse,2,0.075,13.726461,10.820971
1,mse,2,0.1,14.040695,9.122143
1,mse,2,0.15,14.948967,6.168053
1,mae,3,0.05,12.520281,14.448751
1,mae,3,0.075,13.601252,12.78602
1,mae,3,0.1,14.080702,11.796398
1,mae,3,0.15,14.793497,9.839065
1,mse,3,0.05,11.342945,13.80777
1,mse,3,0.075,12.380299,11.42897
1,mse,3,0.1,12.91132,9.95654
1,mse,3,0.15,13.672583,7.528156
1,mae,4,0.05,12.957054,14.841762
1,mae,4,0.075,13.519053,12.260392
1,mae,4,0.1,13.932383,10.845052
1,mae,4,0.15,14.825285,9.268835
1,mse,4,0.05,11.580277,14.761702
1,mse,4,0.075,12.256821,10.593066
1,mse,4,0.1,12.467653,8.425134
1,mse,4,0.15,13.795726,6.766466
1,mae,5,0.05,12.398362,14.743958
1,mae,5,0.075,13.662682,12.157831
1,mae,5,0.1,14.25409,11.199007
1,mae,5,0.15,14.520574,9.19422
1,mse,5,0.05,11.026295,14.896936
1,mse,5,0.075,12.252983,10.357288
1,mse,5,0.1,12.748875,9.024485
1,mse,5,0.15,13.388096,6.491565
1,mae,6,0.05,12.671067,14.30683
1,mae,6,0.075,12.756712,12.187962
1,mae,6,0.1,13.226915,10.28918
1,mae,6,0.15,14.232059,8.456191
1,mse,6,0.05,11.284304,13.407003
1,mse,6,0.075,10.969821,10.329627
1,mse,6,0.1,11.56727,7.460586
1,mse,6,0.15,12.63381,5.268947
1,mae,7,0.05,12.050488,14.056433
1,mae,7,0.075,12.844755,11.59185
1,mae,7,0.1,13.698557,10.330253
1,mae,7,0.15,14.136585,8.584529
1,mse,7,0.05,10.103789,12.817198
1,mse,7,0.075,11.008032,9.203968
1,mse,7,0.1,12.138723,7.437028
1,mse,7,0.15,13.15938,5.018577
1,mae,8,0.05,12.809733,14.340322
1,mae,8,0.075,13.415745,12.16703
1,mae,8,0.1,13.502282,11.357523
1,mae,8,0.15,14.547176,8.480868
1,mse,8,0.05,11.34008,13.753271
1,mse,8,0.075,11.879152,9.86347
1,mse,8,0.1,12.498425,8.834951
1,mse,8,0.15,13.998608,4.934454
1,mae,9,0.05,12.269622,14.328009
1,mae,9,0.075,12.549192,12.5597
1,mae,9,0.1,13.269194,11.020963
1,mae,9,0.15,14.765856,9.096062
1,mse,9,0.05,10.100506,13.555052
1,mse,9,0.075,10.898579,10.293612
1,mse,9,0.1,12.449537,7.912215
1,mse,9,0.15,14.822499,5.872242
1,mae,10,0.05,12.121399,14.44215
1,mae,10,0.075,12.915539,12.529169
1,mae,10,0.1,13.111429,10.318061
1,mae,10,0.15,15.12696,7.910129
1,mse,10,0.05,9.741226,13.715042
1,mse,10,0.075,11.21804,10.724518
1,mse,10,0.1,11.625253,7.070255
1,mse,10,0.15,15.090055,4.506479
1,mae,11,0.05,12.237364,13.828667
1,mae,11,0.075,13.549668,11.758729
1,mae,11,0.1,14.3766,10.155638
1,mae,11,0.15,16.02737,7.096358
1,mse,11,0.05,9.910843,12.957876
1,mse,11,0.075,12.159438,9.701206
1,mse,11,0.1,13.650997,7.332408
1,mse,11,0.15,16.797335,4.084521
1,mae,12,0.05,11.606411,14.633458
1,mae,12,0.075,12.431349,11.583593
1,mae,12,0.1,13.203009,9.60285
1,mae,12,0.15,15.364741,7.781096
1,mse,12,0.05,9.246799,14.06226
1,mse,12,0.075,11.147131,8.825598
1,mse,12,0.1,12.070055,6.514832
1,mse,12,0.15,15.78638,4.667367
1,mae,13,0.05,11.562576,14.506633
1,mae,13,0.075,12.836759,11.593523
1,mae,13,0.1,14.060231,9.598474
1,mae,13,0.15,15.817385,7.158348
1,mse,13,0.05,9.187733,13.820513
1,mse,13,0.075,11.517485,9.31476
1,mse,13,0.1,13.13694,6.684986
1,mse,13,0.15,16.311646,3.782469
1,mae,14,0.05,13.565021,13.5515
1,mae,14,0.075,14.57765,10.176356
1,mae,14,0.1,15.328107,7.917027
1,mae,14,0.15,16.868383,6.338457
1,mse,14,0.05,11.917926,11.979262
1,mse,14,0.075,13.509527,7.284983
1,mse,14,0.1,15.171638,4.239236
1,mse,14,0.15,18.023689,2.926016
1,mae,15,0.05,13.2415,13.28161
1,mae,15,0.075,14.524691,10.144348
1,mae,15,0.1,15.570111,8.561763
1,mae,15,0.15,18.068201,6.630458
1,mse,15,0.05,11.090105,11.766562
1,mse,15,0.075,13.505564,7.258938
1,mse,15,0.1,15.30901,5.542762
1,mse,15,0.15,20.215824,3.346517
1,mae,16,0.05,13.076089,12.810444
1,mae,16,0.075,14.697912,9.26564
1,mae,16,0.1,16.143517,8.104348
1,mae,16,0.15,17.408398,6.666279
1,mse,16,0.05,11.018898,10.773611
1,mse,16,0.075,13.43478,5.713301
1,mse,16,0.1,16.058681,4.53203
1,mse,16,0.15,18.561972,3.431847
1,mae,17,0.05,13.034878,13.483232
1,mae,17,0.075,14.534981,10.141513
1,mae,17,0.1,15.439563,8.28946
1,mae,17,0.15,17.015862,6.851727
1,mse,17,0.05,10.997944,11.966465
1,mse,17,0.075,13.296352,6.98939
1,mse,17,0.1,15.079395,4.661853
1,mse,17,0.15,18.10017,3.422086
1,mae,18,0.05,12.531905,13.364946
1,mae,18,0.075,14.249918,11.106344
1,mae,18,0.1,14.925225,10.687903
1,mae,18,0.15,16.662247,8.634913
1,mse,18,0.05,10.105732,11.771162
1,mse,18,0.075,12.870467,8.617247
1,mse,18,0.1,14.191107,8.045558
1,mse,18,0.15,17.252941,5.949702
1,mae,19,0.05,12.169892,13.450258
1,mae,19,0.075,14.136043,10.888943
1,mae,19,0.1,15.200178,10.534613
1,mae,19,0.15,16.719997,7.864491
1,mse,19,0.05,9.843498,12.034653
1,mse,19,0.075,12.532873,8.482533
1,mse,19,0.1,13.86115,8.194198
1,mse,19,0.15,16.871933,4.267679
1,mae,20,0.05,11.276421,14.208992
1,mae,20,0.075,12.549631,11.586498
1,mae,20,0.1,13.328304,10.614923
1,mae,20,0.15,15.676073,8.825953
1,mse,20,0.05,9.379059,13.188168
1,mse,20,0.075,10.70934,9.250726
1,mse,20,0.1,12.00088,8.034306
1,mse,20,0.15,15.61467,5.628862
1,mae,21,0.05,11.995734,14.41419
1,mae,21,0.075,13.18544,12.233188
1,mae,21,0.1,13.898187,11.248982
1,mae,21,0.15,15.548416,8.67523
1,mse,21,0.05,10.354475,13.623903
1,mse,21,0.075,12.274014,10.356104
1,mse,21,0.1,13.027674,8.981294
1,mse,21,0.15,15.398159,5.18403
1,mae,22,0.05,13.106943,14.676649
1,mae,22,0.075,13.782651,12.383593
1,mae,22,0.1,14.902216,11.522491
1,mae,22,0.15,16.53487,9.760312
1,mse,22,0.05,11.714737,14.315563
1,mse,22,0.075,13.089067,10.801523
1,mse,22,0.1,14.449135,10.060291
1,mse,22,0.15,17.119595,7.279191
1,mae,23,0.05,13.272193,13.498405
1,mae,23,0.075,14.234323,11.818192
1,mae,23,0.1,14.810503,10.954285
1,mae,23,0.15,16.685249,8.779513
1,mse,23,0.05,11.939604,11.721578
1,mse,23,0.075,13.755401,9.244578
1,mse,23,0.1,14.443157,8.432276
1,mse,23,0.15,16.972397,5.245915
2,mae,0,0.05,12.481779,13.829556
2,mae,0,0.075,13.882477,12.401823
2,mae,0,0.1,14.861511,12.054556
2,mae,0,0.15,16.135403,11.109972
2,mse,0,0.05,11.082061,12.619184
2,mse,0,0.075,13.508087,10.095213
2,mse,0,0.1,15.568796,9.821354
2,mse,0,0.15,18.601658,7.962544
2,mae,1,0.05,13.710415,13.446529
2,mae,1,0.075,15.641843,12.895864
2,mae,1,0.1,15.675919,12.329485
2,mae,1,0.15,15.880906,11.004503
2,mse,1,0.05,13.225573,11.576971
2,mse,1,0.075,17.372896,10.820265
2,mse,1,0.1,17.722939,9.910517
2,mse,1,0.15,17.811396,8.059287
2,mae,2,0.05,12.780773,13.57135
2,mae,2,0.075,14.603601,12.616036
2,mae,2,0.1,14.431135,12.114111
2,mae,2,0.15,15.222828,10.492415
2,mse,2,0.05,10.862122,11.956528
2,mse,2,0.075,14.704609,10.368809
2,mse,2,0.1,14.434347,9.728722
2,mse,2,0.15,16.549776,7.310705
2,mae,3,0.05,12.738188,13.040051
2,mae,3,0.075,14.682899,12.007578
2,mae,3,0.1,14.404566,11.505216
2,mae,3,0.15,15.066704,10.2089
2,mse,3,0.05,11.058432,10.98641
2,mse,3,0.075,15.233629,9.348974
2,mse,3,0.1,14.929823,8.906009
2,mse,3,0.15,16.834206,6.926712
2,mae,4,0.05,12.899278,12.801834
2,mae,4,0.075,13.538464,11.036821
2,mae,4,0.1,14.161545,10.255628
2,mae,4,0.15,15.378241,8.952015
2,mse,4,0.05,11.367894,10.542035
2,mse,4,0.075,12.947153,8.134514
2,mse,4,0.1,13.957377,7.009112
2,mse,4,0.15,16.897137,5.301346
2,mae,5,0.05,12.300688,12.765511
2,mae,5,0.075,13.350645,11.740261
2,mae,5,0.1,13.876307,11.018065
2,mae,5,0.15,14.32094,8.847005
2,mse,5,0.05,10.651075,10.959133
2,mse,5,0.075,12.224068,9.051315
2,mse,5,0.1,13.571518,7.964321
2,mse,5,0.15,14.257274,5.000039
2,mae,6,0.05,11.565189,12.731497
2,mae,6,0.075,13.2966,11.426752
2,mae,6,0.1,13.750492,10.687454
2,mae,6,0.15,14.240857,9.310884
2,mse,6,0.05,9.808263,10.63834
2,mse,6,0.075,12.775805,8.600834
2,mse,6,0.1,13.611194,7.45082
2,mse,6,0.15,14.911896,5.6687
2,mae,7,0.05,11.942231,12.751488
2,mae,7,0.075,13.595161,11.736614
2,mae,7,0.1,13.39617,11.542435
2,mae,7,0.15,13.926344,9.422291
2,mse,7,0.05,10.899303,10.554072
2,mse,7,0.075,13.735326,8.727219
2,mse,7,0.1,13.249296,8.065243
2,mse,7,0.15,13.580702,5.66439
2,mae,8,0.05,11.705214,13.050482
2,mae,8,0.075,12.941658,11.978196
2,mae,8,0.1,13.148945,11.37361
2,mae,8,0.15,13.68585,9.232033
2,mse,8,0.05,10.493131,10.651276
2,mse,8,0.075,13.064853,8.930916
2,mse,8,0.1,13.281447,7.934954
2,mse,8,0.15,13.934345,5.641319
2,mae,9,0.05,11.190675,13.048006
2,mae,9,0.075,12.764622,11.488344
2,mae,9,0.1,13.055372,11.282965
2,mae,9,0.15,13.695875,9.766361
2,mse,9,0.05,9.642778,10.54777
2,mse,9,0.075,11.908474,8.508963
2,mse,9,0.1,13.131969,8.009457
2,mse,9,0.15,14.301608,6.07517
2,mae,10,0.05,11.374403,13.190039
2,mae,10,0.075,12.539699,11.316786
2,mae,10,0.1,13.107136,10.474876
2,mae,10,0.15,13.576757,8.289703
2,mse,10,0.05,9.050314,11.250257
2,mse,10,0.075,11.182916,8.19419
2,mse,10,0.1,12.636921,6.986632
2,mse,10,0.15,13.13205,4.47542
2,mae,11,0.05,11.447578,13.387468
2,mae,11,0.075,13.044996,11.817193
2,mae,11,0.1,13.797033,10.77364
2,mae,11,0.15,13.860476,8.502834
2,mse,11,0.05,9.864015,11.115585
2,mse,11,0.075,12.902942,8.8409
2,mse,11,0.1,14.250895,7.708259
2,mse,11,0.15,13.826437,4.785454
2,mae,12,0.05,12.827749,14.166193
2,mae,12,0.075,14.372911,12.325283
2,mae,12,0.1,14.443052,11.269938
2,mae,12,0.15,14.209339,9.033726
2,mse,12,0.05,12.337397,12.653482
2,mse,12,0.075,15.57756,9.936417
2,mse,12,0.1,15.144766,8.397573
2,mse,12,0.15,14.082582,5.504326
2,mae,13,0.05,12.794319,13.656164
2,mae,13,0.075,14.435336,12.46862
2,mae,13,0.1,14.981204,11.873543
2,mae,13,0.15,14.612825,9.332518
2,mse,13,0.05,12.111032,11.976496
2,mse,13,0.075,15.073724,9.64382
2,mse,13,0.1,16.277023,8.705729
2,mse,13,0.15,14.903911,5.575276
2,mae,14,0.05,12.388981,14.197315
2,mae,14,0.075,13.827629,12.501313
2,mae,14,0.1,14.066242,11.925957
2,mae,14,0.15,13.955044,9.283001
2,mse,14,0.05,11.856614,12.623831
2,mse,14,0.075,14.611058,9.851685
2,mse,14,0.1,14.942931,9.085312
2,mse,14,0.15,13.705086,5.769516
2,mae,15,0.05,12.499872,14.580384
2,mae,15,0.075,13.677184,13.200813
2,mae,15,0.1,13.873145,11.817448
2,mae,15,0.15,13.440322,9.650149
2,mse,15,0.05,12.463598,13.567103
2,mse,15,0.075,14.25075,10.894293
2,mse,15,0.1,14.532583,9.264118
2,mse,15,0.15,13.058186,6.373671
2,mae,16,0.05,13.022472,14.311629
2,mae,16,0.075,13.821829,12.279181
2,mae,16,0.1,14.04841,11.33848
2,mae,16,0.15,13.916165,9.411104
2,mse,16,0.05,13.256974,12.794085
2,mse,16,0.075,14.640316,9.591866
2,mse,16,0.1,15.131404,8.293841
2,mse,16,0.15,14.250424,6.211792
2,mae,17,0.05,12.294188,14.197922
2,mae,17,0.075,13.926398,12.464582
2,mae,17,0.1,14.419989,11.158029
2,mae,17,0.15,14.20846,9.372922
2,mse,17,0.05,12.533546,12.822274
2,mse,17,0.075,15.7345,10.094551
2,mse,17,0.1,16.209612,8.09279
2,mse,17,0.15,14.898424,5.937307
2,mae,18,0.05,12.804551,13.646178
2,mae,18,0.075,14.171153,12.028006
2,mae,18,0.1,14.248789,11.470147
2,mae,18,0.15,14.603331,9.732212
2,mse,18,0.05,13.297249,11.66682
2,mse,18,0.075,15.491944,9.253295
2,mse,18,0.1,15.320454,8.610919
2,mse,18,0.15,15.325243,6.374094
2,mae,19,0.05,13.610584,13.580912
