batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.427497,12.661394
0,mae,0,0.075,10.394064,12.079348
0,mae,0,0.1,10.494239,11.697836
0,mae,0,0.15,10.235552,11.064157
0,mse,0,0.05,10.654425,10.624806
0,mse,0,0.075,10.369873,10.076078
0,mse,0,0.1,10.400708,9.592626
0,mse,0,0.15,9.533026,8.658422
0,mae,1,0.05,10.199415,12.402964
0,mae,1,0.075,10.440314,11.595634
0,mae,1,0.1,10.459288,11.478525
0,mae,1,0.15,10.677588,10.978141
0,mse,1,0.05,10.915648,10.453557
0,mse,1,0.075,11.107238,9.524053
0,mse,1,0.1,10.555174,9.318698
0,mse,1,0.15,10.59366,8.294689
0,mae,2,0.05,9.587339,12.433578
0,mae,2,0.075,10.392494,11.7185
0,mae,2,0.1,10.451809,11.632421
0,mae,2,0.15,11.253142,10.567607
0,mse,2,0.05,10.116888,10.794558
0,mse,2,0.075,10.541498,9.476502
0,mse,2,0.1,10.521385,9.251252
0,mse,2,0.15,10.671389,7.717076
0,mae,3,0.05,8.688846,12.017911
0,mae,3,0.075,10.760973,11.586668
0,mae,3,0.1,10.872393,11.162563
0,mae,3,0.15,11.353252,10.397963
0,mse,3,0.05,7.44166,10.083496
0,mse,3,0.075,11.109833,9.386719
0,mse,3,0.1,11.021996,8.815761
0,mse,3,0.15,10.95036,7.424991
0,mae,4,0.05,8.8169,12.367504
0,mae,4,0.075,11.23679,11.30562
0,mae,4,0.1,11.571661,10.887928
0,mae,4,0.15,11.753408,10.157017
0,mse,4,0.05,7.619184,10.728928
0,mse,4,0.075,11.599338,8.79454
0,mse,4,0.1,11.83589,8.253288
0,mse,4,0.15,11.263988,7.329684
0,mae,5,0.05,9.603633,12.372499
0,mae,5,0.075,10.999633,11.635979
0,mae,5,0.1,11.388453,10.82011
0,mae,5,0.15,11.869984,9.919382
0,mse,5,0.05,9.999966,10.342089
0,mse,5,0.075,10.976729,9.426491
0,mse,5,0.1,11.224657,8.405138
0,mse,5,0.15,11.315202,6.742534
0,mae,6,0.05,9.787446,12.024107
0,mae,6,0.075,10.879642,11.123486
0,mae,6,0.1,10.666312,10.969259
0,mae,6,0.15,11.419321,10.398793
0,mse,6,0.05,10.539734,10.008644
0,mse,6,0.075,10.6388,8.672053
0,mse,6,0.1,10.363998,8.531099
0,mse,6,0.15,10.687811,7.567681
0,mae,7,0.05,8.66936,12.338289
0,mae,7,0.075,10.135044,12.345997
0,mae,7,0.1,10.09972,11.780916
0,mae,7,0.15,10.626833,11.326761
0,mse,7,0.05,7.343059,10.813125
0,mse,7,0.075,8.676529,10.872572
0,mse,7,0.1,8.627722,10.372072
0,mse,7,0.15,8.838986,9.773239
0,mae,8,0.05,8.338152,12.7925
0,mae,8,0.075,8.590862,12.05835
0,mae,8,0.1,9.516067,11.997677
0,mae,8,0.15,10.629334,11.971519
0,mse,8,0.05,7.138365,11.352615
0,mse,8,0.075,7.318802,10.396409
0,mse,8,0.1,7.949441,10.305777
0,mse,8,0.15,8.990698,10.596672
0,mae,9,0.05,8.33757,12.954147
0,mae,9,0.075,8.830124,12.480221
0,mae,9,0.1,9.239668,12.349404
0,mae,9,0.15,9.85622,11.743497
0,mse,9,0.05,7.349711,11.518227
0,mse,9,0.075,7.632967,11.05722
0,mse,9,0.1,7.593302,10.730965
0,mse,9,0.15,8.162594,9.887433
0,mae,10,0.05,8.572404,12.699764
0,mae,10,0.075,9.182541,12.543886
0,mae,10,0.1,9.568836,11.329044
0,mae,10,0.15,10.986835,10.903254
0,mse,10,0.05,7.461134,11.152397
0,mse,10,0.075,7.599942,10.593201
0,mse,10,0.1,7.691229,8.970398
0,mse,10,0.15,10.73698,8.431217
0,mae,11,0.05,9.09749,12.785231
0,mae,11,0.075,9.945185,12.255632
0,mae,11,0.1,10.257733,12.126176
0,mae,11,0.15,10.218789,11.804006
0,mse,11,0.05,7.782264,11.343619
0,mse,11,0.075,8.157433,10.532473
0,mse,11,0.1,8.601671,10.614958
0,mse,11,0.15,8.207163,10.450174
0,mae,12,0.05,8.738355,12.86865
0,mae,12,0.075,9.773453,12.513143
0,mae,12,0.1,10.874466,11.548206
0,mae,12,0.15,11.03375,11.19875
0,mse,12,0.05,7.154893,11.378698
0,mse,12,0.075,8.132502,11.21229
0,mse,12,0.1,10.960735,9.460635
0,mse,12,0.15,10.419728,8.821709
0,mae,13,0.05,8.258389,12.755601
0,mae,13,0.075,10.064789,12.493195
0,mae,13,0.1,10.733515,11.908485
0,mae,13,0.15,10.713181,11.252268
0,mse,13,0.05,7.179891,10.918732
0,mse,13,0.075,10.270051,10.241611
0,mse,13,0.1,10.631507,9.071835
0,mse,13,0.15,10.512441,8.411995
0,mae,14,0.05,8.016897,12.85059
0,mae,14,0.075,9.326168,12.858683
0,mae,14,0.1,10.241768,12.553082
0,mae,14,0.15,11.004341,11.891352
0,mse,14,0.05,9.198805,10.802353
0,mse,14,0.075,10.05605,10.638549
0,mse,14,0.1,10.683818,10.040726
0,mse,14,0.15,10.63315,9.031062
0,mae,15,0.05,7.150125,13.589571
0,mae,15,0.075,8.049768,13.034131
0,mae,15,0.1,8.778425,12.858074
0,mae,15,0.15,9.841784,11.71295
0,mse,15,0.05,6.25875,12.166813
0,mse,15,0.075,6.874195,11.44426
0,mse,15,0.1,7.38869,10.956635
0,mse,15,0.15,8.035317,9.639019
0,mae,16,0.05,6.763113,13.440344
0,mae,16,0.075,7.981867,12.880116
0,mae,16,0.1,8.054413,12.833922
0,mae,16,0.15,9.731836,12.179669
0,mse,16,0.05,5.834561,11.909136
0,mse,16,0.075,6.967588,10.946207
0,mse,16,0.1,7.21766,10.886156
0,mse,16,0.15,8.313483,9.907928
0,mae,17,0.05,5.888501,13.936289
0,mae,17,0.075,8.126143,13.260368
0,mae,17,0.1,9.009412,12.722951
0,mae,17,0.15,11.10989,11.518538
0,mse,17,0.05,3.668799,13.203651
0,mse,17,0.075,6.928963,11.616274
0,mse,17,0.1,7.716043,10.787706
0,mse,17,0.15,11.536564,8.786825
0,mae,18,0.05,7.730136,13.932961
0,mae,18,0.075,9.308468,12.967559
0,mae,18,0.1,10.009411,11.95376
0,mae,18,0.15,10.595598,11.451945
0,mse,18,0.05,6.405586,12.718933
0,mse,18,0.075,10.111725,10.881964
0,mse,18,0.1,11.106469,9.52014
0,mse,18,0.15,11.427227,8.62501
0,mae,19,0.05,8.964077,13.395079
0,mae,19,0.075,9.577826,12.822938
0,mae,19,0.1,9.75783,12.253172
0,mae,19,0.15,10.592705,11.680191
0,mse,19,0.05,9.66166,11.518497
0,mse,19,0.075,10.593927,10.552343
0,mse,19,0.1,10.553344,9.629734
0,mse,19,0.15,11.243853,8.591374
0,mae,20,0.05,9.162527,12.988402
0,mae,20,0.075,9.23225,12.631827
0,mae,20,0.1,10.373737,12.023067
0,mae,20,0.15,11.255515,11.477829
0,mse,20,0.05,9.767871,10.813879
0,mse,20,0.075,10.00597,10.164958
0,mse,20,0.1,10.843482,9.24774
0,mse,20,0.15,11.801867,8.183973
0,mae,21,0.05,8.700581,13.241074
0,mae,21,0.075,9.615817,12.596573
0,mae,21,0.1,9.995026,12.556864
0,mae,21,0.15,11.1061,11.61053
0,mse,21,0.05,9.561529,11.069159
0,mse,21,0.075,10.320309,9.867589
0,mse,21,0.1,10.699877,9.759956
0,mse,21,0.15,11.426259,8.543961
0,mae,22,0.05,7.46315,13.293278
0,mae,22,0.075,9.50504,12.914582
0,mae,22,0.1,9.748894,12.337355
0,mae,22,0.15,10.576013,11.17845
0,mse,22,0.05,6.157226,11.34724
0,mse,22,0.075,10.238014,10.707334
0,mse,22,0.1,10.333243,9.748666
0,mse,22,0.15,11.294669,7.961457
0,mae,23,0.05,9.308484,13.310307
0,mae,23,0.075,9.832137,12.554424
0,mae,23,0.1,10.028982,12.402719
0,mae,23,0.15,11.034018,11.912733
0,mse,23,0.05,9.641667,11.290749
0,mse,23,0.075,10.23872,10.343822
0,mse,23,0.1,10.360081,9.900603
0,mse,23,0.15,10.891208,9.017461
1,mae,0,0.05,12.3917,19.781178
1,mae,0,0.075,13.296708,19.228989
1,mae,0,0.1,13.710928,18.84281
1,mae,0,0.15,15.466259,17.060143
1,mse,0,0.05,11.749411,24.606964
1,mse,0,0.075,13.079708,23.645144
1,mse,0,0.1,13.431213,23.06023
1,mse,0,0.15,16.739828,19.46456
1,mae,1,0.05,12.038972,19.897266
1,mae,1,0.075,13.035746,18.866222
1,mae,1,0.1,13.768806,17.808022
1,mae,1,0.15,15.031324,16.90169
1,mse,1,0.05,11.350788,24.939344
1,mse,1,0.075,12.530136,22.888161
1,mse,1,0.1,13.694918,20.763485
1,mse,1,0.15,15.97057,18.650272
1,mae,2,0.05,12.127145,19.877266
1,mae,2,0.075,12.807655,19.151623
1,mae,2,0.1,13.752439,18.132824
1,mae,2,0.15,15.392743,16.802906
1,mse,2,0.05,11.210089,25.067831
1,mse,2,0.075,11.955065,23.292282
1,mse,2,0.1,13.308365,21.575026
1,mse,2,0.15,15.798713,19.01638
1,mae,3,0.05,12.216503,19.910717
1,mae,3,0.075,13.666443,19.179028
1,mae,3,0.1,14.227514,18.244316
1,mae,3,0.15,16.218819,16.484749
1,mse,3,0.05,11.530319,25.020752
1,mse,3,0.075,13.599474,23.651814
1,mse,3,0.1,14.187446,21.416885
1,mse,3,0.15,17.387873,17.812471
1,mae,4,0.05,11.146059,19.515625
1,mae,4,0.075,12.412475,19.184563
1,mae,4,0.1,13.517088,18.295523
1,mae,4,0.15,15.522181,17.028755
1,mse,4,0.05,10.125972,24.200165
1,mse,4,0.075,11.957625,23.901089
1,mse,4,0.1,13.401337,21.897182
1,mse,4,0.15,16.741821,19.138943
1,mae,5,0.05,11.396361,19.229347
1,mae,5,0.075,12.37784,18.686155
1,mae,5,0.1,13.265825,18.328112
1,mae,5,0.15,14.743044,17.267868
1,mse,5,0.05,10.46391,23.905346
1,mse,5,0.075,11.685804,22.823273
1,mse,5,0.1,13.102833,22.04768
1,mse,5,0.15,15.401011,19.530853
1,mae,6,0.05,11.69166,19.083025
1,mae,6,0.075,13.234783,18.407635
1,mae,6,0.1,13.623163,17.801321
1,mae,6,0.15,14.843051,16.814919
1,mse,6,0.05,10.578388,23.633835
1,mse,6,0.075,13.110271,22.165722
1,mse,6,0.1,13.857949,20.419882
1,mse,6,0.15,15.652473,18.20356
1,mae,7,0.05,10.566057,19.624477
1,mae,7,0.075,12.425699,18.532951
1,mae,7,0.1,13.16855,17.938461
1,mae,7,0.15,15.178207,16.513695
1,mse,7,0.05,9.824176,24.304901
1,mse,7,0.075,11.804613,21.507029
1,mse,7,0.1,13.514641,19.987942
1,mse,7,0.15,16.292973,17.382246
1,mae,8,0.05,10.611767,19.714699
1,mae,8,0.075,12.142727,18.926609
1,mae,8,0.1,13.041605,18.157705
1,mae,8,0.15,15.164448,16.794086
1,mse,8,0.05,10.121837,24.223583
