batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.657218,13.715641
0,mae,0,0.075,2.499304,13.951923
0,mae,0,0.1,3.064468,13.952726
0,mae,0,0.15,4.092215,14.154995
0,mse,0,0.05,0.214568,12.523455
0,mse,0,0.075,0.545104,12.641291
0,mse,0,0.1,0.735238,12.467589
0,mse,0,0.15,1.177852,12.771889
0,mae,1,0.05,2.304906,13.620346
0,mae,1,0.075,3.557725,13.554318
0,mae,1,0.1,4.184445,12.015612
0,mae,1,0.15,7.607789,11.967245
0,mse,1,0.05,0.458837,12.146349
0,mse,1,0.075,0.995726,11.866744
0,mse,1,0.1,1.407441,9.60467
0,mse,1,0.15,5.454002,9.523088
0,mae,2,0.05,2.196514,13.471849
0,mae,2,0.075,2.976741,13.70677
0,mae,2,0.1,3.560754,13.741056
0,mae,2,0.15,4.927838,12.129839
0,mse,2,0.05,0.49799,12.090928
0,mse,2,0.075,0.73653,12.60424
0,mse,2,0.1,1.038325,12.62782
0,mse,2,0.15,1.88952,9.963548
0,mae,3,0.05,2.302665,12.360104
0,mae,3,0.075,6.0927,12.198465
0,mae,3,0.1,6.736153,12.178453
0,mae,3,0.15,7.506211,11.721601
0,mse,3,0.05,0.448638,10.484035
0,mse,3,0.075,5.170787,10.093667
0,mse,3,0.1,5.609098,10.06531
0,mse,3,0.15,5.788231,9.486984
0,mae,4,0.05,1.650227,13.789135
0,mae,4,0.075,2.370435,13.867458
0,mae,4,0.1,2.873422,13.850555
0,mae,4,0.15,7.289711,12.28737
0,mse,4,0.05,0.234283,12.50927
0,mse,4,0.075,0.503427,12.522362
0,mse,4,0.1,0.708788,12.26244
0,mse,4,0.15,5.686402,10.179085
0,mae,5,0.05,2.302218,13.853788
0,mae,5,0.075,2.53998,13.877424
0,mae,5,0.1,3.261941,13.925784
0,mae,5,0.15,3.918984,13.830441
0,mse,5,0.05,0.388676,12.603535
0,mse,5,0.075,0.458864,12.290203
0,mse,5,0.1,0.972332,12.309024
0,mse,5,0.15,1.331979,11.935061
0,mae,6,0.05,2.209443,13.833696
0,mae,6,0.075,3.423869,14.082991
0,mae,6,0.1,3.967793,14.045122
0,mae,6,0.15,4.660789,14.177633
0,mse,6,0.05,0.395511,12.521832
0,mse,6,0.075,0.98791,12.669952
0,mse,6,0.1,1.372679,12.702371
0,mse,6,0.15,1.951058,13.063654
0,mae,7,0.05,2.694348,13.761621
0,mae,7,0.075,3.770614,13.512634
0,mae,7,0.1,4.167545,13.586668
0,mae,7,0.15,5.52305,13.795116
0,mse,7,0.05,0.582465,12.729094
0,mse,7,0.075,1.21639,12.383417
0,mse,7,0.1,1.500569,12.58427
0,mse,7,0.15,2.441588,12.739504
0,mae,8,0.05,2.075087,13.767878
0,mae,8,0.075,2.822074,13.909719
0,mae,8,0.1,3.654067,13.914179
0,mae,8,0.15,4.416413,14.089357
0,mse,8,0.05,0.354555,12.658895
0,mse,8,0.075,0.675013,12.98595
0,mse,8,0.1,1.18783,12.969219
0,mse,8,0.15,1.663252,13.16518
0,mae,9,0.05,2.027934,13.809258
0,mae,9,0.075,3.174557,13.978539
0,mae,9,0.1,3.75227,13.078049
0,mae,9,0.15,6.614201,12.905334
0,mse,9,0.05,0.388707,12.680824
0,mse,9,0.075,0.796948,12.88166
0,mse,9,0.1,1.077573,11.184959
0,mse,9,0.15,5.258056,11.097364
0,mae,10,0.05,2.903711,14.085244
0,mae,10,0.075,3.07934,14.365903
0,mae,10,0.1,3.569588,14.717707
0,mae,10,0.15,4.094074,12.597687
0,mse,10,0.05,0.848033,13.536131
0,mse,10,0.075,0.882521,13.798027
0,mse,10,0.1,1.054137,14.319778
0,mse,10,0.15,1.621962,10.106524
0,mae,11,0.05,3.242445,13.221002
0,mae,11,0.075,6.777967,12.864
0,mae,11,0.1,7.381186,12.546468
0,mae,11,0.15,7.746562,12.595301
0,mse,11,0.05,0.830838,11.443008
0,mse,11,0.075,5.900768,11.003717
0,mse,11,0.1,6.194723,10.570232
0,mse,11,0.15,6.229994,10.535624
0,mae,12,0.05,1.704284,14.085718
0,mae,12,0.075,2.438438,14.091582
0,mae,12,0.1,3.200219,14.308931
0,mae,12,0.15,6.353699,13.244478
0,mse,12,0.05,0.236347,13.179543
0,mse,12,0.075,0.549037,13.131421
0,mse,12,0.1,0.82439,13.351988
0,mse,12,0.15,5.473082,11.463919
0,mae,13,0.05,2.377985,13.719101
0,mae,13,0.075,3.100708,13.573513
0,mae,13,0.1,3.553738,13.474068
0,mae,13,0.15,4.40213,13.410723
0,mse,13,0.05,0.547431,12.641418
0,mse,13,0.075,0.809483,12.238415
0,mse,13,0.1,1.240728,12.158001
0,mse,13,0.15,1.748021,12.068381
0,mae,14,0.05,1.822578,13.992954
0,mae,14,0.075,3.209989,14.111122
0,mae,14,0.1,4.018447,14.103296
0,mae,14,0.15,4.723077,14.212177
0,mse,14,0.05,0.302262,13.66746
0,mse,14,0.075,0.936736,13.903395
0,mse,14,0.1,1.512613,14.351278
0,mse,14,0.15,2.237778,14.670893
0,mae,15,0.05,2.373502,14.319764
0,mae,15,0.075,3.928747,14.51138
0,mae,15,0.1,4.443904,14.255054
0,mae,15,0.15,4.964851,14.489187
0,mse,15,0.05,0.45996,13.969778
0,mse,15,0.075,1.157473,14.343863
0,mse,15,0.1,1.691033,14.056541
0,mse,15,0.15,2.140813,14.538784
0,mae,16,0.05,1.767241,14.050942
0,mae,16,0.075,2.292278,14.218468
0,mae,16,0.1,2.878113,14.089909
0,mae,16,0.15,4.002984,13.911065
0,mse,16,0.05,0.257748,13.02895
