batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.200321,12.220592
0,mae,0,0.075,10.65283,11.356285
0,mae,0,0.1,11.231133,10.933975
0,mae,0,0.15,12.39957,9.297635
0,mse,0,0.05,6.865807,10.273356
0,mse,0,0.075,9.902224,8.947218
0,mse,0,0.1,10.130466,8.257097
0,mse,0,0.15,11.89677,6.010235
0,mae,1,0.05,7.402433,11.718542
0,mae,1,0.075,9.518316,11.34597
0,mae,1,0.1,10.016899,11.448477
0,mae,1,0.15,10.686493,11.61151
0,mse,1,0.05,6.619935,9.199631
0,mse,1,0.075,8.063922,8.858604
0,mse,1,0.1,8.274395,8.943981
0,mse,1,0.15,8.863094,9.051351
0,mae,2,0.05,9.500562,11.617926
0,mae,2,0.075,10.432686,11.354112
0,mae,2,0.1,10.989975,11.116241
0,mae,2,0.15,11.973585,10.503612
0,mse,2,0.05,8.883187,9.143215
0,mse,2,0.075,9.013188,8.826611
0,mse,2,0.1,9.488515,8.341001
0,mse,2,0.15,10.427817,7.808883
0,mae,3,0.05,7.924108,12.472045
0,mae,3,0.075,8.244178,12.679733
0,mae,3,0.1,9.828136,12.17618
0,mae,3,0.15,10.725742,12.061295
0,mse,3,0.05,6.581768,10.099613
0,mse,3,0.075,6.466718,10.585299
0,mse,3,0.1,8.412108,10.164055
0,mse,3,0.15,9.259708,9.767464
0,mae,4,0.05,8.77437,12.131553
0,mae,4,0.075,10.396845,11.35269
0,mae,4,0.1,10.53805,11.450583
0,mae,4,0.15,10.838255,11.259161
0,mse,4,0.05,8.312687,9.786142
0,mse,4,0.075,9.990373,8.709253
0,mse,4,0.1,9.658034,9.010784
0,mse,4,0.15,9.290393,8.764709
0,mae,5,0.05,8.297155,11.895164
0,mae,5,0.075,9.532528,11.7579
0,mae,5,0.1,9.924837,11.830584
0,mae,5,0.15,10.017763,11.566711
0,mse,5,0.05,7.730532,9.271618
0,mse,5,0.075,8.645951,9.000635
0,mse,5,0.1,8.527167,9.094219
0,mse,5,0.15,8.582163,8.985367
0,mae,6,0.05,7.327309,12.314865
0,mae,6,0.075,8.53647,12.482376
0,mae,6,0.1,9.373228,12.348048
0,mae,6,0.15,10.731045,12.11422
0,mse,6,0.05,5.847833,10.438437
0,mse,6,0.075,6.857912,10.643967
0,mse,6,0.1,7.427013,10.365808
0,mse,6,0.15,8.734121,10.09186
0,mae,7,0.05,5.847996,13.539261
0,mae,7,0.075,8.702007,12.877611
0,mae,7,0.1,8.962023,13.188043
