batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.184513,12.868163
0,mae,0,0.075,9.958332,11.571629
0,mae,0,0.1,11.278452,11.129853
0,mae,0,0.15,11.722621,11.045567
0,mse,0,0.05,7.765311,11.327084
0,mse,0,0.075,8.922019,8.763103
0,mse,0,0.1,10.526525,8.153036
0,mse,0,0.15,10.453524,7.770256
0,mae,1,0.05,8.220209,13.137596
0,mae,1,0.075,11.28252,12.048553
0,mae,1,0.1,11.427143,11.837733
0,mae,1,0.15,11.256651,11.54399
0,mse,1,0.05,7.504209,11.633816
0,mse,1,0.075,10.014055,9.354836
0,mse,1,0.1,10.077901,8.886141
0,mse,1,0.15,9.442976,8.5553
0,mae,2,0.05,10.622183,11.335874
0,mae,2,0.075,11.698821,11.637392
0,mae,2,0.1,11.972342,11.843651
0,mae,2,0.15,12.542553,11.973868
0,mse,2,0.05,9.959026,8.630688
0,mse,2,0.075,10.301895,8.742956
0,mse,2,0.1,10.558531,8.944316
0,mse,2,0.15,11.108776,9.337279
0,mae,3,0.05,9.465161,12.806072
0,mae,3,0.075,11.896303,12.334885
0,mae,3,0.1,13.029018,12.365504
0,mae,3,0.15,13.581498,12.474527
0,mse,3,0.05,8.427854,10.973951
0,mse,3,0.075,10.828877,9.854403
0,mse,3,0.1,11.655645,9.724789
0,mse,3,0.15,12.284793,10.00644
0,mae,4,0.05,9.293341,13.545723
0,mae,4,0.075,11.790736,12.976828
0,mae,4,0.1,12.581986,12.698791
0,mae,4,0.15,12.907188,13.751512
0,mse,4,0.05,8.353285,11.735175
0,mse,4,0.075,10.477079,10.782388
0,mse,4,0.1,11.161057,10.197901
0,mse,4,0.15,11.038932,11.839207
0,mae,5,0.05,8.377898,13.889849
0,mae,5,0.075,11.983555,13.113942
0,mae,5,0.1,12.942356,13.655746
0,mae,5,0.15,13.367206,13.846995
0,mse,5,0.05,6.47674,12.132802
0,mse,5,0.075,10.574379,11.083519
0,mse,5,0.1,11.559156,12.005211
0,mse,5,0.15,11.481647,12.297865
0,mae,6,0.05,8.47822,14.60978
0,mae,6,0.075,11.307261,13.381286
0,mae,6,0.1,12.731527,13.867565
0,mae,6,0.15,13.18795,14.56676
0,mse,6,0.05,6.821848,13.541578
0,mse,6,0.075,9.853543,11.898842
0,mse,6,0.1,11.023221,12.499387
0,mse,6,0.15,11.218739,13.355942
0,mae,7,0.05,8.635264,13.926578
0,mae,7,0.075,10.501312,14.676594
0,mae,7,0.1,12.194502,15.229061
0,mae,7,0.15,13.352906,15.823151
0,mse,7,0.05,6.733569,12.628271
0,mse,7,0.075,8.290638,13.762819
0,mse,7,0.1,10.394918,14.91351
0,mse,7,0.15,11.684751,15.827423
0,mae,8,0.05,7.841723,14.389869
0,mae,8,0.075,10.628712,15.280634
0,mae,8,0.1,11.452118,15.204294
0,mae,8,0.15,13.215591,15.820915
0,mse,8,0.05,5.73932,13.354427
0,mse,8,0.075,8.356241,14.653796
0,mse,8,0.1,9.148852,14.785431
0,mse,8,0.15,11.648211,15.797223
0,mae,9,0.05,7.651938,14.393838
0,mae,9,0.075,9.510866,15.089506
0,mae,9,0.1,11.188221,15.626205
0,mae,9,0.15,13.142343,16.469841
0,mse,9,0.05,4.839021,13.209803
0,mse,9,0.075,7.139257,14.138792
0,mse,9,0.1,8.990904,15.050403
0,mse,9,0.15,11.38297,16.26823
0,mae,10,0.05,8.176357,13.985781
0,mae,10,0.075,10.061491,15.261269
0,mae,10,0.1,10.629081,15.459478
0,mae,10,0.15,12.760402,17.219717
0,mse,10,0.05,5.259152,12.776967
0,mse,10,0.075,7.560808,14.697172
0,mse,10,0.1,8.413438,14.601889
0,mse,10,0.15,10.980618,17.373138
0,mae,11,0.05,8.005863,14.511095
0,mae,11,0.075,9.830286,15.0459
0,mae,11,0.1,10.870628,15.835872
0,mae,11,0.15,12.800264,16.919073
0,mse,11,0.05,6.021083,13.721392
0,mse,11,0.075,7.392453,14.096111
0,mse,11,0.1,8.749759,15.210035
0,mse,11,0.15,10.781101,17.123449
0,mae,12,0.05,8.357842,14.278114
0,mae,12,0.075,10.321257,15.146351
0,mae,12,0.1,10.839804,15.958763
0,mae,12,0.15,12.518411,16.890358
0,mse,12,0.05,6.415112,13.477301
0,mse,12,0.075,8.166613,14.474432
