batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,13.57549,10.607597
0,mae,0,0.075,14.459974,9.342457
0,mae,0,0.1,15.173009,8.8731
0,mae,0,0.15,16.02602,7.482026
0,mse,0,0.05,16.863691,7.26932
0,mse,0,0.075,17.281116,5.925617
0,mse,0,0.1,17.787018,5.450224
0,mse,0,0.15,18.924706,4.027506
0,mae,1,0.05,14.163252,10.694435
0,mae,1,0.075,14.140327,9.472422
0,mae,1,0.1,14.56147,8.99729
0,mae,1,0.15,14.943419,7.809549
0,mse,1,0.05,18.193924,7.316628
0,mse,1,0.075,17.876747,6.275951
0,mse,1,0.1,17.58572,5.971779
0,mse,1,0.15,17.532528,4.440594
0,mae,2,0.05,13.427752,11.050549
0,mae,2,0.075,14.444746,9.916269
0,mae,2,0.1,14.790077,9.126644
0,mae,2,0.15,15.203146,8.158628
0,mse,2,0.05,16.69076,8.011818
0,mse,2,0.075,17.198561,6.406981
0,mse,2,0.1,16.991188,5.539558
0,mse,2,0.15,16.982496,4.725414
0,mae,3,0.05,14.326542,10.476831
0,mae,3,0.075,14.717437,10.108326
0,mae,3,0.1,15.052153,9.51273
0,mae,3,0.15,15.885565,8.31844
0,mse,3,0.05,17.273617,7.267707
0,mse,3,0.075,17.378111,6.639018
0,mse,3,0.1,18.209473,5.935773
0,mse,3,0.15,17.705669,4.541537
0,mae,4,0.05,14.044937,10.333815
0,mae,4,0.075,15.324265,9.776241
0,mae,4,0.1,15.848145,9.181925
0,mae,4,0.15,15.649539,8.371951
0,mse,4,0.05,16.131033,7.077468
0,mse,4,0.075,17.211235,6.168392
0,mse,4,0.1,17.516703,5.388939
0,mse,4,0.15,17.194235,4.743748
0,mae,5,0.05,13.757734,10.376631
0,mae,5,0.075,14.770634,9.669545
0,mae,5,0.1,15.238131,9.415928
0,mae,5,0.15,15.822529,8.055744
0,mse,5,0.05,15.380416,7.156611
0,mse,5,0.075,16.378342,6.256042
0,mse,5,0.1,16.655434,5.876666
0,mse,5,0.15,17.156258,4.293715
0,mae,6,0.05,14.113688,10.098982
0,mae,6,0.075,14.399906,9.474833
0,mae,6,0.1,14.742634,9.173883
0,mae,6,0.15,15.491709,8.494177
0,mse,6,0.05,15.829117,6.673759
0,mse,6,0.075,14.878699,5.890755
0,mse,6,0.1,15.405393,5.407279
0,mse,6,0.15,16.439791,4.657921
0,mae,7,0.05,13.616737,10.107966
0,mae,7,0.075,14.469512,9.163082
0,mae,7,0.1,15.018967,8.582245
0,mae,7,0.15,15.769368,8.056705
0,mse,7,0.05,15.190545,7.111361
0,mse,7,0.075,15.565293,6.062923
0,mse,7,0.1,15.842459,5.111025
0,mse,7,0.15,16.427059,4.341897
0,mae,8,0.05,13.481609,10.627748
0,mae,8,0.075,14.373513,9.513229
0,mae,8,0.1,14.506772,8.979279
0,mae,8,0.15,15.13296,7.77651
0,mse,8,0.05,14.865997,7.750581
0,mse,8,0.075,16.205666,6.307855
0,mse,8,0.1,16.061714,5.630693
0,mse,8,0.15,16.452477,4.094954
0,mae,9,0.05,13.31568,10.772699
0,mae,9,0.075,14.518018,9.728632
0,mae,9,0.1,15.032984,9.127495
0,mae,9,0.15,14.819526,7.99805
0,mse,9,0.05,15.288823,8.162807
0,mse,9,0.075,15.682754,6.559363
0,mse,9,0.1,16.44726,5.774635
0,mse,9,0.15,15.833414,4.675265
0,mae,10,0.05,13.406763,11.25767
0,mae,10,0.075,14.115635,10.137247
0,mae,10,0.1,15.128689,9.676786
0,mae,10,0.15,15.665791,7.951268
0,mse,10,0.05,15.789033,8.533247
0,mse,10,0.075,15.865148,6.911641
0,mse,10,0.1,17.208521,6.597184
0,mse,10,0.15,17.264254,4.670833
0,mae,11,0.05,13.72444,11.155443
0,mae,11,0.075,14.537965,10.42312
0,mae,11,0.1,14.509274,9.972898
0,mae,11,0.15,15.325622,9.017213
0,mse,11,0.05,16.507301,8.155321
0,mse,11,0.075,17.245199,7.279714
0,mse,11,0.1,16.404566,6.784031
0,mse,11,0.15,17.137774,5.56698
0,mae,12,0.05,13.570789,11.29248
0,mae,12,0.075,14.438718,10.934815
0,mae,12,0.1,14.448736,10.481375
0,mae,12,0.15,15.115512,9.528342
0,mse,12,0.05,15.927695,8.432287
0,mse,12,0.075,16.71104,8.473927
0,mse,12,0.1,16.379694,7.685985
0,mse,12,0.15,17.028921,6.197728
0,mae,13,0.05,13.268659,11.275873
0,mae,13,0.075,13.907799,10.799971
0,mae,13,0.1,14.030243,10.630924
0,mae,13,0.15,15.153135,9.598698
0,mse,13,0.05,15.798153,8.577524
0,mse,13,0.075,15.747191,8.018674
0,mse,13,0.1,16.152151,7.974251
0,mse,13,0.15,16.826828,6.294309
0,mae,14,0.05,12.16852,12.106107
0,mae,14,0.075,12.735678,11.666348
0,mae,14,0.1,13.567614,10.698829
0,mae,14,0.15,14.104761,9.843636
0,mse,14,0.05,14.772908,9.786449
0,mse,14,0.075,14.884013,9.121393
0,mse,14,0.1,15.809092,7.834606
0,mse,14,0.15,15.350206,6.669137
0,mae,15,0.05,12.662415,11.890963
0,mae,15,0.075,13.489553,10.805111
0,mae,15,0.1,13.310093,10.595232
0,mae,15,0.15,13.864524,9.981382
0,mse,15,0.05,14.653608,9.597145
0,mse,15,0.075,16.071484,8.069189
0,mse,15,0.1,15.107324,7.96858
0,mse,15,0.15,15.073542,6.632703
0,mae,16,0.05,12.695471,11.389021
0,mae,16,0.075,12.938476,11.045107
0,mae,16,0.1,13.324394,10.483614
0,mae,16,0.15,14.074419,9.305757
0,mse,16,0.05,14.935579,8.769837
0,mse,16,0.075,14.50038,8.190136
0,mse,16,0.1,14.903674,7.509839
0,mse,16,0.15,15.183113,5.931673
0,mae,17,0.05,12.741207,11.619118
0,mae,17,0.075,13.107441,10.740647
0,mae,17,0.1,13.446522,10.15121
0,mae,17,0.15,13.90049,8.858482
0,mse,17,0.05,13.770512,8.825186
0,mse,17,0.075,13.94061,7.393894
0,mse,17,0.1,14.414178,6.830763
0,mse,17,0.15,14.757505,5.228554
0,mae,18,0.05,12.879679,11.522034
0,mae,18,0.075,13.295402,10.534478
0,mae,18,0.1,13.990306,9.828605
0,mae,18,0.15,14.235005,8.687464
0,mse,18,0.05,15.260502,8.815619
0,mse,18,0.075,14.983802,7.515345
0,mse,18,0.1,15.755629,6.54451
0,mse,18,0.15,16.034269,4.879169
0,mae,19,0.05,13.650846,10.681126
0,mae,19,0.075,14.096816,10.229942
0,mae,19,0.1,13.793257,9.581304
0,mae,19,0.15,14.07711,8.479158
0,mse,19,0.05,17.067228,7.69531
0,mse,19,0.075,16.938732,6.761968
0,mse,19,0.1,15.675173,5.940093
