batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,12.521351,10.079974
0,mae,0,0.075,13.603605,8.69162
0,mae,0,0.1,13.685652,8.037056
0,mae,0,0.15,14.137394,7.194955
0,mse,0,0.05,12.652691,7.028236
0,mse,0,0.075,13.653976,5.263393
0,mse,0,0.1,13.992495,4.413482
0,mse,0,0.15,13.366749,3.789451
0,mae,1,0.05,12.726238,9.535383
0,mae,1,0.075,13.474604,8.239645
0,mae,1,0.1,13.972736,7.506559
0,mae,1,0.15,14.694324,6.784518
0,mse,1,0.05,12.676486,6.483399
0,mse,1,0.075,12.967292,4.739312
0,mse,1,0.1,13.457233,3.831425
0,mse,1,0.15,14.147749,3.122921
0,mae,2,0.05,12.795566,9.588046
0,mae,2,0.075,13.372687,8.409994
0,mae,2,0.1,13.928312,8.196043
0,mae,2,0.15,13.709702,6.751079
0,mse,2,0.05,12.805352,6.086388
0,mse,2,0.075,13.274815,4.768634
0,mse,2,0.1,13.427433,4.48584
0,mse,2,0.15,12.660212,3.209993
0,mae,3,0.05,13.253109,9.796749
0,mae,3,0.075,13.155657,9.179811
0,mae,3,0.1,13.722427,8.463921
0,mae,3,0.15,14.448732,7.225128
0,mse,3,0.05,13.618647,6.474266
0,mse,3,0.075,12.976942,5.66328
0,mse,3,0.1,13.213555,4.849235
0,mse,3,0.15,13.600471,3.702145
0,mae,4,0.05,13.034648,10.14027
0,mae,4,0.075,14.069659,8.888462
0,mae,4,0.1,14.279678,8.795268
0,mae,4,0.15,14.158083,7.575153
0,mse,4,0.05,13.080894,7.008718
0,mse,4,0.075,14.538834,5.694407
0,mse,4,0.1,14.34866,5.601671
0,mse,4,0.15,14.046906,4.038192
0,mae,5,0.05,13.573498,9.853207
0,mae,5,0.075,13.638964,8.92676
0,mae,5,0.1,14.082589,8.389318
0,mae,5,0.15,13.887769,7.31846
0,mse,5,0.05,13.816075,6.542275
0,mse,5,0.075,13.504862,5.772648
0,mse,5,0.1,14.20481,4.82375
0,mse,5,0.15,13.401102,3.86804
0,mae,6,0.05,12.430667,10.904066
0,mae,6,0.075,13.419526,9.568049
0,mae,6,0.1,14.439991,9.05804
0,mae,6,0.15,14.044601,7.467202
0,mse,6,0.05,12.835195,7.962078
0,mse,6,0.075,13.765102,6.595067
0,mse,6,0.1,14.78871,5.965019
0,mse,6,0.15,13.400132,3.839974
0,mae,7,0.05,12.707634,10.0425
0,mae,7,0.075,13.883457,9.256783
0,mae,7,0.1,14.110592,9.333639
0,mae,7,0.15,14.169138,8.067228
0,mse,7,0.05,12.697431,6.874656
0,mse,7,0.075,13.823414,5.770275
0,mse,7,0.1,13.989849,5.866603
0,mse,7,0.15,13.467966,4.487075
0,mae,8,0.05,14.186462,10.907292
0,mae,8,0.075,14.806542,9.099001
0,mae,8,0.1,15.084447,8.685289
0,mae,8,0.15,15.401787,8.054411
0,mse,8,0.05,14.226228,7.968901
0,mse,8,0.075,14.993241,5.667165
0,mse,8,0.1,15.260227,5.329393
0,mse,8,0.15,15.240601,4.45934
0,mae,9,0.05,13.618151,10.403629
0,mae,9,0.075,14.295149,9.58918
0,mae,9,0.1,14.923167,9.105102
0,mae,9,0.15,15.298603,7.864719
0,mse,9,0.05,13.822102,7.099972
0,mse,9,0.075,13.822909,6.128963
0,mse,9,0.1,14.529641,5.740626
0,mse,9,0.15,15.107559,4.33082
0,mae,10,0.05,14.03478,10.738619
0,mae,10,0.075,14.341989,9.965658
0,mae,10,0.1,14.591768,8.758501
