batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.592711,13.718287
0,mae,0,0.075,5.350575,13.022117
0,mae,0,0.1,5.581862,13.0851
0,mae,0,0.15,6.876688,13.113731
0,mse,0,0.05,0.670723,11.92951
0,mse,0,0.075,3.570558,10.952163
0,mse,0,0.1,3.50477,11.121365
0,mse,0,0.15,4.223161,11.300718
0,mae,1,0.05,2.941219,13.347014
0,mae,1,0.075,3.472023,13.473714
0,mae,1,0.1,4.18785,13.355335
0,mae,1,0.15,5.441789,12.341415
0,mse,1,0.05,0.715674,11.285175
0,mse,1,0.075,1.09649,11.630619
0,mse,1,0.1,1.473302,11.687895
0,mse,1,0.15,2.210173,10.504654
0,mae,2,0.05,2.909568,13.123692
0,mae,2,0.075,3.644277,13.138541
0,mae,2,0.1,4.218441,12.88497
0,mae,2,0.15,7.426324,12.454739
0,mse,2,0.05,0.853439,10.881053
0,mse,2,0.075,1.312308,10.8081
0,mse,2,0.1,1.768192,10.718859
0,mse,2,0.15,4.775712,9.842802
0,mae,3,0.05,3.191648,12.559452
0,mae,3,0.075,6.720418,12.497961
0,mae,3,0.1,7.250711,12.125216
0,mae,3,0.15,8.161345,11.877449
0,mse,3,0.05,1.094195,10.295905
0,mse,3,0.075,4.418507,10.026484
0,mse,3,0.1,4.798511,9.554771
0,mse,3,0.15,5.611057,9.409859
0,mae,4,0.05,2.64737,13.512566
0,mae,4,0.075,4.11351,13.055246
0,mae,4,0.1,4.584541,13.074511
0,mae,4,0.15,6.015303,12.353643
0,mse,4,0.05,0.777671,11.586197
0,mse,4,0.075,1.778437,10.763546
0,mse,4,0.1,2.038592,10.817471
0,mse,4,0.15,2.923658,9.816047
0,mae,5,0.05,2.846818,12.963318
0,mae,5,0.075,3.918429,12.807797
0,mae,5,0.1,4.5535,12.897614
0,mae,5,0.15,5.788109,12.541927
0,mse,5,0.05,0.809838,10.68086
0,mse,5,0.075,1.515209,10.487167
0,mse,5,0.1,1.936313,10.576623
0,mse,5,0.15,2.859311,10.06085
0,mae,6,0.05,3.008526,13.210219
0,mae,6,0.075,3.670129,12.970957
0,mae,6,0.1,4.843401,12.973269
0,mae,6,0.15,6.354651,12.986911
0,mse,6,0.05,0.924485,10.943691
0,mse,6,0.075,1.249434,10.731134
0,mse,6,0.1,1.978951,10.690648
0,mse,6,0.15,3.133135,10.565151
0,mae,7,0.05,3.225139,12.958405
0,mae,7,0.075,3.87392,12.815079
0,mae,7,0.1,4.691084,12.94423
0,mae,7,0.15,6.004012,12.552511
0,mse,7,0.05,1.18067,10.642366
0,mse,7,0.075,1.471714,10.464092
0,mse,7,0.1,1.903674,10.720893
0,mse,7,0.15,2.611057,9.979437
0,mae,8,0.05,3.094024,13.481163
0,mae,8,0.075,5.796626,12.839989
0,mae,8,0.1,6.162877,12.755528
0,mae,8,0.15,6.617908,12.325684
0,mse,8,0.05,1.127416,11.393483
0,mse,8,0.075,3.89204,10.699234
0,mse,8,0.1,4.263237,10.625814
0,mse,8,0.15,4.372818,10.260681
0,mae,9,0.05,2.939054,13.339788
0,mae,9,0.075,3.687625,13.177167
0,mae,9,0.1,4.416861,13.224727
