batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.697089,10.351654
0,mae,0,0.075,11.025358,9.875378
0,mae,0,0.1,12.035574,9.629841
0,mae,0,0.15,12.603891,9.445425
0,mse,0,0.05,10.267944,7.591611
0,mse,0,0.075,10.406044,7.21185
0,mse,0,0.1,11.133684,6.875613
0,mse,0,0.15,11.072818,6.346813
0,mae,1,0.05,10.896381,10.236318
0,mae,1,0.075,12.146357,9.712972
0,mae,1,0.1,12.569181,8.90213
0,mae,1,0.15,13.640436,7.868443
0,mse,1,0.05,10.337752,7.584293
0,mse,1,0.075,10.813508,6.924693
0,mse,1,0.1,11.147128,5.90237
0,mse,1,0.15,12.288897,4.61305
0,mae,2,0.05,11.464028,10.13771
0,mae,2,0.075,12.122193,9.485397
0,mae,2,0.1,12.420178,8.767319
0,mae,2,0.15,13.130669,8.246747
0,mse,2,0.05,10.838802,7.345544
0,mse,2,0.075,10.578983,6.703265
0,mse,2,0.1,11.087267,5.463495
0,mse,2,0.15,11.254179,4.920538
0,mae,3,0.05,11.860464,10.174425
0,mae,3,0.075,11.753302,9.817389
0,mae,3,0.1,11.77191,9.427715
0,mae,3,0.15,12.446568,8.539045
0,mse,3,0.05,11.417775,7.527966
0,mse,3,0.075,10.301378,6.898513
0,mse,3,0.1,10.195289,6.360206
0,mse,3,0.15,10.472827,5.357162
0,mae,4,0.05,11.812777,10.161993
0,mae,4,0.075,12.104813,9.816254
0,mae,4,0.1,12.443986,9.0564
0,mae,4,0.15,13.414751,8.110997
0,mse,4,0.05,11.465546,7.689079
0,mse,4,0.075,10.891312,7.340803
0,mse,4,0.1,11.030962,6.176533
0,mse,4,0.15,11.819672,4.916071
0,mae,5,0.05,12.15379,10.15416
0,mae,5,0.075,13.124998,9.536398
0,mae,5,0.1,13.222655,9.419789
0,mae,5,0.15,13.757363,8.63771
0,mse,5,0.05,11.773747,7.792629
0,mse,5,0.075,12.299591,6.352889
0,mse,5,0.1,12.127609,6.194134
0,mse,5,0.15,12.250301,5.147511
0,mae,6,0.05,12.103095,10.84708
0,mae,6,0.075,13.474884,10.31387
0,mae,6,0.1,12.956148,10.258296
0,mae,6,0.15,14.239552,9.273165
0,mse,6,0.05,11.645474,8.602453
0,mse,6,0.075,12.486265,7.630729
0,mse,6,0.1,11.435334,7.563181
0,mse,6,0.15,12.489271,5.984354
0,mae,7,0.05,11.850859,10.80477
0,mae,7,0.075,12.512403,10.196371
0,mae,7,0.1,12.968605,9.713552
0,mae,7,0.15,13.244159,9.043303
0,mse,7,0.05,10.954109,7.972064
0,mse,7,0.075,10.787345,7.279633
0,mse,7,0.1,11.40409,6.853692
0,mse,7,0.15,11.49362,6.060944
0,mae,8,0.05,12.041416,10.507944
0,mae,8,0.075,13.180668,9.636159
0,mae,8,0.1,13.283261,9.628432
0,mae,8,0.15,12.589912,8.541359
0,mse,8,0.05,11.087611,7.760529
0,mse,8,0.075,11.82747,6.570628
