batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,11.257462,10.486479
0,mae,0,0.075,11.458515,10.312473
0,mae,0,0.1,11.884235,10.145317
0,mae,0,0.15,11.55406,10.080299
0,mse,0,0.05,12.344307,7.093615
0,mse,0,0.075,12.344628,6.965787
0,mse,0,0.1,12.496139,6.759035
0,mse,0,0.15,11.927452,6.747698
0,mae,1,0.05,9.856516,11.060108
0,mae,1,0.075,11.070987,11.004288
0,mae,1,0.1,11.273007,10.793554
0,mae,1,0.15,11.27188,10.184703
0,mse,1,0.05,10.258426,8.191997
0,mse,1,0.075,12.120451,7.949413
0,mse,1,0.1,12.117393,7.754045
0,mse,1,0.15,11.568373,6.795413
0,mae,2,0.05,10.848229,10.568546
0,mae,2,0.075,11.171038,10.286274
0,mae,2,0.1,11.417259,10.310165
0,mae,2,0.15,12.260308,9.834977
0,mse,2,0.05,11.863556,7.347672
0,mse,2,0.075,11.771794,6.96957
0,mse,2,0.1,12.022043,7.075097
0,mse,2,0.15,12.515653,6.337859
0,mae,3,0.05,9.423387,11.14427
0,mae,3,0.075,11.336123,10.746605
0,mae,3,0.1,11.309799,10.274889
0,mae,3,0.15,12.619971,9.756529
0,mse,3,0.05,9.629747,8.141822
0,mse,3,0.075,11.839441,7.621572
0,mse,3,0.1,11.757093,6.931185
0,mse,3,0.15,12.835531,6.368238
0,mae,4,0.05,9.5084,10.987231
0,mae,4,0.075,9.69189,11.051796
0,mae,4,0.1,10.153238,11.051479
0,mae,4,0.15,11.521099,10.696302
0,mse,4,0.05,10.067202,8.077908
0,mse,4,0.075,9.757785,7.954281
0,mse,4,0.1,9.859219,8.047988
0,mse,4,0.15,11.042198,7.49189
0,mae,5,0.05,9.654422,10.882392
0,mae,5,0.075,9.963646,10.565864
0,mae,5,0.1,11.015668,10.402962
0,mae,5,0.15,11.183939,10.208871
0,mse,5,0.05,10.131836,7.828683
0,mse,5,0.075,10.013403,7.360466
0,mse,5,0.1,11.33,7.278283
0,mse,5,0.15,11.036406,7.205085
0,mae,6,0.05,9.768286,11.079668
0,mae,6,0.075,11.183187,10.409077
0,mae,6,0.1,11.293222,10.146885
0,mae,6,0.15,11.859217,9.773211
0,mse,6,0.05,10.298895,8.045238
0,mse,6,0.075,11.765343,7.058821
0,mse,6,0.1,11.37839,6.830965
0,mse,6,0.15,11.722843,6.53398
0,mae,7,0.05,9.464342,10.840525
0,mae,7,0.075,9.677462,10.565123
0,mae,7,0.1,10.342783,10.504871
0,mae,7,0.15,11.665392,10.021431
0,mse,7,0.05,10.125303,7.775704
0,mse,7,0.075,9.772428,7.360126
0,mse,7,0.1,10.399953,7.286946
0,mse,7,0.15,11.945894,6.865672
0,mae,8,0.05,9.328535,11.215172
0,mae,8,0.075,9.719212,10.619993
0,mae,8,0.1,10.039168,10.413389
0,mae,8,0.15,10.1074,10.226742
0,mse,8,0.05,10.617128,8.404745
0,mse,8,0.075,10.46745,7.708662
0,mse,8,0.1,10.736015,7.46657
0,mse,8,0.15,10.586271,7.20383
0,mae,9,0.05,9.350629,10.821175
0,mae,9,0.075,10.141408,10.467116
0,mae,9,0.1,10.99707,10.271712
0,mae,9,0.15,11.164068,9.956067
0,mse,9,0.05,10.648113,7.677811
0,mse,9,0.075,10.835396,7.218744
0,mse,9,0.1,11.672123,7.025738
0,mse,9,0.15,11.781651,6.653811
0,mae,10,0.05,8.575762,11.169042
0,mae,10,0.075,8.611177,10.956999
0,mae,10,0.1,9.658485,10.637585
0,mae,10,0.15,11.09503,10.296355
0,mse,10,0.05,8.833888,8.239292
0,mse,10,0.075,8.329737,7.811895
0,mse,10,0.1,9.925165,7.413221
0,mse,10,0.15,11.20874,7.113881
0,mae,11,0.05,10.063052,10.708972
0,mae,11,0.075,9.954121,10.650365
0,mae,11,0.1,10.075754,10.59742
0,mae,11,0.15,11.017807,10.452764
0,mse,11,0.05,11.191673,7.710174
0,mse,11,0.075,10.561349,7.482087
0,mse,11,0.1,10.412593,7.44222
0,mse,11,0.15,11.371916,7.231138
0,mae,12,0.05,10.125797,10.824371
0,mae,12,0.075,10.198427,10.431405
0,mae,12,0.1,10.753613,10.375723
0,mae,12,0.15,10.905537,10.074605
0,mse,12,0.05,10.877179,7.845748
0,mse,12,0.075,10.651773,7.202682
0,mse,12,0.1,11.404402,7.225246
0,mse,12,0.15,11.284853,6.742203
0,mae,13,0.05,9.580999,11.073719
0,mae,13,0.075,9.932625,10.976334
0,mae,13,0.1,10.769791,10.78104
0,mae,13,0.15,10.872048,10.299755
0,mse,13,0.05,10.20667,8.112925
0,mse,13,0.075,10.135818,7.982625
0,mse,13,0.1,10.822422,7.709551
0,mse,13,0.15,10.972059,7.079072
0,mae,14,0.05,9.751701,10.860483
0,mae,14,0.075,10.099006,10.629688
0,mae,14,0.1,10.679938,10.65884
0,mae,14,0.15,11.58394,10.083622
0,mse,14,0.05,10.128574,7.811446
0,mse,14,0.075,10.008182,7.725525
0,mse,14,0.1,10.558047,7.691284
0,mse,14,0.15,11.798047,6.854324
0,mae,15,0.05,9.385065,11.156719
0,mae,15,0.075,9.302459,10.832419
0,mae,15,0.1,10.04561,10.69982
0,mae,15,0.15,10.376846,10.696184
0,mse,15,0.05,9.421353,8.354457
0,mse,15,0.075,9.01455,8.11981
0,mse,15,0.1,9.889491,7.732622
0,mse,15,0.15,10.006875,7.486874
0,mae,16,0.05,10.716647,10.791376
0,mae,16,0.075,11.366722,10.660797
0,mae,16,0.1,11.300344,10.251149
0,mae,16,0.15,11.698058,9.713121
0,mse,16,0.05,11.767117,7.544496
0,mse,16,0.075,12.286855,7.300473
0,mse,16,0.1,12.041756,6.8242
0,mse,16,0.15,11.742781,6.182758
0,mae,17,0.05,9.644482,11.232222
0,mae,17,0.075,9.976883,10.614311
0,mae,17,0.1,10.26498,10.5941
0,mae,17,0.15,10.624344,10.06551
0,mse,17,0.05,9.324577,8.173857
0,mse,17,0.075,9.215639,7.417719
0,mse,17,0.1,9.507524,7.407221
0,mse,17,0.15,9.040613,6.934272
0,mae,18,0.05,10.802671,10.752524
0,mae,18,0.075,11.232212,10.529078
0,mae,18,0.1,11.627944,10.38595
0,mae,18,0.15,12.470338,9.745516
0,mse,18,0.05,11.842014,7.315083
0,mse,18,0.075,11.920534,7.002239
0,mse,18,0.1,11.948864,6.884263
0,mse,18,0.15,12.681223,5.972671
0,mae,19,0.05,9.5825,10.941141
0,mae,19,0.075,10.848459,10.616396
0,mae,19,0.1,10.660623,10.52907
0,mae,19,0.15,11.529169,10.262806
0,mse,19,0.05,10.377894,7.638878
0,mse,19,0.075,10.831135,7.15954
0,mse,19,0.1,10.538152,7.119348
0,mse,19,0.15,11.603692,6.808691
0,mae,20,0.05,8.770729,11.378702
0,mae,20,0.075,10.033973,10.961536
0,mae,20,0.1,10.802639,10.670103
0,mae,20,0.15,12.009561,10.219002
0,mse,20,0.05,9.601828,8.33009
0,mse,20,0.075,10.983493,7.804467
0,mse,20,0.1,11.057779,7.535412
0,mse,20,0.15,12.061537,7.046582
0,mae,21,0.05,9.925894,11.016577
0,mae,21,0.075,10.246294,10.47216
0,mae,21,0.1,10.423014,10.535214
0,mae,21,0.15,12.022041,10.00321
0,mse,21,0.05,11.265757,7.852724
0,mse,21,0.075,11.195867,7.07105
0,mse,21,0.1,11.031223,7.089734
0,mse,21,0.15,12.467096,6.457244
0,mae,22,0.05,9.255238,11.072227
0,mae,22,0.075,10.215942,10.476424
0,mae,22,0.1,10.458567,10.209855
0,mae,22,0.15,11.605165,9.911137
0,mse,22,0.05,9.497016,7.818701
0,mse,22,0.075,10.142845,7.097306
0,mse,22,0.1,10.413483,6.735832
0,mse,22,0.15,11.581907,6.432111
0,mae,23,0.05,9.329677,10.868477
0,mae,23,0.075,10.928152,10.393623
0,mae,23,0.1,11.263474,10.434301
0,mae,23,0.15,11.500164,10.261015
0,mse,23,0.05,10.46848,7.573161
0,mse,23,0.075,11.510568,7.090716
0,mse,23,0.1,11.907758,6.983053
0,mse,23,0.15,12.253101,6.702805
1,mae,0,0.05,12.741788,19.702148
1,mae,0,0.075,13.269694,19.362982
1,mae,0,0.1,13.563579,19.202232
1,mae,0,0.15,14.676245,19.196966
1,mse,0,0.05,14.591568,25.407833
1,mse,0,0.075,14.933308,24.527651
1,mse,0,0.1,15.322042,24.251736
1,mse,0,0.15,16.801567,24.348452
1,mae,1,0.05,12.328072,19.861326
1,mae,1,0.075,13.101269,19.271147
1,mae,1,0.1,13.691414,19.118336
1,mae,1,0.15,14.576359,18.981064
1,mse,1,0.05,14.227012,25.777645
1,mse,1,0.075,15.131597,23.861107
1,mse,1,0.1,16.475317,23.709888
1,mse,1,0.15,17.22937,23.776899
1,mae,2,0.05,11.15813,20.187637
1,mae,2,0.075,12.036015,19.797394
1,mae,2,0.1,12.606119,19.475292
1,mae,2,0.15,14.021935,18.661949
1,mse,2,0.05,12.278336,26.66926
1,mse,2,0.075,13.32832,25.792078
1,mse,2,0.1,14.212255,24.886646
1,mse,2,0.15,16.635408,23.441032
1,mae,3,0.05,11.943354,20.296106
1,mae,3,0.075,12.741924,19.603138
1,mae,3,0.1,13.464686,19.366032
1,mae,3,0.15,14.980108,18.787548
1,mse,3,0.05,13.607838,26.912292
1,mse,3,0.075,14.707655,25.293926
1,mse,3,0.1,15.677219,24.489452
1,mse,3,0.15,17.957136,23.096369
1,mae,4,0.05,12.203568,20.297337
1,mae,4,0.075,12.44838,20.148079
1,mae,4,0.1,13.247041,19.907839
1,mae,4,0.15,14.40477,19.200098
1,mse,4,0.05,14.055691,27.113873
1,mse,4,0.075,14.64564,26.051443
1,mse,4,0.1,15.355332,25.874584
1,mse,4,0.15,16.576664,24.367592
1,mae,5,0.05,11.944204,19.751263
1,mae,5,0.075,12.734205,19.810242
1,mae,5,0.1,12.970985,19.545124
1,mae,5,0.15,13.662474,18.669975
1,mse,5,0.05,13.75844,25.555622
1,mse,5,0.075,14.780522,25.650972
1,mse,5,0.1,15.017871,25.077534
1,mse,5,0.15,15.489196,23.17968
1,mae,6,0.05,10.992474,19.91264
1,mae,6,0.075,11.763163,19.469437
1,mae,6,0.1,12.805123,19.520473
1,mae,6,0.15,13.110003,18.902519
1,mse,6,0.05,12.471111,25.425861
1,mse,6,0.075,13.166381,24.763884
1,mse,6,0.1,15.053704,25.115143
1,mse,6,0.15,15.082865,24.223324
1,mae,7,0.05,10.860664,19.661917
1,mae,7,0.075,11.361974,19.111332
1,mae,7,0.1,11.662127,18.916868
1,mae,7,0.15,12.476071,18.309401
1,mse,7,0.05,12.397369,24.914688
1,mse,7,0.075,13.078766,23.629242
1,mse,7,0.1,13.732091,23.336533
1,mse,7,0.15,13.982611,22.19309
1,mae,8,0.05,11.847259,20.175098
1,mae,8,0.075,12.49658,19.60103
1,mae,8,0.1,12.933786,19.329588
1,mae,8,0.15,13.457409,18.470882
1,mse,8,0.05,13.220079,26.477873
1,mse,8,0.075,13.944478,25.329678
1,mse,8,0.1,14.868407,24.822083
1,mse,8,0.15,15.234394,22.943073
1,mae,9,0.05,12.4664,19.567467
1,mae,9,0.075,13.232059,19.195473
1,mae,9,0.1,13.506498,19.057384
1,mae,9,0.15,14.000391,18.401915
1,mse,9,0.05,14.152226,25.082199
1,mse,9,0.075,15.65904,24.144548
1,mse,9,0.1,15.819845,23.65197
