batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,4.412127,23.31308
0,mae,0,0.075,4.999381,23.271545
0,mae,0,0.1,6.272532,23.376581
0,mae,0,0.15,8.842272,23.048079
0,mse,0,0.05,1.905165,33.120026
0,mse,0,0.075,2.214341,32.877903
0,mse,0,0.1,3.39129,33.173809
0,mse,0,0.15,6.064047,31.151085
0,mae,1,0.05,4.359432,23.382317
0,mae,1,0.075,5.10421,23.340946
0,mae,1,0.1,6.402789,23.459549
0,mae,1,0.15,9.013172,22.509832
0,mse,1,0.05,1.799036,32.76656
0,mse,1,0.075,2.238671,32.467697
0,mse,1,0.1,3.378091,32.78006
0,mse,1,0.15,6.347168,30.338913
0,mae,2,0.05,4.567293,23.142336
0,mae,2,0.075,5.137131,23.350969
0,mae,2,0.1,6.70107,23.37705
0,mae,2,0.15,8.446129,21.822041
0,mse,2,0.05,2.093314,31.732889
0,mse,2,0.075,2.446866,32.491196
0,mse,2,0.1,3.678559,32.354645
0,mse,2,0.15,5.734676,28.049313
0,mae,3,0.05,3.899863,23.065639
0,mae,3,0.075,4.713041,23.211945
0,mae,3,0.1,6.379436,23.054039
0,mae,3,0.15,9.392058,21.392059
0,mse,3,0.05,1.605898,32.446518
0,mse,3,0.075,1.926805,32.650204
0,mse,3,0.1,3.397025,32.169392
0,mse,3,0.15,7.473652,27.37822
0,mae,4,0.05,4.274136,23.088055
0,mae,4,0.075,5.154078,23.103619
0,mae,4,0.1,6.358842,23.182766
0,mae,4,0.15,9.128273,21.430126
0,mse,4,0.05,1.745077,32.475197
0,mse,4,0.075,2.302275,32.432228
0,mse,4,0.1,3.239016,32.815292
0,mse,4,0.15,6.219736,28.176655
0,mae,5,0.05,4.254292,23.335135
0,mae,5,0.075,4.860789,23.258213
0,mae,5,0.1,6.194778,22.942623
0,mae,5,0.15,7.530672,22.389278
0,mse,5,0.05,1.689066,33.540325
0,mse,5,0.075,2.105453,33.161781
0,mse,5,0.1,3.158809,32.614456
0,mse,5,0.15,4.497336,31.645393
0,mae,6,0.05,4.301943,23.087234
0,mae,6,0.075,5.028033,22.902668
0,mae,6,0.1,6.338502,22.804968
0,mae,6,0.15,7.902667,22.1152
0,mse,6,0.05,1.732386,33.090805
0,mse,6,0.075,2.204456,32.7854
0,mse,6,0.1,3.348067,32.534164
0,mse,6,0.15,4.772748,31.080599
0,mae,7,0.05,5.648655,22.249975
0,mae,7,0.075,6.324916,21.949425
0,mae,7,0.1,7.683742,21.914265
0,mae,7,0.15,10.654109,19.385044
0,mse,7,0.05,4.37718,31.048161
0,mse,7,0.075,4.678457,30.439194
0,mse,7,0.1,5.756085,30.104076
0,mse,7,0.15,9.170255,24.117878
0,mae,8,0.05,4.217336,22.905731
0,mae,8,0.075,5.054441,22.838556
0,mae,8,0.1,6.594362,22.452969
0,mae,8,0.15,9.717232,20.093452
0,mse,8,0.05,1.810772,32.646912
0,mse,8,0.075,2.265499,32.717781
0,mse,8,0.1,3.7448,32.08094
0,mse,8,0.15,7.224402,25.643934
0,mae,9,0.05,4.205754,23.117365
0,mae,9,0.075,4.900949,22.782246
0,mae,9,0.1,6.499573,23.033796
0,mae,9,0.15,9.814741,21.879635
0,mse,9,0.05,1.874891,33.165749
0,mse,9,0.075,2.238224,32.590733
0,mse,9,0.1,3.731339,32.978317
0,mse,9,0.15,7.126083,30.342705
0,mae,10,0.05,4.127558,22.96344
0,mae,10,0.075,4.898744,23.10252
0,mae,10,0.1,6.559529,23.025358
0,mae,10,0.15,8.653891,20.719673
0,mse,10,0.05,1.793015,32.769299
0,mse,10,0.075,2.1619,33.4757
0,mse,10,0.1,3.701649,33.399998
0,mse,10,0.15,5.917188,27.110962
0,mae,11,0.05,4.020723,23.091616
0,mae,11,0.075,4.979965,22.855049
0,mae,11,0.1,6.52905,23.060698
0,mae,11,0.15,10.125341,20.766041
0,mse,11,0.05,1.686861,32.875343
0,mse,11,0.075,2.261353,32.711796
0,mse,11,0.1,3.582489,33.123337
0,mse,11,0.15,7.805693,27.335453
0,mae,12,0.05,4.127782,22.937454
0,mae,12,0.075,4.880198,22.679195
0,mae,12,0.1,6.283119,22.538757
0,mae,12,0.15,9.249334,20.0392
0,mse,12,0.05,1.728897,32.686028
0,mse,12,0.075,2.058725,32.669662
0,mse,12,0.1,3.351076,32.624557
0,mse,12,0.15,6.618526,25.025021
0,mae,13,0.05,4.093832,22.820965
0,mae,13,0.075,4.963725,22.520903
0,mae,13,0.1,6.133406,22.409807
0,mae,13,0.15,7.772233,22.208782
0,mse,13,0.05,1.623837,32.109104
0,mse,13,0.075,2.162641,31.986145
0,mse,13,0.1,3.071089,32.127102
0,mse,13,0.15,5.360993,31.450428
0,mae,14,0.05,3.910036,22.877134
0,mae,14,0.075,4.806842,22.510452
0,mae,14,0.1,5.915467,22.450949
0,mae,14,0.15,7.446055,21.906326
