batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,13.33319,19.181425
0,mae,0,0.075,14.844145,18.387897
0,mae,0,0.1,16.339659,17.768976
0,mae,0,0.15,15.873098,17.232195
0,mse,0,0.05,15.170036,23.281158
0,mse,0,0.075,17.255037,21.73064
0,mse,0,0.1,18.671419,20.701143
0,mse,0,0.15,16.820873,19.867241
0,mae,1,0.05,13.405032,18.641438
0,mae,1,0.075,15.000791,18.013065
0,mae,1,0.1,16.922462,17.181581
0,mae,1,0.15,16.881922,17.134752
0,mse,1,0.05,14.678143,22.284803
0,mse,1,0.075,16.688213,21.230619
0,mse,1,0.1,19.780502,19.684181
0,mse,1,0.15,19.065245,19.066345
0,mae,2,0.05,12.742456,18.922043
0,mae,2,0.075,14.318095,18.302521
0,mae,2,0.1,15.453983,17.500877
0,mae,2,0.15,16.661514,16.351364
0,mse,2,0.05,13.722292,22.950758
0,mse,2,0.075,15.120845,22.058475
0,mse,2,0.1,17.286592,20.872299
0,mse,2,0.15,18.338137,18.162868
0,mae,3,0.05,13.043124,18.731857
0,mae,3,0.075,14.119063,18.497711
0,mae,3,0.1,15.2889,18.871201
0,mae,3,0.15,16.390163,17.50979
0,mse,3,0.05,13.937607,22.512403
0,mse,3,0.075,14.76025,22.347065
0,mse,3,0.1,16.965883,23.214058
0,mse,3,0.15,18.472775,19.984829
0,mae,4,0.05,12.862289,18.654388
0,mae,4,0.075,13.87985,18.779747
0,mae,4,0.1,14.663698,19.001926
0,mae,4,0.15,16.607635,18.582804
0,mse,4,0.05,13.631132,22.355125
0,mse,4,0.075,15.101419,22.635653
0,mse,4,0.1,16.382504,23.30854
0,mse,4,0.15,19.602367,21.814407
0,mae,5,0.05,12.589673,18.947054
0,mae,5,0.075,13.654788,18.788366
0,mae,5,0.1,15.450852,18.535078
0,mae,5,0.15,16.839005,18.072002
0,mse,5,0.05,13.228035,22.870876
0,mse,5,0.075,14.551536,22.72517
0,mse,5,0.1,17.710293,22.048229
0,mse,5,0.15,19.390312,21.036297
0,mae,6,0.05,12.326172,18.723186
0,mae,6,0.075,13.346758,18.526302
0,mae,6,0.1,14.53062,18.70253
0,mae,6,0.15,16.577955,17.325741
0,mse,6,0.05,13.213411,22.52026
0,mse,6,0.075,14.295713,21.59712
0,mse,6,0.1,15.988042,21.916733
0,mse,6,0.15,18.768448,19.590801
0,mae,7,0.05,12.52273,19.342825
0,mae,7,0.075,14.482852,18.672386
0,mae,7,0.1,15.720335,18.06736
0,mae,7,0.15,17.439617,17.376713
0,mse,7,0.05,12.563448,23.512648
0,mse,7,0.075,16.083134,22.2227
0,mse,7,0.1,17.335052,21.141359
0,mse,7,0.15,20.67506,20.253559
0,mae,8,0.05,12.591341,19.591593
0,mae,8,0.075,14.684073,19.424076
0,mae,8,0.1,15.81724,19.235542
0,mae,8,0.15,17.200525,17.305124
0,mse,8,0.05,12.808867,25.138021
0,mse,8,0.075,15.240682,23.844646
0,mse,8,0.1,17.147726,23.454197
0,mse,8,0.15,19.833536,19.398224
0,mae,9,0.05,11.599461,19.352272
0,mae,9,0.075,13.52914,18.958118
0,mae,9,0.1,15.010505,18.784241
0,mae,9,0.15,16.580833,18.288481
0,mse,9,0.05,11.628044,24.320122
0,mse,9,0.075,14.072479,23.529861
0,mse,9,0.1,16.262007,23.260305
0,mse,9,0.15,18.738453,21.529047
0,mae,10,0.05,12.6064,20.034332
0,mae,10,0.075,14.91188,19.180866
0,mae,10,0.1,15.889959,19.172119
0,mae,10,0.15,16.562881,17.652428
0,mse,10,0.05,13.118876,26.02861
0,mse,10,0.075,16.267771,24.285656
0,mse,10,0.1,17.627972,23.673367
0,mse,10,0.15,18.351791,20.444984
0,mae,11,0.05,12.946127,20.27401
0,mae,11,0.075,14.68833,19.783533
0,mae,11,0.1,16.313322,19.185177
0,mae,11,0.15,17.775486,17.923456
0,mse,11,0.05,13.829215,27.016148
0,mse,11,0.075,15.79179,25.792534
0,mse,11,0.1,18.355009,24.169865
0,mse,11,0.15,20.141666,21.517481
0,mae,12,0.05,13.07929,20.217766
0,mae,12,0.075,15.402347,19.996786
0,mae,12,0.1,16.007557,19.889071
0,mae,12,0.15,17.531933,18.936577
0,mse,12,0.05,13.829535,26.303783
0,mse,12,0.075,17.346117,25.706549
0,mse,12,0.1,17.856998,25.579189
0,mse,12,0.15,20.191895,23.192665
0,mae,13,0.05,13.631393,20.10672
0,mae,13,0.075,16.41341,19.354702
0,mae,13,0.1,17.018866,18.361052
0,mae,13,0.15,18.692558,17.115337
0,mse,13,0.05,14.644667,25.831837
0,mse,13,0.075,18.646004,23.604134
0,mse,13,0.1,19.689049,21.696674
0,mse,13,0.15,22.794117,19.592129
0,mae,14,0.05,14.104996,19.72636
0,mae,14,0.075,15.737791,19.392664
0,mae,14,0.1,16.406242,18.688259
0,mae,14,0.15,17.272215,17.213173
0,mse,14,0.05,15.793482,25.257078
0,mse,14,0.075,18.353327,23.813925
0,mse,14,0.1,19.489864,22.563871
0,mse,14,0.15,20.628397,19.723066
0,mae,15,0.05,12.704336,20.263809
0,mae,15,0.075,14.044106,19.574139
0,mae,15,0.1,15.381016,18.767282
0,mae,15,0.15,16.434536,17.071379
0,mse,15,0.05,12.608591,26.218174
0,mse,15,0.075,15.302686,24.661251
0,mse,15,0.1,17.918394,22.958988
0,mse,15,0.15,18.660198,19.429127
0,mae,16,0.05,13.617043,20.175013
0,mae,16,0.075,14.481836,19.682039
0,mae,16,0.1,15.113825,19.320007
0,mae,16,0.15,16.642372,17.231216
0,mse,16,0.05,14.784853,26.467793
0,mse,16,0.075,16.095066,25.763332
0,mse,16,0.1,16.964071,24.475252
0,mse,16,0.15,19.051083,19.591387
0,mae,17,0.05,13.424526,20.263779
0,mae,17,0.075,14.570536,19.515392
0,mae,17,0.1,15.126122,18.91081
0,mae,17,0.15,16.744864,17.150255
0,mse,17,0.05,14.891178,26.128937
0,mse,17,0.075,15.919926,24.729538
0,mse,17,0.1,16.767483,23.534491
0,mse,17,0.15,18.94305,19.438454
0,mae,18,0.05,12.864815,19.769512
0,mae,18,0.075,14.515609,19.186176
0,mae,18,0.1,15.075083,18.718422
0,mae,18,0.15,16.560974,17.537943
0,mse,18,0.05,13.014349,24.884539
0,mse,18,0.075,15.746349,22.915642
0,mse,18,0.1,16.102964,22.088089
0,mse,18,0.15,18.77335,19.659931
0,mae,19,0.05,12.426338,19.79792
0,mae,19,0.075,14.085453,18.54908
0,mae,19,0.1,15.868995,17.98134
0,mae,19,0.15,17.556059,16.413212
0,mse,19,0.05,12.161323,25.040035
0,mse,19,0.075,14.043901,22.245945
0,mse,19,0.1,16.99563,21.064085
0,mse,19,0.15,20.883755,17.424698
0,mae,20,0.05,11.641567,20.739288
0,mae,20,0.075,13.50713,19.053734
0,mae,20,0.1,15.344296,18.450447
0,mae,20,0.15,16.761896,16.80337
0,mse,20,0.05,10.738106,26.659027
0,mse,20,0.075,13.23423,22.875366
0,mse,20,0.1,15.769835,21.817947
0,mse,20,0.15,17.553303,18.243305
0,mae,21,0.05,12.641112,21.045635
0,mae,21,0.075,14.153357,19.097569
0,mae,21,0.1,15.334555,18.395538
0,mae,21,0.15,15.552391,16.97736
0,mse,21,0.05,11.96932,26.850529
0,mse,21,0.075,14.354279,23.147148
0,mse,21,0.1,16.147903,21.78289
0,mse,21,0.15,16.317799,18.983772
0,mae,22,0.05,11.553274,20.739056
0,mae,22,0.075,14.696105,19.177538
0,mae,22,0.1,16.08564,17.956678
0,mae,22,0.15,16.041416,17.191599
0,mse,22,0.05,10.572701,25.890753
0,mse,22,0.075,15.206792,22.583662
0,mse,22,0.1,16.867062,19.906071
0,mse,22,0.15,17.035564,18.692614
0,mae,23,0.05,10.848131,21.149387
0,mae,23,0.075,13.461427,20.083532
0,mae,23,0.1,15.741789,19.5201
0,mae,23,0.15,15.826344,16.811939
0,mse,23,0.05,9.13954,28.021248
0,mse,23,0.075,12.725797,26.421183
0,mse,23,0.1,16.218939,25.204227
0,mse,23,0.15,16.301384,18.649975
1,mae,0,0.05,11.349611,21.842461
1,mae,0,0.075,13.592962,20.746315
1,mae,0,0.1,14.641283,19.742756
1,mae,0,0.15,17.286705,18.226864
1,mse,0,0.05,9.682786,29.039238
1,mse,0,0.075,13.016094,25.722725
1,mse,0,0.1,14.603101,23.851198
1,mse,0,0.15,19.819613,20.910318
1,mae,1,0.05,10.700678,21.559551
1,mae,1,0.075,12.477121,20.898638
1,mae,1,0.1,13.231464,20.57885
1,mae,1,0.15,16.262939,20.14761
1,mse,1,0.05,8.583564,28.889421
1,mse,1,0.075,10.920519,26.471846
1,mse,1,0.1,12.374096,25.442558
1,mse,1,0.15,17.092556,23.645077
1,mae,2,0.05,10.280087,22.05933
1,mae,2,0.075,12.063858,20.506859
1,mae,2,0.1,13.589664,20.041552
1,mae,2,0.15,16.465151,19.597725
1,mse,2,0.05,8.647242,29.632942
1,mse,2,0.075,10.964167,25.787155
1,mse,2,0.1,13.059433,24.626183
1,mse,2,0.15,18.20352,23.02177
1,mae,3,0.05,10.668941,21.34462
1,mae,3,0.075,12.244686,20.560839
1,mae,3,0.1,13.654261,20.152714
1,mae,3,0.15,15.532663,19.04747
1,mse,3,0.05,8.669735,28.19906
1,mse,3,0.075,10.658151,26.902777
1,mse,3,0.1,12.873981,25.94158
1,mse,3,0.15,16.176388,22.74118
1,mae,4,0.05,11.377102,21.587652
1,mae,4,0.075,12.095927,21.075731
1,mae,4,0.1,13.763264,20.419691
1,mae,4,0.15,15.841104,18.952581
1,mse,4,0.05,9.643236,28.868382
1,mse,4,0.075,10.42267,27.986347
1,mse,4,0.1,12.824227,26.700396
1,mse,4,0.15,16.492401,22.873209
1,mae,5,0.05,10.298096,22.140839
1,mae,5,0.075,12.312597,21.13612
1,mae,5,0.1,13.32902,20.795982
1,mae,5,0.15,15.553193,19.652061
1,mse,5,0.05,8.089313,30.825228
1,mse,5,0.075,10.820911,28.50811
1,mse,5,0.1,12.317556,27.201248
1,mse,5,0.15,16.226748,24.203495
1,mae,6,0.05,11.006435,21.157516
1,mae,6,0.075,11.863412,20.04998
1,mae,6,0.1,12.610394,20.03895
1,mae,6,0.15,14.07774,19.487122
1,mse,6,0.05,9.146345,28.552992
1,mse,6,0.075,10.605426,25.733946
1,mse,6,0.1,11.661386,25.17149
1,mse,6,0.15,14.083217,23.844728
1,mae,7,0.05,9.505152,20.670876
1,mae,7,0.075,11.200449,19.671051
1,mae,7,0.1,12.128316,18.683525
1,mae,7,0.15,16.063604,17.153938
1,mse,7,0.05,7.941419,26.83003
1,mse,7,0.075,9.596168,24.523453
