batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.370014,26.260532
0,mae,0,0.075,9.391037,26.992962
0,mae,0,0.1,10.616747,27.686031
0,mae,0,0.15,12.491581,27.570557
0,mse,0,0.05,4.019679,40.00528
0,mse,0,0.075,6.044593,41.998894
0,mse,0,0.1,7.625097,43.567974
0,mse,0,0.15,10.239477,42.533611
0,mae,1,0.05,7.291465,26.258461
0,mae,1,0.075,9.245817,27.950436
0,mae,1,0.1,10.258763,28.793652
0,mae,1,0.15,12.126976,28.440941
0,mse,1,0.05,3.976495,40.307518
0,mse,1,0.075,5.831734,44.226349
0,mse,1,0.1,7.214005,46.080879
0,mse,1,0.15,9.781338,44.672176
0,mae,2,0.05,7.42792,26.517496
0,mae,2,0.075,9.221378,28.216331
0,mae,2,0.1,10.584463,29.183508
0,mae,2,0.15,12.577736,30.135532
0,mse,2,0.05,4.21905,40.764801
0,mse,2,0.075,5.991021,44.502468
0,mse,2,0.1,7.455338,46.660961
0,mse,2,0.15,10.235471,48.809971
0,mae,3,0.05,7.743091,27.508945
0,mae,3,0.075,9.55319,28.615499
0,mae,3,0.1,10.870517,29.573172
0,mae,3,0.15,12.644913,30.685951
0,mse,3,0.05,4.304537,42.722301
0,mse,3,0.075,6.277835,45.478302
0,mse,3,0.1,7.765565,47.599335
0,mse,3,0.15,10.625635,50.206417
0,mae,4,0.05,8.018044,27.370378
0,mae,4,0.075,9.860378,28.818291
0,mae,4,0.1,11.345329,29.590252
0,mae,4,0.15,12.868677,30.458586
0,mse,4,0.05,4.596851,42.164879
0,mse,4,0.075,6.510888,45.754211
0,mse,4,0.1,8.385441,47.851219
0,mse,4,0.15,10.852484,49.895378
0,mae,5,0.05,7.78159,27.374264
0,mae,5,0.075,9.660387,28.641113
0,mae,5,0.1,11.033472,29.720335
0,mae,5,0.15,12.174519,30.975147
0,mse,5,0.05,4.208414,42.122681
0,mse,5,0.075,6.226506,45.491905
0,mse,5,0.1,7.825015,47.859772
0,mse,5,0.15,9.782373,51.233681
0,mae,6,0.05,8.087589,27.067043
0,mae,6,0.075,10.17396,28.951679
0,mae,6,0.1,11.027766,29.797638
0,mae,6,0.15,13.109118,30.501122
0,mse,6,0.05,4.45399,41.269318
0,mse,6,0.075,6.652678,46.220436
0,mse,6,0.1,7.699048,48.321877
0,mse,6,0.15,10.683672,50.085114
0,mae,7,0.05,8.166132,27.228035
0,mae,7,0.075,10.469116,28.537392
0,mae,7,0.1,11.358932,29.659519
0,mae,7,0.15,13.129234,30.823204
0,mse,7,0.05,4.44428,41.727425
0,mse,7,0.075,6.966786,44.76334
0,mse,7,0.1,7.988665,47.302032
0,mse,7,0.15,10.864067,50.691635
0,mae,8,0.05,8.133261,27.427433
0,mae,8,0.075,10.455422,28.551905
0,mae,8,0.1,11.275812,29.193998
0,mae,8,0.15,13.529892,30.091782
0,mse,8,0.05,4.455448,42.292839
0,mse,8,0.075,6.75495,45.151527
0,mse,8,0.1,7.646137,46.188858
0,mse,8,0.15,11.285533,47.982796
0,mae,9,0.05,7.770315,26.64875
0,mae,9,0.075,9.823483,28.016472
0,mae,9,0.1,10.86478,28.659012
0,mae,9,0.15,12.956708,29.468887
0,mse,9,0.05,4.049994,40.75515
0,mse,9,0.075,5.985034,43.840294
0,mse,9,0.1,7.158526,45.096626
0,mse,9,0.15,10.390861,46.559223
0,mae,10,0.05,7.255216,26.053066
0,mae,10,0.075,9.63663,27.520481
0,mae,10,0.1,10.467833,28.307781
0,mae,10,0.15,12.99087,29.805618
0,mse,10,0.05,3.545183,39.292755
0,mse,10,0.075,5.689484,42.841187
0,mse,10,0.1,6.637208,44.308311
0,mse,10,0.15,10.218552,48.385376
0,mae,11,0.05,7.085204,26.637249
0,mae,11,0.075,9.177467,27.932281
0,mae,11,0.1,10.001114,28.650688
0,mae,11,0.15,12.406256,29.451096
0,mse,11,0.05,3.325641,40.866051
0,mse,11,0.075,5.211381,43.927094
0,mse,11,0.1,6.195202,45.503464
0,mse,11,0.15,9.508211,47.274181
0,mae,12,0.05,7.315292,26.632498
0,mae,12,0.075,9.404074,28.033184
0,mae,12,0.1,10.234676,28.780317
0,mae,12,0.15,12.34584,30.338675
0,mse,12,0.05,3.555417,40.942463
0,mse,12,0.075,5.4725,44.305683
0,mse,12,0.1,6.451244,45.830643
0,mse,12,0.15,9.480865,49.696732
0,mae,13,0.05,7.317864,26.794233
0,mae,13,0.075,9.52519,28.722092
0,mae,13,0.1,10.711534,29.110815
0,mae,13,0.15,13.054777,30.182968
0,mse,13,0.05,3.488002,40.783398
0,mse,13,0.075,5.561026,45.264137
0,mse,13,0.1,6.91982,46.522133
0,mse,13,0.15,10.259136,48.692703
0,mae,14,0.05,7.498127,26.848978
0,mae,14,0.075,10.095561,28.053959
0,mae,14,0.1,11.24345,28.789909
0,mae,14,0.15,13.244709,29.354309
0,mse,14,0.05,3.71751,41.197731
0,mse,14,0.075,6.23658,43.257362
0,mse,14,0.1,7.719365,44.596397
0,mse,14,0.15,10.709848,45.942513
0,mae,15,0.05,7.550143,26.817474
0,mae,15,0.075,10.06245,28.309771
0,mae,15,0.1,11.248413,29.003151
0,mae,15,0.15,13.648455,29.353382
0,mse,15,0.05,3.935564,40.343742
0,mse,15,0.075,6.314798,43.570007
0,mse,15,0.1,7.804395,44.540211
0,mse,15,0.15,11.055939,45.410736
0,mae,16,0.05,7.656345,26.098265
0,mae,16,0.075,10.119993,26.9506
0,mae,16,0.1,10.976028,27.530022
0,mae,16,0.15,13.385685,28.158516
0,mse,16,0.05,4.13839,38.550018
0,mse,16,0.075,6.67756,39.637863
0,mse,16,0.1,8.152414,40.905518
0,mse,16,0.15,11.280016,41.518814
0,mae,17,0.05,7.950878,24.998985
0,mae,17,0.075,10.654966,26.207039
0,mae,17,0.1,11.962056,26.61533
0,mae,17,0.15,13.786922,26.680889
0,mse,17,0.05,4.426693,35.452599
0,mse,17,0.075,7.512315,37.115112
0,mse,17,0.1,9.627602,37.743225
0,mse,17,0.15,12.358465,37.924309
0,mae,18,0.05,8.142883,25.105394
0,mae,18,0.075,10.347878,26.093307
0,mae,18,0.1,11.730256,26.640507
0,mae,18,0.15,13.967861,26.373947
0,mse,18,0.05,4.861208,35.95755
0,mse,18,0.075,7.328224,37.626343
0,mse,18,0.1,9.617582,38.424576
0,mse,18,0.15,12.717436,37.810421
0,mae,19,0.05,8.160686,25.077459
0,mae,19,0.075,10.672241,25.733391
0,mae,19,0.1,11.490372,26.321186
0,mae,19,0.15,13.505988,25.946259
0,mse,19,0.05,4.830757,36.220013
0,mse,19,0.075,7.665867,36.494671
0,mse,19,0.1,9.244303,37.875454
0,mse,19,0.15,12.264528,36.816154
0,mae,20,0.05,8.3971,25.335625
0,mae,20,0.075,10.406966,26.043568
0,mae,20,0.1,11.250122,26.253609
0,mae,20,0.15,13.411312,25.520861
0,mse,20,0.05,5.102158,37.007919
0,mse,20,0.075,7.276202,38.365265
0,mse,20,0.1,8.778698,38.462395
0,mse,20,0.15,12.299716,36.846672
0,mae,21,0.05,8.217146,24.50256
0,mae,21,0.075,10.24401,24.514381
0,mae,21,0.1,11.22316,25.451681
0,mae,21,0.15,13.32242,25.074286
0,mse,21,0.05,5.222966,34.837345
0,mse,21,0.075,7.589671,34.78788
0,mse,21,0.1,9.239033,37.012337
0,mse,21,0.15,12.262228,35.54155
0,mae,22,0.05,8.13806,24.337641
0,mae,22,0.075,10.41716,24.727348
0,mae,22,0.1,11.064335,25.084183
0,mae,22,0.15,12.704808,25.04804
0,mse,22,0.05,5.078619,35.04351
0,mse,22,0.075,7.473338,35.247459
0,mse,22,0.1,8.822418,36.016724
0,mse,22,0.15,11.547878,36.000221
0,mae,23,0.05,7.642549,24.220217
0,mae,23,0.075,9.90987,24.466873
0,mae,23,0.1,10.701162,24.746613
0,mae,23,0.15,12.575713,24.089703
0,mse,23,0.05,4.439404,34.906731
0,mse,23,0.075,6.702439,35.210739
0,mse,23,0.1,8.093473,35.647079
0,mse,23,0.15,11.087241,33.812813
1,mae,0,0.05,11.300902,22.083994
1,mae,0,0.075,13.79994,22.720625
1,mae,0,0.1,15.209345,22.820457
1,mae,0,0.15,17.937199,22.63109
1,mse,0,0.05,10.622216,29.827202
1,mse,0,0.075,13.810099,31.507486
1,mse,0,0.1,16.028387,31.81674
1,mse,0,0.15,21.580864,31.613079
1,mae,1,0.05,11.692585,22.849091
1,mae,1,0.075,14.436327,23.393667
1,mae,1,0.1,15.744617,23.339205
1,mae,1,0.15,18.777767,23.233482
1,mse,1,0.05,10.703361,32.11499
1,mse,1,0.075,14.462157,33.896744
1,mse,1,0.1,16.685694,33.849491
1,mse,1,0.15,23.388767,34.155724
1,mae,2,0.05,11.511217,22.991936
1,mae,2,0.075,14.430373,22.677023
1,mae,2,0.1,16.216707,22.562801
1,mae,2,0.15,18.820583,22.587616
1,mse,2,0.05,10.691727,32.300926
1,mse,2,0.075,14.622339,32.015934
1,mse,2,0.1,17.75235,32.130051
1,mse,2,0.15,23.75757,32.545418
1,mae,3,0.05,12.082873,22.707914
1,mae,3,0.075,15.348776,22.884581
1,mae,3,0.1,16.524078,22.970266
1,mae,3,0.15,19.040937,22.291344
1,mse,3,0.05,11.170877,31.79299
1,mse,3,0.075,16.503902,32.780624
1,mse,3,0.1,18.880075,32.993301
1,mse,3,0.15,24.007696,31.710617
1,mae,4,0.05,12.102915,22.547232
1,mae,4,0.075,15.170385,22.24033
1,mae,4,0.1,16.702999,22.067524
1,mae,4,0.15,19.499481,21.275717
1,mse,4,0.05,10.998173,31.663118
1,mse,4,0.075,15.599649,31.606527
1,mse,4,0.1,18.971569,30.873032
1,mse,4,0.15,24.524963,28.857309
1,mae,5,0.05,11.821587,22.342785
1,mae,5,0.075,15.557854,22.136267
1,mae,5,0.1,16.597429,22.061409
1,mae,5,0.15,19.51128,20.698326
1,mse,5,0.05,10.933365,30.50359
1,mse,5,0.075,16.091217,30.0362
1,mse,5,0.1,18.227114,29.863585
1,mse,5,0.15,24.757555,27.247932
1,mae,6,0.05,11.633671,21.693989
1,mae,6,0.075,15.326485,21.823059
1,mae,6,0.1,17.173058,21.53104
1,mae,6,0.15,20.300499,20.41468
1,mse,6,0.05,10.438459,28.646795
1,mse,6,0.075,15.697089,29.30505
1,mse,6,0.1,19.375576,28.627283
1,mse,6,0.15,26.208029,25.999819
1,mae,7,0.05,11.902235,21.746069
1,mae,7,0.075,15.383741,21.061314
1,mae,7,0.1,17.852732,20.733971
1,mae,7,0.15,20.756868,20.177502
1,mse,7,0.05,11.117314,29.009138
1,mse,7,0.075,16.221453,27.67621
1,mse,7,0.1,20.574297,26.75951
1,mse,7,0.15,27.567085,25.314941
1,mae,8,0.05,12.113944,21.437296
1,mae,8,0.075,15.879076,21.801794
1,mae,8,0.1,17.981316,21.592297
1,mae,8,0.15,21.217918,20.729372
1,mse,8,0.05,11.290662,28.771578
1,mse,8,0.075,16.716076,29.741833
1,mse,8,0.1,20.684231,28.886066
1,mse,8,0.15,28.421494,26.608269
1,mae,9,0.05,12.525425,21.808935
1,mae,9,0.075,16.140438,21.790096
1,mae,9,0.1,18.203678,21.369476
1,mae,9,0.15,20.940037,21.202007
1,mse,9,0.05,11.68372,29.725435
1,mse,9,0.075,17.300003,29.729679
1,mse,9,0.1,21.252293,28.804777
1,mse,9,0.15,27.659597,28.089483
1,mae,10,0.05,12.590067,21.173069
1,mae,10,0.075,16.349522,20.947777
1,mae,10,0.1,18.020687,21.160736
1,mae,10,0.15,21.337378,20.334846
1,mse,10,0.05,11.520592,28.009571
1,mse,10,0.075,17.174686,27.649612
1,mse,10,0.1,20.803879,27.872032
1,mse,10,0.15,28.335651,26.2889
1,mae,11,0.05,12.544814,20.805271
1,mae,11,0.075,16.022141,20.587164
