batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,18.179955,16.575462
0,mae,0,0.075,17.590086,15.123264
0,mae,0,0.1,18.111553,14.359533
0,mae,0,0.15,18.548428,12.998436
0,mse,0,0.05,22.541222,17.501862
0,mse,0,0.075,21.624132,15.096334
0,mse,0,0.1,22.363682,14.211617
0,mse,0,0.15,23.079475,11.876266
0,mae,1,0.05,16.169729,16.914173
0,mae,1,0.075,16.620186,15.704221
0,mae,1,0.1,17.149092,14.210659
0,mae,1,0.15,16.647108,12.760188
0,mse,1,0.05,19.330629,18.491817
0,mse,1,0.075,19.615244,16.76733
0,mse,1,0.1,20.420773,13.845337
0,mse,1,0.15,19.988937,11.849445
0,mae,2,0.05,15.858721,16.506178
0,mae,2,0.075,16.663773,15.114649
0,mae,2,0.1,17.20203,13.951447
0,mae,2,0.15,16.731207,12.748579
0,mse,2,0.05,18.681906,17.557093
0,mse,2,0.075,20.546297,14.877011
0,mse,2,0.1,21.205721,13.285858
0,mse,2,0.15,19.990299,11.499496
0,mae,3,0.05,15.848799,16.522049
0,mae,3,0.075,17.341503,15.359816
0,mae,3,0.1,17.686918,14.789442
0,mae,3,0.15,17.095045,14.339024
0,mse,3,0.05,17.6817,17.503338
0,mse,3,0.075,20.218376,15.411608
0,mse,3,0.1,21.527664,14.437224
0,mse,3,0.15,20.728676,13.997095
0,mae,4,0.05,15.267544,17.328251
0,mae,4,0.075,16.757433,15.741611
0,mae,4,0.1,17.460182,15.492348
0,mae,4,0.15,16.907202,14.423606
0,mse,4,0.05,16.079435,18.841393
0,mse,4,0.075,18.655807,15.556404
0,mse,4,0.1,20.167105,15.177162
0,mse,4,0.15,19.923655,13.73683
0,mae,5,0.05,14.801847,16.977432
0,mae,5,0.075,15.146187,16.563442
0,mae,5,0.1,16.215023,16.171089
0,mae,5,0.15,14.422354,14.969349
0,mse,5,0.05,15.718891,18.652943
0,mse,5,0.075,16.214615,17.522678
0,mse,5,0.1,18.400963,16.24239
0,mse,5,0.15,15.335333,14.487803
0,mae,6,0.05,14.056658,17.0005
0,mae,6,0.075,15.092407,16.860435
0,mae,6,0.1,15.90992,16.276863
0,mae,6,0.15,15.096184,15.693858
0,mse,6,0.05,14.716783,18.99435
0,mse,6,0.075,16.408432,18.134918
0,mse,6,0.1,18.413994,17.06381
0,mse,6,0.15,16.65864,16.017239
0,mae,7,0.05,14.21867,17.4177
0,mae,7,0.075,15.151118,16.580431
0,mae,7,0.1,15.538686,16.088739
0,mae,7,0.15,16.041224,14.708532
0,mse,7,0.05,15.585968,19.566452
0,mse,7,0.075,17.138432,18.110453
0,mse,7,0.1,17.781837,16.572905
0,mse,7,0.15,18.035337,14.18643
0,mae,8,0.05,14.673006,17.148857
0,mae,8,0.075,14.949905,16.570599
0,mae,8,0.1,15.460348,16.516933
0,mae,8,0.15,15.966355,15.248296
0,mse,8,0.05,16.85463,18.5956
0,mse,8,0.075,16.676125,17.399044
0,mse,8,0.1,17.048458,16.911045
0,mse,8,0.15,18.347483,14.993534
0,mae,9,0.05,14.589283,16.779024
0,mae,9,0.075,14.948665,16.446835
0,mae,9,0.1,15.359553,15.49311
0,mae,9,0.15,15.210449,13.534737
0,mse,9,0.05,16.856916,17.30291
0,mse,9,0.075,16.793846,16.721722
0,mse,9,0.1,17.268255,15.387734
0,mse,9,0.15,17.235678,12.010214
0,mae,10,0.05,15.176522,15.755917
0,mae,10,0.075,15.094821,15.361316
0,mae,10,0.1,16.405273,14.405546
0,mae,10,0.15,17.454153,14.129196
0,mse,10,0.05,17.412725,16.205246
0,mse,10,0.075,16.910511,15.358741
0,mse,10,0.1,19.12026,13.755039
0,mse,10,0.15,20.433968,12.456159
0,mae,11,0.05,14.941812,16.175831
0,mae,11,0.075,15.526834,15.755199
0,mae,11,0.1,16.660267,15.29452
0,mae,11,0.15,17.676861,14.618166
0,mse,11,0.05,16.959133,16.720654
0,mse,11,0.075,18.15789,15.899246
0,mse,11,0.1,19.802258,14.727621
0,mse,11,0.15,20.506319,13.658772
0,mae,12,0.05,13.663525,16.076746
0,mae,12,0.075,14.315996,15.885232
0,mae,12,0.1,15.201603,15.134521
0,mae,12,0.15,16.338396,14.593672
0,mse,12,0.05,15.163441,16.844723
0,mse,12,0.075,16.023773,16.095104
0,mse,12,0.1,17.849209,14.296901
0,mse,12,0.15,19.16218,13.096117
0,mae,13,0.05,14.698959,16.575714
0,mae,13,0.075,15.553215,14.882851
0,mae,13,0.1,16.024275,14.635683
0,mae,13,0.15,17.372656,13.632081
0,mse,13,0.05,16.610874,17.444344
0,mse,13,0.075,19.251699,14.069128
0,mse,13,0.1,19.440704,13.57118
0,mse,13,0.15,21.39608,11.671008
0,mae,14,0.05,15.601852,16.487289
0,mae,14,0.075,17.024578,15.281636
0,mae,14,0.1,16.980967,13.546999
0,mae,14,0.15,16.846933,13.19416
0,mse,14,0.05,17.118759,16.66783
0,mse,14,0.075,19.802395,14.733146
0,mse,14,0.1,20.085089,12.154076
0,mse,14,0.15,19.856277,11.502043
0,mae,15,0.05,16.756826,16.394997
0,mae,15,0.075,17.720291,14.609407
0,mae,15,0.1,17.565805,13.696156
0,mae,15,0.15,18.150806,11.982234
0,mse,15,0.05,19.511442,16.825489
0,mse,15,0.075,21.41898,13.643537
0,mse,15,0.1,21.850056,12.480043
0,mse,15,0.15,22.187252,9.48358
0,mae,16,0.05,16.894617,16.012207
0,mae,16,0.075,17.773726,14.642323
0,mae,16,0.1,18.563255,13.026598
0,mae,16,0.15,18.156689,12.725304
0,mse,16,0.05,18.971851,15.886314
0,mse,16,0.075,21.433167,13.534924
0,mse,16,0.1,22.747295,10.943819
0,mse,16,0.15,22.801159,10.362452
0,mae,17,0.05,16.979755,16.629181
0,mae,17,0.075,18.25592,14.522419
0,mae,17,0.1,17.942598,13.64283
0,mae,17,0.15,19.462765,12.337808
0,mse,17,0.05,19.838682,17.700806
0,mse,17,0.075,22.230728,13.678709
0,mse,17,0.1,22.148771,12.163119
0,mse,17,0.15,25.131321,9.96106
0,mae,18,0.05,15.820133,17.448801
0,mae,18,0.075,16.772852,15.361641
0,mae,18,0.1,17.16103,14.118877
0,mae,18,0.15,18.106255,12.887789
0,mse,18,0.05,17.803814,19.695406
0,mse,18,0.075,19.020733,15.459421
0,mse,18,0.1,19.731464,13.270475
0,mse,18,0.15,22.556568,10.765018
0,mae,19,0.05,14.579935,16.421268
0,mae,19,0.075,14.270126,15.879477
0,mae,19,0.1,15.034929,14.610957
0,mae,19,0.15,16.492599,12.847298
0,mse,19,0.05,15.786142,17.826565
0,mse,19,0.075,15.292571,16.917027
0,mse,19,0.1,16.647915,14.137354
0,mse,19,0.15,19.666327,10.671587
0,mae,20,0.05,14.107504,16.676292
0,mae,20,0.075,14.437116,15.572792
0,mae,20,0.1,14.697588,14.030074
0,mae,20,0.15,16.742958,12.950298
0,mse,20,0.05,15.198242,17.896193
0,mse,20,0.075,15.717585,15.604771
0,mse,20,0.1,15.918231,13.088462
0,mse,20,0.15,20.471268,11.242435
0,mae,21,0.05,14.882124,16.59783
0,mae,21,0.075,14.738487,16.175911
0,mae,21,0.1,14.557433,15.18844
0,mae,21,0.15,16.126575,13.762092
0,mse,21,0.05,17.136717,17.423504
0,mse,21,0.075,16.280907,16.510246
0,mse,21,0.1,16.424511,15.080812
0,mse,21,0.15,19.409103,12.260321
0,mae,22,0.05,15.412529,16.86874
0,mae,22,0.075,16.333689,15.446643
0,mae,22,0.1,16.09067,15.196995
0,mae,22,0.15,16.33449,14.035459
0,mse,22,0.05,18.175732,17.388338
0,mse,22,0.075,19.751831,15.613831
0,mse,22,0.1,18.57951,14.837679
0,mse,22,0.15,19.487743,13.087036
0,mae,23,0.05,14.693337,17.38327
0,mae,23,0.075,14.973061,16.402985
0,mae,23,0.1,15.618002,15.456181
0,mae,23,0.15,16.493614,14.269458
0,mse,23,0.05,17.145782,18.885281
0,mse,23,0.075,17.195871,17.362177
0,mse,23,0.1,17.926754,15.97912
0,mse,23,0.15,18.858025,13.933165
1,mae,0,0.05,11.636135,18.337097
1,mae,0,0.075,13.296613,16.981117
1,mae,0,0.1,15.367573,15.848558
1,mae,0,0.15,16.781992,13.27527
1,mse,0,0.05,9.769441,21.488701
1,mse,0,0.075,13.226617,18.614136
1,mse,0,0.1,17.928127,16.230865
1,mse,0,0.15,19.486208,11.570501
1,mae,1,0.05,11.277636,18.690723
1,mae,1,0.075,12.565063,18.001453
1,mae,1,0.1,13.873285,16.7099
1,mae,1,0.15,15.674486,14.488225
1,mse,1,0.05,9.990063,23.041513
1,mse,1,0.075,11.451199,21.486835
1,mse,1,0.1,13.586495,18.685093
1,mse,1,0.15,17.015259,14.060549
1,mae,2,0.05,11.371542,19.29982
1,mae,2,0.075,11.700557,16.960241
1,mae,2,0.1,12.469837,16.086145
1,mae,2,0.15,14.527359,14.765692
1,mse,2,0.05,9.506763,24.367407
1,mse,2,0.075,10.137821,19.714802
1,mse,2,0.1,11.365688,17.532976
1,mse,2,0.15,15.313653,15.66851
1,mae,3,0.05,9.587262,18.763088
1,mae,3,0.075,11.068918,17.556683
1,mae,3,0.1,12.645243,16.045712
1,mae,3,0.15,14.483719,15.487144
1,mse,3,0.05,7.034186,23.415363
1,mse,3,0.075,9.097649,21.0319
1,mse,3,0.1,11.482691,18.043087
1,mse,3,0.15,15.269839,16.996353
1,mae,4,0.05,9.706154,18.874332
1,mae,4,0.075,11.261374,17.124794
1,mae,4,0.1,12.473908,16.22646
1,mae,4,0.15,14.756426,15.531509
1,mse,4,0.05,7.168992,23.170578
1,mse,4,0.075,9.329778,19.955973
1,mse,4,0.1,10.951606,18.062214
1,mse,4,0.15,14.876493,16.956261
1,mae,5,0.05,8.995781,19.181828
1,mae,5,0.075,11.691269,17.065838
1,mae,5,0.1,12.254161,16.280956
1,mae,5,0.15,13.482676,14.931291
1,mse,5,0.05,6.005132,24.739727
1,mse,5,0.075,9.295153,19.980991
1,mse,5,0.1,10.418954,18.103291
1,mse,5,0.15,12.939795,15.625559
1,mae,6,0.05,10.293891,18.851431
1,mae,6,0.075,11.806005,17.203979
1,mae,6,0.1,11.745466,16.735155
1,mae,6,0.15,14.20361,15.042102
1,mse,6,0.05,7.834588,23.717497
1,mse,6,0.075,9.399985,20.724659
1,mse,6,0.1,9.530416,19.990017
1,mse,6,0.15,14.707177,16.059219
1,mae,7,0.05,10.665239,19.35697
1,mae,7,0.075,12.26346,18.20624
1,mae,7,0.1,12.759488,17.308197
1,mae,7,0.15,14.993101,14.653837
1,mse,7,0.05,7.707653,24.502567
1,mse,7,0.075,9.570843,22.545183
1,mse,7,0.1,10.869409,20.682198
1,mse,7,0.15,15.545152,14.844366
1,mae,8,0.05,10.791338,18.418274
1,mae,8,0.075,13.403397,17.454937
1,mae,8,0.1,13.94112,16.408972
1,mae,8,0.15,15.322366,15.092392
1,mse,8,0.05,8.894199,23.008392
1,mse,8,0.075,12.601021,20.425663
1,mse,8,0.1,13.243641,18.357971
1,mse,8,0.15,15.02072,16.05431
1,mae,9,0.05,11.077435,19.345524
1,mae,9,0.075,13.720374,17.530235
1,mae,9,0.1,14.557011,16.983829
1,mae,9,0.15,16.273958,15.742275
1,mse,9,0.05,9.175941,25.129004
1,mse,9,0.075,13.118147,20.955307
1,mse,9,0.1,15.041161,19.661522
1,mse,9,0.15,18.086924,17.779579
1,mae,10,0.05,11.084311,18.919249
1,mae,10,0.075,13.083543,17.469631
1,mae,10,0.1,14.15629,16.718296
1,mae,10,0.15,16.209303,15.159696
1,mse,10,0.05,9.123119,24.104794
1,mse,10,0.075,11.703318,20.832211
1,mse,10,0.1,13.654284,18.967056
1,mse,10,0.15,18.051998,15.63318
1,mae,11,0.05,11.366431,18.888102
1,mae,11,0.075,13.218309,16.978832
1,mae,11,0.1,14.349087,17.144508
1,mae,11,0.15,17.687567,15.256767
1,mse,11,0.05,9.572119,23.30434
1,mse,11,0.075,12.336447,19.167639
1,mse,11,0.1,14.619213,19.513229
1,mse,11,0.15,20.819519,16.688858
1,mae,12,0.05,11.057524,19.026772
1,mae,12,0.075,12.46641,17.217415
1,mae,12,0.1,14.004343,16.760357
1,mae,12,0.15,16.17815,14.993855
1,mse,12,0.05,8.718455,23.60434
1,mse,12,0.075,11.101318,19.551741
1,mse,12,0.1,13.934705,18.698345
1,mse,12,0.15,17.66707,15.109855
1,mae,13,0.05,10.611177,18.244663
1,mae,13,0.075,13.275337,17.801142
1,mae,13,0.1,14.721338,17.316311
1,mae,13,0.15,16.269749,15.122332
1,mse,13,0.05,8.019248,22.0811
1,mse,13,0.075,12.349102,20.572668
1,mse,13,0.1,14.661949,19.721073
