batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,13.519691,19.198765
0,mae,0,0.075,14.483526,18.979757
0,mae,0,0.1,15.341375,18.835361
0,mae,0,0.15,16.896526,17.53668
0,mse,0,0.05,13.595848,22.841419
0,mse,0,0.075,15.670109,22.667171
0,mse,0,0.1,16.725176,22.465748
0,mse,0,0.15,19.48052,19.453835
0,mae,1,0.05,12.467603,19.315697
0,mae,1,0.075,14.475974,18.677536
0,mae,1,0.1,16.029613,18.395061
0,mae,1,0.15,18.376564,16.833958
0,mse,1,0.05,12.42618,22.675165
0,mse,1,0.075,15.31031,21.523399
0,mse,1,0.1,17.984344,20.872181
0,mse,1,0.15,22.841345,18.073189
0,mae,2,0.05,12.041904,18.711308
0,mae,2,0.075,14.422895,18.078884
0,mae,2,0.1,15.485755,17.269024
0,mae,2,0.15,16.139591,16.314959
0,mse,2,0.05,11.119344,21.455242
0,mse,2,0.075,15.264833,20.541599
0,mse,2,0.1,17.266331,19.262184
0,mse,2,0.15,18.232052,17.392883
0,mae,3,0.05,13.377487,19.014614
0,mae,3,0.075,14.29579,18.735409
0,mae,3,0.1,14.907911,17.962299
0,mae,3,0.15,15.133314,17.082939
0,mse,3,0.05,12.708357,21.865967
0,mse,3,0.075,15.61911,21.055912
0,mse,3,0.1,15.811741,19.603115
0,mse,3,0.15,15.706487,17.979111
0,mae,4,0.05,12.896664,18.689224
0,mae,4,0.075,13.669513,18.566277
0,mae,4,0.1,15.45641,18.365429
0,mae,4,0.15,15.984093,17.859589
0,mse,4,0.05,12.663748,21.422817
0,mse,4,0.075,14.478487,20.961895
0,mse,4,0.1,17.612658,20.565908
0,mse,4,0.15,17.648075,19.750122
0,mae,5,0.05,12.211729,19.660957
0,mae,5,0.075,13.367405,19.274609
0,mae,5,0.1,15.138083,18.884459
0,mae,5,0.15,15.987899,17.947403
0,mse,5,0.05,12.201775,24.094666
0,mse,5,0.075,14.058653,23.49445
0,mse,5,0.1,17.659967,22.431618
0,mse,5,0.15,18.223534,20.950081
0,mae,6,0.05,12.543645,19.805187
0,mae,6,0.075,14.299144,19.525421
0,mae,6,0.1,16.175211,19.337608
0,mae,6,0.15,16.983318,17.672831
0,mse,6,0.05,11.995955,24.039555
0,mse,6,0.075,14.885845,23.093037
0,mse,6,0.1,18.397953,23.004215
0,mse,6,0.15,20.36779,19.540956
0,mae,7,0.05,12.48036,19.209087
0,mae,7,0.075,13.852585,18.872971
0,mae,7,0.1,15.007747,18.520254
0,mae,7,0.15,16.837532,17.428108
0,mse,7,0.05,11.940899,22.52561
0,mse,7,0.075,14.027839,21.849369
0,mse,7,0.1,15.84849,21.189526
0,mse,7,0.15,19.273067,18.990025
0,mae,8,0.05,12.164059,19.415228
0,mae,8,0.075,14.166752,19.253113
0,mae,8,0.1,14.634042,18.851257
0,mae,8,0.15,16.547867,18.099108
0,mse,8,0.05,11.078798,22.809834
0,mse,8,0.075,14.949207,22.536507
0,mse,8,0.1,15.472595,21.722727
0,mse,8,0.15,19.326744,20.292027
0,mae,9,0.05,11.302484,20.688511
0,mae,9,0.075,13.015059,20.833239
0,mae,9,0.1,14.267548,20.258591
0,mae,9,0.15,15.367715,19.506989
0,mse,9,0.05,9.750693,25.952671
0,mse,9,0.075,12.329342,26.206242
0,mse,9,0.1,14.019455,24.968435
0,mse,9,0.15,15.899369,23.181063
0,mae,10,0.05,11.973993,19.253399
0,mae,10,0.075,14.489435,19.319901
0,mae,10,0.1,15.430729,19.303806
0,mae,10,0.15,17.256447,18.446243
0,mse,10,0.05,11.484955,22.554752
0,mse,10,0.075,14.862419,22.545532
0,mse,10,0.1,16.623461,22.114807
0,mse,10,0.15,20.533909,20.304054
0,mae,11,0.05,12.587639,19.332085
0,mae,11,0.075,14.0014,19.520039
0,mae,11,0.1,15.318847,19.194832
0,mae,11,0.15,17.353687,18.524935
