batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.568041,22.170902
0,mae,0,0.075,9.890081,22.409157
0,mae,0,0.1,10.8027,22.439754
0,mae,0,0.15,13.569276,22.111336
0,mse,0,0.05,6.155475,28.993811
0,mse,0,0.075,7.650794,29.022713
0,mse,0,0.1,8.706216,28.842728
0,mse,0,0.15,12.192934,27.799347
0,mae,1,0.05,8.417273,22.381584
0,mae,1,0.075,10.086768,22.24659
0,mae,1,0.1,11.121981,21.990597
0,mae,1,0.15,12.673096,22.215828
0,mse,1,0.05,5.167731,29.714123
0,mse,1,0.075,7.775885,29.044685
0,mse,1,0.1,8.839886,28.365551
0,mse,1,0.15,10.963852,28.276886
0,mae,2,0.05,8.934874,22.852608
0,mae,2,0.075,10.289865,22.448269
0,mae,2,0.1,11.74663,22.046131
0,mae,2,0.15,13.60467,22.433941
0,mse,2,0.05,6.35876,30.26631
0,mse,2,0.075,8.112747,29.243488
0,mse,2,0.1,9.61607,28.036655
0,mse,2,0.15,12.70308,28.621567
0,mae,3,0.05,9.750009,22.78582
0,mae,3,0.075,10.581579,22.982277
0,mae,3,0.1,11.590578,22.715395
0,mae,3,0.15,12.667278,22.656479
0,mse,3,0.05,7.116748,29.829975
0,mse,3,0.075,9.036536,29.638481
0,mse,3,0.1,10.33112,28.949272
0,mse,3,0.15,11.370708,28.689444
0,mae,4,0.05,9.690592,22.758446
0,mae,4,0.075,11.176688,22.488224
0,mae,4,0.1,12.442527,22.739403
0,mae,4,0.15,13.114939,22.108301
0,mse,4,0.05,7.109382,29.946686
0,mse,4,0.075,9.363358,28.768269
0,mse,4,0.1,11.201149,28.721897
0,mse,4,0.15,12.755558,27.293098
0,mae,5,0.05,9.628824,22.926607
0,mae,5,0.075,11.013489,22.854012
0,mae,5,0.1,12.762659,22.881256
0,mae,5,0.15,14.114463,22.814476
0,mse,5,0.05,6.776784,29.902958
0,mse,5,0.075,8.769458,29.626137
0,mse,5,0.1,11.551767,29.544966
0,mse,5,0.15,14.325047,28.899487
0,mae,6,0.05,9.928514,22.638721
0,mae,6,0.075,10.621119,23.141773
0,mae,6,0.1,11.588919,22.946913
0,mae,6,0.15,13.399773,22.935053
0,mse,6,0.05,7.106652,29.583351
0,mse,6,0.075,7.933634,30.354418
0,mse,6,0.1,9.73095,29.866505
0,mse,6,0.15,13.101539,29.677719
0,mae,7,0.05,8.736897,22.466934
0,mae,7,0.075,9.612831,22.718018
0,mae,7,0.1,10.976879,22.471979
0,mae,7,0.15,12.997932,22.167641
0,mse,7,0.05,5.9865,29.562298
0,mse,7,0.075,7.090456,29.311811
0,mse,7,0.1,8.946781,28.785078
0,mse,7,0.15,11.597548,27.969826
0,mae,8,0.05,8.899744,23.256664
0,mae,8,0.075,9.229698,23.361439
0,mae,8,0.1,10.230618,22.881062
0,mae,8,0.15,12.517024,21.756783
0,mse,8,0.05,6.953643,31.314272
0,mse,8,0.075,7.618903,31.210669
0,mse,8,0.1,9.058118,30.089279
0,mse,8,0.15,11.530975,27.072144
0,mae,9,0.05,7.972728,23.14576
0,mae,9,0.075,9.588844,23.384445
0,mae,9,0.1,10.845742,23.638533
0,mae,9,0.15,11.677756,23.23962
0,mse,9,0.05,5.374483,31.247324
0,mse,9,0.075,7.356422,31.481678
0,mse,9,0.1,9.106799,31.783607
0,mse,9,0.15,10.100511,30.764645
0,mae,10,0.05,7.61409,23.935013
0,mae,10,0.075,9.555492,23.236458
0,mae,10,0.1,10.127609,23.840452
0,mae,10,0.15,12.42941,23.250374
0,mse,10,0.05,5.375817,32.909691
0,mse,10,0.075,7.614963,31.009598
0,mse,10,0.1,8.404958,31.917593
0,mse,10,0.15,10.701084,30.675108
0,mae,11,0.05,7.883596,24.124472
0,mae,11,0.075,9.074946,23.627083
0,mae,11,0.1,9.889271,23.436543
0,mae,11,0.15,11.293554,23.721926
0,mse,11,0.05,5.311191,33.409775
0,mse,11,0.075,6.662395,31.897923
0,mse,11,0.1,7.730383,31.486809
0,mse,11,0.15,9.370412,32.149086
0,mae,12,0.05,7.09766,23.743423
0,mae,12,0.075,8.954294,23.714661
0,mae,12,0.1,9.856508,23.803139
0,mae,12,0.15,11.590433,23.743225
0,mse,12,0.05,4.13625,32.399017
0,mse,12,0.075,6.402992,32.212181
0,mse,12,0.1,7.642131,32.238258
0,mse,12,0.15,9.751936,31.825159
0,mae,13,0.05,7.93653,23.560707
0,mae,13,0.075,8.513819,23.802464
0,mae,13,0.1,9.611533,23.976284
