batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.304558,21.093016
0,mae,0,0.075,9.079673,21.381269
0,mae,0,0.1,9.935221,20.752169
0,mae,0,0.15,10.206951,20.964775
0,mse,0,0.05,6.839795,25.627937
0,mse,0,0.075,7.17889,26.297598
0,mse,0,0.1,8.310225,25.374374
0,mse,0,0.15,7.507698,25.76062
0,mae,1,0.05,7.135906,20.836021
0,mae,1,0.075,8.435208,20.653618
0,mae,1,0.1,9.181205,20.802267
0,mae,1,0.15,11.264523,21.162678
0,mse,1,0.05,4.682336,25.471336
0,mse,1,0.075,5.928467,25.08601
0,mse,1,0.1,6.838154,25.403816
0,mse,1,0.15,9.753228,26.127188
0,mae,2,0.05,7.772176,20.69335
0,mae,2,0.075,9.16193,20.933899
0,mae,2,0.1,9.540567,21.092438
0,mae,2,0.15,10.890676,21.850925
0,mse,2,0.05,4.517938,25.328001
0,mse,2,0.075,6.233666,25.812929
0,mse,2,0.1,6.782423,25.94791
0,mse,2,0.15,8.66847,27.975952
0,mae,3,0.05,6.30901,20.699287
0,mae,3,0.075,6.780784,20.975267
0,mae,3,0.1,8.795154,20.632034
0,mae,3,0.15,10.776248,20.674505
0,mse,3,0.05,3.843247,24.918697
0,mse,3,0.075,3.944716,25.604929
0,mse,3,0.1,6.263924,24.889847
0,mse,3,0.15,8.769572,25.062344
0,mae,4,0.05,7.570377,20.584026
0,mae,4,0.075,7.988572,20.935938
0,mae,4,0.1,8.843601,20.741129
0,mae,4,0.15,10.659322,21.697556
0,mse,4,0.05,4.570245,24.669785
0,mse,4,0.075,5.007409,25.119223
0,mse,4,0.1,5.986014,24.898312
0,mse,4,0.15,8.850113,26.721024
0,mae,5,0.05,6.995408,20.448315
0,mae,5,0.075,9.334806,20.900749
0,mae,5,0.1,10.497759,20.815773
0,mae,5,0.15,10.878704,21.182281
0,mse,5,0.05,4.904627,24.837996
0,mse,5,0.075,7.455214,25.529486
0,mse,5,0.1,8.456543,25.126848
0,mse,5,0.15,8.856879,26.060316
0,mae,6,0.05,7.22939,20.998661
0,mae,6,0.075,9.787307,21.117878
0,mae,6,0.1,10.217685,21.416307
0,mae,6,0.15,11.494085,21.590296
0,mse,6,0.05,5.271477,26.473982
0,mse,6,0.075,8.099503,26.455364
0,mse,6,0.1,8.144561,27.250122
0,mse,6,0.15,9.494688,26.76358
0,mae,7,0.05,5.825064,21.836246
0,mae,7,0.075,7.318327,21.855732
0,mae,7,0.1,7.698896,22.498173
0,mae,7,0.15,9.744946,23.028549
0,mse,7,0.05,3.165353,27.252018
0,mse,7,0.075,4.295585,27.537094
0,mse,7,0.1,4.440022,28.98307
0,mse,7,0.15,6.753367,29.465195
0,mae,8,0.05,6.424241,21.201405
0,mae,8,0.075,7.666863,22.033981
0,mae,8,0.1,9.170301,21.617786
0,mae,8,0.15,10.55768,22.236059
0,mse,8,0.05,3.724719,26.190271
0,mse,8,0.075,4.976265,27.899246
0,mse,8,0.1,7.008405,27.285984
0,mse,8,0.15,8.650583,28.332464
0,mae,9,0.05,8.41534,20.807858
0,mae,9,0.075,8.996456,21.144901
0,mae,9,0.1,9.02702,21.79229
0,mae,9,0.15,10.171654,21.161581
0,mse,9,0.05,5.764452,25.746344
0,mse,9,0.075,6.600833,26.319237
0,mse,9,0.1,6.703114,27.635784
0,mse,9,0.15,8.046395,26.635109
0,mae,10,0.05,5.185292,21.220184
0,mae,10,0.075,6.353746,20.763067
0,mae,10,0.1,6.748651,21.118149
0,mae,10,0.15,8.163313,21.618519
0,mse,10,0.05,2.363972,25.754984
0,mse,10,0.075,3.630346,24.962273
0,mse,10,0.1,3.628027,25.65922
0,mse,10,0.15,4.895211,26.543083
0,mae,11,0.05,6.158088,21.067188
0,mae,11,0.075,7.445074,20.858313
0,mae,11,0.1,8.383732,20.676613
0,mae,11,0.15,10.190147,20.745302
0,mse,11,0.05,3.225781,25.489923
0,mse,11,0.075,4.22425,25.112679
0,mse,11,0.1,5.35605,24.603302
0,mse,11,0.15,7.101121,24.761904
0,mae,12,0.05,6.169497,19.808916
0,mae,12,0.075,6.362185,20.045567
0,mae,12,0.1,7.16931,20.124336
0,mae,12,0.15,8.614702,21.347097
0,mse,12,0.05,3.452729,23.413132
0,mse,12,0.075,3.606294,23.841984
0,mse,12,0.1,4.347005,23.916725
0,mse,12,0.15,5.738612,26.636131
0,mae,13,0.05,6.869781,20.190147
0,mae,13,0.075,7.76032,20.650999
0,mae,13,0.1,8.529307,20.918224
0,mae,13,0.15,8.82431,21.576326
0,mse,13,0.05,3.964328,23.649214
0,mse,13,0.075,5.072729,24.751665
0,mse,13,0.1,5.581005,24.962971
0,mse,13,0.15,6.427324,26.599827
0,mae,14,0.05,5.595282,20.278099
0,mae,14,0.075,6.690341,21.242172
0,mae,14,0.1,7.330258,21.485855
0,mae,14,0.15,7.891308,21.432884
0,mse,14,0.05,3.227338,24.194515
0,mse,14,0.075,3.780924,26.319538
0,mse,14,0.1,4.352151,26.807236
0,mse,14,0.15,5.057332,26.6726
0,mae,15,0.05,4.458428,21.024097
0,mae,15,0.075,5.425743,21.073193
0,mae,15,0.1,6.370143,21.109287
0,mae,15,0.15,7.880101,20.854549
0,mse,15,0.05,1.895872,25.804482
0,mse,15,0.075,2.437997,26.227627
0,mse,15,0.1,3.126304,26.208206
0,mse,15,0.15,5.0406,25.83367
0,mae,16,0.05,5.108288,20.895697
0,mae,16,0.075,6.178419,21.581244
0,mae,16,0.1,7.405012,21.736526
0,mae,16,0.15,8.994142,21.855404
0,mse,16,0.05,2.665271,25.536797
0,mse,16,0.075,3.001713,26.266306
0,mse,16,0.1,4.761977,26.590832
0,mse,16,0.15,6.555066,26.844608
0,mae,17,0.05,5.373689,21.260033
0,mae,17,0.075,6.130409,20.99622
0,mae,17,0.1,7.128619,21.294241
0,mae,17,0.15,8.446093,21.854412
0,mse,17,0.05,2.529119,25.923717
0,mse,17,0.075,3.179999,25.670456
0,mse,17,0.1,4.233459,26.289331
0,mse,17,0.15,5.761552,27.35965
0,mae,18,0.05,4.163058,20.088341
0,mae,18,0.075,5.444214,20.17078
0,mae,18,0.1,6.610516,21.166946
0,mae,18,0.15,7.999732,21.820522
0,mse,18,0.05,1.724282,24.135672
0,mse,18,0.075,2.717752,24.447632
0,mse,18,0.1,3.859371,26.32193
0,mse,18,0.15,5.435327,28.193081
0,mae,19,0.05,4.845235,20.764204
0,mae,19,0.075,7.071074,21.110687
0,mae,19,0.1,7.654689,20.902454
0,mae,19,0.15,8.70722,20.777048
0,mse,19,0.05,2.047459,24.744307
0,mse,19,0.075,4.127377,25.516945
0,mse,19,0.1,4.849626,24.657377
0,mse,19,0.15,6.805513,24.038624
0,mae,20,0.05,5.770927,19.781773
0,mae,20,0.075,6.426911,19.529415
0,mae,20,0.1,6.934492,19.786964
0,mae,20,0.15,8.874323,20.107658
0,mse,20,0.05,2.738263,22.980158
0,mse,20,0.075,3.087807,22.475513
0,mse,20,0.1,3.608658,22.777199
0,mse,20,0.15,6.011735,23.849541
0,mae,21,0.05,5.39628,19.497667
0,mae,21,0.075,6.844082,20.637756
0,mae,21,0.1,7.995237,20.530085
0,mae,21,0.15,8.787889,20.162838
0,mse,21,0.05,2.500547,22.385593
0,mse,21,0.075,3.843743,24.351639
0,mse,21,0.1,5.031327,23.776329
0,mse,21,0.15,6.240368,23.02442
0,mae,22,0.05,6.24014,20.504728
0,mae,22,0.075,6.954797,20.135799
0,mae,22,0.1,8.092941,19.784777
0,mae,22,0.15,8.404585,19.650656
0,mse,22,0.05,3.703086,24.422604
0,mse,22,0.075,4.277748,23.378014
0,mse,22,0.1,5.581208,22.99859
0,mse,22,0.15,6.595048,22.975309
0,mae,23,0.05,6.416574,19.883774
0,mae,23,0.075,7.938402,19.253185
0,mae,23,0.1,8.182854,18.820942
0,mae,23,0.15,9.063674,18.325344
0,mse,23,0.05,3.418502,23.312132
0,mse,23,0.075,5.558217,21.536461
0,mse,23,0.1,5.708584,20.807041
0,mse,23,0.15,6.341823,20.13229
1,mae,0,0.05,9.844135,21.624729
1,mae,0,0.075,12.35986,20.844091
1,mae,0,0.1,13.127285,20.424253
1,mae,0,0.15,16.641911,20.164537
1,mse,0,0.05,8.321037,28.912767
1,mse,0,0.075,11.46286,27.505791
1,mse,0,0.1,13.050676,26.446445
1,mse,0,0.15,18.808281,25.44207
1,mae,1,0.05,9.033339,20.865597
1,mae,1,0.075,11.313457,20.399633
1,mae,1,0.1,12.506504,20.197887
1,mae,1,0.15,14.987816,19.127377
1,mse,1,0.05,6.93922,28.09483
1,mse,1,0.075,10.177609,26.696188
1,mse,1,0.1,11.700713,25.973106
1,mse,1,0.15,16.661686,23.45426
1,mae,2,0.05,10.520927,20.086735
1,mae,2,0.075,13.14905,19.653303
1,mae,2,0.1,14.735785,19.211384
1,mae,2,0.15,17.166677,18.847347
1,mse,2,0.05,9.16261,25.800846
1,mse,2,0.075,12.931152,24.89897
1,mse,2,0.1,15.061852,24.227089
1,mse,2,0.15,19.661303,23.523699
1,mae,3,0.05,10.99951,20.633675
1,mae,3,0.075,13.326112,20.137386
1,mae,3,0.1,15.880592,20.199093
1,mae,3,0.15,17.741508,19.691584
1,mse,3,0.05,9.86417,26.283195
1,mse,3,0.075,13.263792,24.627384
1,mse,3,0.1,18.652428,25.429422
1,mse,3,0.15,22.782749,24.03344
1,mae,4,0.05,10.332874,21.640633
1,mae,4,0.075,12.422295,20.957584
1,mae,4,0.1,14.753057,20.643951
1,mae,4,0.15,16.839172,20.017673
1,mse,4,0.05,8.284286,29.40646
1,mse,4,0.075,11.850775,27.814438
1,mse,4,0.1,15.329826,26.770805
1,mse,4,0.15,18.92907,25.127403
1,mae,5,0.05,10.826752,20.882999
1,mae,5,0.075,13.719383,20.953484
1,mae,5,0.1,15.977833,20.579397
1,mae,5,0.15,20.464245,19.436314
1,mse,5,0.05,8.202024,27.326532
1,mse,5,0.075,12.353855,26.911108
1,mse,5,0.1,15.770248,26.321407
1,mse,5,0.15,25.276127,23.249212
1,mae,6,0.05,11.887949,20.28117
1,mae,6,0.075,15.206438,19.859524
1,mae,6,0.1,15.621922,19.75948
1,mae,6,0.15,20.027044,18.624338
1,mse,6,0.05,10.797959,26.327538
1,mse,6,0.075,16.931181,25.37571
1,mse,6,0.1,17.176735,25.059072
1,mse,6,0.15,25.846626,22.310692
1,mae,7,0.05,12.145075,20.397518
1,mae,7,0.075,17.068974,19.935833
1,mae,7,0.1,17.957882,19.59314
1,mae,7,0.15,20.872004,18.802158
1,mse,7,0.05,10.471381,26.004665
1,mse,7,0.075,18.869823,25.034149
1,mse,7,0.1,20.488125,24.210678
1,mse,7,0.15,27.533594,22.486366
1,mae,8,0.05,11.38016,20.336746
1,mae,8,0.075,14.121068,19.298706
1,mae,8,0.1,16.613338,18.762489
1,mae,8,0.15,20.276308,17.705894
1,mse,8,0.05,9.857473,25.630554
1,mse,8,0.075,13.820204,22.821312
1,mse,8,0.1,18.105877,22.037199
1,mse,8,0.15,25.33194,20.388378
1,mae,9,0.05,11.954212,19.700476
1,mae,9,0.075,14.719425,18.663132
1,mae,9,0.1,16.1325,17.845997
1,mae,9,0.15,19.816118,17.160275
1,mse,9,0.05,9.839113,23.550817
1,mse,9,0.075,14.757175,21.427135
1,mse,9,0.1,16.711201,19.533905
1,mse,9,0.15,25.828049,18.218082
1,mae,10,0.05,12.028666,19.496748
1,mae,10,0.075,14.322968,18.520439
1,mae,10,0.1,16.346214,18.291763
1,mae,10,0.15,18.480453,18.557947
1,mse,10,0.05,10.841982,24.031128
1,mse,10,0.075,14.46536,21.515427
1,mse,10,0.1,18.375635,20.736151
1,mse,10,0.15,22.360422,21.828983
1,mae,11,0.05,11.422059,20.393963
1,mae,11,0.075,14.711321,19.677052
1,mae,11,0.1,16.042515,18.827017
1,mae,11,0.15,20.019672,17.879272
1,mse,11,0.05,9.982168,25.31864
1,mse,11,0.075,14.513372,24.044533
1,mse,11,0.1,17.07272,22.388218
1,mse,11,0.15,24.404011,20.920254
1,mae,12,0.05,10.131038,21.002003
1,mae,12,0.075,12.409878,18.991802
1,mae,12,0.1,16.416237,17.806469
1,mae,12,0.15,19.410788,16.461071
1,mse,12,0.05,9.509675,27.50906
1,mse,12,0.075,12.298689,22.47699
1,mse,12,0.1,19.78014,20.665468
1,mse,12,0.15,25.771523,18.068817
1,mae,13,0.05,9.015383,20.434494
1,mae,13,0.075,12.93802,19.268158
1,mae,13,0.1,14.106919,18.649139
1,mae,13,0.15,17.760036,17.622261
1,mse,13,0.05,5.731042,26.670906
1,mse,13,0.075,11.621597,23.39613
1,mse,13,0.1,13.559914,22.339888
1,mse,13,0.15,20.45293,19.867405
1,mae,14,0.05,8.30928,20.535294
1,mae,14,0.075,12.358511,19.065979
1,mae,14,0.1,14.853912,18.364815
1,mae,14,0.15,17.640541,16.975452
1,mse,14,0.05,5.088852,26.377411
1,mse,14,0.075,10.767813,22.92062
1,mse,14,0.1,14.863359,21.539326
1,mse,14,0.15,19.662056,18.66004
1,mae,15,0.05,9.463762,20.714275
1,mae,15,0.075,12.903394,19.431826
1,mae,15,0.1,14.878589,18.179785
1,mae,15,0.15,17.520842,15.839909
1,mse,15,0.05,7.444282,26.286015
1,mse,15,0.075,11.827891,22.765272
1,mse,15,0.1,15.018032,20.304464
1,mse,15,0.15,20.577047,16.308971
1,mae,16,0.05,10.641324,18.944637
1,mae,16,0.075,15.926619,17.259502
1,mae,16,0.1,17.983582,16.712786
1,mae,16,0.15,21.086178,16.230305
1,mse,16,0.05,8.017386,23.100803
1,mse,16,0.075,15.667312,19.048248
1,mse,16,0.1,19.572065,18.071304
1,mse,16,0.15,26.204819,17.451738
1,mae,17,0.05,13.748856,18.370884
1,mae,17,0.075,16.690842,17.296432
1,mae,17,0.1,18.135033,16.944977
1,mae,17,0.15,21.216438,16.059114
1,mse,17,0.05,13.74367,22.341949
1,mse,17,0.075,18.689245,20.400122
1,mse,17,0.1,20.675409,19.270119
1,mse,17,0.15,26.030815,17.829372
1,mae,18,0.05,11.731371,17.577808
1,mae,18,0.075,15.988016,17.200613
1,mae,18,0.1,18.852551,16.557026
1,mae,18,0.15,21.850277,15.441093
1,mse,18,0.05,9.282375,20.419735
1,mse,18,0.075,16.157978,19.922926
1,mse,18,0.1,21.386726,18.461187
1,mse,18,0.15,27.864578,16.312664
1,mae,19,0.05,11.310949,20.104362
1,mae,19,0.075,14.327847,18.257929
1,mae,19,0.1,16.024723,17.664505
1,mae,19,0.15,19.388577,16.296009
1,mse,19,0.05,9.886869,26.210899
1,mse,19,0.075,14.19206,21.329597
1,mse,19,0.1,17.36096,20.4158
1,mse,19,0.15,24.162067,17.83301
1,mae,20,0.05,11.0966,19.122818
1,mae,20,0.075,15.429783,17.429878
1,mae,20,0.1,18.527063,17.050999
1,mae,20,0.15,21.254047,16.402519
1,mse,20,0.05,10.161957,23.552891
1,mse,20,0.075,16.921583,20.018551
1,mse,20,0.1,22.2006,19.182365
1,mse,20,0.15,27.841215,17.884701
1,mae,21,0.05,11.450968,19.602859
1,mae,21,0.075,14.397139,18.715214
1,mae,21,0.1,16.089916,18.110228
1,mae,21,0.15,19.469494,17.053123
1,mse,21,0.05,10.102381,24.914848
1,mse,21,0.075,14.588203,23.458296
1,mse,21,0.1,17.223467,22.239689
1,mse,21,0.15,23.523796,20.328547
1,mae,22,0.05,11.41226,20.142714
1,mae,22,0.075,14.086231,18.845346
1,mae,22,0.1,15.045259,18.480206
1,mae,22,0.15,18.48605,17.561075
1,mse,22,0.05,9.877493,25.735435
1,mse,22,0.075,13.651389,23.264996
1,mse,22,0.1,15.12975,22.478159
1,mse,22,0.15,21.832085,20.838234
1,mae,23,0.05,13.11114,20.93206
1,mae,23,0.075,14.995796,20.022377
1,mae,23,0.1,17.221579,19.279549
1,mae,23,0.15,21.625216,18.68837
1,mse,23,0.05,12.828902,26.643158
1,mse,23,0.075,16.153597,24.46007
1,mse,23,0.1,19.656071,22.965149
1,mse,23,0.15,28.76368,21.543798
2,mae,0,0.05,7.507618,18.299625
2,mae,0,0.075,9.034124,17.724497
2,mae,0,0.1,10.220455,17.457577
2,mae,0,0.15,11.722982,16.907276
2,mse,0,0.05,5.533599,21.299303
2,mse,0,0.075,7.09981,20.468256
2,mse,0,0.1,8.600351,19.99292
2,mse,0,0.15,10.730099,18.948568
2,mae,1,0.05,7.834952,18.536324
2,mae,1,0.075,10.410652,17.902653
2,mae,1,0.1,11.838019,17.559378
2,mae,1,0.15,15.122818,16.258242
2,mse,1,0.05,5.636971,21.554779
2,mse,1,0.075,8.908558,20.316444
2,mse,1,0.1,10.746769,19.586952
2,mse,1,0.15,15.68516,17.315189
2,mae,2,0.05,8.371758,18.069471
2,mae,2,0.075,9.945536,17.869429
2,mae,2,0.1,11.063583,17.608637
2,mae,2,0.15,12.479061,16.536255
2,mse,2,0.05,6.465804,21.470881
2,mse,2,0.075,8.348167,20.98526
2,mse,2,0.1,9.834812,20.755482
2,mse,2,0.15,12.548185,18.512453
2,mae,3,0.05,7.903903,17.835714
2,mae,3,0.075,10.256269,17.020588
2,mae,3,0.1,11.029688,16.623173
2,mae,3,0.15,13.533657,16.368979
2,mse,3,0.05,5.888841,20.539505
