batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,17.768406,16.091982
0,mae,0,0.075,18.419563,14.893763
0,mae,0,0.1,18.256329,13.779857
0,mae,0,0.15,18.945414,11.551418
0,mse,0,0.05,22.58493,16.475233
0,mse,0,0.075,23.338669,14.123318
0,mse,0,0.1,23.106243,12.22106
0,mse,0,0.15,24.423468,8.8832
0,mae,1,0.05,17.148777,14.946531
0,mae,1,0.075,19.236877,14.088146
0,mae,1,0.1,19.390463,13.231073
0,mae,1,0.15,19.003351,11.690383
0,mse,1,0.05,20.428844,14.185614
0,mse,1,0.075,23.938759,12.82316
0,mse,1,0.1,24.121552,11.798107
0,mse,1,0.15,23.108891,9.181712
0,mae,2,0.05,17.078693,16.196033
0,mae,2,0.075,18.582161,13.416173
0,mae,2,0.1,18.740755,12.249423
0,mae,2,0.15,17.344824,11.581259
0,mse,2,0.05,21.097477,16.219528
0,mse,2,0.075,22.913002,11.796629
0,mse,2,0.1,22.538425,10.136515
0,mse,2,0.15,20.140482,9.303539
0,mae,3,0.05,17.265558,15.622898
0,mae,3,0.075,17.629631,13.993816
0,mae,3,0.1,17.828466,13.267653
0,mae,3,0.15,17.545244,12.413971
0,mse,3,0.05,21.386482,14.986687
0,mse,3,0.075,21.545961,12.306036
0,mse,3,0.1,20.506876,11.480541
0,mse,3,0.15,19.251631,10.258837
0,mae,4,0.05,17.174707,15.742113
0,mae,4,0.075,18.023872,14.393938
0,mae,4,0.1,17.767227,14.196193
0,mae,4,0.15,17.256981,13.301056
0,mse,4,0.05,20.622931,15.473575
0,mse,4,0.075,21.289246,12.947649
0,mse,4,0.1,20.85157,12.154463
0,mse,4,0.15,19.596596,11.307354
0,mae,5,0.05,18.327015,16.596121
0,mae,5,0.075,18.33606,14.860351
0,mae,5,0.1,18.780872,14.014227
0,mae,5,0.15,17.586296,12.362486
0,mse,5,0.05,21.917681,16.811184
0,mse,5,0.075,21.929596,13.702896
0,mse,5,0.1,22.71777,12.26183
0,mse,5,0.15,20.336145,9.466338
0,mae,6,0.05,17.715742,16.613174
0,mae,6,0.075,18.494144,14.902599
0,mae,6,0.1,19.461765,14.317229
0,mae,6,0.15,17.870569,12.923932
0,mse,6,0.05,20.645237,16.768059
0,mse,6,0.075,22.610691,13.886077
0,mse,6,0.1,24.348185,12.977043
0,mse,6,0.15,20.866146,10.470505
0,mae,7,0.05,18.13788,16.504164
0,mae,7,0.075,18.142344,15.004615
0,mae,7,0.1,18.734478,14.105251
0,mae,7,0.15,17.949112,12.343447
0,mse,7,0.05,22.218792,16.421785
0,mse,7,0.075,21.809845,13.839146
0,mse,7,0.1,22.731346,12.02503
0,mse,7,0.15,21.762255,9.390002
0,mae,8,0.05,18.035969,16.514309
0,mae,8,0.075,18.971317,15.80158
0,mae,8,0.1,18.02615,15.297523
0,mae,8,0.15,17.682964,13.695494
0,mse,8,0.05,21.879124,16.38541
0,mse,8,0.075,23.649799,15.365458
0,mse,8,0.1,21.887434,14.746523
0,mse,8,0.15,20.57328,11.853874
0,mae,9,0.05,18.170591,16.25448
0,mae,9,0.075,17.945034,15.258747
0,mae,9,0.1,18.602459,15.469268
0,mae,9,0.15,17.985435,13.699457
0,mse,9,0.05,22.198202,16.310093
0,mse,9,0.075,22.480434,14.236259
0,mse,9,0.1,23.027842,14.748612
0,mse,9,0.15,21.204805,12.124466
0,mae,10,0.05,17.929602,16.117037
0,mae,10,0.075,18.761055,15.329312
0,mae,10,0.1,18.565498,14.417383
0,mae,10,0.15,18.223902,13.119278
0,mse,10,0.05,21.270073,16.832092
0,mse,10,0.075,22.656664,15.181435
0,mse,10,0.1,22.16795,13.616027
0,mse,10,0.15,21.422718,11.60198
0,mae,11,0.05,18.07073,15.831088
0,mae,11,0.075,18.316151,15.384489
0,mae,11,0.1,18.621389,14.645773
0,mae,11,0.15,16.922815,13.744102
0,mse,11,0.05,21.022633,16.509037
0,mse,11,0.075,22.532196,15.466341
0,mse,11,0.1,22.362114,14.066387
0,mse,11,0.15,19.273027,13.041355
0,mae,12,0.05,17.696222,15.95957
0,mae,12,0.075,18.2687,15.79008
0,mae,12,0.1,18.14962,15.18575
0,mae,12,0.15,16.339447,13.99722
0,mse,12,0.05,20.462873,16.633677
0,mse,12,0.075,21.762577,16.139509
0,mse,12,0.1,21.851151,15.330687
0,mse,12,0.15,18.077566,13.159478
0,mae,13,0.05,18.574844,15.336095
0,mae,13,0.075,18.28756,15.965765
0,mae,13,0.1,18.056953,15.581686
0,mae,13,0.15,17.089508,13.888884
0,mse,13,0.05,22.264637,15.655798
0,mse,13,0.075,21.396297,16.617117
0,mse,13,0.1,20.971107,15.95013
0,mse,13,0.15,19.464516,12.95099
0,mae,14,0.05,17.164766,16.024912
0,mae,14,0.075,19.597666,16.265001
0,mae,14,0.1,18.601864,15.853971
0,mae,14,0.15,16.500784,13.845247
0,mse,14,0.05,19.868759,16.337729
0,mse,14,0.075,24.962639,16.803543
0,mse,14,0.1,22.435495,16.17363
0,mse,14,0.15,18.40299,12.817265
0,mae,15,0.05,18.206413,17.217415
0,mae,15,0.075,18.946007,16.550282
0,mae,15,0.1,17.976408,15.774397
0,mae,15,0.15,17.090145,13.713039
0,mse,15,0.05,21.801701,18.225679
0,mse,15,0.075,22.972315,16.739126
0,mse,15,0.1,20.7523,15.087391
0,mse,15,0.15,19.599964,12.183605
0,mae,16,0.05,17.815865,16.481705
0,mae,16,0.075,18.738941,15.527418
0,mae,16,0.1,18.291676,14.792892
0,mae,16,0.15,17.411417,14.037459
0,mse,16,0.05,20.624285,17.097862
0,mse,16,0.075,22.384754,14.880837
0,mse,16,0.1,21.372597,13.408884
0,mse,16,0.15,19.277828,12.176296
0,mae,17,0.05,18.289835,16.573032
0,mae,17,0.075,19.299011,14.879397
0,mae,17,0.1,17.76532,14.749778
0,mae,17,0.15,17.537352,12.034248
0,mse,17,0.05,21.063076,16.846134
0,mse,17,0.075,22.6408,14.143396
0,mse,17,0.1,19.830599,13.497931
0,mse,17,0.15,18.571098,9.545094
0,mae,18,0.05,17.748333,16.925468
0,mae,18,0.075,17.919781,15.630507
0,mae,18,0.1,16.895184,15.191241
0,mae,18,0.15,17.100281,13.48158
0,mse,18,0.05,19.853588,17.357149
0,mse,18,0.075,20.068913,15.247152
0,mse,18,0.1,18.403915,14.18393
0,mse,18,0.15,19.406158,11.125328
0,mae,19,0.05,17.691551,17.234772
0,mae,19,0.075,18.604904,15.7846
0,mae,19,0.1,18.280994,15.18491
0,mae,19,0.15,18.809322,13.363119
0,mse,19,0.05,20.447975,17.96953
0,mse,19,0.075,22.440964,15.390034
0,mse,19,0.1,21.598621,14.340931
0,mse,19,0.15,23.729015,11.79501
0,mae,20,0.05,17.74612,17.320427
0,mae,20,0.075,17.533903,14.616687
0,mae,20,0.1,17.782192,14.545228
0,mae,20,0.15,18.220493,13.264132
0,mse,20,0.05,20.029259,18.141907
0,mse,20,0.075,19.86459,13.944261
0,mse,20,0.1,20.82024,13.521538
0,mse,20,0.15,21.991348,11.286643
0,mae,21,0.05,16.792576,17.308582
0,mae,21,0.075,16.773964,16.015076
0,mae,21,0.1,16.942307,14.845886
0,mae,21,0.15,15.974233,13.747509
0,mse,21,0.05,19.335915,18.466148
0,mse,21,0.075,19.306572,16.830505
0,mse,21,0.1,19.768906,14.224983
0,mse,21,0.15,18.308941,12.550747
0,mae,22,0.05,17.256102,16.531776
0,mae,22,0.075,18.105923,16.070606
0,mae,22,0.1,17.748896,14.682152
0,mae,22,0.15,18.455616,12.79509
0,mse,22,0.05,19.760525,16.956884
0,mse,22,0.075,20.672813,15.662512
0,mse,22,0.1,20.597845,13.309059
0,mse,22,0.15,21.471704,10.322658
0,mae,23,0.05,17.896763,16.483215
0,mae,23,0.075,18.457848,16.048271
0,mae,23,0.1,18.547358,14.386909
0,mae,23,0.15,18.17918,11.948179
0,mse,23,0.05,20.968737,16.501984
0,mse,23,0.075,21.840416,16.100292
0,mse,23,0.1,21.941919,12.901851
0,mse,23,0.15,20.672001,9.306701
1,mae,0,0.05,13.139838,21.98019
1,mae,0,0.075,14.958729,20.407862
1,mae,0,0.1,15.750047,19.902391
1,mae,0,0.15,16.459814,17.757208
1,mse,0,0.05,12.803171,31.620728
1,mse,0,0.075,15.262335,28.245289
1,mse,0,0.1,16.535767,26.875481
1,mse,0,0.15,18.363325,21.246622
1,mae,1,0.05,11.748528,21.28334
1,mae,1,0.075,13.40751,20.36208
1,mae,1,0.1,14.408983,19.606611
1,mae,1,0.15,17.405333,17.552849
1,mse,1,0.05,11.275244,30.439713
1,mse,1,0.075,13.642241,27.952625
1,mse,1,0.1,15.249134,25.945133
1,mse,1,0.15,20.648695,21.020088
1,mae,2,0.05,12.253081,21.349865
1,mae,2,0.075,14.873184,20.759951
1,mae,2,0.1,15.077339,20.38192
1,mae,2,0.15,17.528759,19.400389
1,mse,2,0.05,12.245678,31.080452
1,mse,2,0.075,16.03323,29.163033
1,mse,2,0.1,16.159645,27.937595
1,mse,2,0.15,21.288435,25.420071
1,mae,3,0.05,11.380878,22.154554
1,mae,3,0.075,13.979878,20.62668
1,mae,3,0.1,15.648829,19.599361
1,mae,3,0.15,16.842562,18.488644
1,mse,3,0.05,10.656181,32.720818
1,mse,3,0.075,14.902657,29.237206
1,mse,3,0.1,17.756504,26.494736
1,mse,3,0.15,18.950848,23.953182
1,mae,4,0.05,10.518715,21.802856
1,mae,4,0.075,12.339565,20.960958
1,mae,4,0.1,13.18944,20.423576
1,mae,4,0.15,15.563166,18.256832
1,mse,4,0.05,9.461599,31.948414
1,mse,4,0.075,11.68144,29.290396
1,mse,4,0.1,12.795394,28.41827
1,mse,4,0.15,17.478149,23.564487
1,mae,5,0.05,10.620539,21.947865
1,mae,5,0.075,13.343619,21.200054
1,mae,5,0.1,14.112886,20.798016
1,mae,5,0.15,16.218956,18.505314
1,mse,5,0.05,9.544397,32.044178
1,mse,5,0.075,13.239951,30.214769
1,mse,5,0.1,14.673753,28.937012
1,mse,5,0.15,18.412842,23.452415
1,mae,6,0.05,11.922589,21.773756
1,mae,6,0.075,13.505014,20.002342
1,mae,6,0.1,14.611014,19.74048
1,mae,6,0.15,16.691818,18.643824
1,mse,6,0.05,11.165878,31.595774
1,mse,6,0.075,13.883224,27.030907
1,mse,6,0.1,15.269797,26.889395
1,mse,6,0.15,19.7075,24.546375
1,mae,7,0.05,12.912109,21.236378
1,mae,7,0.075,14.335972,20.795992
1,mae,7,0.1,15.904562,20.942093
1,mae,7,0.15,18.337887,19.068783
1,mse,7,0.05,12.723822,30.199366
1,mse,7,0.075,15.014722,29.255108
1,mse,7,0.1,17.792458,29.789906
1,mse,7,0.15,22.516455,24.824642
1,mae,8,0.05,12.561832,21.220478
1,mae,8,0.075,14.926128,20.836559
1,mae,8,0.1,15.305389,20.638672
1,mae,8,0.15,18.003635,18.262117
1,mse,8,0.05,12.218706,29.542944
1,mse,8,0.075,15.900215,29.198845
1,mse,8,0.1,16.349195,28.467476
1,mse,8,0.15,22.543236,22.485115
1,mae,9,0.05,12.817935,21.270025
1,mae,9,0.075,13.784082,19.997162
1,mae,9,0.1,14.664351,19.55855
1,mae,9,0.15,18.087225,17.794529
1,mse,9,0.05,14.104799,29.392092
1,mse,9,0.075,15.185425,25.707684
1,mse,9,0.1,16.083416,24.827612
1,mse,9,0.15,22.533373,20.451754
1,mae,10,0.05,11.802702,21.427824
1,mae,10,0.075,14.621213,21.300091
1,mae,10,0.1,14.351063,20.579268
1,mae,10,0.15,17.252842,18.877655
1,mse,10,0.05,11.58877,29.223396
1,mse,10,0.075,15.895556,28.87355
1,mse,10,0.1,15.529841,26.443541
1,mse,10,0.15,20.076719,22.481554
1,mae,11,0.05,11.128235,21.594627
1,mae,11,0.075,13.731703,21.068743
1,mae,11,0.1,16.053513,20.471436
1,mae,11,0.15,18.595781,18.432335
1,mse,11,0.05,10.760781,29.982109
1,mse,11,0.075,14.317308,28.143372
1,mse,11,0.1,17.523447,26.787235
1,mse,11,0.15,23.574089,21.47662
1,mae,12,0.05,12.797036,21.472012
1,mae,12,0.075,15.440851,20.325275
1,mae,12,0.1,17.024719,20.221609
1,mae,12,0.15,19.316792,16.882399
1,mse,12,0.05,11.72177,29.518707
1,mse,12,0.075,16.010538,26.082186
1,mse,12,0.1,19.278769,25.951805
1,mse,12,0.15,24.858856,17.818062
1,mae,13,0.05,13.897196,21.557243
1,mae,13,0.075,15.012085,19.743126
1,mae,13,0.1,17.81329,18.867285
1,mae,13,0.15,20.5662,15.397092
1,mse,13,0.05,14.46172,29.729374
1,mse,13,0.075,14.998118,25.560549
1,mse,13,0.1,20.734968,22.83514
1,mse,13,0.15,26.467236,15.644485
1,mae,14,0.05,13.905533,20.497211
1,mae,14,0.075,16.634859,19.056259
1,mae,14,0.1,17.656868,18.626448
1,mae,14,0.15,20.984291,15.676447
1,mse,14,0.05,14.340239,27.306988
1,mse,14,0.075,19.010345,24.001087
1,mse,14,0.1,20.43718,23.515629
1,mse,14,0.15,27.930716,16.78639
1,mae,15,0.05,13.503809,20.552954
1,mae,15,0.075,16.731495,19.715778
1,mae,15,0.1,18.513939,18.654533
1,mae,15,0.15,20.351479,16.65415
1,mse,15,0.05,13.976084,27.933186
1,mse,15,0.075,19.17823,25.56966
1,mse,15,0.1,22.474346,23.597979
1,mse,15,0.15,27.577448,19.002144
1,mae,16,0.05,12.79137,21.003853
1,mae,16,0.075,16.18429,19.172451
1,mae,16,0.1,18.42366,18.710503
1,mae,16,0.15,19.967342,16.631453
1,mse,16,0.05,12.043262,28.72101
1,mse,16,0.075,17.909168,24.638876
1,mse,16,0.1,23.001957,22.928743
1,mse,16,0.15,26.468498,18.522133
1,mae,17,0.05,12.513933,20.789482
1,mae,17,0.075,16.364235,18.459881
1,mae,17,0.1,18.225155,17.32761
1,mae,17,0.15,22.251945,14.742833
1,mse,17,0.05,12.267851,28.251976
1,mse,17,0.075,18.513538,22.715677
1,mse,17,0.1,21.921108,19.72456
1,mse,17,0.15,31.250034,14.513738
1,mae,18,0.05,13.142296,19.992279
1,mae,18,0.075,16.189964,17.883553
1,mae,18,0.1,17.642994,18.015022
1,mae,18,0.15,19.786308,14.680153
1,mse,18,0.05,13.921515,25.821833
1,mse,18,0.075,18.90205,21.428453
1,mse,18,0.1,21.791897,21.465904
1,mse,18,0.15,25.578102,15.098197
1,mae,19,0.05,13.855592,19.791063
1,mae,19,0.075,14.741356,17.680958
1,mae,19,0.1,17.074806,16.279537
1,mae,19,0.15,19.528702,15.338266
1,mse,19,0.05,14.741013,25.422047
1,mse,19,0.075,16.325397,21.0574
1,mse,19,0.1,20.689682,17.778765
1,mse,19,0.15,25.758083,16.171864
1,mae,20,0.05,13.20937,20.488756
1,mae,20,0.075,15.379913,19.264851
1,mae,20,0.1,16.595638,18.081997
1,mae,20,0.15,19.717152,16.25617
1,mse,20,0.05,13.267271,27.734726
1,mse,20,0.075,16.89101,24.345984
1,mse,20,0.1,19.337376,21.713551
1,mse,20,0.15,26.656593,17.596592
1,mae,21,0.05,14.004331,20.91267
1,mae,21,0.075,16.257536,20.602741
1,mae,21,0.1,17.117901,19.37236
1,mae,21,0.15,20.145607,18.104689
1,mse,21,0.05,13.934012,28.159153
1,mse,21,0.075,17.946264,27.810978
1,mse,21,0.1,18.944864,24.994436
1,mse,21,0.15,27.176136,22.104599
1,mae,22,0.05,14.595091,21.220589
1,mae,22,0.075,16.085964,19.259426
1,mae,22,0.1,17.845261,19.390129
1,mae,22,0.15,20.336349,16.851208
1,mse,22,0.05,15.011045,29.199814
1,mse,22,0.075,17.761393,24.991447
1,mse,22,0.1,21.525814,24.901505
1,mse,22,0.15,27.290585,18.682133
1,mae,23,0.05,14.30722,21.562649
1,mae,23,0.075,16.163185,20.469275
1,mae,23,0.1,17.512863,19.005802
1,mae,23,0.15,18.658371,17.527357
1,mse,23,0.05,13.950249,30.249084
1,mse,23,0.075,17.492273,26.936207
1,mse,23,0.1,20.125441,23.3915
1,mse,23,0.15,23.927425,19.654688
2,mae,0,0.05,9.352656,18.369289
2,mae,0,0.075,10.055008,16.675276
2,mae,0,0.1,10.146993,15.922081
2,mae,0,0.15,11.382952,13.953339
2,mse,0,0.05,6.508337,22.326393
2,mse,0,0.075,7.365367,19.128071
2,mse,0,0.1,7.324021,17.544657
2,mse,0,0.15,9.438417,13.576546
2,mae,1,0.05,9.014669,18.256002
2,mae,1,0.075,10.041653,16.975483
2,mae,1,0.1,10.572901,16.549824
2,mae,1,0.15,11.77787,14.13484
2,mse,1,0.05,6.261183,22.275032
2,mse,1,0.075,7.66871,19.512295
2,mse,1,0.1,8.130116,18.986551
2,mse,1,0.15,9.69968,14.00263
2,mae,2,0.05,8.713165,18.083565
2,mae,2,0.075,9.839935,16.643341
2,mae,2,0.1,10.209258,15.627935
2,mae,2,0.15,11.131224,13.583235
2,mse,2,0.05,6.016128,22.432943
2,mse,2,0.075,7.19328,18.813705
2,mse,2,0.1,8.025632,16.821203
2,mse,2,0.15,9.593903,13.125206
2,mae,3,0.05,7.94307,17.910896
2,mae,3,0.075,9.044928,16.584595
2,mae,3,0.1,9.603781,15.866763
2,mae,3,0.15,10.355611,13.432831
2,mse,3,0.05,5.061797,22.21381
2,mse,3,0.075,6.5526,18.900972
2,mse,3,0.1,7.310997,17.293316
2,mse,3,0.15,7.915026,12.419012
2,mae,4,0.05,7.819755,18.295921
