batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.271107,18.540554
0,mae,0,0.075,12.454254,17.644873
0,mae,0,0.1,13.715422,17.639326
0,mae,0,0.15,15.295287,16.627293
0,mse,0,0.05,7.604762,21.057886
0,mse,0,0.075,11.110767,19.515364
0,mse,0,0.1,12.854572,19.722427
0,mse,0,0.15,15.813625,17.260002
0,mae,1,0.05,9.617836,18.791988
0,mae,1,0.075,11.556217,18.296482
0,mae,1,0.1,12.949213,17.826996
0,mae,1,0.15,14.928154,16.831686
0,mse,1,0.05,6.611753,21.765488
0,mse,1,0.075,9.588518,20.840651
0,mse,1,0.1,11.821474,19.750435
0,mse,1,0.15,15.055359,17.836864
0,mae,2,0.05,9.474904,18.988642
0,mae,2,0.075,11.033434,18.143188
0,mae,2,0.1,12.935342,17.430868
0,mae,2,0.15,13.234615,16.700562
0,mse,2,0.05,6.722199,22.193624
0,mse,2,0.075,8.935539,20.606449
0,mse,2,0.1,12.052624,18.936077
0,mse,2,0.15,11.717505,17.872478
0,mae,3,0.05,9.848188,18.725004
0,mae,3,0.075,11.803341,18.224873
0,mae,3,0.1,12.22406,18.115458
0,mae,3,0.15,14.002747,17.339659
0,mse,3,0.05,6.921628,22.048435
0,mse,3,0.075,9.640556,20.879311
0,mse,3,0.1,10.552443,20.46357
0,mse,3,0.15,13.223721,18.213154
0,mae,4,0.05,9.6443,18.901016
0,mae,4,0.075,11.670094,18.377913
0,mae,4,0.1,12.437513,18.226723
0,mae,4,0.15,13.012396,17.597132
0,mse,4,0.05,6.618189,22.073418
0,mse,4,0.075,9.391945,21.382942
0,mse,4,0.1,10.544987,20.585403
0,mse,4,0.15,11.316217,19.228649
0,mae,5,0.05,8.804736,19.108
0,mae,5,0.075,11.04283,18.883953
0,mae,5,0.1,12.048862,18.428539
0,mae,5,0.15,12.973137,18.129292
0,mse,5,0.05,5.544982,22.740028
0,mse,5,0.075,7.974087,22.014471
0,mse,5,0.1,10.02673,21.160322
0,mse,5,0.15,10.76144,20.381466
0,mae,6,0.05,8.271877,18.969494
0,mae,6,0.075,9.871214,18.972641
0,mae,6,0.1,11.150233,18.794468
0,mae,6,0.15,12.971551,17.794811
0,mse,6,0.05,5.223486,21.859524
0,mse,6,0.075,6.748202,21.938288
0,mse,6,0.1,8.403785,21.867596
0,mse,6,0.15,10.941925,19.584785
0,mae,7,0.05,8.206534,18.965656
0,mae,7,0.075,9.761863,17.9
0,mae,7,0.1,11.35334,18.066296
0,mae,7,0.15,13.389561,17.293194
0,mse,7,0.05,4.853231,21.665112
0,mse,7,0.075,6.153786,19.818872
0,mse,7,0.1,9.24438,20.132795
0,mse,7,0.15,12.294258,18.391453
0,mae,8,0.05,8.374066,19.289055
0,mae,8,0.075,10.170792,18.730591
0,mae,8,0.1,12.63198,18.660151
0,mae,8,0.15,13.511841,17.296494
0,mse,8,0.05,4.855788,22.523184
0,mse,8,0.075,6.951496,21.558781
0,mse,8,0.1,11.044497,21.497169
0,mse,8,0.15,12.654554,18.528217
0,mae,9,0.05,7.853492,19.175415
0,mae,9,0.075,9.703217,18.878138
0,mae,9,0.1,10.615929,18.777382
0,mae,9,0.15,12.745605,18.631557
0,mse,9,0.05,4.596535,22.284718
0,mse,9,0.075,6.965939,21.49362
0,mse,9,0.1,7.700912,21.106441
0,mse,9,0.15,11.292427,20.920006
0,mae,10,0.05,8.779127,19.66379
0,mae,10,0.075,9.892515,18.861658
0,mae,10,0.1,10.30168,18.800728
0,mae,10,0.15,11.89624,18.129219
0,mse,10,0.05,5.589335,23.257761
0,mse,10,0.075,7.190178,21.519161
0,mse,10,0.1,7.90225,21.353556
0,mse,10,0.15,10.113749,20.456972
0,mae,11,0.05,9.161442,19.190895
0,mae,11,0.075,9.658899,19.158028
0,mae,11,0.1,10.742172,18.750269
0,mae,11,0.15,12.127811,18.382526
0,mse,11,0.05,6.404912,21.927816
0,mse,11,0.075,6.883607,22.062908
0,mse,11,0.1,8.14503,21.208424
0,mse,11,0.15,10.352967,21.477486
0,mae,12,0.05,8.895579,19.586767
0,mae,12,0.075,9.581494,19.532255
0,mae,12,0.1,11.079502,19.538923
0,mae,12,0.15,12.349014,18.275753
0,mse,12,0.05,5.758027,22.708027
0,mse,12,0.075,6.421876,22.533201
0,mse,12,0.1,8.545033,22.743284
0,mse,12,0.15,10.317217,20.355328
0,mae,13,0.05,8.054924,19.741711
0,mae,13,0.075,9.316245,19.688404
0,mae,13,0.1,10.888525,19.365202
0,mae,13,0.15,11.289808,19.079506
0,mse,13,0.05,4.947964,22.818676
0,mse,13,0.075,6.679396,22.794415
0,mse,13,0.1,8.10808,22.070606
0,mse,13,0.15,8.809326,21.911528
0,mae,14,0.05,9.064414,20.103233
0,mae,14,0.075,10.859566,19.583355
0,mae,14,0.1,11.372315,19.176447
0,mae,14,0.15,11.96267,18.162989
0,mse,14,0.05,5.888536,23.697758
0,mse,14,0.075,8.514511,22.607075
0,mse,14,0.1,9.023798,22.030731
0,mse,14,0.15,10.234652,20.146561
0,mae,15,0.05,8.58334,20.432764
0,mae,15,0.075,11.147493,19.291843
0,mae,15,0.1,12.074453,18.821632
0,mae,15,0.15,14.365952,17.298557
0,mse,15,0.05,5.39352,24.408207
0,mse,15,0.075,8.976837,22.325352
0,mse,15,0.1,10.513103,21.476025
0,mse,15,0.15,14.578207,18.642748
0,mae,16,0.05,8.732058,19.660732
0,mae,16,0.075,11.230474,18.888931
0,mae,16,0.1,12.584411,18.562166
0,mae,16,0.15,13.568077,17.516167
0,mse,16,0.05,5.423587,23.000591
0,mse,16,0.075,9.174709,21.171915
0,mse,16,0.1,10.532248,20.5436
0,mse,16,0.15,12.350204,18.440544
0,mae,17,0.05,8.220455,19.676765
0,mae,17,0.075,10.105885,19.296505
0,mae,17,0.1,11.332439,18.654497
0,mae,17,0.15,13.907466,17.736141
0,mse,17,0.05,4.793343,22.891418
0,mse,17,0.075,7.584214,22.307684
0,mse,17,0.1,8.651102,21.033772
0,mse,17,0.15,13.578587,19.14757
0,mae,18,0.05,8.38754,19.252993
0,mae,18,0.075,10.318316,18.653076
0,mae,18,0.1,11.911454,18.291325
0,mae,18,0.15,14.121824,17.201679
0,mse,18,0.05,5.100089,22.307995
0,mse,18,0.075,7.646559,21.226929
0,mse,18,0.1,9.22328,20.168144
0,mse,18,0.15,12.873613,18.092091
0,mae,19,0.05,8.69319,19.98885
