batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.181822,21.858318
0,mae,0,0.075,4.136782,21.637989
0,mae,0,0.1,5.694969,21.37306
0,mae,0,0.15,6.523784,20.759588
0,mse,0,0.05,0.841243,29.017509
0,mse,0,0.075,1.365785,28.673061
0,mse,0,0.1,2.438985,27.721764
0,mse,0,0.15,3.017071,26.240654
0,mae,1,0.05,3.170763,22.255013
0,mae,1,0.075,4.110751,22.364136
0,mae,1,0.1,5.549052,22.114288
0,mae,1,0.15,6.162641,21.257282
0,mse,1,0.05,0.83035,29.557522
0,mse,1,0.075,1.416677,29.972507
0,mse,1,0.1,2.533375,29.205841
0,mse,1,0.15,3.006764,26.980927
0,mae,2,0.05,3.245832,21.204149
0,mae,2,0.075,4.356786,20.92696
0,mae,2,0.1,5.694373,20.636978
0,mae,2,0.15,6.622163,20.767933
0,mse,2,0.05,0.905845,26.897945
0,mse,2,0.075,1.507637,26.908802
0,mse,2,0.1,2.553406,26.242273
0,mse,2,0.15,2.970923,25.907341
0,mae,3,0.05,3.249591,22.316944
0,mae,3,0.075,4.185883,22.13175
0,mae,3,0.1,5.343405,21.466084
0,mae,3,0.15,6.966424,21.565655
0,mse,3,0.05,0.846577,29.639198
0,mse,3,0.075,1.354862,29.679985
0,mse,3,0.1,2.121641,27.939518
0,mse,3,0.15,3.23223,27.682341
0,mae,4,0.05,3.264486,21.528429
0,mae,4,0.075,4.117244,21.236404
0,mae,4,0.1,5.296006,21.681139
0,mae,4,0.15,6.296413,21.055346
0,mse,4,0.05,0.893836,27.755428
0,mse,4,0.075,1.380605,27.115837
0,mse,4,0.1,2.248649,28.376514
0,mse,4,0.15,2.815289,26.593182
0,mae,5,0.05,3.334471,21.754911
0,mae,5,0.075,4.134761,21.618216
0,mae,5,0.1,5.348803,21.546837
0,mae,5,0.15,6.131955,21.023632
0,mse,5,0.05,1.002947,28.29985
0,mse,5,0.075,1.52404,27.95331
0,mse,5,0.1,2.399789,27.739246
0,mse,5,0.15,2.751835,26.429729
0,mae,6,0.05,3.385816,22.087971
0,mae,6,0.075,4.053455,21.970554
0,mae,6,0.1,5.349055,21.797871
0,mae,6,0.15,6.541927,21.164907
0,mse,6,0.05,0.926047,29.105473
0,mse,6,0.075,1.3499,28.948376
0,mse,6,0.1,2.394018,28.189672
0,mse,6,0.15,3.080652,26.386688
0,mae,7,0.05,3.113219,21.926754
0,mae,7,0.075,4.016804,21.554451
0,mae,7,0.1,5.28629,21.439266
0,mae,7,0.15,6.352505,20.764227
0,mse,7,0.05,0.810691,28.737333
0,mse,7,0.075,1.372415,28.235893
0,mse,7,0.1,2.237865,27.608332
0,mse,7,0.15,3.082876,25.745184
0,mae,8,0.05,3.1781,21.762445
0,mae,8,0.075,4.11238,21.232952
0,mae,8,0.1,5.554762,21.067932
0,mae,8,0.15,6.435788,20.385044
0,mse,8,0.05,0.857432,27.868256
0,mse,8,0.075,1.377139,26.879244
0,mse,8,0.1,2.54532,26.494955
0,mse,8,0.15,2.913949,24.546909
0,mae,9,0.05,3.23639,21.92235
0,mae,9,0.075,4.011326,21.42602
0,mae,9,0.1,5.023993,21.122795
0,mae,9,0.15,6.420725,20.389294
0,mse,9,0.05,0.845029,28.166634
0,mse,9,0.075,1.308285,27.574894
0,mse,9,0.1,2.227741,26.951893
0,mse,9,0.15,2.990078,25.040619
0,mae,10,0.05,3.123856,21.615416
0,mae,10,0.075,4.140943,21.520355
0,mae,10,0.1,5.218202,21.378819
0,mae,10,0.15,6.768275,21.633108
0,mse,10,0.05,0.792301,28.166035
0,mse,10,0.075,1.331222,27.878664
0,mse,10,0.1,2.141522,27.42347
0,mse,10,0.15,3.191446,27.789448
0,mae,11,0.05,3.498729,21.358068
0,mae,11,0.075,4.340231,21.344143
0,mae,11,0.1,5.551163,20.731638
0,mae,11,0.15,6.953322,20.717001
0,mse,11,0.05,0.963099,27.667517
0,mse,11,0.075,1.413701,27.695896
0,mse,11,0.1,2.307039,26.049286
0,mse,11,0.15,3.349201,25.747404
0,mae,12,0.05,3.411728,21.686928
0,mae,12,0.075,4.146712,21.530075
0,mae,12,0.1,5.319016,21.818666
0,mae,12,0.15,6.407889,21.489838
0,mse,12,0.05,0.880583,27.961483
0,mse,12,0.075,1.276439,27.535858
0,mse,12,0.1,2.263396,28.442738
0,mse,12,0.15,2.907204,26.884939
0,mae,13,0.05,3.277528,21.328127
0,mae,13,0.075,4.175384,21.673153
0,mae,13,0.1,5.333605,21.800447
0,mae,13,0.15,6.127598,21.220444
0,mse,13,0.05,0.854591,26.891087
0,mse,13,0.075,1.451563,27.696491
0,mse,13,0.1,2.192298,28.173981
0,mse,13,0.15,2.78288,26.109802
0,mae,14,0.05,3.416464,22.307758
0,mae,14,0.075,4.454994,22.718334
0,mae,14,0.1,5.552823,22.297729
0,mae,14,0.15,6.918606,21.934401
0,mse,14,0.05,0.956288,29.166634
0,mse,14,0.075,1.481696,30.321733
0,mse,14,0.1,2.311787,29.483959
0,mse,14,0.15,3.560191,27.994617
0,mae,15,0.05,3.155294,21.914814
0,mae,15,0.075,4.10783,22.040134
0,mae,15,0.1,5.180288,22.051075
0,mae,15,0.15,6.234792,21.793488
0,mse,15,0.05,0.826127,28.393167
0,mse,15,0.075,1.400728,28.677692
0,mse,15,0.1,2.255628,28.812393
0,mse,15,0.15,2.78458,28.222692
0,mae,16,0.05,3.337324,22.14209
0,mae,16,0.075,4.155456,21.900352
0,mae,16,0.1,5.432804,21.358276
0,mae,16,0.15,6.565165,20.65336
0,mse,16,0.05,0.876159,29.142353
0,mse,16,0.075,1.331809,28.744328
0,mse,16,0.1,2.206424,27.294594
0,mse,16,0.15,3.039149,25.76613
0,mae,17,0.05,3.152333,21.800537
0,mae,17,0.075,4.051788,21.072096
0,mae,17,0.1,5.512007,20.793497
0,mae,17,0.15,6.814355,20.395428
0,mse,17,0.05,0.821436,27.954254
0,mse,17,0.075,1.311077,26.540051
0,mse,17,0.1,2.316822,25.831509
0,mse,17,0.15,3.328834,24.557037
0,mae,18,0.05,3.240158,21.453161
0,mae,18,0.075,4.101707,21.312408
0,mae,18,0.1,5.282418,20.909885
0,mae,18,0.15,6.221441,20.637981
0,mse,18,0.05,0.834597,27.41946
0,mse,18,0.075,1.372862,26.682421
0,mse,18,0.1,2.161823,25.578476
0,mse,18,0.15,2.685135,25.057251
0,mae,19,0.05,3.255335,22.005527
0,mae,19,0.075,4.060864,21.892403
0,mae,19,0.1,5.307822,21.511545
0,mae,19,0.15,6.652169,21.617678
0,mse,19,0.05,0.848551,28.331322
0,mse,19,0.075,1.371365,27.611828
0,mse,19,0.1,2.174097,26.820835
0,mse,19,0.15,3.12628,26.786674
0,mae,20,0.05,3.307497,21.745481
0,mae,20,0.075,3.990253,21.608078
0,mae,20,0.1,5.366423,21.756397
0,mae,20,0.15,6.38696,21.425133
0,mse,20,0.05,0.855799,27.99033
0,mse,20,0.075,1.214,27.510864
0,mse,20,0.1,2.094234,27.96188
0,mse,20,0.15,2.831986,27.030296
0,mae,21,0.05,3.189673,21.707561
0,mae,21,0.075,4.325063,21.695236
0,mae,21,0.1,5.56792,21.452393
0,mae,21,0.15,6.64351,21.032507
0,mse,21,0.05,0.79642,27.886612
0,mse,21,0.075,1.48079,27.807053
0,mse,21,0.1,2.281146,27.295677
0,mse,21,0.15,3.026404,25.864212
0,mae,22,0.05,3.389091,22.19738
0,mae,22,0.075,4.41395,22.463684
0,mae,22,0.1,5.713314,22.388556
0,mae,22,0.15,6.77309,21.899714
0,mse,22,0.05,0.918994,28.995256
0,mse,22,0.075,1.499549,29.717239
0,mse,22,0.1,2.471799,29.610428
0,mse,22,0.15,3.263375,27.804207
0,mae,23,0.05,3.057959,21.953939
0,mae,23,0.075,4.219103,21.973204
0,mae,23,0.1,5.536577,21.78389
0,mae,23,0.15,6.429463,21.383553
0,mse,23,0.05,0.806,28.331722
0,mse,23,0.075,1.59468,28.792826
0,mse,23,0.1,2.586547,28.333261
0,mse,23,0.15,3.003618,27.097851
1,mae,0,0.05,3.039084,23.530806
1,mae,0,0.075,3.503713,23.097778
1,mae,0,0.1,3.743665,23.175476
1,mae,0,0.15,5.181887,22.058254
1,mse,0,0.05,0.915117,35.170422
1,mse,0,0.075,0.957897,33.778427
1,mse,0,0.1,0.945937,33.457527
1,mse,0,0.15,2.106022,30.570166
1,mae,1,0.05,2.865397,23.672121
1,mae,1,0.075,3.779818,23.354834
1,mae,1,0.1,3.723492,23.138697
1,mae,1,0.15,4.943213,22.258568
1,mse,1,0.05,0.877911,35.573719
1,mse,1,0.075,1.277972,34.600632
1,mse,1,0.1,0.963411,33.818012
1,mse,1,0.15,1.891472,32.022289
1,mae,2,0.05,2.923709,24.320265
