batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,15.747169,17.966827
0,mae,0,0.075,15.246693,16.383514
0,mae,0,0.1,15.950891,15.253273
0,mae,0,0.15,16.060455,13.67742
0,mse,0,0.05,16.731749,19.761236
0,mse,0,0.075,15.389572,16.969326
0,mse,0,0.1,17.034428,14.787036
0,mse,0,0.15,17.218447,12.575266
0,mae,1,0.05,15.321434,18.668344
0,mae,1,0.075,15.171713,17.083298
0,mae,1,0.1,16.688332,15.993812
0,mae,1,0.15,16.135624,13.227392
0,mse,1,0.05,14.987968,20.914183
0,mse,1,0.075,15.493656,18.095785
0,mse,1,0.1,17.878996,15.801502
0,mse,1,0.15,17.184671,11.730237
0,mae,2,0.05,13.927079,19.573275
0,mae,2,0.075,14.906078,17.2621
0,mae,2,0.1,14.913071,15.884537
0,mae,2,0.15,15.080358,12.897316
0,mse,2,0.05,13.143179,23.285812
0,mse,2,0.075,14.776675,18.374496
0,mse,2,0.1,15.222361,15.82106
0,mse,2,0.15,14.95055,10.632202
0,mae,3,0.05,14.124993,18.6919
0,mae,3,0.075,14.536106,16.632874
0,mae,3,0.1,14.729271,16.598297
0,mae,3,0.15,14.630651,13.894548
0,mse,3,0.05,13.733901,21.52206
0,mse,3,0.075,14.849384,17.175049
0,mse,3,0.1,14.737218,16.754221
0,mse,3,0.15,14.836176,12.113393
0,mae,4,0.05,13.099594,18.364548
0,mae,4,0.075,14.434742,17.455635
0,mae,4,0.1,15.558331,15.50161
0,mae,4,0.15,15.559372,13.863949
0,mse,4,0.05,12.846153,20.979355
0,mse,4,0.075,14.175753,18.303225
0,mse,4,0.1,15.846111,14.662531
0,mse,4,0.15,15.781519,11.880863
0,mae,5,0.05,12.922235,18.493319
0,mae,5,0.075,14.356413,17.098965
0,mae,5,0.1,15.090981,16.752819
0,mae,5,0.15,16.225719,14.175623
0,mse,5,0.05,12.362141,20.981014
0,mse,5,0.075,13.972055,17.872547
0,mse,5,0.1,14.992563,16.854818
0,mse,5,0.15,16.701603,12.297695
0,mae,6,0.05,13.124441,18.64463
0,mae,6,0.075,14.165678,18.413162
0,mae,6,0.1,14.845795,17.18939
0,mae,6,0.15,15.35753,15.551101
0,mse,6,0.05,13.119261,21.823879
0,mse,6,0.075,13.862419,20.507019
0,mse,6,0.1,14.94059,17.486187
0,mse,6,0.15,15.477726,14.664894
0,mae,7,0.05,14.563251,18.897804
0,mae,7,0.075,15.472002,17.660404
0,mae,7,0.1,15.014833,17.469889
0,mae,7,0.15,15.49628,14.807155
0,mse,7,0.05,14.627636,21.696991
0,mse,7,0.075,16.119696,18.563534
0,mse,7,0.1,15.721762,18.152954
0,mse,7,0.15,16.699778,13.780025
0,mae,8,0.05,13.973095,19.194036
0,mae,8,0.075,14.973465,18.681622
0,mae,8,0.1,15.684913,18.10578
0,mae,8,0.15,15.576765,15.349564
0,mse,8,0.05,14.14464,22.466099
0,mse,8,0.075,15.470914,21.043039
0,mse,8,0.1,17.128222,20.282448
0,mse,8,0.15,16.225218,14.577246
0,mae,9,0.05,15.918964,18.612738
0,mae,9,0.075,16.105467,17.57103
0,mae,9,0.1,15.665068,17.036343
0,mae,9,0.15,16.454409,15.942981
0,mse,9,0.05,17.415382,21.335869
0,mse,9,0.075,18.024153,19.299744
0,mse,9,0.1,17.230974,17.961006
0,mse,9,0.15,18.961569,15.760506
0,mae,10,0.05,16.928219,18.250004
0,mae,10,0.075,16.301424,16.754292
0,mae,10,0.1,16.643913,16.572454
0,mae,10,0.15,16.722551,15.182181
0,mse,10,0.05,19.39856,20.912582
0,mse,10,0.075,17.684147,17.668507
0,mse,10,0.1,19.055939,17.043688
0,mse,10,0.15,18.870457,14.920029
0,mae,11,0.05,15.745836,18.605087
0,mae,11,0.075,14.903429,17.512886
0,mae,11,0.1,15.900333,16.837225
0,mae,11,0.15,15.993115,15.94229
0,mse,11,0.05,16.625134,20.775818
0,mse,11,0.075,14.771987,18.800508
0,mse,11,0.1,16.904261,17.411289
0,mse,11,0.15,16.858353,15.749809
0,mae,12,0.05,14.435566,18.424171
0,mae,12,0.075,13.660559,17.562527
0,mae,12,0.1,14.309589,16.177217
0,mae,12,0.15,16.043026,15.429369
0,mse,12,0.05,13.743441,20.806541
0,mse,12,0.075,12.752176,18.686312
0,mse,12,0.1,13.755184,16.18552
0,mse,12,0.15,17.116055,15.154289
0,mae,13,0.05,15.137494,18.382824
0,mae,13,0.075,15.025905,16.120556
0,mae,13,0.1,15.096252,15.752552
0,mae,13,0.15,16.352955,14.416867
0,mse,13,0.05,15.250722,20.87413
0,mse,13,0.075,14.204149,16.633862
0,mse,13,0.1,15.67127,15.395443
0,mse,13,0.15,17.718531,13.287174
0,mae,14,0.05,14.499971,17.273323
0,mae,14,0.075,15.366683,15.30369
0,mae,14,0.1,14.926104,15.325857
0,mae,14,0.15,16.79945,13.940986
0,mse,14,0.05,14.301795,19.416403
0,mse,14,0.075,15.431448,15.585607
0,mse,14,0.1,15.607965,15.236877
0,mse,14,0.15,19.168991,12.285798
0,mae,15,0.05,14.62236,17.006802
0,mae,15,0.075,15.539986,15.935868
0,mae,15,0.1,16.023617,16.006756
0,mae,15,0.15,16.569857,14.293461
0,mse,15,0.05,14.353716,18.114901
0,mse,15,0.075,15.716529,16.140066
0,mse,15,0.1,17.550043,15.770276
0,mse,15,0.15,18.311043,13.025477
0,mae,16,0.05,15.465469,16.40007
0,mae,16,0.075,16.427605,15.698257
0,mae,16,0.1,17.461327,14.786888
0,mae,16,0.15,16.174639,12.634394
0,mse,16,0.05,16.269615,17.103565
0,mse,16,0.075,18.480024,15.93305
0,mse,16,0.1,20.348694,13.575808
0,mse,16,0.15,17.82682,10.300034
0,mae,17,0.05,14.61889,17.997442
0,mae,17,0.075,15.242683,16.461018
0,mae,17,0.1,16.067327,14.999603
0,mae,17,0.15,17.470371,12.627171
0,mse,17,0.05,15.491824,19.613768
0,mse,17,0.075,15.898191,16.788738
0,mse,17,0.1,17.614819,14.426078
0,mse,17,0.15,20.371061,11.12515
0,mae,18,0.05,14.338534,17.857136
0,mae,18,0.075,15.236098,16.564568
