batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,17.416111,29.616652
0,mae,0,0.075,18.39756,28.472223
0,mae,0,0.1,21.693459,28.975416
0,mae,0,0.15,22.614807,28.693085
0,mse,0,0.05,23.252655,53.710979
0,mse,0,0.075,25.360102,48.100006
0,mse,0,0.1,35.91486,50.481663
0,mse,0,0.15,37.775116,48.028488
0,mae,1,0.05,17.031546,32.370781
0,mae,1,0.075,18.602076,30.957161
0,mae,1,0.1,20.7822,29.130764
0,mae,1,0.15,23.376911,28.742279
0,mse,1,0.05,22.931404,63.917458
0,mse,1,0.075,25.448437,56.472572
0,mse,1,0.1,30.131552,49.881054
0,mse,1,0.15,37.138073,47.833183
0,mae,2,0.05,16.538788,32.257332
0,mae,2,0.075,17.447166,32.00444
0,mae,2,0.1,19.453873,30.756775
0,mae,2,0.15,22.923002,30.445507
0,mse,2,0.05,22.318634,63.063637
0,mse,2,0.075,22.557659,60.61964
0,mse,2,0.1,26.286629,54.260735
0,mse,2,0.15,34.925709,51.835266
0,mae,3,0.05,17.534492,29.813599
0,mae,3,0.075,18.888622,29.923868
0,mae,3,0.1,19.694613,29.868967
0,mae,3,0.15,21.992823,29.100916
0,mse,3,0.05,21.835861,52.673759
0,mse,3,0.075,25.250122,52.545464
0,mse,3,0.1,27.055,52.266129
0,mse,3,0.15,33.208237,48.749084
0,mae,4,0.05,17.257694,30.748421
0,mae,4,0.075,18.509655,30.814823
0,mae,4,0.1,19.156683,30.808281
0,mae,4,0.15,21.572109,29.552652
0,mse,4,0.05,20.792492,58.737976
0,mse,4,0.075,23.4165,58.009354
0,mse,4,0.1,25.401232,58.539886
0,mse,4,0.15,31.702608,52.064819
0,mae,5,0.05,14.827414,31.233143
0,mae,5,0.075,16.121483,30.241795
0,mae,5,0.1,19.143885,30.254585
0,mae,5,0.15,21.53923,30.140572
0,mse,5,0.05,16.01936,62.214809
0,mse,5,0.075,18.17416,57.832069
0,mse,5,0.1,26.536499,55.925995
0,mse,5,0.15,31.234371,55.910694
0,mae,6,0.05,16.992285,29.566879
0,mae,6,0.075,17.66243,30.070248
0,mae,6,0.1,19.724758,29.737774
0,mae,6,0.15,21.451214,28.99115
0,mse,6,0.05,22.43676,55.290825
0,mse,6,0.075,23.007423,58.323261
0,mse,6,0.1,28.492655,58.140114
0,mse,6,0.15,34.669556,54.210716
0,mae,7,0.05,14.52657,30.902328
0,mae,7,0.075,15.796505,31.009815
0,mae,7,0.1,17.685963,28.953335
0,mae,7,0.15,23.823162,27.121372
0,mse,7,0.05,19.203106,59.76181
0,mse,7,0.075,20.093311,60.046341
0,mse,7,0.1,23.04007,51.97184
0,mse,7,0.15,40.183533,44.568947
0,mae,8,0.05,15.65391,28.26874
0,mae,8,0.075,17.318995,28.371208
0,mae,8,0.1,19.812874,28.445354
0,mae,8,0.15,22.337309,27.688438
0,mse,8,0.05,21.169359,47.445168
0,mse,8,0.075,24.610781,47.527813
0,mse,8,0.1,29.572315,47.974083
0,mse,8,0.15,34.661613,46.020863
0,mae,9,0.05,17.433254,30.224037
0,mae,9,0.075,18.269356,29.493801
0,mae,9,0.1,20.181831,29.746008
0,mae,9,0.15,24.292469,28.255692
0,mse,9,0.05,24.800407,57.13324
0,mse,9,0.075,24.78548,53.107517
0,mse,9,0.1,28.719383,53.906166
0,mse,9,0.15,42.001617,48.637962
0,mae,10,0.05,16.945204,31.374733
0,mae,10,0.075,18.439306,30.995327
0,mae,10,0.1,20.074303,30.395941
0,mae,10,0.15,23.015381,30.641811
0,mse,10,0.05,22.467165,61.437973
0,mse,10,0.075,25.921177,60.225544
0,mse,10,0.1,29.849476,57.560112
0,mse,10,0.15,38.62397,57.354992
0,mae,11,0.05,18.736506,28.412945
0,mae,11,0.075,20.068054,28.188164
0,mae,11,0.1,23.290787,28.366364
0,mae,11,0.15,24.780376,26.550385
0,mse,11,0.05,27.580082,48.847008
0,mse,11,0.075,29.482391,48.618816
0,mse,11,0.1,39.721504,47.804535
0,mse,11,0.15,40.937584,42.664165
0,mae,12,0.05,17.244867,28.962887
0,mae,12,0.075,18.760502,28.348869
0,mae,12,0.1,18.403969,27.25905
