batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,16.384333,19.205006
0,mae,0,0.075,16.423008,19.365894
0,mae,0,0.1,18.136377,18.673882
0,mae,0,0.15,18.982525,16.917881
0,mse,0,0.05,22.297039,23.207329
0,mse,0,0.075,21.602757,22.978992
0,mse,0,0.1,24.159004,21.673555
0,mse,0,0.15,23.884302,18.282566
0,mae,1,0.05,19.270473,18.775684
0,mae,1,0.075,21.237774,18.145803
0,mae,1,0.1,20.932381,17.621376
0,mae,1,0.15,20.29924,16.601994
0,mse,1,0.05,26.767998,21.526814
0,mse,1,0.075,30.771618,20.039654
0,mse,1,0.1,30.632612,19.725613
0,mse,1,0.15,28.24791,17.346077
0,mae,2,0.05,21.392782,19.136532
0,mae,2,0.075,21.361588,18.996567
0,mae,2,0.1,21.53072,18.005404
0,mae,2,0.15,19.890095,17.377167
0,mse,2,0.05,31.378298,22.960655
0,mse,2,0.075,30.614359,23.553469
0,mse,2,0.1,31.099712,21.575825
0,mse,2,0.15,26.488197,20.252827
0,mae,3,0.05,24.152782,18.874805
0,mae,3,0.075,23.816334,18.071194
0,mae,3,0.1,23.642626,17.692362
0,mae,3,0.15,22.483566,16.431431
0,mse,3,0.05,38.615532,23.121716
0,mse,3,0.075,37.314911,21.466309
0,mse,3,0.1,35.314445,20.454948
0,mse,3,0.15,32.402519,18.160408
0,mae,4,0.05,23.088112,18.237368
0,mae,4,0.075,24.471027,17.408731
0,mae,4,0.1,23.414524,16.781219
0,mae,4,0.15,22.046833,15.01475
0,mse,4,0.05,37.026493,22.129732
0,mse,4,0.075,39.924377,20.449995
0,mse,4,0.1,36.773514,18.849197
0,mse,4,0.15,31.584858,16.119915
0,mae,5,0.05,22.075193,18.067936
0,mae,5,0.075,22.836802,17.049255
0,mae,5,0.1,21.076832,16.683144
0,mae,5,0.15,22.297619,15.280993
0,mse,5,0.05,34.459488,20.563307
0,mse,5,0.075,35.518635,18.864826
0,mse,5,0.1,30.359447,18.60701
0,mse,5,0.15,30.787466,15.337526
0,mae,6,0.05,21.535828,17.704771
0,mae,6,0.075,22.348782,16.850117
0,mae,6,0.1,21.881941,16.195713
0,mae,6,0.15,21.368641,14.497012
0,mse,6,0.05,33.883057,19.887957
0,mse,6,0.075,34.971191,18.3489
0,mse,6,0.1,32.868103,17.164877
0,mse,6,0.15,28.635086,13.849338
0,mae,7,0.05,20.189939,17.049864
0,mae,7,0.075,21.485332,16.769423
0,mae,7,0.1,23.037254,16.306616
0,mae,7,0.15,22.582829,15.408868
0,mse,7,0.05,31.152184,19.08506
0,mse,7,0.075,31.452003,18.258543
0,mse,7,0.1,34.486099,17.064808
0,mse,7,0.15,31.914232,15.900921
0,mae,8,0.05,21.368439,18.213322
0,mae,8,0.075,21.663708,17.030178
0,mae,8,0.1,21.509964,16.463627
0,mae,8,0.15,21.292807,14.780629
0,mse,8,0.05,33.136261,21.686373
0,mse,8,0.075,34.004379,19.097858
0,mse,8,0.1,32.507324,17.459238
0,mse,8,0.15,29.492294,14.122091
0,mae,9,0.05,21.01276,18.538343
0,mae,9,0.075,23.171219,17.082212
0,mae,9,0.1,23.228039,15.675985
0,mae,9,0.15,22.243172,14.38612
0,mse,9,0.05,31.89011,21.427471
0,mse,9,0.075,36.571033,18.259422
0,mse,9,0.1,36.863411,15.951173
0,mse,9,0.15,32.740326,14.035978
0,mae,10,0.05,22.095369,18.720718
0,mae,10,0.075,21.3522,17.650064
0,mae,10,0.1,21.918394,16.702881
0,mae,10,0.15,22.878948,14.056108
0,mse,10,0.05,34.199795,21.92944
0,mse,10,0.075,33.894604,20.188622
0,mse,10,0.1,32.698147,18.086536
0,mse,10,0.15,32.918304,12.844482
0,mae,11,0.05,20.21529,18.555428
0,mae,11,0.075,20.81636,17.991989
0,mae,11,0.1,20.488354,17.196938
0,mae,11,0.15,20.547625,15.189903
0,mse,11,0.05,31.681559,21.357374
0,mse,11,0.075,32.021511,20.576923
0,mse,11,0.1,29.59063,18.915709
0,mse,11,0.15,26.49041,14.921412
0,mae,12,0.05,20.192898,18.403334
0,mae,12,0.075,19.60154,17.681324
0,mae,12,0.1,20.737967,16.191343
0,mae,12,0.15,21.709816,13.490837
0,mse,12,0.05,31.072037,21.1357
0,mse,12,0.075,28.416283,19.169062
0,mse,12,0.1,30.923492,16.438393
0,mse,12,0.15,29.598133,12.295784
0,mae,13,0.05,20.908436,18.16856
0,mae,13,0.075,19.814884,18.135616
0,mae,13,0.1,19.899761,16.164738
0,mae,13,0.15,19.855076,13.952495
0,mse,13,0.05,32.510468,20.537201
0,mse,13,0.075,28.188587,19.689392
0,mse,13,0.1,28.352232,15.921352
0,mse,13,0.15,25.303959,12.588743
0,mae,14,0.05,21.721951,18.144157
0,mae,14,0.075,21.546116,17.818897
0,mae,14,0.1,21.787663,15.605993
0,mae,14,0.15,21.56496,14.162756
0,mse,14,0.05,34.102509,22.226578
0,mse,14,0.075,32.757645,20.369263
0,mse,14,0.1,33.397476,16.211609
0,mse,14,0.15,31.695538,13.392343
0,mae,15,0.05,22.207714,17.811031
0,mae,15,0.075,22.141846,16.237738
0,mae,15,0.1,22.977236,15.289486
0,mae,15,0.15,23.234367,13.234241
0,mse,15,0.05,35.430405,21.251244
0,mse,15,0.075,34.434196,17.772831
0,mse,15,0.1,36.105762,15.54549
0,mse,15,0.15,35.678318,12.826254
0,mae,16,0.05,21.627846,17.999588
0,mae,16,0.075,21.78688,16.816765
0,mae,16,0.1,20.556187,16.04904
0,mae,16,0.15,22.450684,12.822264
0,mse,16,0.05,33.766006,21.264238
0,mse,16,0.075,34.064423,19.276798
0,mse,16,0.1,29.783041,17.773533
0,mse,16,0.15,32.438038,11.74358
0,mae,17,0.05,23.227276,18.074242
0,mae,17,0.075,21.77248,16.684492
0,mae,17,0.1,21.194422,14.92524
0,mae,17,0.15,22.54726,13.278851
0,mse,17,0.05,37.111183,21.609074
0,mse,17,0.075,33.884766,18.764353
0,mse,17,0.1,30.966312,15.282615
0,mse,17,0.15,32.56192,12.446691
0,mae,18,0.05,22.619308,17.717495
0,mae,18,0.075,23.535164,16.677567
0,mae,18,0.1,21.627432,14.164268
0,mae,18,0.15,19.967918,12.98876
0,mse,18,0.05,36.085335,20.971699
0,mse,18,0.075,37.184475,18.209419
0,mse,18,0.1,30.245945,13.508002
0,mse,18,0.15,25.411179,11.42473
0,mae,19,0.05,22.594875,16.37315
0,mae,19,0.075,23.532394,15.284643
0,mae,19,0.1,21.616604,14.011335
0,mae,19,0.15,20.968458,12.816316
0,mse,19,0.05,36.436317,17.555235
0,mse,19,0.075,37.505699,15.08294
0,mse,19,0.1,32.840202,13.09188
0,mse,19,0.15,28.706604,11.409956
0,mae,20,0.05,21.569069,17.236053
0,mae,20,0.075,22.458305,16.067545
0,mae,20,0.1,22.522404,15.4718
0,mae,20,0.15,22.045633,13.54113
0,mse,20,0.05,30.524277,18.746037
0,mse,20,0.075,32.329353,16.662399
0,mse,20,0.1,34.3461,15.812934
0,mse,20,0.15,31.850359,12.69517
0,mae,21,0.05,20.405136,19.281788
0,mae,21,0.075,20.36668,17.012432
0,mae,21,0.1,20.185589,15.384018
0,mae,21,0.15,20.042072,13.485497
0,mse,21,0.05,28.875174,23.836491
0,mse,21,0.075,28.221424,18.908623
0,mse,21,0.1,26.064957,15.991494
0,mse,21,0.15,26.003811,12.822698
0,mae,22,0.05,22.047056,18.343094
0,mae,22,0.075,21.378637,17.182842
0,mae,22,0.1,21.760559,16.539867
0,mae,22,0.15,21.276323,14.129913
