batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.383527,15.57072
0,mae,0,0.075,7.1335,15.138302
0,mae,0,0.1,7.677522,14.654781
0,mae,0,0.15,9.299911,12.503505
0,mse,0,0.05,2.428653,15.463342
0,mse,0,0.075,3.949424,14.747625
0,mse,0,0.1,4.724902,14.10146
0,mse,0,0.15,6.102332,10.665104
0,mae,1,0.05,5.110069,16.151751
0,mae,1,0.075,6.521636,15.350178
0,mae,1,0.1,7.285785,14.76545
0,mae,1,0.15,9.2799,13.043634
0,mse,1,0.05,2.241678,16.629343
0,mse,1,0.075,3.339958,15.166906
0,mse,1,0.1,4.273378,14.329531
0,mse,1,0.15,6.118751,11.392285
0,mae,2,0.05,5.438576,16.53874
0,mae,2,0.075,6.556213,15.419061
0,mae,2,0.1,7.406014,15.087758
0,mae,2,0.15,10.193938,12.428695
0,mse,2,0.05,2.362498,17.457548
0,mse,2,0.075,3.327815,15.409619
0,mse,2,0.1,4.202776,15.013977
0,mse,2,0.15,7.159566,10.292275
0,mae,3,0.05,4.901649,16.653673
0,mae,3,0.075,6.345451,16.12224
0,mae,3,0.1,7.240205,15.117418
0,mae,3,0.15,10.393726,12.830721
0,mse,3,0.05,1.962195,17.472416
0,mse,3,0.075,3.083726,16.16626
0,mse,3,0.1,3.718183,14.522378
0,mse,3,0.15,7.333915,10.583504
0,mae,4,0.05,4.990881,17.111053
0,mae,4,0.075,5.631772,16.313862
0,mae,4,0.1,7.193562,15.568498
0,mae,4,0.15,9.629804,12.625549
0,mse,4,0.05,2.244758,18.536686
0,mse,4,0.075,2.68374,16.963676
0,mse,4,0.1,4.01188,15.893412
0,mse,4,0.15,6.386198,10.305788
0,mae,5,0.05,4.275917,17.28414
0,mae,5,0.075,5.404716,16.50993
0,mae,5,0.1,6.694543,15.105799
0,mae,5,0.15,9.268307,13.796234
0,mse,5,0.05,1.57169,18.992409
0,mse,5,0.075,2.394207,17.712585
0,mse,5,0.1,3.58177,15.075172
0,mse,5,0.15,6.324265,12.381914
0,mae,6,0.05,3.856553,17.902544
0,mae,6,0.075,5.14537,17.12466
0,mae,6,0.1,6.204347,16.285103
0,mae,6,0.15,9.248287,14.674976
0,mse,6,0.05,1.235055,20.466141
0,mse,6,0.075,2.226494,18.852625
0,mse,6,0.1,3.145848,17.08263
0,mse,6,0.15,6.306176,14.129665
0,mae,7,0.05,3.886392,18.455196
0,mae,7,0.075,4.657978,17.975494
0,mae,7,0.1,5.558326,17.184044
0,mae,7,0.15,8.854677,15.121777
0,mse,7,0.05,1.342783,21.979816
0,mse,7,0.075,1.838588,20.935339
0,mse,7,0.1,2.442944,19.251289
0,mse,7,0.15,5.637279,15.019828
0,mae,8,0.05,3.689692,18.194836
0,mae,8,0.075,4.447122,17.807446
0,mae,8,0.1,5.573931,17.379267
0,mae,8,0.15,8.503357,14.713757
0,mse,8,0.05,1.333267,21.291805
0,mse,8,0.075,1.736852,20.234516
0,mse,8,0.1,2.4273,19.333977
0,mse,8,0.15,5.29945,14.202541
0,mae,9,0.05,3.522246,18.868471
0,mae,9,0.075,4.41449,18.631105
0,mae,9,0.1,5.383132,17.75576
0,mae,9,0.15,7.072895,15.609565
0,mse,9,0.05,1.221107,22.779957
0,mse,9,0.075,1.676956,22.46139
0,mse,9,0.1,2.353993,20.869785
0,mse,9,0.15,4.031677,16.172565
0,mae,10,0.05,3.74931,19.775454
0,mae,10,0.075,4.746199,18.620178
0,mae,10,0.1,5.464908,18.04911
0,mae,10,0.15,7.969799,15.006965
0,mse,10,0.05,1.324297,24.206945
0,mse,10,0.075,1.869117,21.464453
0,mse,10,0.1,2.307149,20.158344
0,mse,10,0.15,4.637462,15.024683
0,mae,11,0.05,4.238011,18.919386
0,mae,11,0.075,5.52842,18.168156
0,mae,11,0.1,6.416706,16.942467
0,mae,11,0.15,8.513781,14.219997
0,mse,11,0.05,1.520483,21.986053
0,mse,11,0.075,2.473562,20.647863
0,mse,11,0.1,3.149758,18.365942
0,mse,11,0.15,5.150702,13.308538
0,mae,12,0.05,3.75887,18.843224
0,mae,12,0.075,4.901883,17.820797
0,mae,12,0.1,6.218704,16.71497
0,mae,12,0.15,8.039215,14.413163
0,mse,12,0.05,1.297058,22.065365
0,mse,12,0.075,1.915748,19.80957
0,mse,12,0.1,3.118975,17.993223
0,mse,12,0.15,4.792305,13.714817
0,mae,13,0.05,3.766261,19.51182
