batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,15.539533,18.454758
0,mae,0,0.075,17.06905,17.678879
0,mae,0,0.1,18.002445,16.445908
0,mae,0,0.15,18.522402,14.600932
0,mse,0,0.05,20.690506,20.748308
0,mse,0,0.075,22.791306,18.75013
0,mse,0,0.1,24.02363,16.969971
0,mse,0,0.15,24.150414,14.356505
0,mae,1,0.05,17.529457,18.714451
0,mae,1,0.075,19.342707,17.409779
0,mae,1,0.1,20.203503,16.041147
0,mae,1,0.15,19.070152,14.492561
0,mse,1,0.05,22.469059,21.423344
0,mse,1,0.075,24.967836,19.332048
0,mse,1,0.1,26.890163,16.817657
0,mse,1,0.15,24.273228,14.276801
0,mae,2,0.05,19.688812,18.34783
0,mae,2,0.075,20.735252,17.091436
0,mae,2,0.1,21.458183,16.328896
0,mae,2,0.15,21.259325,13.922557
0,mse,2,0.05,26.867264,20.451048
0,mse,2,0.075,28.499712,18.219276
0,mse,2,0.1,30.819431,17.265184
0,mse,2,0.15,30.288643,12.795175
0,mae,3,0.05,21.695723,17.908035
0,mae,3,0.075,21.893383,17.003927
0,mae,3,0.1,21.883369,16.009937
0,mae,3,0.15,21.572006,15.038772
0,mse,3,0.05,31.738998,19.938459
0,mse,3,0.075,31.801294,18.324886
0,mse,3,0.1,32.435814,16.600962
0,mse,3,0.15,31.446735,15.211279
0,mae,4,0.05,20.370195,17.960056
0,mae,4,0.075,20.029251,16.916767
0,mae,4,0.1,21.232098,17.250957
0,mae,4,0.15,22.070393,16.421709
0,mse,4,0.05,29.087063,20.760487
0,mse,4,0.075,28.324213,18.369919
0,mse,4,0.1,30.892639,19.194965
0,mse,4,0.15,33.278938,17.138451
0,mae,5,0.05,19.53673,17.539274
0,mae,5,0.075,19.549721,16.673862
0,mae,5,0.1,18.927814,15.559278
0,mae,5,0.15,20.837713,15.307175
0,mse,5,0.05,27.150757,19.567234
0,mse,5,0.075,26.331785,17.852257
0,mse,5,0.1,25.683966,15.852007
0,mse,5,0.15,29.980143,15.564936
0,mae,6,0.05,21.202374,17.510376
0,mae,6,0.075,21.293839,16.18174
0,mae,6,0.1,21.228233,16.026594
0,mae,6,0.15,22.591412,14.936868
0,mse,6,0.05,30.349474,20.012852
0,mse,6,0.075,30.637142,17.32058
0,mse,6,0.1,30.502378,16.969986
0,mse,6,0.15,32.976341,15.233049
0,mae,7,0.05,20.411013,16.298683
0,mae,7,0.075,21.5366,15.599157
0,mae,7,0.1,21.911463,15.293251
0,mae,7,0.15,22.926723,13.474827
0,mse,7,0.05,28.752474,17.31275
0,mse,7,0.075,30.69574,16.114414
0,mse,7,0.1,30.638853,15.612864
0,mse,7,0.15,33.427486,12.570382
0,mae,8,0.05,21.147722,16.522167
0,mae,8,0.075,22.146046,15.548736
0,mae,8,0.1,22.33226,14.438322
0,mae,8,0.15,24.464718,13.091998
0,mse,8,0.05,31.359072,17.32423
0,mse,8,0.075,32.934898,15.512344
0,mse,8,0.1,34.133713,13.386028
0,mse,8,0.15,37.761311,11.866085
0,mae,9,0.05,21.284353,17.203659
0,mae,9,0.075,21.75843,16.321018
0,mae,9,0.1,21.406849,14.810448
0,mae,9,0.15,22.705853,13.686915
0,mse,9,0.05,31.452461,18.692278
0,mse,9,0.075,31.603626,16.998503
0,mse,9,0.1,30.958725,14.11348
0,mse,9,0.15,33.662872,12.488776
0,mae,10,0.05,23.007294,16.582203
0,mae,10,0.075,22.407158,16.076731
0,mae,10,0.1,23.282814,14.514968
0,mae,10,0.15,24.282925,12.640875
0,mse,10,0.05,34.903839,17.180906
0,mse,10,0.075,33.181824,15.911824
0,mse,10,0.1,35.237076,13.544627
0,mse,10,0.15,38.552876,11.057964
0,mae,11,0.05,22.630337,15.915808
0,mae,11,0.075,22.684021,14.327757
0,mae,11,0.1,23.57478,14.071951
0,mae,11,0.15,23.779022,13.124336
0,mse,11,0.05,33.653648,16.335108
0,mse,11,0.075,34.724354,13.573359
0,mse,11,0.1,36.993103,13.043413
0,mse,11,0.15,36.786667,11.686003
0,mae,12,0.05,22.189892,15.915153
0,mae,12,0.075,23.166344,15.378944
0,mae,12,0.1,22.712933,15.06035
0,mae,12,0.15,23.862614,13.370896
0,mse,12,0.05,32.725433,16.272219
0,mse,12,0.075,35.302147,14.957943
0,mse,12,0.1,35.198853,14.266758
0,mse,12,0.15,38.313087,11.818205
0,mae,13,0.05,22.529617,16.502003
0,mae,13,0.075,22.301163,15.874903
0,mae,13,0.1,23.498062,15.100555
0,mae,13,0.15,20.816456,12.745806
0,mse,13,0.05,35.455063,17.120043
0,mse,13,0.075,34.087822,15.964289
0,mse,13,0.1,36.796257,14.637822
0,mse,13,0.15,30.695415,10.99341
0,mae,14,0.05,23.195721,16.216049
0,mae,14,0.075,22.484518,14.599263
0,mae,14,0.1,22.58604,14.004008
0,mae,14,0.15,22.566229,12.826512
0,mse,14,0.05,35.548512,16.260639
0,mse,14,0.075,34.494884,13.660803
0,mse,14,0.1,34.673111,12.582886
0,mse,14,0.15,35.193024,10.49454
0,mae,15,0.05,24.200436,15.568575
0,mae,15,0.075,23.283955,14.585988
0,mae,15,0.1,24.300251,13.62688
0,mae,15,0.15,22.484703,12.229597
0,mse,15,0.05,38.58638,14.897051
0,mse,15,0.075,35.354115,13.807638
0,mse,15,0.1,37.780258,11.920618
0,mse,15,0.15,35.699989,9.767637
0,mae,16,0.05,23.066628,16.627996
0,mae,16,0.075,23.355335,15.943875
0,mae,16,0.1,23.88973,14.85677
0,mae,16,0.15,23.590313,13.529772
0,mse,16,0.05,36.219711,16.339806
0,mse,16,0.075,36.822002,15.336717
0,mse,16,0.1,38.649254,13.300129
0,mse,16,0.15,37.486431,11.461925
0,mae,17,0.05,23.066252,17.218494
0,mae,17,0.075,23.013292,16.641277
0,mae,17,0.1,22.800179,16.351143
0,mae,17,0.15,22.946877,14.320038
0,mse,17,0.05,36.686977,17.643185
0,mse,17,0.075,35.841946,16.505562
0,mse,17,0.1,35.519005,16.443346
0,mse,17,0.15,36.26392,12.557362
0,mae,18,0.05,21.273445,18.006861
0,mae,18,0.075,21.439812,16.470974
0,mae,18,0.1,21.679111,16.040611
0,mae,18,0.15,20.879616,14.103582
0,mse,18,0.05,31.605286,19.33103
0,mse,18,0.075,31.634785,16.459686
0,mse,18,0.1,32.729607,15.861707
0,mse,18,0.15,30.272896,13.018774
0,mae,19,0.05,20.47171,18.170185
0,mae,19,0.075,20.651157,16.795938
0,mae,19,0.1,21.721571,15.581397
0,mae,19,0.15,22.156261,13.459276
0,mse,19,0.05,30.814369,20.053745
0,mse,19,0.075,29.965141,17.399118
0,mse,19,0.1,33.212753,15.836771
0,mse,19,0.15,33.481018,11.708784
0,mae,20,0.05,21.427048,17.672691
0,mae,20,0.075,21.689198,16.594427
0,mae,20,0.1,22.484716,15.731363
0,mae,20,0.15,21.833546,14.361592
0,mse,20,0.05,31.918312,19.629684
0,mse,20,0.075,31.187092,17.938332
0,mse,20,0.1,32.799038,16.823059
0,mse,20,0.15,31.434296,14.607254
0,mae,21,0.05,22.632545,17.883799
0,mae,21,0.075,23.440575,15.928691
0,mae,21,0.1,23.486115,15.278198
0,mae,21,0.15,22.27309,13.470623
0,mse,21,0.05,33.771912,19.622879
0,mse,21,0.075,36.087517,17.442848
0,mse,21,0.1,36.358967,16.597343
0,mse,21,0.15,31.700315,13.135977
0,mae,22,0.05,22.215271,17.373608
0,mae,22,0.075,23.399277,16.418165
0,mae,22,0.1,24.442688,15.52062
0,mae,22,0.15,22.743256,13.49346
0,mse,22,0.05,34.583645,19.284868
0,mse,22,0.075,36.661301,17.260893
0,mse,22,0.1,40.458679,16.007292
0,mse,22,0.15,37.738617,12.661824
0,mae,23,0.05,24.632984,17.661718
0,mae,23,0.075,23.96151,16.654114
0,mae,23,0.1,24.579958,15.589708
0,mae,23,0.15,22.427019,13.026079
0,mse,23,0.05,40.586102,19.648678
0,mse,23,0.075,37.962803,17.581985
0,mse,23,0.1,39.772583,16.266293
0,mse,23,0.15,34.783962,11.787437
1,mae,0,0.05,17.570572,20.163601
1,mae,0,0.075,19.22683,20.089611
1,mae,0,0.1,20.242313,19.634172
1,mae,0,0.15,23.675558,17.67277
1,mse,0,0.05,19.7246,26.384993
1,mse,0,0.075,23.37628,26.510258
1,mse,0,0.1,26.61684,26.294819
1,mse,0,0.15,34.30439,21.830708
1,mae,1,0.05,16.148979,21.34911
1,mae,1,0.075,17.76523,20.926239
1,mae,1,0.1,19.384239,20.174669
1,mae,1,0.15,22.197624,18.248165
1,mse,1,0.05,16.79755,28.890812
1,mse,1,0.075,21.559198,28.288166
1,mse,1,0.1,25.781281,26.912102
1,mse,1,0.15,32.505527,22.898729
1,mae,2,0.05,18.258673,20.774254
1,mae,2,0.075,19.600319,20.24382
1,mae,2,0.1,21.80312,19.232647
1,mae,2,0.15,24.457005,17.606701
1,mse,2,0.05,22.400335,28.05127
1,mse,2,0.075,25.599005,26.552519
1,mse,2,0.1,30.015907,24.125065
1,mse,2,0.15,38.349861,21.148182
1,mae,3,0.05,19.902077,20.391426
1,mae,3,0.075,20.456703,19.4958
1,mae,3,0.1,21.31452,19.212543
1,mae,3,0.15,25.69121,17.044853
1,mse,3,0.05,26.686268,26.770996
1,mse,3,0.075,29.346546,24.717785
1,mse,3,0.1,31.446758,24.163589
1,mse,3,0.15,41.759132,19.119118
1,mae,4,0.05,20.539642,20.398996
1,mae,4,0.075,21.257294,19.541046
1,mae,4,0.1,21.223053,18.847866
1,mae,4,0.15,24.336582,17.19458
1,mse,4,0.05,28.134113,27.054035
1,mse,4,0.075,29.966793,24.875488
1,mse,4,0.1,30.390738,22.967926
1,mse,4,0.15,36.620056,19.098539
1,mae,5,0.05,19.54608,20.515446
1,mae,5,0.075,20.537891,20.637455
1,mae,5,0.1,21.671906,19.745405
1,mae,5,0.15,23.961868,17.966423
1,mse,5,0.05,26.105293,27.261003
1,mse,5,0.075,27.856932,27.206266
1,mse,5,0.1,31.562828,25.050858
1,mse,5,0.15,36.156738,20.927258
1,mae,6,0.05,18.82155,21.325546
1,mae,6,0.075,20.845043,19.713507
1,mae,6,0.1,22.33242,19.260624
1,mae,6,0.15,25.661018,17.426453
1,mse,6,0.05,25.049253,29.150581
1,mse,6,0.075,29.164762,25.400936
1,mse,6,0.1,33.105598,24.200327
1,mse,6,0.15,40.397865,20.272682
1,mae,7,0.05,19.321072,21.423145
1,mae,7,0.075,20.689718,20.838291
1,mae,7,0.1,22.173695,20.197189
1,mae,7,0.15,24.764097,19.572437
1,mse,7,0.05,27.212803,28.523865
1,mse,7,0.075,29.960642,27.226231
1,mse,7,0.1,32.581963,25.748444
1,mse,7,0.15,38.450882,24.494085
1,mae,8,0.05,19.212688,22.158716
1,mae,8,0.075,21.133932,20.837435
1,mae,8,0.1,23.225754,20.091478
1,mae,8,0.15,23.607553,19.362694
1,mse,8,0.05,28.791378,30.923891
1,mse,8,0.075,32.032242,26.511894
1,mse,8,0.1,35.000408,24.875116
1,mse,8,0.15,36.495277,23.499889
1,mae,9,0.05,19.344273,21.211567
1,mae,9,0.075,21.328867,20.16037
1,mae,9,0.1,21.96735,19.60873
1,mae,9,0.15,23.536438,18.602825
1,mse,9,0.05,28.653456,27.966179
