batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.114599,0.148988
0,cross_entropy,0,0.075,0.108,0.163284
0,cross_entropy,0,0.1,0.108919,0.148248
0,cross_entropy,0,0.15,0.1078,0.147221
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.115804,0.148008
0,cross_entropy,1,0.075,0.109506,0.15721
0,cross_entropy,1,0.1,0.109522,0.149533
0,cross_entropy,1,0.15,0.110101,0.143873
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.083371,0.100477
1,cross_entropy,0,0.075,0.083584,0.103848
1,cross_entropy,0,0.1,0.082817,0.11322
1,cross_entropy,0,0.15,0.083521,0.119984
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.082843,0.097148
1,cross_entropy,1,0.075,0.08647,0.09815
1,cross_entropy,1,0.1,0.083058,0.112592
1,cross_entropy,1,0.15,0.083094,0.116136
2,auc,0,0.05,1.0,0.516129
2,auc,0,0.075,1.0,0.645161
2,auc,0,0.1,1.0,0.806452
2,auc,0,0.15,1.0,0.870968
2,accuracy,0,0.05,1.0,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.96875
2,cross_entropy,0,0.05,0.08869,0.169199
2,cross_entropy,0,0.075,0.088983,0.15868
