batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,0.96875,1.0
0,accuracy,0,0.15,0.96875,1.0
0,cross_entropy,0,0.05,0.140562,0.053244
0,cross_entropy,0,0.075,0.151138,0.041845
0,cross_entropy,0,0.1,0.162545,0.03876
0,cross_entropy,0,0.15,0.178137,0.036107
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,0.96875
0,cross_entropy,1,0.05,0.072049,0.155799
0,cross_entropy,1,0.075,0.068647,0.180139
0,cross_entropy,1,0.1,0.063851,0.218919
0,cross_entropy,1,0.15,0.055505,0.28994
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.141764,0.05816
1,cross_entropy,0,0.075,0.150144,0.049266
1,cross_entropy,0,0.1,0.157989,0.040578
1,cross_entropy,0,0.15,0.178483,0.035567
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,0.96875
1,cross_entropy,1,0.05,0.07085,0.168922
1,cross_entropy,1,0.075,0.064581,0.192659
1,cross_entropy,1,0.1,0.058893,0.223234
1,cross_entropy,1,0.15,0.049794,0.253868
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,0.96875,1.0
2,accuracy,0,0.1,0.96875,1.0
2,accuracy,0,0.15,0.96875,1.0
2,cross_entropy,0,0.05,0.109169,0.054627
2,cross_entropy,0,0.075,0.117741,0.041254
