batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.103904,0.094244
0,cross_entropy,0,0.075,0.099187,0.095749
0,cross_entropy,0,0.1,0.097163,0.097736
0,cross_entropy,0,0.15,0.096362,0.102313
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.102564,0.094756
0,cross_entropy,1,0.075,0.099295,0.097014
0,cross_entropy,1,0.1,0.099401,0.100445
0,cross_entropy,1,0.15,0.09932,0.10564
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.117185,0.086892
1,cross_entropy,0,0.075,0.116091,0.098703
1,cross_entropy,0,0.1,0.119004,0.100598
1,cross_entropy,0,0.15,0.118545,0.110126
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.118798,0.084264
1,cross_entropy,1,0.075,0.123561,0.094825
1,cross_entropy,1,0.1,0.126324,0.09762
1,cross_entropy,1,0.15,0.126239,0.104069
2,auc,0,0.05,1.0,0.783333
2,auc,0,0.075,1.0,0.833333
2,auc,0,0.1,1.0,0.833333
2,auc,0,0.15,0.966667,0.95
2,accuracy,0,0.05,1.0,0.9375
2,accuracy,0,0.075,0.96875,0.9375
2,accuracy,0,0.1,0.96875,0.9375
2,accuracy,0,0.15,0.9375,0.9375
2,cross_entropy,0,0.05,0.140436,0.195891
2,cross_entropy,0,0.075,0.137162,0.187779
