batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,1.0
0,auc,0,0.075,1.0,1.0
0,auc,0,0.1,1.0,1.0
0,auc,0,0.15,1.0,1.0
0,accuracy,0,0.05,0.875,0.96875
0,accuracy,0,0.075,0.84375,0.96875
0,accuracy,0,0.1,0.6875,0.96875
0,accuracy,0,0.15,0.625,0.96875
0,cross_entropy,0,0.05,0.276317,0.181312
0,cross_entropy,0,0.075,0.377065,0.188266
0,cross_entropy,0,0.1,0.476271,0.194314
0,cross_entropy,0,0.15,0.653145,0.202483
0,auc,1,0.05,1.0,1.0
0,auc,1,0.075,1.0,1.0
0,auc,1,0.1,1.0,1.0
0,auc,1,0.15,1.0,1.0
0,accuracy,1,0.05,0.96875,0.96875
0,accuracy,1,0.075,0.96875,0.8125
0,accuracy,1,0.1,0.96875,0.71875
0,accuracy,1,0.15,0.96875,0.5625
0,cross_entropy,1,0.05,0.047925,0.259717
0,cross_entropy,1,0.075,0.058201,0.40153
0,cross_entropy,1,0.1,0.071212,0.53841
0,cross_entropy,1,0.15,0.096594,0.751026
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.96875,1.0
1,accuracy,0,0.075,0.90625,1.0
1,accuracy,0,0.1,0.84375,1.0
1,accuracy,0,0.15,0.75,1.0
1,cross_entropy,0,0.05,0.190501,0.001185
1,cross_entropy,0,0.075,0.280801,0.000833
1,cross_entropy,0,0.1,0.371608,0.000667
1,cross_entropy,0,0.15,0.549832,0.000479
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.96875
1,accuracy,1,0.075,1.0,0.9375
1,accuracy,1,0.1,1.0,0.84375
1,accuracy,1,0.15,1.0,0.59375
1,cross_entropy,1,0.05,0.002862,0.238903
1,cross_entropy,1,0.075,0.001737,0.363188
1,cross_entropy,1,0.1,0.001173,0.482521
1,cross_entropy,1,0.15,0.000699,0.683833
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,0.96875,1.0
2,accuracy,0,0.075,0.96875,1.0
2,accuracy,0,0.1,0.9375,1.0
2,accuracy,0,0.15,0.75,1.0
2,cross_entropy,0,0.05,0.177309,0.001123
2,cross_entropy,0,0.075,0.255059,0.000778
2,cross_entropy,0,0.1,0.337766,0.000605
2,cross_entropy,0,0.15,0.505425,0.000435
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,1.0,1.0
2,accuracy,1,0.075,1.0,0.9375
2,accuracy,1,0.1,1.0,0.875
2,accuracy,1,0.15,1.0,0.6875
2,cross_entropy,1,0.05,0.002891,0.233152
2,cross_entropy,1,0.075,0.001702,0.360061
2,cross_entropy,1,0.1,0.00115,0.466395
2,cross_entropy,1,0.15,0.000636,0.65957
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,0.90625,1.0
3,accuracy,0,0.075,0.84375,1.0
3,accuracy,0,0.1,0.8125,1.0
3,accuracy,0,0.15,0.71875,1.0
3,cross_entropy,0,0.05,0.245381,0.001163
3,cross_entropy,0,0.075,0.3579,0.000805
3,cross_entropy,0,0.1,0.460955,0.000617
3,cross_entropy,0,0.15,0.671304,0.000441
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,0.96875
3,accuracy,1,0.075,1.0,0.90625
3,accuracy,1,0.1,1.0,0.8125
3,accuracy,1,0.15,1.0,0.5
3,cross_entropy,1,0.05,0.003028,0.2521
3,cross_entropy,1,0.075,0.001862,0.404338
