batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.903226,1.0
0,auc,0,0.075,0.967742,1.0
0,auc,0,0.1,1.0,1.0
0,auc,0,0.15,0.677419,1.0
0,accuracy,0,0.05,0.96875,0.96875
0,accuracy,0,0.075,0.96875,0.96875
0,accuracy,0,0.1,0.96875,0.96875
0,accuracy,0,0.15,0.96875,0.96875
0,cross_entropy,0,0.05,0.128807,0.121374
0,cross_entropy,0,0.075,0.125873,0.123689
0,cross_entropy,0,0.1,0.12882,0.123316
0,cross_entropy,0,0.15,0.142533,0.109416
0,auc,1,0.05,0.903226,1.0
0,auc,1,0.075,0.967742,0.967742
0,auc,1,0.1,0.935484,1.0
0,auc,1,0.15,0.709677,1.0
0,accuracy,1,0.05,0.96875,0.96875
0,accuracy,1,0.075,0.96875,0.96875
0,accuracy,1,0.1,0.96875,0.96875
0,accuracy,1,0.15,0.96875,0.96875
0,cross_entropy,1,0.05,0.12834,0.118962
0,cross_entropy,1,0.075,0.12747,0.122346
0,cross_entropy,1,0.1,0.131988,0.119653
0,cross_entropy,1,0.15,0.139669,0.113912
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.069826,0.072375
1,cross_entropy,0,0.075,0.063592,0.079586
1,cross_entropy,0,0.1,0.059599,0.089252
1,cross_entropy,0,0.15,0.055273,0.099187
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.066065,0.073002
1,cross_entropy,1,0.075,0.063381,0.076726
1,cross_entropy,1,0.1,0.059989,0.086096
1,cross_entropy,1,0.15,0.058496,0.090236
2,auc,0,0.05,0.965517,1.0
2,auc,0,0.075,0.850575,1.0
2,auc,0,0.1,0.804598,1.0
2,auc,0,0.15,0.804598,1.0
2,accuracy,0,0.05,0.90625,1.0
2,accuracy,0,0.075,0.90625,1.0
2,accuracy,0,0.1,0.90625,1.0
2,accuracy,0,0.15,0.90625,1.0
2,cross_entropy,0,0.05,0.232598,0.107656
2,cross_entropy,0,0.075,0.268581,0.103688
