batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.061422,0.104316
0,cross_entropy,0,0.075,0.064607,0.099243
0,cross_entropy,0,0.1,0.066408,0.094621
0,cross_entropy,0,0.15,0.065151,0.102589
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.058831,0.10383
0,cross_entropy,1,0.075,0.062869,0.100316
0,cross_entropy,1,0.1,0.064791,0.100765
0,cross_entropy,1,0.15,0.067605,0.095173
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.068509,0.098302
1,cross_entropy,0,0.075,0.070859,0.092331
1,cross_entropy,0,0.1,0.073563,0.086065
1,cross_entropy,0,0.15,0.080409,0.079777
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.067231,0.095051
1,cross_entropy,1,0.075,0.071148,0.090089
1,cross_entropy,1,0.1,0.074446,0.083869
1,cross_entropy,1,0.15,0.078701,0.079378
2,auc,0,0.05,1.0,0.903226
2,auc,0,0.075,1.0,0.903226
2,auc,0,0.1,1.0,0.935484
2,auc,0,0.15,1.0,0.967742
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.96875
2,cross_entropy,0,0.05,0.105319,0.157885
