batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.612903,1.0
0,auc,0,0.075,0.774194,1.0
0,auc,0,0.1,0.870968,1.0
0,auc,0,0.15,0.806452,0.967742
0,accuracy,0,0.05,0.96875,0.96875
0,accuracy,0,0.075,0.96875,0.96875
0,accuracy,0,0.1,0.96875,0.96875
0,accuracy,0,0.15,0.96875,0.96875
0,cross_entropy,0,0.05,0.153261,0.095854
0,cross_entropy,0,0.075,0.143312,0.102198
0,cross_entropy,0,0.1,0.13398,0.112356
0,cross_entropy,0,0.15,0.140142,0.115855
0,auc,1,0.05,0.903226,1.0
0,auc,1,0.075,0.83871,1.0
0,auc,1,0.1,0.83871,1.0
0,auc,1,0.15,0.83871,1.0
0,accuracy,1,0.05,0.96875,0.96875
0,accuracy,1,0.075,0.96875,0.96875
0,accuracy,1,0.1,0.96875,0.96875
0,accuracy,1,0.15,0.96875,0.96875
0,cross_entropy,1,0.05,0.133243,0.107023
0,cross_entropy,1,0.075,0.143551,0.104436
0,cross_entropy,1,0.1,0.143435,0.106219
0,cross_entropy,1,0.15,0.147128,0.109775
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.070046,0.0779
1,cross_entropy,0,0.075,0.06884,0.086138
1,cross_entropy,0,0.1,0.069073,0.088124
1,cross_entropy,0,0.15,0.069274,0.094852
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.070574,0.080875
1,cross_entropy,1,0.075,0.069508,0.085753
1,cross_entropy,1,0.1,0.070387,0.088024
1,cross_entropy,1,0.15,0.073079,0.09029
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.075029,0.077227
2,cross_entropy,0,0.075,0.071458,0.077044
2,cross_entropy,0,0.1,0.066761,0.083599
2,cross_entropy,0,0.15,0.064127,0.091546
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,1.0,1.0
2,accuracy,1,0.075,1.0,1.0
2,accuracy,1,0.1,1.0,1.0
2,accuracy,1,0.15,1.0,1.0
2,cross_entropy,1,0.05,0.080632,0.070338
2,cross_entropy,1,0.075,0.079664,0.070027
2,cross_entropy,1,0.1,0.079985,0.070644
2,cross_entropy,1,0.15,0.074332,0.080556
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,1.0,1.0
3,accuracy,0,0.075,1.0,1.0
3,accuracy,0,0.1,1.0,1.0
3,accuracy,0,0.15,1.0,1.0
3,cross_entropy,0,0.05,0.080759,0.072899
3,cross_entropy,0,0.075,0.077426,0.077462
3,cross_entropy,0,0.1,0.074451,0.081854
3,cross_entropy,0,0.15,0.071991,0.085794
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,1.0
3,accuracy,1,0.075,1.0,1.0
3,accuracy,1,0.1,1.0,1.0
3,accuracy,1,0.15,1.0,1.0
3,cross_entropy,1,0.05,0.081101,0.071211
3,cross_entropy,1,0.075,0.08056,0.074125
3,cross_entropy,1,0.1,0.078775,0.078119
3,cross_entropy,1,0.15,0.077726,0.077201
4,auc,0,0.05,0.967742,1.0
4,auc,0,0.075,0.870968,0.967742
4,auc,0,0.1,0.774194,0.967742
4,auc,0,0.15,0.354839,1.0
4,accuracy,0,0.05,0.96875,1.0
4,accuracy,0,0.075,0.96875,0.96875
4,accuracy,0,0.1,0.96875,0.96875
4,accuracy,0,0.15,0.96875,1.0
4,cross_entropy,0,0.05,0.124055,0.10048
4,cross_entropy,0,0.075,0.134692,0.112671
4,cross_entropy,0,0.1,0.137003,0.116207
4,cross_entropy,0,0.15,0.158625,0.088016
4,auc,1,0.05,0.709677,1.0
4,auc,1,0.075,0.935484,1.0
4,auc,1,0.1,0.645161,1.0
4,auc,1,0.15,0.677419,1.0
4,accuracy,1,0.05,0.96875,1.0
4,accuracy,1,0.075,0.96875,1.0
4,accuracy,1,0.1,0.96875,1.0
4,accuracy,1,0.15,0.96875,1.0
4,cross_entropy,1,0.05,0.137201,0.101037
4,cross_entropy,1,0.075,0.125096,0.101586
4,cross_entropy,1,0.1,0.141235,0.095247
4,cross_entropy,1,0.15,0.14483,0.090944
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,1.0,1.0
5,accuracy,0,0.075,1.0,1.0
5,accuracy,0,0.1,1.0,1.0
5,accuracy,0,0.15,1.0,1.0
5,cross_entropy,0,0.05,0.07102,0.074717
5,cross_entropy,0,0.075,0.073978,0.072892
5,cross_entropy,0,0.1,0.07285,0.073123
5,cross_entropy,0,0.15,0.073593,0.075956
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,1.0
5,accuracy,1,0.075,1.0,1.0
5,accuracy,1,0.1,1.0,1.0
5,accuracy,1,0.15,1.0,1.0
5,cross_entropy,1,0.05,0.069892,0.076344
5,cross_entropy,1,0.075,0.065956,0.080963
5,cross_entropy,1,0.1,0.066003,0.080778
5,cross_entropy,1,0.15,0.065984,0.081403
6,auc,0,0.05,1.0,1.0
6,auc,0,0.075,0.967742,1.0
6,auc,0,0.1,0.935484,1.0
6,auc,0,0.15,0.677419,1.0
6,accuracy,0,0.05,0.96875,1.0
6,accuracy,0,0.075,0.96875,1.0
6,accuracy,0,0.1,0.96875,1.0
6,accuracy,0,0.15,0.96875,1.0
6,cross_entropy,0,0.05,0.114741,0.083468
6,cross_entropy,0,0.075,0.121358,0.087752
6,cross_entropy,0,0.1,0.130133,0.092922
6,cross_entropy,0,0.15,0.145521,0.1069
6,auc,1,0.05,1.0,1.0
6,auc,1,0.075,0.806452,1.0
6,auc,1,0.1,0.870968,1.0
6,auc,1,0.15,0.935484,1.0
6,accuracy,1,0.05,0.96875,1.0
6,accuracy,1,0.075,0.96875,1.0
6,accuracy,1,0.1,0.96875,1.0
6,accuracy,1,0.15,0.96875,1.0
6,cross_entropy,1,0.05,0.118043,0.086757
6,cross_entropy,1,0.075,0.138011,0.086807
6,cross_entropy,1,0.1,0.134015,0.095839
6,cross_entropy,1,0.15,0.127137,0.111027
7,auc,0,0.05,0.0,0.0
7,auc,0,0.075,0.0,0.0
7,auc,0,0.1,0.0,0.0
7,auc,0,0.15,0.0,0.0
7,accuracy,0,0.05,1.0,1.0
7,accuracy,0,0.075,1.0,0.96875
7,accuracy,0,0.1,1.0,1.0
7,accuracy,0,0.15,1.0,1.0
7,cross_entropy,0,0.05,0.080433,0.102464
7,cross_entropy,0,0.075,0.077958,0.122532
7,cross_entropy,0,0.1,0.076618,0.105548
7,cross_entropy,0,0.15,0.07621,0.098413
7,auc,1,0.05,0.0,0.0
7,auc,1,0.075,0.0,0.0
7,auc,1,0.1,0.0,0.0
7,auc,1,0.15,0.0,0.0
7,accuracy,1,0.05,1.0,1.0
7,accuracy,1,0.075,1.0,1.0
7,accuracy,1,0.1,1.0,1.0
7,accuracy,1,0.15,1.0,1.0
7,cross_entropy,1,0.05,0.084489,0.096117
7,cross_entropy,1,0.075,0.075286,0.097571
7,cross_entropy,1,0.1,0.074354,0.099917
