batch_index,metric,area,comp,suff
0,auc,0.05,0.0,0.0
0,accuracy,0.05,1.0,1.0
0,cross_entropy,0.05,0.079261,0.07643
0,auc,0.075,0.0,0.0
0,accuracy,0.075,1.0,1.0
0,cross_entropy,0.075,0.075811,0.079991
0,auc,0.1,0.0,0.0
0,accuracy,0.1,1.0,1.0
0,cross_entropy,0.1,0.074473,0.081533
0,auc,0.15,0.0,0.0
0,accuracy,0.15,1.0,1.0
0,cross_entropy,0.15,0.071948,0.087255
1,auc,0.05,0.0,0.0
1,accuracy,0.05,1.0,1.0
1,cross_entropy,0.05,0.077163,0.083277
1,auc,0.075,0.0,0.0
1,accuracy,0.075,1.0,1.0
1,cross_entropy,0.075,0.075459,0.086588
1,auc,0.1,0.0,0.0
1,accuracy,0.1,1.0,1.0
1,cross_entropy,0.1,0.073927,0.088841
1,auc,0.15,0.0,0.0
1,accuracy,0.15,1.0,1.0
1,cross_entropy,0.15,0.073242,0.09064
2,auc,0.05,0.0,0.0
2,accuracy,0.05,1.0,1.0
2,cross_entropy,0.05,0.089245,0.088872
2,auc,0.075,0.0,0.0
2,accuracy,0.075,1.0,1.0
2,cross_entropy,0.075,0.083616,0.094761
2,auc,0.1,0.0,0.0
2,accuracy,0.1,1.0,1.0
2,cross_entropy,0.1,0.076555,0.103437
2,auc,0.15,0.0,0.0
2,accuracy,0.15,1.0,1.0
2,cross_entropy,0.15,0.072005,0.112881
3,auc,0.05,1.0,0.935484
3,accuracy,0.05,0.96875,0.96875
3,cross_entropy,0.05,0.10973,0.140962
3,auc,0.075,1.0,0.967742
3,accuracy,0.075,0.96875,0.96875
3,cross_entropy,0.075,0.113137,0.137798
3,auc,0.1,1.0,0.967742
3,accuracy,0.1,0.96875,0.96875
3,cross_entropy,0.1,0.116975,0.134906
3,auc,0.15,1.0,0.967742
3,accuracy,0.15,0.96875,0.96875
3,cross_entropy,0.15,0.126557,0.129589
4,auc,0.05,1.0,1.0
4,accuracy,0.05,0.96875,0.96875
4,cross_entropy,0.05,0.111688,0.12379
4,auc,0.075,1.0,1.0
4,accuracy,0.075,0.96875,0.96875
4,cross_entropy,0.075,0.122447,0.113806
4,auc,0.1,1.0,1.0
4,accuracy,0.1,0.96875,0.96875
4,cross_entropy,0.1,0.125623,0.111222
4,auc,0.15,1.0,1.0
4,accuracy,0.15,0.96875,0.96875
