batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.78125,1.0
0,accuracy,0,0.075,0.75,1.0
0,accuracy,0,0.1,0.6875,1.0
0,accuracy,0,0.15,0.5625,1.0
0,cross_entropy,0,0.05,0.533784,0.010589
0,cross_entropy,0,0.075,0.731902,0.007263
0,cross_entropy,0,0.1,0.884366,0.005628
0,cross_entropy,0,0.15,1.133594,0.004156
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.8125
0,accuracy,1,0.075,1.0,0.78125
0,accuracy,1,0.1,1.0,0.6875
0,accuracy,1,0.15,1.0,0.46875
0,cross_entropy,1,0.05,0.013066,0.537408
0,cross_entropy,1,0.075,0.008785,0.719243
0,cross_entropy,1,0.1,0.006601,0.872251
0,cross_entropy,1,0.15,0.004616,1.104034
1,auc,0,0.05,1.0,0.129032
1,auc,0,0.075,1.0,0.16129
1,auc,0,0.1,1.0,0.129032
1,auc,0,0.15,0.967742,0.129032
1,accuracy,0,0.05,0.65625,0.96875
1,accuracy,0,0.075,0.53125,0.96875
1,accuracy,0,0.1,0.4375,0.96875
1,accuracy,0,0.15,0.34375,0.96875
1,cross_entropy,0,0.05,0.578792,0.182495
1,cross_entropy,0,0.075,0.774221,0.194344
1,cross_entropy,0,0.1,0.915437,0.200246
1,cross_entropy,0,0.15,1.1688,0.210222
1,auc,1,0.05,0.774194,0.903226
1,auc,1,0.075,0.612903,0.903226
1,auc,1,0.1,0.516129,0.935484
1,auc,1,0.15,0.290323,0.967742
1,accuracy,1,0.05,0.96875,0.71875
1,accuracy,1,0.075,0.96875,0.46875
1,accuracy,1,0.1,0.96875,0.375
1,accuracy,1,0.15,0.96875,0.28125
1,cross_entropy,1,0.05,0.132252,0.563725
1,cross_entropy,1,0.075,0.161057,0.767923
1,cross_entropy,1,0.1,0.176804,0.946705
1,cross_entropy,1,0.15,0.204033,1.217565
2,auc,0,0.05,1.0,1.0
2,auc,0,0.075,0.967742,0.967742
2,auc,0,0.1,1.0,0.935484
2,auc,0,0.15,0.967742,0.935484
2,accuracy,0,0.05,0.78125,0.96875
2,accuracy,0,0.075,0.6875,0.96875
2,accuracy,0,0.1,0.5625,0.96875
2,accuracy,0,0.15,0.34375,0.96875
