batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.885057,1.0
0,auc,0,0.075,0.827586,1.0
0,auc,0,0.1,0.850575,1.0
0,auc,0,0.15,0.747126,1.0
0,accuracy,0,0.05,0.90625,0.96875
0,accuracy,0,0.075,0.90625,0.96875
0,accuracy,0,0.1,0.90625,0.96875
0,accuracy,0,0.15,0.90625,0.96875
0,cross_entropy,0,0.05,0.232653,0.154414
0,cross_entropy,0,0.075,0.246594,0.144818
0,cross_entropy,0,0.1,0.240646,0.150856
0,cross_entropy,0,0.15,0.261403,0.143713
0,auc,1,0.05,0.908046,1.0
0,auc,1,0.075,0.908046,1.0
0,auc,1,0.1,0.908046,1.0
0,auc,1,0.15,0.931035,1.0
0,accuracy,1,0.05,0.90625,0.96875
0,accuracy,1,0.075,0.90625,0.96875
0,accuracy,1,0.1,0.90625,0.96875
0,accuracy,1,0.15,0.90625,0.96875
0,cross_entropy,1,0.05,0.237805,0.143383
0,cross_entropy,1,0.075,0.235269,0.154096
0,cross_entropy,1,0.1,0.239977,0.149687
0,cross_entropy,1,0.15,0.247458,0.14738
1,auc,0,0.05,1.0,0.935484
1,auc,0,0.075,1.0,1.0
1,auc,0,0.1,1.0,1.0
1,auc,0,0.15,0.967742,0.967742
1,accuracy,0,0.05,0.96875,0.96875
1,accuracy,0,0.075,0.96875,0.96875
1,accuracy,0,0.1,0.96875,0.96875
1,accuracy,0,0.15,0.96875,0.96875
1,cross_entropy,0,0.05,0.100554,0.144688
1,cross_entropy,0,0.075,0.104844,0.146365
1,cross_entropy,0,0.1,0.10802,0.14909
1,cross_entropy,0,0.15,0.115014,0.155512
1,auc,1,0.05,1.0,0.935484
1,auc,1,0.075,1.0,0.967742
1,auc,1,0.1,1.0,0.967742
1,auc,1,0.15,1.0,0.967742
1,accuracy,1,0.05,0.96875,0.96875
1,accuracy,1,0.075,0.96875,0.96875
1,accuracy,1,0.1,0.96875,0.96875
1,accuracy,1,0.15,0.96875,0.96875
1,cross_entropy,1,0.05,0.103668,0.143025
1,cross_entropy,1,0.075,0.109956,0.135947
1,cross_entropy,1,0.1,0.111779,0.138194
1,cross_entropy,1,0.15,0.113102,0.140558
2,auc,0,0.05,1.0,0.983333
2,auc,0,0.075,1.0,1.0
2,auc,0,0.1,0.966667,1.0
2,auc,0,0.15,0.966667,1.0
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.96875
2,cross_entropy,0,0.05,0.110526,0.116998
2,cross_entropy,0,0.075,0.120412,0.106371
2,cross_entropy,0,0.1,0.130759,0.099804
2,cross_entropy,0,0.15,0.136246,0.098135
2,auc,1,0.05,1.0,1.0
2,auc,1,0.075,1.0,1.0
2,auc,1,0.1,0.983333,1.0
2,auc,1,0.15,0.966667,1.0
2,accuracy,1,0.05,0.96875,0.96875
2,accuracy,1,0.075,0.96875,0.96875
2,accuracy,1,0.1,0.96875,0.96875
2,accuracy,1,0.15,0.96875,0.96875
2,cross_entropy,1,0.05,0.117611,0.111478
2,cross_entropy,1,0.075,0.123891,0.108888
2,cross_entropy,1,0.1,0.12593,0.108525
2,cross_entropy,1,0.15,0.132857,0.105188
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,1.0,1.0
3,accuracy,0,0.075,1.0,0.96875
3,accuracy,0,0.1,1.0,0.96875
3,accuracy,0,0.15,1.0,0.96875
3,cross_entropy,0,0.05,0.07147,0.075766
3,cross_entropy,0,0.075,0.073571,0.080465
3,cross_entropy,0,0.1,0.077442,0.08133
3,cross_entropy,0,0.15,0.077669,0.079468
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,1.0
3,accuracy,1,0.075,1.0,0.96875
3,accuracy,1,0.1,1.0,0.96875
3,accuracy,1,0.15,1.0,0.96875
3,cross_entropy,1,0.05,0.075166,0.071529
3,cross_entropy,1,0.075,0.075188,0.080174
3,cross_entropy,1,0.1,0.077113,0.077823
3,cross_entropy,1,0.15,0.07922,0.081437
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,1.0,1.0
4,accuracy,0,0.075,1.0,0.96875
4,accuracy,0,0.1,1.0,1.0
4,accuracy,0,0.15,1.0,0.96875
4,cross_entropy,0,0.05,0.071481,0.084671
4,cross_entropy,0,0.075,0.067958,0.093923
4,cross_entropy,0,0.1,0.068125,0.092759
4,cross_entropy,0,0.15,0.07332,0.089966
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
4,auc,1,0.1,0.0,0.0
4,auc,1,0.15,0.0,0.0
4,accuracy,1,0.05,1.0,1.0
4,accuracy,1,0.075,1.0,1.0
4,accuracy,1,0.1,1.0,1.0
4,accuracy,1,0.15,1.0,0.96875
4,cross_entropy,1,0.05,0.079529,0.07069
4,cross_entropy,1,0.075,0.080859,0.071192
4,cross_entropy,1,0.1,0.074982,0.081866
4,cross_entropy,1,0.15,0.070742,0.091368
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,1.0,0.96875
5,accuracy,0,0.075,1.0,0.96875
5,accuracy,0,0.1,1.0,0.96875
5,accuracy,0,0.15,1.0,0.96875
5,cross_entropy,0,0.05,0.083696,0.114834
5,cross_entropy,0,0.075,0.082339,0.118895
5,cross_entropy,0,0.1,0.081832,0.121994
5,cross_entropy,0,0.15,0.083076,0.120977
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,1.0
5,accuracy,1,0.075,1.0,1.0
5,accuracy,1,0.1,1.0,1.0
5,accuracy,1,0.15,1.0,1.0
5,cross_entropy,1,0.05,0.07629,0.111583
5,cross_entropy,1,0.075,0.074626,0.125235
5,cross_entropy,1,0.1,0.07585,0.121324
5,cross_entropy,1,0.15,0.07538,0.128497
6,auc,0,0.05,0.183908,1.0
6,auc,0,0.075,0.149425,1.0
6,auc,0,0.1,0.08046,1.0
6,auc,0,0.15,0.16092,1.0
6,accuracy,0,0.05,0.90625,0.96875
6,accuracy,0,0.075,0.90625,1.0
6,accuracy,0,0.1,0.90625,1.0
6,accuracy,0,0.15,0.90625,1.0
6,cross_entropy,0,0.05,0.379217,0.143932
6,cross_entropy,0,0.075,0.399958,0.136491
6,cross_entropy,0,0.1,0.400213,0.135868
6,cross_entropy,0,0.15,0.394712,0.14325
6,auc,1,0.05,0.195402,1.0
6,auc,1,0.075,0.126437,1.0
6,auc,1,0.1,0.195402,1.0
6,auc,1,0.15,0.252874,0.988506
6,accuracy,1,0.05,0.90625,1.0
6,accuracy,1,0.075,0.90625,1.0
6,accuracy,1,0.1,0.90625,1.0
6,accuracy,1,0.15,0.90625,0.9375
6,cross_entropy,1,0.05,0.379701,0.123359
6,cross_entropy,1,0.075,0.392402,0.125353
6,cross_entropy,1,0.1,0.37714,0.140233
6,cross_entropy,1,0.15,0.377748,0.146344
7,auc,0,0.05,0.0,0.0
7,auc,0,0.075,0.0,0.0
7,auc,0,0.1,0.0,0.0
7,auc,0,0.15,0.0,0.0
7,accuracy,0,0.05,1.0,1.0
7,accuracy,0,0.075,1.0,1.0
7,accuracy,0,0.1,1.0,1.0
7,accuracy,0,0.15,1.0,1.0
7,cross_entropy,0,0.05,0.059913,0.08649
7,cross_entropy,0,0.075,0.061355,0.081989
7,cross_entropy,0,0.1,0.062047,0.082805
7,cross_entropy,0,0.15,0.067703,0.074633
7,auc,1,0.05,0.0,0.0
7,auc,1,0.075,0.0,0.0
7,auc,1,0.1,0.0,0.0
7,auc,1,0.15,0.0,0.0
7,accuracy,1,0.05,1.0,1.0
7,accuracy,1,0.075,1.0,1.0
7,accuracy,1,0.1,1.0,1.0
7,accuracy,1,0.15,1.0,1.0
7,cross_entropy,1,0.05,0.063437,0.073558
7,cross_entropy,1,0.075,0.061109,0.074033
7,cross_entropy,1,0.1,0.06476,0.073973
7,cross_entropy,1,0.15,0.069034,0.069393
8,auc,0,0.05,0.716667,1.0
8,auc,0,0.075,0.616667,1.0
8,auc,0,0.1,0.633333,1.0
8,auc,0,0.15,0.833333,1.0
8,accuracy,0,0.05,0.9375,1.0
8,accuracy,0,0.075,0.9375,1.0
8,accuracy,0,0.1,0.9375,1.0
8,accuracy,0,0.15,0.9375,1.0
8,cross_entropy,0,0.05,0.219858,0.110159
8,cross_entropy,0,0.075,0.228878,0.106882
8,cross_entropy,0,0.1,0.228644,0.108913
8,cross_entropy,0,0.15,0.215572,0.114786
8,auc,1,0.05,0.8,1.0
8,auc,1,0.075,0.866667,1.0
8,auc,1,0.1,0.8,1.0
8,auc,1,0.15,0.6,1.0
8,accuracy,1,0.05,0.9375,1.0
8,accuracy,1,0.075,0.9375,1.0
8,accuracy,1,0.1,0.9375,1.0
8,accuracy,1,0.15,0.9375,1.0
8,cross_entropy,1,0.05,0.207926,0.113476
8,cross_entropy,1,0.075,0.211748,0.115426
8,cross_entropy,1,0.1,0.221998,0.112533
8,cross_entropy,1,0.15,0.244045,0.109996
9,auc,0,0.05,0.16129,1.0
9,auc,0,0.075,0.096774,1.0
9,auc,0,0.1,0.064516,1.0
9,auc,0,0.15,0.064516,1.0
9,accuracy,0,0.05,0.96875,1.0
9,accuracy,0,0.075,0.96875,1.0
9,accuracy,0,0.1,0.96875,1.0
9,accuracy,0,0.15,0.96875,1.0
9,cross_entropy,0,0.05,0.189446,0.109861
9,cross_entropy,0,0.075,0.197289,0.111269
9,cross_entropy,0,0.1,0.206229,0.110036
9,cross_entropy,0,0.15,0.201426,0.107773
9,auc,1,0.05,0.258065,1.0
9,auc,1,0.075,0.290323,1.0
9,auc,1,0.1,0.129032,1.0
9,auc,1,0.15,0.16129,1.0
9,accuracy,1,0.05,0.96875,1.0
9,accuracy,1,0.075,0.96875,1.0
9,accuracy,1,0.1,0.96875,1.0
9,accuracy,1,0.15,0.96875,1.0
9,cross_entropy,1,0.05,0.185562,0.09533
9,cross_entropy,1,0.075,0.183398,0.104645
9,cross_entropy,1,0.1,0.186258,0.109297
9,cross_entropy,1,0.15,0.184365,0.114502
10,auc,0,0.05,0.0,0.0
10,auc,0,0.075,0.0,0.0
10,auc,0,0.1,0.0,0.0
10,auc,0,0.15,0.0,0.0
10,accuracy,0,0.05,1.0,1.0
10,accuracy,0,0.075,1.0,1.0
10,accuracy,0,0.1,1.0,1.0
10,accuracy,0,0.15,1.0,1.0
10,cross_entropy,0,0.05,0.081159,0.110828
10,cross_entropy,0,0.075,0.08983,0.110439
10,cross_entropy,0,0.1,0.090669,0.108238
10,cross_entropy,0,0.15,0.100756,0.104452
10,auc,1,0.05,0.0,0.0
10,auc,1,0.075,0.0,0.0
10,auc,1,0.1,0.0,0.0
10,auc,1,0.15,0.0,0.0
10,accuracy,1,0.05,1.0,1.0
10,accuracy,1,0.075,1.0,0.96875
10,accuracy,1,0.1,1.0,0.96875
10,accuracy,1,0.15,1.0,0.96875
10,cross_entropy,1,0.05,0.088687,0.09976
10,cross_entropy,1,0.075,0.095484,0.105548
10,cross_entropy,1,0.1,0.092469,0.111286
10,cross_entropy,1,0.15,0.091138,0.110584
11,auc,0,0.05,0.866667,0.9
11,auc,0,0.075,0.766667,0.916667
11,auc,0,0.1,0.633333,0.916667
11,auc,0,0.15,0.416667,0.983333
11,accuracy,0,0.05,0.9375,0.9375
11,accuracy,0,0.075,0.9375,0.96875
11,accuracy,0,0.1,0.9375,0.9375
11,accuracy,0,0.15,0.9375,0.96875
11,cross_entropy,0,0.05,0.188229,0.181431
11,cross_entropy,0,0.075,0.197565,0.187338
11,cross_entropy,0,0.1,0.226753,0.174385
11,cross_entropy,0,0.15,0.257165,0.14705
11,auc,1,0.05,0.95,0.9
11,auc,1,0.075,0.833333,0.883333
11,auc,1,0.1,0.783333,0.933333
11,auc,1,0.15,0.516667,0.966667
11,accuracy,1,0.05,0.9375,0.9375
11,accuracy,1,0.075,0.9375,0.9375
11,accuracy,1,0.1,0.9375,0.96875
11,accuracy,1,0.15,0.9375,0.96875
11,cross_entropy,1,0.05,0.179045,0.191216
11,cross_entropy,1,0.075,0.197746,0.180542
11,cross_entropy,1,0.1,0.21184,0.164666
11,cross_entropy,1,0.15,0.24624,0.149401
12,auc,0,0.05,0.0,0.0
12,auc,0,0.075,0.0,0.0
12,auc,0,0.1,0.0,0.0
12,auc,0,0.15,0.0,0.0
12,accuracy,0,0.05,1.0,0.96875
12,accuracy,0,0.075,1.0,0.9375
12,accuracy,0,0.1,1.0,0.9375
12,accuracy,0,0.15,1.0,0.9375
12,cross_entropy,0,0.05,0.076544,0.139231
12,cross_entropy,0,0.075,0.077744,0.149629
12,cross_entropy,0,0.1,0.081085,0.153795
12,cross_entropy,0,0.15,0.085552,0.149274
12,auc,1,0.05,0.0,0.0
12,auc,1,0.075,0.0,0.0
12,auc,1,0.1,0.0,0.0
12,auc,1,0.15,0.0,0.0
12,accuracy,1,0.05,1.0,1.0
12,accuracy,1,0.075,1.0,0.96875
12,accuracy,1,0.1,1.0,0.9375
12,accuracy,1,0.15,1.0,0.96875
12,cross_entropy,1,0.05,0.077557,0.135128
12,cross_entropy,1,0.075,0.078631,0.137154
12,cross_entropy,1,0.1,0.081573,0.138516
12,cross_entropy,1,0.15,0.091706,0.13547
13,auc,0,0.05,1.0,1.0
13,auc,0,0.075,1.0,1.0
13,auc,0,0.1,1.0,1.0
13,auc,0,0.15,0.967742,1.0
13,accuracy,0,0.05,0.96875,1.0
13,accuracy,0,0.075,0.96875,1.0
13,accuracy,0,0.1,0.96875,1.0
13,accuracy,0,0.15,0.96875,1.0
13,cross_entropy,0,0.05,0.112767,0.116243
13,cross_entropy,0,0.075,0.118342,0.106766
13,cross_entropy,0,0.1,0.119302,0.104227
13,cross_entropy,0,0.15,0.123297,0.104375
13,auc,1,0.05,0.967742,1.0
13,auc,1,0.075,0.903226,1.0
13,auc,1,0.1,0.806452,1.0
13,auc,1,0.15,0.935484,1.0
13,accuracy,1,0.05,0.96875,1.0
13,accuracy,1,0.075,0.96875,1.0
13,accuracy,1,0.1,0.96875,1.0
13,accuracy,1,0.15,0.96875,1.0
13,cross_entropy,1,0.05,0.13076,0.09638
13,cross_entropy,1,0.075,0.137917,0.09989
13,cross_entropy,1,0.1,0.145219,0.09874
13,cross_entropy,1,0.15,0.134415,0.096341
14,auc,0,0.05,0.816092,0.988506
14,auc,0,0.075,0.83908,0.977012
14,auc,0,0.1,0.804598,0.977012
14,auc,0,0.15,0.758621,0.977012
14,accuracy,0,0.05,0.90625,0.9375
14,accuracy,0,0.075,0.90625,0.9375
14,accuracy,0,0.1,0.90625,0.96875
14,accuracy,0,0.15,0.90625,0.9375
14,cross_entropy,0,0.05,0.228416,0.160432
14,cross_entropy,0,0.075,0.2343,0.158193
14,cross_entropy,0,0.1,0.244558,0.151106
14,cross_entropy,0,0.15,0.248034,0.156178
14,auc,1,0.05,0.862069,0.988506
14,auc,1,0.075,0.862069,1.0
14,auc,1,0.1,0.908046,1.0
14,auc,1,0.15,0.942529,1.0
14,accuracy,1,0.05,0.90625,0.9375
14,accuracy,1,0.075,0.90625,0.96875
14,accuracy,1,0.1,0.90625,0.96875
14,accuracy,1,0.15,0.90625,0.9375
14,cross_entropy,1,0.05,0.211754,0.175908
14,cross_entropy,1,0.075,0.22952,0.158773
14,cross_entropy,1,0.1,0.231653,0.162414
14,cross_entropy,1,0.15,0.227956,0.165953
15,auc,0,0.05,0.806452,0.870968
15,auc,0,0.075,0.419355,0.967742
15,auc,0,0.1,0.225806,1.0
15,auc,0,0.15,0.16129,1.0
15,accuracy,0,0.05,0.96875,0.96875
15,accuracy,0,0.075,0.96875,0.96875
15,accuracy,0,0.1,0.96875,0.96875
15,accuracy,0,0.15,0.96875,1.0
15,cross_entropy,0,0.05,0.161374,0.154553
15,cross_entropy,0,0.075,0.182763,0.141666
15,cross_entropy,0,0.1,0.196039,0.137427
15,cross_entropy,0,0.15,0.207223,0.133525
15,auc,1,0.05,0.903226,0.741935
15,auc,1,0.075,0.83871,0.870968
15,auc,1,0.1,0.774194,0.903226
15,auc,1,0.15,0.258065,1.0
15,accuracy,1,0.05,0.96875,0.96875
15,accuracy,1,0.075,0.96875,0.96875
15,accuracy,1,0.1,0.96875,0.96875
15,accuracy,1,0.15,0.96875,0.96875
15,cross_entropy,1,0.05,0.148519,0.169598
15,cross_entropy,1,0.075,0.161138,0.160838
15,cross_entropy,1,0.1,0.162047,0.161819
15,cross_entropy,1,0.15,0.184291,0.154383
16,auc,0,0.05,0.774194,0.967742
16,auc,0,0.075,0.322581,0.967742
16,auc,0,0.1,0.322581,0.967742
16,auc,0,0.15,0.0,1.0
16,accuracy,0,0.05,0.96875,0.96875
16,accuracy,0,0.075,0.96875,0.96875
16,accuracy,0,0.1,0.96875,0.96875
16,accuracy,0,0.15,0.96875,1.0
16,cross_entropy,0,0.05,0.146112,0.12962
16,cross_entropy,0,0.075,0.161734,0.131045
16,cross_entropy,0,0.1,0.167631,0.13014
16,cross_entropy,0,0.15,0.194202,0.121053
16,auc,1,0.05,0.83871,0.967742
16,auc,1,0.075,0.709677,0.967742
16,auc,1,0.1,0.483871,0.967742
16,auc,1,0.15,0.322581,1.0
16,accuracy,1,0.05,0.96875,0.96875
16,accuracy,1,0.075,0.96875,0.96875
16,accuracy,1,0.1,0.96875,0.96875
16,accuracy,1,0.15,0.96875,0.96875
16,cross_entropy,1,0.05,0.147452,0.127254
16,cross_entropy,1,0.075,0.149685,0.128499
16,cross_entropy,1,0.1,0.157137,0.122804
16,cross_entropy,1,0.15,0.170004,0.112378
17,auc,0,0.05,0.354839,1.0
17,auc,0,0.075,0.451613,1.0
