batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,0.96875
0,accuracy,0,0.1,1.0,0.96875
0,accuracy,0,0.15,1.0,0.96875
0,cross_entropy,0,0.05,0.073904,0.082324
0,cross_entropy,0,0.075,0.074583,0.094979
0,cross_entropy,0,0.1,0.079535,0.096894
0,cross_entropy,0,0.15,0.089902,0.114449
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,0.96875
0,cross_entropy,1,0.05,0.099037,0.070159
0,cross_entropy,1,0.075,0.107551,0.071538
0,cross_entropy,1,0.1,0.107572,0.081564
0,cross_entropy,1,0.15,0.109202,0.097295
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,0.96875
1,accuracy,0,0.15,1.0,0.96875
1,cross_entropy,0,0.05,0.1164,0.085073
1,cross_entropy,0,0.075,0.112334,0.09185
1,cross_entropy,0,0.1,0.107414,0.103806
1,cross_entropy,0,0.15,0.098332,0.119301
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,0.96875,1.0
1,accuracy,1,0.1,0.96875,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.132972,0.071938
1,cross_entropy,1,0.075,0.147376,0.073901
1,cross_entropy,1,0.1,0.149792,0.083547
1,cross_entropy,1,0.15,0.124503,0.093011
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.097533,0.065912
2,cross_entropy,0,0.075,0.094805,0.071193
